House number,Street name,Postal code,Latitude,Longitude
8,Красноярская улица,663319,69.3561171,88.1756345
1,улица Орджоникидзе,663319,69.3570019,88.1774955
1,улица Орджоникидзе,663319,69.3570568,88.1775621
3,Красноярская улица,663319,69.3570908,88.1720470
1,Ленинский проспект,663305,69.3420321,88.2062567
69,улица Нансена,663319,69.3596497,88.1687180
25 корпус 1,Ленинский проспект,663302,69.3505769,88.1975373
15,Надеждинская улица,663340,69.3525551,87.7620204
14,Школьная улица,663340,69.3501749,87.7554242
11,Надеждинская улица,663340,69.3528995,87.7604065
20А,Первомайская улица,663340,69.3531952,87.7500992
12А,улица Строителей,663330,69.4842341,88.3989347
12,Ленинский проспект,663305,69.3452121,88.2089083
52,Югославская улица,663321,69.3607870,88.3751563
38,Югославская улица,663321,69.3608061,88.3721391
36,Югославская улица,663321,69.3606738,88.3707438
32,Югославская улица,663321,69.3599790,88.3705701
34,Югославская улица,663321,69.3604277,88.3702081
42,Югославская улица,663321,69.3605418,88.3733381
15,улица Первопроходцев,663333,69.4976349,88.3992703
13,улица Победы,663340,69.3496738,87.7647697
8А,Строительная улица,663340,69.3476274,87.7594189
56/1,Первомайская улица,663340,69.3573977,87.7578471
8,Школьная улица,663340,69.3491755,87.7603082
24,Норильская улица,663340,69.3455465,87.7592698
16А,Надеждинская улица,663340,69.3507974,87.7586985
2В,улица 50 лет Октября,663305,69.3401259,88.2031571
2Б,улица 50 лет Октября,663305,69.3404344,88.2022994
12,Солнечный проезд,663302,69.3486623,88.1838262
17,площадь Металлургов,663319,69.3587553,88.1771168
4,Красноярская улица,663319,69.3565332,88.1716639
1Б,улица Орджоникидзе,663319,69.3576702,88.1779582
3/2,Красноярская улица,663319,69.3573070,88.1732562
7,площадь Металлургов,663319,69.3581949,88.1760441
5,Красноярская улица,663319,69.3569660,88.1742033
6,Красноярская улица,663319,69.3563010,88.1736298
3,площадь Металлургов,663319,69.3576494,88.1769429
1,площадь Металлургов,663319,69.3579144,88.1788687
13,площадь Металлургов,663319,69.3589736,88.1754672
1,улица Орджоникидзе,663319,69.3570477,88.1774693
6А,Красноярская улица,663319,69.3558979,88.1727994
6/1,площадь Металлургов,663319,69.3590253,88.1798536
1,улица Орджоникидзе,663319,69.3573095,88.1786236
6/2,площадь Металлургов,663319,69.3591436,88.1786625
8,площадь Металлургов,663319,69.3598956,88.1810593
15,площадь Металлургов,663319,69.3585539,88.1748801
4,Советская улица,663302,69.3475327,88.1970656
20А,Ленинский проспект,663300,69.3484446,88.2051331
6Б,улица Мира,663317,69.3548106,88.1996521
15,улица Орджоникидзе,663318,69.3606208,88.1917320
4,площадь Металлургов,663319,69.3586404,88.1794654
66,улица Нансена,663319,69.3583388,88.1736982
23,площадь Металлургов,663319,69.3610375,88.1783607
17А,площадь Металлургов,663319,69.3585380,88.1763529
23А,Комсомольская улица,663302,69.3460590,88.1959494
15А,Дудинская улица,663332,69.4966981,88.3685457
8,Красноярская улица,663319,69.3560675,88.1756790
52,улица Нансена,663319,69.3551113,88.1707470
5 к2,Строительная улица,663340,69.3475615,87.7563924
3А,площадь Металлургов,663319,69.3575856,88.1750942
2,улица Маслова,663330,69.4865505,88.3909659
