House number,Street name,Postal code,Latitude,Longitude
42А,Шоссейная улица,140011,55.6736736,37.8664039
380Д,Октябрьский проспект,140006,55.6609873,37.9131568
3Б,Московская улица,140011,55.6700086,37.8883861
13А,Юбилейная улица,140011,55.6690941,37.8748631
13А,Юбилейная улица,140011,55.6690745,37.8750187
7,Новорязанское шоссе,140011,55.6699702,37.8716557
30,п/о 3,140003,55.6811754,37.8774496
7,Новорязанское шоссе,140011,55.6699167,37.8710644
2А,Инициативная улица,140000,55.6871656,37.8893539
28/1,проспект Гагарина,140010,55.6923121,37.9171399
64,Октябрьский проспект,140002,55.6873595,37.8732780
64,Октябрьский проспект,140002,55.6872854,37.8731761
123 к3,Октябрьский проспект,140002,55.6865873,37.8773538
16,Смирновская улица,140000,55.6793980,37.8945302
65,3-е Почтовое отделение,140008,55.6830184,37.8656683
62,3-е Почтовое отделение,140008,55.6846433,37.8662345
27,улица Льва Толстого,140013,55.6995508,37.8986994
1 к18,улица 65 лет Победы,140000,55.6853308,37.8879672
3/1,Инициативная улица,140009,55.6854926,37.8928240
241,Октябрьский проспект,140000,55.6755026,37.9068724
14А,улица Льва Толстого,140013,55.7001290,37.8973525
14А,улица Льва Толстого,140013,55.7000602,37.8972251
29А,улица Льва Толстого,140013,55.6981420,37.8995686
21 к2,улица Воинов-Интернационалистов,140013,55.6943459,37.9056383
21 к3,улица Воинов-Интернационалистов,140013,55.6938455,37.9065039
19 к1,Комсомольский проспект,140013,55.6950188,37.9093511
вл112,Октябрьский проспект,140002,55.6851561,37.8783218
47 к2,3-е Почтовое отделение,140003,55.6795107,37.8732490
259 с1,Октябрьский проспект,140000,55.6735992,37.9065514
5,Октябрьский проспект,140102,55.6977320,37.8592201
23Б,Котельнический проезд,140000,55.6642171,37.8933845
6 к2,улица Лётчика Ларюшина,140003,55.6780108,37.8671757
411 с2,Октябрьский проспект,140006,55.6603699,37.9202995
366,Октябрьский проспект,140006,55.6633844,37.9107192
112,проспект Октябрьский,140002,55.6850191,37.8766418
7Б,Инициативная улица,140015,55.6850597,37.8977452
7,Новорязанское шоссе,140011,55.6698671,37.8713020
14,улица Урицкого,140007,55.7002385,37.8919730
14,улица Урицкого,140007,55.7001956,37.8918039
3,улица Урицкого,140007,55.7026954,37.8910641
21 к3,улица Воинов-Интернационалистов,140013,55.6940003,37.9063199
11,улица Воинов-Интернационалистов,140013,55.6954051,37.9044296
15,Комсомольский проспект,140013,55.6935019,37.9068389
23,улица Космонавтов,140006,55.6582484,37.9049791
25,улица Космонавтов,140006,55.6582671,37.9042289
21,улица Космонавтов,140006,55.6582041,37.9058062
19,улица Космонавтов,140006,55.6583320,37.9065352
11,улица Космонавтов,140006,55.6588387,37.9090736
8,Молодёжная улица,140006,55.6583664,37.9122532
384 к2,Октябрьский проспект,140006,55.6595001,37.9123674
6,Молодёжная улица,140006,55.6587117,37.9129393
4,Молодёжная улица,140006,55.6587043,37.9141549
388,Октябрьский проспект,140006,55.6592152,37.9153611
386,Октябрьский проспект,140006,55.6597551,37.9144759
96,3-е Почтовое отделение,140008,55.6812733,37.8628038
94,3-е Почтовое отделение,140008,55.6817405,37.8620272
88,3-е Почтовое отделение,140008,55.6830521,37.8627969
90,3-е Почтовое отделение,140008,55.6825989,37.8635069
92,3-е Почтовое отделение,140008,55.6822605,37.8624741
98,3-е Почтовое отделение,140008,55.6818728,37.8636250
86,3-е Почтовое отделение,140008,55.6830712,37.8643755
84,3-е Почтовое отделение,140008,55.6836629,37.8640237
80,3-е Почтовое отделение,140008,55.6840842,37.8649586
78,3-е Почтовое отделение,140008,55.6845241,37.8637126
76,3-е Почтовое отделение,140008,55.6846525,37.8647341
86 с1,3-е Почтовое отделение,140008,55.6832778,37.8637297
82,3-е Почтовое отделение,140008,55.6837960,37.8631483
70,3-е Почтовое отделение,140008,55.6854228,37.8655517
72,3-е Почтовое отделение,140008,55.6856660,37.8643588
74,3-е Почтовое отделение,140008,55.6851506,37.8641893
66,3-е Почтовое отделение,140003,55.6869418,37.8658281
68,3-е Почтовое отделение,140008,55.6865576,37.8647691
64,3-е Почтовое отделение,140003,55.6862775,37.8663396
62,3-е Почтовое отделение,140008,55.6848292,37.8663806
60,3-е Почтовое отделение,140008,55.6843214,37.8672272
58,3-е Почтовое отделение,140008,55.6837779,37.8681108
56,3-е Почтовое отделение,140008,55.6832347,37.8689560
62А,3-е Почтовое отделение,140008,55.6857023,37.8675409
7,3-е Почтовое отделение,140003,55.6798273,37.8808705
9,3-е Почтовое отделение,140003,55.6797532,37.8819804
5,3-е Почтовое отделение,140003,55.6805069,37.8805421
15,3-е Почтовое отделение,140003,55.6802115,37.8823752
17,3-е Почтовое отделение,140003,55.6809254,37.8809859
11,3-е Почтовое отделение,140003,55.6789810,37.8825893
13,3-е Почтовое отделение,140003,55.6795460,37.8836283
38,3-е Почтовое отделение,140003,55.6783849,37.8808152
12,3-е Почтовое отделение,140003,55.6786492,37.8814481
16,3-е Почтовое отделение,140003,55.6781549,37.8818045
18,3-е Почтовое отделение,140003,55.6780291,37.8802525
6,3-е Почтовое отделение,140003,55.6787746,37.8804457
37,3-е Почтовое отделение,140003,55.6777707,37.8797220
3,3-е Почтовое отделение,140003,55.6807292,37.8798577
17,Комсомольский проспект,140013,55.6944477,37.9078913
5,улица Воинов-Интернационалистов,140013,55.6963533,37.9035453
1,3-е Почтовое отделение,140003,55.6811852,37.8791427
59,3-е Почтовое отделение,140008,55.6807040,37.8651491
55,3-е Почтовое отделение,140008,55.6814473,37.8688733
53,3-е Почтовое отделение,140008,55.6816493,37.8703657
30,3-е Почтовое отделение,140003,55.6811388,37.8773094
53А,3-е Почтовое отделение,140008,55.6821677,37.8681610
61 к1,3-е Почтовое отделение,140008,55.6816546,37.8661367
54,3-е Почтовое отделение,140008,55.6831256,37.8703012
42,3-е Почтовое отделение,140003,55.6810699,37.8755999
43,3-е Почтовое отделение,140003,55.6812306,37.8742344
47 к1,3-е Почтовое отделение,140003,55.6802528,37.8734561
49 к1,3-е Почтовое отделение,140003,55.6810103,37.8733584
51,3-е Почтовое отделение,140008,55.6814037,37.8717022
49 к2,3-е Почтовое отделение,140003,55.6804087,37.8748277
50,3-е Почтовое отделение,140008,55.6845438,37.8691071
к28,улица Кирова,140002,55.6843532,37.8733387
к26,улица Кирова,140002,55.6847005,37.8726342
к24,улица Кирова,140002,55.6850352,37.8719364
к22,улица Кирова,140002,55.6853898,37.8712452
к20,улица Кирова,140002,55.6857352,37.8704933
к18,улица Кирова,140002,55.6861115,37.8698069
к16,улица Кирова,140002,55.6864722,37.8690963
к14,улица Кирова,140002,55.6868405,37.8683203
2,3-е Почтовое отделение,140003,55.6795432,37.8780754
4,3-е Почтовое отделение,140003,55.6794618,37.8791909
8,3-е Почтовое отделение,140003,55.6793122,37.8801656
19,3-е Почтовое отделение,140003,55.6786322,37.8779481
10,3-е Почтовое отделение,140003,55.6786381,37.8789954
30,3-е Почтовое отделение,140003,55.6776932,37.8784196
23,3-е Почтовое отделение,140003,55.6780746,37.8789279
28,3-е Почтовое отделение,140003,55.6775071,37.8806522
33А,3-е Почтовое отделение,140003,55.6785804,37.8756477
29,3-е Почтовое отделение,140003,55.6795237,37.8749332
29А,3-е Почтовое отделение,140003,55.6790848,37.8741003
52,3-е Почтовое отделение,140003,55.6824507,37.8776533
50 к1,3-е Почтовое отделение,140008,55.6838283,37.8719516
36,3-е Почтовое отделение,140003,55.6751243,37.8716651
41,3-е Почтовое отделение,140003,55.6757628,37.8703780
40,3-е Почтовое отделение,140003,55.6758648,37.8750700
200,3-е Почтовое отделение,140003,55.6772466,37.8780979
57 к2,3-е Почтовое отделение,140008,55.6811258,37.8676059
57 к1,3-е Почтовое отделение,140008,55.6809447,37.8667565
21,3-е Почтовое отделение,140003,55.6784583,37.8768512
33,3-е Почтовое отделение,140003,55.6781031,37.8760210
14,3-е Почтовое отделение,140003,55.6776350,37.8772417
31,3-е Почтовое отделение,140003,55.6772341,37.8761260
26,3-е Почтовое отделение,140003,55.6778996,37.8750912
25,3-е Почтовое отделение,140003,55.6764367,37.8761959
24,3-е Почтовое отделение,140003,55.6765705,37.8769548
27А,3-е Почтовое отделение,140003,55.6766903,37.8778899
22,3-е Почтовое отделение,140003,55.6770167,37.8788084
20,3-е Почтовое отделение,140003,55.6770966,37.8795573
27,3-е Почтовое отделение,140003,55.6772706,37.8772349
39А,3-е Почтовое отделение,140003,55.6762340,37.8708085
39,3-е Почтовое отделение,140003,55.6760314,37.8722061
35,3-е Почтовое отделение,140003,55.6764171,37.8734738
34,3-е Почтовое отделение,140003,55.6768607,37.8749418
50 к2,3-е Почтовое отделение,140008,55.6824910,37.8719205
к9,3-е Почтовое отделение,140003,55.6824874,37.8733076
29А,3-е Почтовое отделение,140003,55.6823838,37.8741057
29Б,3-е Почтовое отделение,140003,55.6814116,37.8761911
16А,3-е Почтовое отделение,140003,55.6776720,37.8810383
47 кА,3-е Почтовое отделение,140003,55.6801433,37.8723355
59А,3-е Почтовое отделение,140008,55.6799001,37.8648647
27,Юбилейная улица,140011,55.6731224,37.8663762
65,3-е Почтовое отделение,140008,55.6827378,37.8655684
100,3-е Почтовое отделение,140008,55.6837194,37.8658786
69,3-е Почтовое отделение,140008,55.6833346,37.8670204
