House number,Street name,Postal code,Latitude,Longitude
32,Лётная улица,141021,55.9071260,37.7184053
2,Шараповский проезд,141006,55.9165466,37.7589156
33,улица Селезнёва,141014,55.8920286,37.7281161
13,улица Коминтерна,141009,55.9189366,37.7731075
23,улица Семашко,141014,55.8915527,37.7258719
5,1-й Рупасовский переулок,141006,55.9262051,37.7512045
16А,улица Борисовка,141021,55.9148575,37.7128153
4,Октябрьский проспект,141014,55.9018460,37.7401600
25,3-я Крестьянская улица,141014,55.8921246,37.7140542
с2,Пионерская улица,141033,55.9803575,37.7453999
24,2-я Институтская улица,141005,55.9301116,37.7947481
6 к3,Фабричная улица,141033,55.9807189,37.7424507
23,Олимпийский проспект,141006,55.9252771,37.7529985
22,Трудовая улица,141014,55.8921178,37.7118082
40 к1,Лётная улица,141021,55.9036191,37.7117236
2Б,улица Белобородова,141006,55.9219370,37.7491781
4,Фуражный проезд,141006,55.8923406,37.7508298
17,3-я Новая улица,141017,55.9449333,37.7879363
51,улица Мира,141008,55.9196376,37.7093558
19/1,Олимпийский проспект,141006,55.9234847,37.7571377
2,Шараповский проезд,141006,55.9170286,37.7585671
2,Шараповский проезд,141006,55.9167280,37.7594477
51,улица Мира,141008,55.9196912,37.7088077
19,Тенистый бульвар,141032,55.9575449,37.6838719
вл2,Шараповский проезд,141006,55.9169892,37.7587077
16,улица Воронина,141006,55.9255419,37.7696514
25Г,Коммунистическая улица,140152,55.8825874,37.7331467
29А,Олимпийский проспект,141006,55.9308673,37.7509889
15/20,Лётная улица,141008,55.9126167,37.7278324
вл47 к2,Новомытищинский проспект,141018,55.8979069,37.7235988
5,Юбилейная улица,141008,55.9146114,37.7215344
5,улица Колонцова,141009,55.9142937,37.7634633
32/2,улица Мира,141008,55.9207166,37.7202141
33,улица Селезнёва,141014,55.8920010,37.7273735
33,улица Селезнёва,141014,55.8919507,37.7279095
13,улица Селезнёва,141014,55.8919674,37.7274159
1,Коммунистическая улица,141006,55.8917177,37.7487396
с32/2,улица Мира,141008,55.9219385,37.7172479
1А,улица Терешковой,141018,55.9044616,37.7331048
1,Коммунистическая улица,141011,55.8918184,37.7485517
35,улица Семашко,141014,55.8918363,37.7261561
35,улица Семашко,141014,55.8918311,37.7261700
