House number,Street name,Postal code,Latitude,Longitude
55,Можайское шоссе,143002,55.6729110,37.2707415
36,улица Маршала Жукова,143003,55.6820328,37.2696088
122,Можайское шоссе,143005,55.6858508,37.3062270
153Г,Можайское шоссе,143005,55.6862902,37.3043520
122,Можайское шоссе,143005,55.6861118,37.3076406
38Б,1-я Вокзальная улица,143007,55.6767675,37.2849166
5,Транспортный проезд,143000,55.6656912,37.2790109
49А,улица Ракетчиков,143006,55.6550840,37.2728120
62,улица Чистяковой,143001,55.7046571,37.3214536
33,Кутузовская улица,143005,55.7071373,37.3271738
46,Молодёжная улица,143007,55.6772334,37.2715412
119Б,Можайское шоссе,143005,55.6813736,37.2897568
10,Каштановая улица,143006,55.6541870,37.2709403
10,Белорусская улица,143006,55.6604635,37.2996851
2,Белорусская улица,143006,55.6638436,37.3008756
9Б,Комсомольская улица,143006,55.6667213,37.2923698
20,Советская улица,143007,55.6742596,37.2773194
5 корпус 3,Северная улица,143009,55.6812374,37.2448722
6,улица Маршала Неделина,143002,55.6784371,37.2682175
9,Советская улица,143007,55.6735096,37.2769595
2,улица Чикина,143000,55.6845091,37.2945917
147А,Можайское шоссе,143005,55.6852526,37.2990108
8,улица Чистяковой,143001,55.6939369,37.3276867
34,Можайское шоссе,143007,55.6764629,37.2837490
1А,бульвар Маршала Крылова,143005,55.6865416,37.2939743
1 с2,улица Маршала Бирюзова,143003,55.6877032,37.2613249
16,Молодёжная улица,143002,55.6735218,37.2590630
36Б,Молодёжная улица,143002,55.6745774,37.2652242
29 к1,Можайское шоссе,143005,55.6706951,37.2637041
10,улица Говорова,143000,55.6844895,37.2860639
1,Привокзальная площадь,143005,55.6721790,37.2814950
2,Привокзальная площадь,143007,55.6715631,37.2803682
1,улица Чистяковой,143001,55.6951894,37.3252935
31,Вокзальная улица,143011,55.6800602,37.2910409
62,Можайское шоссе,143000,55.6801868,37.2899704
41,1-я Вокзальная улица,143007,55.6774632,37.2877650
47,1-я Вокзальная улица,143007,55.6778865,37.2886893
45,1-я Вокзальная улица,143007,55.6781170,37.2882314
43,1-я Вокзальная улица,143007,55.6777424,37.2875062
53,1-я Вокзальная улица,143007,55.6781690,37.2891220
8 с23,Транспортная улица,143006,55.6748167,37.2975904
10,Транспортная улица,143006,55.6755659,37.2982560
28А,Сосновая улица,143006,55.6644697,37.2919567
25,Верхне-Пролетарская улица,143006,55.6660588,37.2863094
9,Комсомольская улица,143006,55.6672201,37.2929830
28,Сосновая улица,143006,55.6650793,37.2921188
26,Сосновая улица,143006,55.6652071,37.2939329
34,Сосновая улица,143006,55.6629538,37.2910667
10,Восточная улица,143006,55.6710137,37.3042470
13,улица Маршала Неделина,143001,55.6761781,37.2690910
5,Советская улица,143007,55.6724396,37.2781624
2 с28,Полевая улица,143000,55.6586738,37.2488649
139,Новая улица,143002,55.6656311,37.2315797
1 с4,Транспортный проезд,143005,55.6669927,37.2725454
3,Транспортный проезд,143006,55.6669269,37.2789861
10/1,бульвар Любы Новосёловой,143009,55.6804103,37.2562209
5,Молодёжная улица,143003,55.6743639,37.2575105
35,Северная улица,143009,55.6855300,37.2550610
13Б,Можайское шоссе,143002,55.6701320,37.2604807
9А,улица Маршала Неделина,143002,55.6743943,37.2713596
3А,улица Чикина,143005,55.6844099,37.2926924
26А,улица Говорова,143005,55.6879423,37.2951320
25,бульвар Маршала Крылова,143005,55.6884125,37.3011183
38Б,Можайское шоссе,143007,55.6768900,37.2847397
45А,Вокзальная улица,143011,55.6786034,37.2881823
