House number,Street name,Postal code,Latitude,Longitude
72,улица Михалевича,140101,55.5587485,38.2547945
53,улица Михалевича,140100,55.5585501,38.2574377
31,улица Михалевича,140101,55.5646107,38.2381455
72Д,улица Михалевича,140101,55.5587877,38.2546000
72Д,улица Михалевича,140101,55.5589894,38.2537958
72Д,улица Михалевича,140101,55.5588838,38.2541041
14,Советская улица,140108,55.5666972,38.2284912
39А,улица Куйбышева,140104,55.5647369,38.2004367
13А,Красноармейская улица,140109,55.5726372,38.2327335
19,Красноармейская улица,140109,55.5720711,38.2393459
6,Красноармейская улица,140109,55.5713776,38.2313922
3/1,улица Воровского,140105,55.5714758,38.2130584
22,Московская улица,140104,55.5677639,38.2133731
21,Народная улица,140105,55.5843673,38.2016515
4Б,Красноармейская улица,140109,55.5711048,38.2302608
4А,Красноармейская улица,140109,55.5705267,38.2298195
131,улица Михалевича,140100,55.5610028,38.2598337
18/1,улица Махова,140105,55.5778967,38.2178591
62,Москворецкая улица,140100,55.5561649,38.2094919
22,Высоковольтная улица,140104,55.5736326,38.2029230
14,Советская улица,140108,55.5668166,38.2286068
14,Советская улица,140108,55.5662902,38.2289063
14,Советская улица,140108,55.5664030,38.2289125
4,Крымская улица,140103,55.5734527,38.2529757
18А,улица Королёва,140100,55.5895200,38.1976464
5,улица Карла Маркса,140105,55.5690196,38.2225149
132,улица Михалевича,140101,55.5590334,38.2513622
2,Красноармейская улица,140109,55.5703277,38.2290748
10,Красноармейская улица,140108,55.5700089,38.2299708
10,Красноармейская улица,140108,55.5698662,38.2310925
12,Красноармейская улица,140108,55.5703072,38.2321509
17,Советская улица,140108,55.5686388,38.2279299
36А,Советская улица,140108,55.5688107,38.2289185
3,улица Михалевича,140108,55.5681694,38.2293928
36,Советская улица,140108,55.5694463,38.2287513
8,улица Карла Маркса,140108,55.5699336,38.2277908
5А,улица Михалевича,140108,55.5680888,38.2318707
28,улица Гурьева,140108,55.5686161,38.2326008
19,Советская улица,140108,55.5693944,38.2280937
5,улица Михалевича,140108,55.5682365,38.2311604
18,улица Гурьева,140109,55.5708717,38.2332304
16/1,улица Гурьева,140109,55.5708508,38.2338899
16,улица Гурьева,140109,55.5708382,38.2345730
14,улица Гурьева,140109,55.5702996,38.2354493
8,Красноармейская улица,140109,55.5714590,38.2323436
2,Первомайская улица,140108,55.5716307,38.2296420
6,улица Карла Маркса,140108,55.5694133,38.2267597
14,Красноармейская улица,140109,55.5718155,38.2337869
4,Красноармейская улица,140109,55.5706580,38.2308367
6,Красноармейская улица,140109,55.5711727,38.2314716
4А,Красноармейская улица,140109,55.5706748,38.2297394
4Б,Красноармейская улица,140109,55.5710842,38.2305174
24,улица Гурьева,140108,55.5684354,38.2339882
20,улица Гурьева,140108,55.5689511,38.2353380
26,улица Гурьева,140108,55.5676520,38.2352597
27,улица Михалевича,140108,55.5669506,38.2333416
12,улица Гурьева,140109,55.5700966,38.2365065
11,улица Гурьева,140109,55.5711718,38.2383719
13,улица Гурьева,140109,55.5702633,38.2383176
18,Красноармейская улица,140109,55.5711382,38.2390460
22,улица Гурьева,140108,55.5688829,38.2339395
16,Красноармейская улица,140109,55.5716743,38.2358303
16,Красноармейская улица,140109,55.5714603,38.2366756
10,улица Гурьева,140109,55.5708664,38.2369223
12А,улица Гурьева,140109,55.5701172,38.2371095
1А,улица Михалевича,140108,55.5683639,38.2267248
1Б,улица Михалевича,140108,55.5681114,38.2276453
20,улица Михалевича,140108,55.5653596,38.2327985
7,Железнодорожный проезд,140108,55.5654684,38.2297334
5,Железнодорожный проезд,140108,55.5657037,38.2290388
11,Железнодорожный проезд,140108,55.5650284,38.2308710
9,Железнодорожный проезд,140108,55.5652043,38.2302967
12/1,улица Михалевича,140108,55.5659802,38.2305329
14/1,улица Михалевича,140108,55.5658184,38.2313342
16/1,улица Михалевича,140108,55.5656702,38.2321370
16,улица Михалевича,140108,55.5660663,38.2329308
18А,улица Михалевича,140108,55.5659630,38.2336909
18/1,улица Михалевича,140108,55.5655625,38.2338634
13,улица Михалевича,140108,55.5648343,38.2330311
13,Железнодорожный проезд,140108,55.5646481,38.2319079
8А,улица Михалевича,140108,55.5664680,38.2297628
8,улица Михалевича,140108,55.5670544,38.2298459
10,улица Михалевича,140108,55.5669226,38.2308690
12,улица Михалевича,140108,55.5667132,38.2316030
14,улица Михалевича,140108,55.5663720,38.2322844
2,Советская улица,140102,55.5659485,38.2282654
3А,улица Михалевича,140108,55.5677893,38.2308703
25,улица Михалевича,140108,55.5673310,38.2326704
23,улица Михалевича,140108,55.5676696,38.2319893
4,улица Михалевича,140108,55.5673176,38.2265840
13,Советская улица,140102,55.5674710,38.2275690
14,Советская улица,140102,55.5665453,38.2286110
5,улица Ногина,140108,55.5667335,38.2251955
6,улица Ногина,140108,55.5672070,38.2245271
2,улица Карла Маркса,140100,55.5676834,38.2233876
4,Вокзальная улица,140100,55.5665952,38.2244615
2,улица Михалевича,140108,55.5681050,38.2250513
2,Вокзальная улица,140100,55.5670524,38.2232532
2А,улица Карла Маркса,140100,55.5672725,38.2225752
6,улица Гурьева,140103,55.5735946,38.2376332
15,Красноармейская улица,140109,55.5733318,38.2366442
4,улица Гурьева,140103,55.5743826,38.2377056
7,Красноармейская улица,140109,55.5732464,38.2326913
11,Красноармейская улица,140109,55.5732324,38.2338625
9,Красноармейская улица,140109,55.5735512,38.2333253
15А,Красноармейская улица,140109,55.5722882,38.2371569
8,улица Гурьева,140103,55.5728872,38.2374977
17,Красноармейская улица,140109,55.5724730,38.2362364
13,Красноармейская улица,140109,55.5726138,38.2341689
13А,Красноармейская улица,140109,55.5726909,38.2327941
21,Красноармейская улица,140109,55.5718132,38.2421018
19,Красноармейская улица,140109,55.5720050,38.2400257
9,улица Гурьева,140109,55.5726785,38.2387037
10,Рабочая улица,140101,55.5672723,38.2417627
19,улица Коминтерна,140101,55.5676781,38.2438159
17,улица Коминтерна,140101,55.5678508,38.2432364
21,улица Коминтерна,140101,55.5680075,38.2426535
12,Рабочая улица,140101,55.5681899,38.2420454
11А,улица Коминтерна,140101,55.5656539,38.2410409
10,Рабочая улица,140101,55.5658705,38.2403170
13,улица Коминтерна,140101,55.5662820,38.2425520
15,улица Коминтерна,140101,55.5669832,38.2431823
3,улица Коминтерна,140101,55.5666732,38.2415670
33,улица Михалевича,140101,55.5644599,38.2391947
7,улица Коминтерна,140101,55.5649892,38.2403676
35,улица Михалевича,140101,55.5641338,38.2402922
9,улица Коминтерна,140101,55.5647840,38.2409527
11,улица Коминтерна,140101,55.5654443,38.2417628
1,Рабочая улица,140101,55.5651723,38.2390333
5,Школьная улица,140101,55.5661280,38.2390315
3,Рабочая улица,140101,55.5660864,38.2397617
2А,Рабочая улица,140101,55.5653576,38.2398535
2,Рабочая улица,140101,55.5649963,38.2395100
29,улица Михалевича,140101,55.5659064,38.2363689
4,Школьная улица,140101,55.5655202,38.2375031
7,Школьная улица,140101,55.5663455,38.2383433
31,улица Михалевича,140101,55.5647841,38.2376947
