House number,Street name,Postal code,Latitude,Longitude
30,улица Победы,143968,55.7677065,37.8477173
14 к1,Советская улица,143960,55.7687864,37.8590155
40,проспект Мира,143960,55.7726205,37.8668021
22,улица Октября,143969,55.7531125,37.8694846
12,улица Калинина,143964,55.7538618,37.8566656
57,Юбилейный проспект,143969,55.7537249,37.8818816
8,Транспортный переулок,143960,55.7801592,37.8649099
42,улица Октября,143962,55.7551321,37.8796793
78,Юбилейный проспект,143969,55.7538436,37.8873227
17,улица Некрасова,143968,55.7731806,37.8488460
28,улица Октября,143962,55.7539111,37.8720795
15,Южная улица,143965,55.7467695,37.8635567
10А,Южная улица,143965,55.7464807,37.8627412
6/2,улица Дзержинского,143964,55.7525114,37.8535776
17А,улица Ленина,143964,55.7569193,37.8557853
30,улица Победы,143968,55.7678930,37.8473537
21В,Носовихинское шоссе,143969,55.7476452,37.8735073
23,Носовихинское шоссе,143962,55.7484195,37.8752679
19/10,улица Ленина,143964,55.7574383,37.8559745
2Г,Транспортная улица,143960,55.7747503,37.8674786
2,"МКАД, 2-й километр",143960,55.7642669,37.8449830
10,Новая улица,143964,55.7575199,37.8548867
2,улица Дзержинского,143965,55.7512658,37.8490416
49,Юбилейный проспект,143969,55.7529821,37.8783734
51,Юбилейный проспект,143969,55.7533939,37.8795140
78,Юбилейный проспект,143969,55.7535485,37.8870845
53,Юбилейный проспект,143969,55.7541854,37.8810268
55,Юбилейный проспект,143969,55.7534339,37.8809306
59,Юбилейный проспект,143969,55.7543960,37.8821715
69,Юбилейный проспект,143962,55.7554798,37.8867688
61,Юбилейный проспект,143969,55.7537676,37.8827975
63,Юбилейный проспект,143969,55.7539718,37.8840287
38,улица Октября,143969,55.7544017,37.8778829
42,улица Октября,143969,55.7548729,37.8799726
11,"МКАД, 3-й километр",111555,55.7540520,37.8434985
2,Никольская улица,143960,55.7620431,37.8771497
10,Парковая улица,143964,55.7562547,37.8650079
17,Транспортная улица,143960,55.7664128,37.8825169
27,Носовихинское шоссе,143962,55.7493610,37.8770540
25,Носовихинское шоссе,143965,55.7494487,37.8750434
40,улица Октября,143969,55.7543287,37.8788258
44,улица Октября,143962,55.7553746,37.8817569
48,улица Октября,143962,55.7559341,37.8832589
52,улица Октября,143962,55.7562089,37.8852960
74,Юбилейный проспект,143962,55.7523238,37.8845924
57,Юбилейный проспект,143969,55.7536767,37.8818224
45А,Носовихинское шоссе,143965,55.7523750,37.8853752
40,улица Октября,143969,55.7544159,37.8792405
40,проспект Мира,143960,55.7726114,37.8667083
12 к1,проспект Мира,143960,55.7657121,37.8651540
9,Садовый проезд,143968,55.7697862,37.8533451
45,Юбилейный проспект,143962,55.7533920,37.8759702
20Б,Советская улица,143960,55.7677034,37.8598675
27,Носовихинское шоссе,143962,55.7493610,37.8770540
9 к2,Садовый проезд,143968,55.7701118,37.8542734
31,Транспортная улица,143962,55.7528107,37.8901922
7,Транспортная улица,143960,55.7707405,37.8794714
15,улица Ленина,143964,55.7557443,37.8569447
8,Новая улица,143964,55.7572594,37.8550094
21 к1,Комсомольская улица,143964,55.7563682,37.8501821
9 к1,Садовый проезд,143968,55.7703290,37.8536235
62,Юбилейный проспект,143962,55.7517294,37.8808751
37,Носовихинское шоссе,143962,55.7508217,37.8822734
11,улица Академика Челомея,143962,55.7496350,37.8802844
68,Юбилейный проспект,143962,55.7519074,37.8827675
67,Юбилейный проспект,143962,55.7545978,37.8862429
22,проспект Мира,143960,55.7679117,37.8655986
27,Транспортная улица,143962,55.7567181,37.8880222
29,Транспортная улица,143962,55.7554410,37.8885920
43,Носовихинское шоссе,143962,55.7509983,37.8848697
1,улица Котовского,143965,55.7497856,37.8670217
