House number,Street name,Postal code,Latitude,Longitude
42,Российская улица,142214,54.9311891,37.4409389
15,Осенняя улица,142207,54.9198054,37.4502961
7,проезд Мишина,142200,54.9206964,37.4184909
127,улица Ворошилова,142203,54.9208164,37.4339621
18,площадь Ленина,142200,54.9122563,37.4168692
123,улица Ворошилова,142200,54.9221613,37.4373703
92/15,улица Чехова,142206,54.9053705,37.4226629
2/7,проезд Мишина,142200,54.9177227,37.4247167
18,Физкультурная улица,142205,54.9324245,37.4619625
27,Новая улица,142200,54.9356111,37.4039336
8,Борисовское шоссе,142200,54.9156871,37.4285467
98,Подольская улица,142200,54.9342840,37.4472827
35/13,1-я Московская улица,142200,54.9176547,37.4111796
13/24,1-я Московская улица,142200,54.9155321,37.4140059
35/13,1-я Московская улица,142200,54.9176346,37.4112048
64,улица Чернышевского,142209,54.9093955,37.3827952
96В,Московское шоссе,142204,54.9434553,37.4081816
167А,улица Ворошилова,142214,54.9315299,37.4482371
167,улица Ворошилова,142214,54.9316686,37.4496712
4,Комсомольская улица,142205,54.9273447,37.4621681
165А,улица Ворошилова,142214,54.9309354,37.4488226
165,улица Ворошилова,142214,54.9302158,37.4497150
9/2,улица Фрунзе,142205,54.9297204,37.4583650
3/1А,Северное шоссе,142214,54.9458257,37.4191426
1,Привокзальная площадь,142200,54.9346829,37.4513893
112,Советская улица,142214,54.9313229,37.4459698
87,Советская улица,142200,54.9291516,37.4409463
114,Советская улица,142214,54.9320750,37.4464624
165В,улица Ворошилова,142214,54.9306568,37.4473501
9,улица Фирсова,142214,54.9291044,37.4452712
38,Российская улица,142214,54.9295161,37.4387912
114Б,Советская улица,142214,54.9311848,37.4472404
89А,Советская улица,142200,54.9296813,37.4407617
69,Российская улица,142214,54.9305839,37.4391926
114А,Советская улица,142214,54.9316952,37.4471754
116,Советская улица,142214,54.9324582,37.4476595
110,Советская улица,142214,54.9310676,37.4455203
85А,Советская улица,142200,54.9288545,37.4395473
91,Советская улица,142200,54.9302053,37.4419752
99,Советская улица,14220,54.9317491,37.4435730
40А,Российская улица,142214,54.9307447,37.4408762
163А,улица Ворошилова,142214,54.9302057,37.4482287
