House number,Street name,Postal code,Latitude,Longitude
2 с1,площадь Юности,124482,56.0021743,37.2111493
2 с1,Каштановая аллея,124489,55.9834718,37.2338643
2,Панфиловский проспект,103489,56.0143789,37.2052943
9,Георгиевский проспект,124460,55.9770866,37.2150156
6А,Панфиловский проспект,124460,56.0090278,37.1995244
к900,Солнечная аллея,124575,55.9811725,37.1840374
к931,Панфиловский проспект,124575,55.9829539,37.1797401
2,улица Гоголя,124575,55.9834929,37.1738918
1129,улица Болдов Ручей,124460,55.9971262,37.1794483
14,улица Логвиненко,124617,55.9851690,37.1515099
10 с1,Панфиловский проспект,103489,56.0129935,37.2012315
843,Солнечная аллея,124527,55.9792295,37.1808024
4,Савёлкинский проезд,124482,55.9909256,37.2170254
2 с1,улица Юности,124482,56.0024322,37.2101494
1519,улица Каменка,124683,55.9832537,37.1612142
33 к2,Георгиевский проспект,124365,55.9664949,37.1498881
8,Солнечная аллея,124527,55.9834755,37.2031669
8,улица Юности,124482,55.9990194,37.2238056
532,Никольский проезд,124536,55.9925466,37.2571773
1602А,улица Андреевка,124365,55.9744246,37.1497137
1824,Новокрюковская улица,124365,55.9831250,37.1673621
3,улица 1 Мая,124681,55.9773675,37.1740118
к316,улица Юности,124536,55.9995318,37.2185866
6А,Панфиловский проспект,124460,56.0088512,37.1998159
159,Панфиловский проспект,124460,56.0092155,37.2027950
8,Солнечная аллея,124460,55.9834959,37.2034369
2,Савёлкинский проезд,124482,55.9912796,37.2161516
6,Савёлкинский проезд,124482,55.9911283,37.2181216
3,Солнечная аллея,124527,55.9811537,37.2088327
1 с9,площадь Шокина,124498,55.9826687,37.2043993
к901Б,Солнечная аллея,124575,55.9814210,37.1925909
11,улица Юности,124482,55.9980981,37.2249336
7,улица Юности,124482,55.9982067,37.2235743
9,улица Юности,124482,55.9980883,37.2244616
13,улица Юности,124482,55.9979690,37.2253472
15,улица Юности,124482,55.9978474,37.2262594
к1006А,улица Гоголя,124575,55.9840550,37.1760769
11В,улица Гоголя,124575,55.9862125,37.1718185
1 с6,Никольский проезд,124482,55.9948491,37.2449181
1 с5,Никольский проезд,124482,55.9945375,37.2441892
1 с1,Никольский проезд,124482,55.9952470,37.2437283
1 с3,Никольский проезд,124482,55.9950829,37.2433664
к1446,улица Логвиненко,124617,55.9850615,37.1517279
к1104,Панфиловский проспект,124460,55.9948340,37.1881999
23,Панфиловский проспект,124305,55.9768779,37.1547733
7,проезд № 4801,124460,56.0165594,37.1971621
8 с1,улица Академика Валиева,124460,56.0103041,37.1959997
10,улица Академика Валиева,124460,56.0103007,37.1981114
4,проезд № 4801,124460,56.0172838,37.1970907
4,проезд № 4801,124460,56.0172194,37.1979493
16А,Заводская улица,124681,55.9763918,37.1787364
8 с5,Панфиловский проспект,124460,56.0125723,37.1969392
3,Солнечная аллея,124527,55.9811043,37.2088372
2А,Сосновая аллея,124489,55.9900062,37.2231163
к847,Солнечная аллея,124527,55.9788375,37.1856137
к2309А,Кутузовское шоссе,123465,55.9645723,37.1873291
1А,улица Александровка,124617,55.9905250,37.1540225
9,Георгиевский проспект,124460,55.9770971,37.2150344
6,улица Юности,111395,55.9975476,37.2273144
07,улица Юности,124482,55.9998047,37.2214272
1,Крюковская площадь,124575,55.9826704,37.1749450
к1113,улица Болдов Ручей,124460,55.9989003,37.1862094
к848А,Старокрюковский проезд,124527,55.9777063,37.1859648
33 к1,Георгиевский проспект,124365,55.9679481,37.1523124
33 к3,Георгиевский проспект,124365,55.9672507,37.1535623
33 к2,Георгиевский проспект,124365,55.9673602,37.1523122
33 к4,Георгиевский проспект,124365,55.9670129,37.1546836
35,Георгиевский проспект,124365,55.9692538,37.1517572
33А к1,Георгиевский проспект,124365,55.9641064,37.1552808
к1516,улица Каменка,124683,55.9821157,37.1611113
к934,Солнечная аллея,124575,55.9811241,37.1862101
1 с3,площадь Шокина,124498,55.9826905,37.2073212
1 с7,площадь Шокина,124498,55.9820020,37.2069335
1 с4,площадь Шокина,124498,55.9839660,37.2070901
6,Солнечная аллея,124527,55.9826522,37.2027438
1 с2,площадь Шокина,124498,55.9828908,37.2093650
1 с5,площадь Шокина,124498,55.9843136,37.2088637
1,площадь Шокина,124498,55.9835640,37.2083061
1 с8,площадь Шокина,124498,55.9817003,37.2049650
37Б,Георгиевский проспект,124365,55.9654951,37.1523513
37 к3,Георгиевский проспект,124365,55.9652942,37.1505595
37 к2,Георгиевский проспект,124365,55.9665337,37.1505547
37 к1,Георгиевский проспект,124365,55.9677002,37.1505260
33Б,Георгиевский проспект,124365,55.9661233,37.1541318
33 к5,Георгиевский проспект,124365,55.9661987,37.1560506
33 к6,Георгиевский проспект,124365,55.9650958,37.1554589
33А к3,Георгиевский проспект,124365,55.9638886,37.1525002
33А к4,Георгиевский проспект,124365,55.9641508,37.1518961
33А к2,Георгиевский проспект,124365,55.9640629,37.1542067
