House number,Street name,Postal code,Latitude,Longitude
35Б,улица Ленина,166000,67.6367041,52.9884577
42,улица им. В.И. Ленина,166000,67.6363741,52.9870442
33Б,улица Ленина,166000,67.6361857,52.9915997
17,Оленная улица,166000,67.6427282,52.9962574
42,улица им. В.И. Ленина,166000,67.6366819,52.9852679
48А,улица имени 60-летия Октября,166000,67.6448127,53.0471648
46,улица Ленина,166000,67.6371382,52.9824985
2,улица И.П. Выучейского,166000,67.6464442,52.9953204
14,улица А.П. Пырерко,166000,67.6422679,53.0062077
6,улица В.В. Сущинского,166000,67.6302022,53.0187978
42,улица им. В.И. Ленина,166000,67.6364722,52.9865536
21,улица И.П. Выучейского,166000,67.6428905,52.9996518
3,Студенческая улица,166000,67.6352816,52.9892385
42,улица им. В.И. Ленина,166000,67.6364486,52.9867482
42,улица им. В.И. Ленина,166000,67.6365607,52.9860835
42,улица им. В.И. Ленина,166000,67.6365337,52.9857826
42,улица им. В.И. Ленина,166000,67.6365174,52.9859940
42,улица им. В.И. Ленина,166000,67.6365012,52.9861709
42,улица им. В.И. Ленина,166000,67.6364447,52.9865246
42,улица им. В.И. Ленина,166000,67.6364285,52.9866901
42,улица им. В.И. Ленина,166000,67.6364802,52.9861416
42,улица им. В.И. Ленина,166000,67.6364925,52.9859726
42,улица им. В.И. Ленина,166000,67.6366134,52.9855789
29А,улица им. В.И. Ленина,166000,67.6368623,52.9945367
10,улица имени 60-летия СССР,166000,67.6361021,52.9844977
2,проезд Капитана Матросова,166000,67.6398885,52.9953417
2,проезд Капитана Матросова,166000,67.6398262,52.9953954
5,Полярная улица,166000,67.6440371,52.9988074
5,Полярная улица,166000,67.6440545,52.9989271
5,Полярная улица,166000,67.6440221,52.9986749
5,Полярная улица,166000,67.6439960,52.9985877
"16А, стр 1",улица Авиаторов,166000,67.6328563,53.0165596
"16А, стр 1",улица Авиаторов,166000,67.6327991,53.0166588
"16А, стр 1",улица Авиаторов,166000,67.6326858,53.0162243
9В,улица им. Н.Е. Сапрыгина,166000,67.6458357,52.9947956
4,улица им. В.В. Сущинского,166000,67.6313389,53.0175954
19,улица им. В.И. Ленина,166000,67.6377277,53.0044335
25А,улица им. В.И. Ленина,166000,67.6378585,52.9982757
25А,улица им. В.И. Ленина,166000,67.6376105,52.9985493
25А,улица им. В.И. Ленина,166000,67.6376059,52.9984259
20А,улица Смидовича,166000,67.6400741,53.0039430
21А,улица Ленина,166000,67.6373992,53.0003049
5,Полярная улица,166000,67.6440227,52.9989520
4А,Рабочая улица,166000,67.6420674,53.0440806
6А,улица Рыбников,166000,67.6397206,52.9821497
20,Рабочая улица,166000,67.6389951,53.0510178
15,Октябрьская улица,166000,67.6350096,52.9986679
24,Южная улица,166000,67.6329311,53.0023549
43Б,Южная улица,166000,67.6315730,53.0089794
52Б,улица Ленина,166000,67.6367935,52.9775641
16А,Южная улица,166000,67.6322662,52.9958496
39А,Рабочая улица,166000,67.6394657,53.0599628
3,улица имени С.Н.Явтысого,166000,67.6313827,53.0018498
12,улица Меньшикова,166000,67.6349926,52.9791968
3Б,Строительная улица,166000,67.6434373,53.0481123
4,улица имени 60-летия Октября,166000,67.6363408,53.0351522
23,улица им. В.И. Ленина,166000,67.6379349,53.0019404
22,Ноябрьский проезд,166000,67.6382702,53.0509722
14,улица имени 60-летия Октября,166000,67.6376009,53.0370092
35А,улица Ленина,166000,67.6366790,52.9893346
29,улица Ленина,166000,67.6391227,52.9962577
28,Пионерская улица,166000,67.6317626,53.0055223
7,улица Ленина,166000,67.6383917,53.0098761
43,Южная улица,166000,67.6319084,53.0097591
3,улица имени 60-летия СССР,166000,67.6349784,52.9822116
35,улица имени 60-летия Октября,166000,67.6414039,53.0402719
35,Южная улица,166000,67.6331064,53.0075334
