House number,Street name,Postal code,Latitude,Longitude
1,площадь Дзержинского,606000,56.2378612,43.4603002
16,улица Революции,606024,56.2478176,43.4567686
32А,Студенческая улица,606016,56.2433569,43.4893741
117Е,проспект Ленина,606016,56.2413370,43.4987683
18/39,улица Петрищева,606000,56.2314000,43.4114652
22,улица Строителей,606034,56.2313487,43.3922651
44,проспект Ленина,606023,56.2411798,43.4466979
10А,улица Петрищева,606037,56.2338524,43.4241867
49,проспект Ленина,606023,56.2414804,43.4473216
49А,проспект Ленина,606023,56.2417982,43.4494461
44,проспект Ленина,606023,56.2414607,43.4459305
49,проспект Ленина,606023,56.2417704,43.4466143
49,проспект Ленина,606023,56.2415586,43.4471239
49,проспект Ленина,606023,56.2407710,43.4496263
49,проспект Ленина,606023,56.2407878,43.4495613
49,проспект Ленина,606023,56.2408721,43.4492859
49,проспект Ленина,606023,56.2409208,43.4491465
49,проспект Ленина,606023,56.2409401,43.4490814
49,проспект Ленина,606023,56.2409744,43.4489859
9А,улица Бутлерова,606023,56.2424698,43.4505492
10,улица Урицкого,606008,56.2325463,43.4563047
18/39,улица Петрищева,606029,56.2315536,43.4114231
66,проспект Ленина,606000,56.2369384,43.4625500
61,улица Гайдара,606029,56.2331678,43.4363328
1,Молодёжная улица,606036,56.2516284,43.4477904
11А,улица Рудольфа Удриса,606031,56.2222155,43.4086974
11В,улица Рудольфа Удриса,606031,56.2224180,43.4100946
7Г,улица Рудольфа Удриса,606031,56.2240452,43.4093309
59,улица Гайдара,606029,56.2348362,43.4363900
4,улица Рудольфа Удриса,606031,56.2249671,43.4058440
1,улица Галкина,606034,56.2303645,43.4097005
7,улица Рудольфа Удриса,606031,56.2237467,43.4081824
7В,улица Рудольфа Удриса,606031,56.2241892,43.4080096
29А,улица Комбрига Патоличева,606039,56.2308103,43.3856959
31Б,улица Комбрига Патоличева,606039,56.2310766,43.3838108
74,улица Гайдара,606025,56.2301112,43.4409585
18,проспект Циолковского,606025,56.2349208,43.4462592
5А,Советская улица,606007,56.2551570,43.4614481
11А,Советская улица,606036,56.2557183,43.4553490
8,Новомосковская улица,606007,56.2545678,43.4679640
10,Новомосковская улица,606007,56.2549310,43.4690705
14А,Новомосковская улица,606007,56.2533599,43.4699075
20,Новомосковская улица,606007,56.2545182,43.4736490
28А,Новомосковская улица,606007,56.2529146,43.4772218
32А,Новомосковская улица,606007,56.2527610,43.4788765
6Е,улица Матросова,606007,56.2505332,43.4768912
26,Новомосковская улица,606007,56.2542318,43.4762309
30,Новомосковская улица,606007,56.2536943,43.4778981
28,Новомосковская улица,606007,56.2537642,43.4770638
