House number,Street name,Postal code,Latitude,Longitude
39,улица Чкалова,655017,53.7276917,91.4508209
118,улица Дзержинского,655017,53.7172090,91.4302383
120,улица Дзержинского,655017,53.7171729,91.4298823
126,улица Дзержинского,655017,53.7171230,91.4293942
128,улица Дзержинского,655017,53.7170876,91.4290598
135,Хакасская улица,655017,53.7179915,91.4295517
216,улица Чертыгашева,655017,53.7235406,91.4250621
206,улица Богдана Хмельницкого,655017,53.7250059,91.4268717
208,улица Богдана Хмельницкого,655017,53.7249679,91.4266415
71/192,улица Ленинского Комсомола,655017,53.7252905,91.4289671
73,улица Ленинского Комсомола,655017,53.7256002,91.4287846
148,улица Тараса Шевченко,655003,53.7351383,91.4532301
194,улица Чертыгашева,655017,53.7240247,91.4284461
198,улица Чертыгашева,655017,53.7239593,91.4278461
202,улица Чертыгашева,655017,53.7239268,91.4274788
206,улица Чертыгашева,655017,53.7238898,91.4270708
227,улица Богдана Хмельницкого,655017,53.7245142,91.4286322
64,Трудовая улица,655017,53.7242140,91.4266855
188,улица Богдана Хмельницкого,655017,53.7252414,91.4302175
190,улица Богдана Хмельницкого,655017,53.7251834,91.4298213
19А,улица Итыгина,655004,53.7255049,91.4004442
19В,улица Итыгина,655004,53.7247258,91.3996098
23Б,улица Итыгина,655004,53.7270332,91.4008231
31,улица Итыгина,655004,53.7303244,91.4029657
33,улица Итыгина,655004,53.7299300,91.4018230
10А,улица Итыгина,655004,53.7181266,91.4033404
22В,улица Итыгина,655004,53.7216299,91.4038661
26Е,улица Итыгина,655004,53.7224386,91.4059064
287А,улица Богдана Хмельницкого,655004,53.7224231,91.4083168
63,улица Карла Маркса,655017,53.7296967,91.4370474
112 к1 оф127Н,улица Кирова,655017,53.7280510,91.4377704
6,Красноярская улица,655012,53.7170220,91.4783040
26,Хакасская улица,655012,53.7221874,91.4639994
6А,Красноярская улица,655012,53.7170296,91.4762421
62,Хакасская улица,655017,53.7205369,91.4476530
58,улица Ивана Ярыгина,655001,53.7289862,91.4314866
39,улица Гагарина,655017,53.7091915,91.4294455
67,проспект Ленина,655019,53.7216753,91.4425056
12,улица Стофато,655009,53.6987575,91.4030997
14,улица Стофато,655009,53.6988810,91.4004642
14А,улица Стофато,655009,53.6989291,91.3999275
3,улица Кошурникова,655011,53.7068395,91.4033050
63,улица Карла Маркса,655017,53.7299644,91.4372505
65Г,улица Мира,665009,53.6999496,91.4322817
30,Торговая улица,655010,53.7437877,91.4294884
30,Торговая улица,655010,53.7439423,91.4295952
143,улица Павших Коммунаров,655018,53.7101901,91.4447846
143,улица Павших Коммунаров,655018,53.7101909,91.4447994
6,улица Комарова,655010,53.7391813,91.4394381
