House number,Street name,Postal code,Latitude,Longitude
2Д,улица Бабушкина,347909,47.2494320,38.9350906
45,Комсомольский бульвар,347922,47.2075908,38.9441675
17,Александровская улица,347922,47.2080742,38.9344819
69-1,улица Ломоносова,347932,47.2306237,38.8762668
2-1,Сенной переулок,347905,47.2218487,38.9219407
303 к1,улица Чехова,347927,47.2223581,38.8812164
39/1,Поляковское шоссе,347939,47.2112743,38.8634269
30,улица Чучева,347939,47.2163541,38.8650251
337,улица Чехова,347939,47.2202480,38.8659922
230,улица Чехова,347930,47.2205644,38.8914413
109,Александровская улица,347900,47.2178109,38.9126153
27,улица Ломакина,347900,47.2003194,38.9142002
12,улица Фрунзе,37900,47.2108956,38.9335252
73,Греческая улица,347900,47.2122244,38.9375807
335,улица Чехова,347939,47.2207545,38.8677818
76,Греческая улица,347900,47.2143172,38.9344238
38,улица Фрунзе,347900,47.2141118,38.9283558
171,улица Дзержинского,347924,47.2584636,38.9176068
4,Итальянский переулок,347900,47.2135980,38.9330133
7,Итальянский переулок,347900,47.2128801,38.9321255
50Д,Мариупольское шоссе,347939,47.2239098,38.8360427
19,Инструментальная улица,347923,47.2021231,38.8909969
301,улица Чехова,347900,47.2224363,38.8823137
19Б,улица Щаденко,347909,47.2617799,38.9324625
4,улица Москатова,347928,47.2632782,38.9198805
18,Театральная улица,347913,47.2330254,38.8801339
69,Петровская улица,347900,47.2148747,38.9296165
21,Украинский переулок,347922,47.2088414,38.9349435
120-5,улица Чехова,347900,47.2141287,38.9156010
120-5,улица Чехова,347900,47.2145832,38.9160022
11,Кузнечная улица,347900,47.2150184,38.9148466
35,переулок Антона Глушко,347900,47.2091862,38.9233147
98,улица Чехова,347900,47.2115307,38.9224104
53,улица Осипенко,347905,47.2380772,38.9213857
53,улица Осипенко,347905,47.2384464,38.9214642
4,Заводская улица,347905,47.2398637,38.9187678
4,Заводская улица,347905,47.2398662,38.9184518
51/1,улица Осипенко,347905,47.2371154,38.9210349
44,Петровская улица,347922,47.2100096,38.9377806
94В,улица Ломоносова,347916,47.2337175,38.8767996
84В,улица Ломоносова,347916,47.2341801,38.8768291
96,улица Ломоносова,347916,47.2343702,38.8769638
96,улица Ломоносова,347916,47.2344563,38.8769667
