House number,Street name,Postal code,Latitude,Longitude
52А,проспект Кирова,357500,44.0364343,43.0715820
30,улица Мира,357502,44.0412190,43.0651472
45,улица Дзержинского,357500,44.0380885,43.0748060
2,улица Юлиуса Фучика,357524,44.0573064,43.0593480
51,улица Дзержинского,357503,44.0354605,43.0755670
43,улица Крайнего,357500,44.0405936,43.0711172
46,проспект Кирова,357500,44.0365021,43.0731862
3,улица Мира,357500,44.0411270,43.0702696
3,улица Карла Маркса,357501,44.0379251,43.0792479
56Б,проспект 40 лет Октября,357528,44.0418494,43.0640091
5/1,Октябрьская улица,357500,44.0374624,43.0739216
34,Бештаугорское шоссе,357528,44.0594825,43.0363195
6,Кавказская улица,357500,44.0464458,43.0610011
54,проспект Кирова,357500,44.0363311,43.0710324
2,Соборная улица,357501,44.0354266,43.0788327
1А,Суворовский проезд,357500,44.0534174,42.9954355
100,улица Восстания,357538,44.0518494,43.0427628
2В,проспект Калинина,357532,44.0599373,43.0700003
18,проспект Кирова,357501,44.0376360,43.0836393
101,Московская улица,357500,44.0616722,43.0597229
89А,проспект 40 лет Октября,357502,44.0375175,43.0652809
7,Щёлковское шоссе,105122,44.0371928,43.0743081
37 с1,Кисловодское шоссе,357528,44.0572395,42.9660797
73,проспект 40 лет Октября,357500,44.0414507,43.0644408
8,Беговая улица,357538,44.0521280,43.0033012
3,улица Мира,357500,44.0411601,43.0701065
31А,Ессентукская улица,357538,44.0510805,43.0337014
106,Широкая улица,357538,44.0567982,43.0450022
46/6,улица Ермолова,357500,44.0523288,42.9973174
45А,1-я Бульварная улица,357524,44.0526658,43.0576940
11 к2,проспект Калинина,357500,44.0523924,43.0674124
38,улица Пастухова,357502,44.0443252,43.0648097
36А,Университетская улица,357500,44.0379181,43.0577849
34,Университетская улица,357500,44.0378438,43.0588750
2,площадь Ленина,357500,44.0398295,43.0698548
46,улица Ермолова,357500,44.0513895,43.0001750
31,улица Адмиральского,357500,44.0542909,43.0438670
35,Университетская улица,357500,44.0376182,43.0628976
46/6,улица Ермолова,357500,44.0523288,42.9973174
48/1,улица Ермолова,357500,44.0525761,42.9966250
46,проспект Кирова,357500,44.0365010,43.0731803
84,проспект Кирова,357500,44.0359057,43.0589794
64,Октябрьская улица,357500,44.0367673,43.0580338
66,Октябрьская улица,357500,44.0367200,43.0576063
60А,Октябрьская улица,357500,44.0367491,43.0586112
58,Октябрьская улица,357500,44.0368074,43.0593307
70А,проспект Кирова,357502,44.0361484,43.0661444
39А,Октябрьская улица,357502,44.0367929,43.0654397
56,Октябрьская улица,357500,44.0368359,43.0596879
47,Октябрьская улица,357500,44.0363107,43.0589723
68,Октябрьская улица,357500,44.0367092,43.0573009
74,Октябрьская улица,357500,44.0366835,43.0564690
93А,проспект 40 лет Октября,357500,44.0366141,43.0647406
70,проспект Кирова,357502,44.0361971,43.0658417
41,Октябрьская улица,357502,44.0366666,43.0650480
72,Октябрьская улица,357500,44.0367094,43.0569078
4,проспект Горького,357500,44.0372133,43.0586113
43,Университетская улица,357500,44.0374779,43.0604567
43А,Университетская улица,357500,44.0374714,43.0607564
45,Университетская улица,357500,44.0374891,43.0600679
84/8,проспект Кирова,357500,44.0361124,43.0590708
60,Октябрьская улица,357500,44.0368073,43.0589554
41,Университетская улица,357500,44.0373682,43.0612806
47,Университетская улица,357500,44.0372931,43.0595185
