House number,Street name,Postal code,Latitude,Longitude
6,проспект Карла Маркса,355008,45.0517189,41.9925456
46,проспект Карла Маркса,355006,45.0493782,41.9854112
367/20,улица Мира,355003,45.0351314,41.9461507
112,улица Дзержинского,355000,45.0445252,41.9718757
41А,3-я Промышленная улица,355035,45.0613104,41.9094567
50,улица Горького,355006,45.0509685,41.9831119
7,улица Маршала Жукова,355035,45.0418489,41.9687910
183,улица Лермонтова,355004,45.0353050,41.9710461
456А,улица Мира,355029,45.0336713,41.9337035
1,Социалистическая улица,355029,45.0347707,41.9352138
39,улица Достоевского,355012,45.0390051,42.0023306
361,улица Ленина,355035,45.0372436,41.9420729
108,улица Ленина,355012,45.0425862,41.9930245
75,улица Ленина,355012,45.0427628,41.9944729
73,Комсомольская улица,355035,45.0425716,41.9824291
13,проспект Карла Маркса,355008,45.0523489,41.9925204
188,улица Лермонтова,355002,45.0345962,41.9684330
65Б,улица Бурмистрова,355007,45.0632976,41.9816003
28/2А,проспект Юности,355044,45.0608173,41.9333221
49,улица Васильева,355044,45.0591453,41.9330154
38Б,улица Пирогова,355045,45.0068388,41.9157272
38Б,улица Пирогова,355045,45.0067817,41.9159437
56,улица Пирогова,355045,45.0055579,41.9164391
34А,улица Руставели,355018,45.0580196,41.9489783
28,Вокзальная улица,355008,45.0571273,41.9979054
24,Вокзальная улица,355008,45.0559721,41.9979828
14 кБ,улица 50 лет ВЛКСМ,355040,45.0166245,41.9262848
21,улица Голенева,355006,45.0521306,41.9812194
14,улица Михаила Морозова,355017,45.0409963,41.9603263
2 «з»,Буйнакского 2 «з»,355001,45.0662451,41.9327966
2,улица Абрамовой,355002,45.0242647,41.9625248
53,проспект Карла Маркса,355006,45.0502564,41.9851517
53,проспект Карла Маркса,355006,45.0501969,41.9855123
2,Михайловское шоссе,355035,45.0620029,41.9973756
10А,Советская улица,355035,45.0460815,41.9707718
93,проспект Карла Маркса,355035,45.0467107,41.9713887
1,бульвар Генерала Ермолова,355035,45.0468277,41.9739081
11,улица Булкина,355035,45.0458998,41.9669330
11,Заводская улица,355008,45.0520657,42.0060527
42,Старомарьевское шоссе,355035,45.0560473,42.0498949
13,Заводская улица,355008,45.0518159,42.0058519
68,Астраханский переулок,355001,45.0605054,41.9565114
19А к1,Можайский переулок,355018,45.0580801,41.9458870
19А к1,Можайский переулок,355018,45.0580288,41.9459245
19А к1,Можайский переулок,355018,45.0580450,41.9458949
44,Можайский переулок,355018,45.0593330,41.9470469
31,Азовская улица,355018,45.0593268,41.9431876
41,переулок Буйнакского,355035,45.0678744,41.9370027
4/3,переулок Буйнакского,355035,45.0660505,41.9347259
127,улица Лазо,355018,45.0669884,41.9411364
1,переулок Шеболдаева,355044,45.0596908,41.9302636
5,улица Бруснева,355047,45.0643721,41.9275714
19,Широкая улица,355013,45.0366448,42.0183910
79,улица Бурмистрова,355007,45.0643357,41.9837550
484А,улица Ленина,355029,45.0381588,41.9057093
71/5,улица Трунова,355007,45.0673919,41.9831620
71/2,улица Трунова,355007,45.0667071,41.9832641
71/2,улица Трунова,355007,45.0668072,41.9835660
71/2,улица Трунова,355007,45.0667594,41.9830916
54,Октябрьская улица,355001,45.0593051,41.9628029
7,Народная улица,355001,45.0587820,41.9624109
101,Октябрьская улица,355001,45.0599802,41.9572011
101А,Октябрьская улица,355001,45.0600619,41.9569890
101А,Октябрьская улица,355001,45.0600388,41.9569190
107А,Октябрьская улица,355001,45.0603291,41.9560643
123,Октябрьская улица,355001,45.0610453,41.9545681
54,улица Попова,355001,45.0606624,41.9531038
54/1,улица Попова,355001,45.0609279,41.9528604
7/1,Ровный проезд,355018,45.0580300,41.9527828
31/1,улица Попова,355018,45.0580558,41.9502019
36А,улица Руставели,355018,45.0595428,41.9468284
8,улица Булкина,355035,45.0448701,41.9675801
1,площадь Ленина,355035,45.0435944,41.9678205
1,площадь Ленина,355035,45.0427324,41.9679807
114,улица Дзержинского,355035,45.0441648,41.9710063
102,улица Дзержинского,355035,45.0447178,41.9745618
200,улица Ленина,355012,45.0411262,41.9846648
58А,Комсомольская улица,355035,45.0417314,41.9848630
51,Комсомольская улица,355012,45.0430864,41.9877567
6,улица Спартака,355035,45.0438614,41.9833261
6,улица Спартака,355035,45.0438321,41.9830907
41,улица Голенева,355006,45.0486853,41.9840071
52,проспект Карла Маркса,355006,45.0489422,41.9838160
46,проспект Карла Маркса,355006,45.0494695,41.9854507
98,проспект Карла Маркса,355035,45.0461775,41.9739093
17,улица Розы Люксембург,355035,45.0450562,41.9806659
1,улица Розы Люксембург,355006,45.0474101,41.9800206
2,улица Розы Люксембург,355006,45.0475283,41.9801985
66,проспект Карла Маркса,355006,45.0481872,41.9814409
56,проспект Карла Маркса,355006,45.0486530,41.9828828
56,проспект Карла Маркса,355006,45.0486530,41.9828828
56,проспект Карла Маркса,355006,45.0486705,41.9829475
7,улица Шаумяна,355006,45.0500962,41.9825932
28,улица Голенева,355006,45.0503400,41.9831755
21,улица Голенева,355006,45.0524427,41.9812561
27,улица Голенева,355006,45.0510279,41.9820386
34,проспект Карла Маркса,355008,45.0500897,41.9882161
26,проспект Карла Маркса,355008,45.0507504,41.9895052
42,проспект Карла Маркса,355008,45.0495226,41.9863309
22/1,проспект Карла Маркса,355008,45.0508537,41.9898544
2А,улица Дзержинского,355008,45.0499411,41.9944943
2В,улица Дзержинского,355008,45.0498586,41.9941298
24,Вокзальная улица,355008,45.0560517,41.9978742
24,Вокзальная улица,355008,45.0564193,41.9983874
3/1А,проспект Карла Маркса,355008,45.0549109,41.9975911
63,проспект Карла Маркса,355006,45.0497639,41.9837673
63,проспект Карла Маркса,355006,45.0498038,41.9840374
63,проспект Карла Маркса,355006,45.0497613,41.9836446
10,улица Шаумяна,355006,45.0502464,41.9835309
10,улица Шаумяна,355006,45.0502481,41.9834635
43,улица Горького,355006,45.0516589,41.9852904
9,Советская улица,355035,45.0468979,41.9693919
5,улица Маршала Жукова,355035,45.0448399,41.9685955
2,улица Маршала Жукова,355035,45.0463502,41.9691618
7,улица Маршала Жукова,355035,45.0418881,41.9691835
185,улица Лермонтова,355002,45.0352979,41.9705008
28,проспект Октябрьской Революции,355035,45.0404058,41.9736000
67Б,улица Голенева,355012,45.0455764,41.9854058
97,улица Ленина,355012,45.0422767,41.9902112
108/2,улица Ленина,355012,45.0415871,41.9935549
104,улица Ленина,355012,45.0420260,41.9946897
104,улица Ленина,355012,45.0418313,41.9947178
140,улица Чехова,355013,45.0373875,42.0188571
55,улица Чехова,355013,45.0364773,42.0226687
51,улица Артёма,355002,45.0324049,41.9667814
42,проспект Юности,355044,45.0594004,41.9356304
42,проспект Юности,355044,45.0597035,41.9350671
42Б,проспект Юности,355044,45.0599725,41.9350511
44А,проспект Юности,355044,45.0605169,41.9348245
12А,улица Бруснева,355044,45.0635634,41.9325032
5,улица Бруснева,355047,45.0641845,41.9299607
37А/1,проспект Кулакова,355047,45.0658643,41.9262304
2,проспект Юности,355044,45.0614243,41.9243147
12,проспект Юности,355044,45.0605172,41.9263322
20,проспект Юности,355044,45.0595473,41.9294377
3/5,переулок Шеболдаева,355044,45.0581520,41.9305725
24В,проспект Юности,355044,45.0591284,41.9313944
1,переулок Шеболдаева,355044,45.0597603,41.9299535
41,3-я Промышленная улица,355035,45.0611763,41.9077600
14Б,2-я Промышленная улица,355035,45.0564154,41.9079149
2А,Завокзальная улица,355008,45.0541667,42.0051564
156,улица Льва Толстого,355005,45.0223475,41.9545134
121,улица Льва Толстого,355005,45.0228039,41.9541336
209,улица Серова,355002,45.0273920,41.9641171
1,улица Куйбышева,355002,45.0271181,41.9625372
33/17,улица Чехова,355013,45.0370405,42.0184128
57,улица Чехова,355013,45.0368106,42.0246211
478А,улица Серова,355013,45.0331385,42.0262244
486/1,улица Серова,355013,45.0332151,42.0273517
480 к1,улица Серова,355013,45.0329900,42.0252906
486/6,улица Серова,355013,45.0334121,42.0197986
468/5,улица Серова,355013,45.0334024,42.0188634
462Ж,улица Серова,355013,45.0333432,42.0115521
4,улица Осипенко,355004,45.0321420,41.9832994
61А,улица Доваторцев,355042,45.0045036,41.9265646
2,Интендантский переулок,355035,45.0494937,41.9757624
10,4-я Промышленная улица,355035,45.0637863,41.9144041
10,4-я Промышленная улица,355035,45.0639378,41.9144553
231А,улица Дзержинского,355003,45.0422151,41.9494405
27,2-я Промышленная улица,355035,45.0570216,41.9048680
78,улица Пирогова,355045,44.9983253,41.9126518
16И,улица 50 лет ВЛКСМ,355040,45.0145079,41.9246386
3А,3-я Промышленная улица,355035,45.0569011,41.9149814
392,улица Ленина,355000,45.0366491,41.9421160
49,улица Васильева,355044,45.0592880,41.9330597
25,улица Доваторцев,355037,45.0228717,41.9333820
59 к4,улица Розы Люксембург,355035,45.0402385,41.9812397
38,улица Михаила Морозова,355003,45.0403115,41.9546496
23/1,улица Тухачевского,355032,45.0168181,41.9004169
4А,1-я Промышленная улица,355000,45.0482788,41.9101715
18Б,проспект Кулакова,105122,45.0677980,41.9250654
7,Щёлковское шоссе,105122,45.0382964,41.9707705
66,улица Пирогова,355045,45.0031191,41.9146699
415В,улица Ленина,355029,45.0380327,41.9220941
415А,улица Ленина,355035,45.0374247,41.9223615
415Б,улица Ленина,355029,45.0379066,41.9225111
28/1,улица Тухачевского,355028,45.0160408,41.9016685
52,проспект Карла Маркса,355006,45.0489032,41.9836411
333,улица Лермонтова,355041,45.0326012,41.9438862
17А,улица Руставели,355018,45.0566998,41.9514930
51Г,улица Доваторцев,355040,45.0095251,41.9282960
76,проспект Карла Маркса,355006,45.0474449,41.9793619
61,улица Доваторцев,355042,45.0048822,41.9258016
27,проспект Кулакова,355047,45.0612937,41.9225075
75А,улица Доваторцев,355042,44.9977031,41.9228478
25А,Кавалерийская улица,355018,45.0513943,41.9570781
19,улица Спутник-10,355000,44.9840400,41.9433439
75А,улица Доваторцев,355042,44.9966646,41.9231179
20,улица Маршала Жукова,355035,45.0410243,41.9701480
152,улица Дзержинского,355017,45.0427042,41.9569013
6,улица Булкина,355017,45.0454858,41.9674933
50,проспект Карла Маркса,355008,45.0490338,41.9842056
1,площадь Ленина,355025,45.0432352,41.9675292
31/1,Старомарьевское шоссе,355035,45.0555248,42.0373012
65В,улица Бурмистрова,355007,45.0632619,41.9814365
106/1,улица Трунова,355007,45.0681239,41.9813481
25,улица Дружба 1,355000,44.9775317,41.9561226
308с2,улица Ленина,355017,45.0381363,41.9639593
3,проспект Кулакова,355000,45.0420217,41.9126171
145,улица Герцена,355005,45.0162836,41.9442599
79А,улица Чехова,355013,45.0360531,42.0274036
73,улица Чехова,355013,45.0359964,42.0262317
2Г,улица 45-я Параллель,355042,44.9973965,41.9272478
84/1,улица Доваторцев,355042,44.9869504,41.9245166
82/1,Шпаковская улица,355037,45.0196364,41.9299860
84/2,Шпаковская улица,355037,45.0189791,41.9293639
2/7,улица 50 лет ВЛКСМ,355037,45.0195188,41.9266241
86/3,Шпаковская улица,355037,45.0183647,41.9273249
82/3,Шпаковская улица,355037,45.0184055,41.9303994
74/1,Шпаковская улица,355037,45.0189370,41.9343810
3/4,улица 50 лет ВЛКСМ,355040,45.0194112,41.9238890
82/2,Шпаковская улица,355037,45.0192947,41.9305781
31,улица Доваторцев,355037,45.0204412,41.9320132
72,Шпаковская улица,355037,45.0195988,41.9363947
3/2А,проспект Ворошилова,355040,45.0195780,41.9174681
33,улица Доваторцев,355037,45.0190849,41.9315242
2/1,улица 50 лет ВЛКСМ,355037,45.0199418,41.9262711
1/2,Фестивальный проезд,355037,45.0168525,41.9340692
