House number,Street name,Postal code,Latitude,Longitude
3/25,улица Кирова,301650,54.0128023,38.2994080
6А,улица Депо,301654,54.0295046,38.2562526
28А,Комсомольская улица,301650,54.0103081,38.2863371
10А,Московская улица,301650,54.0110647,38.2983378
32А,улица Маяковского,301650,54.0050369,38.3099748
30,улица Маяковского,301650,54.0045134,38.3068581
18А,Шахтёрская улица,301680,54.0623413,38.4814329
8Б,Комсомольская улица,301650,54.0100410,38.2806131
75,Первомайская улица,301650,54.0003051,38.2866662
31,Коммунистическая улица,301650,54.0087839,38.3054639
5,улица Свободы,301651,54.0788510,38.2215829
22/1,улица Калинина,301650,54.0114086,38.3063857
24Б,улица Калинина,301650,54.0133000,38.3073449
28/32,Московская улица,301650,54.0161932,38.2972822
13,Берёзовая улица,301650,54.0127098,38.2848391
8А,улица Дружбы,301665,54.0256213,38.2738039
12,улица Бережного,301650,54.0141806,38.2893471
5,улица Орджоникидзе,301668,54.0334221,38.2686331
35/19,Октябрьская улица,301650,54.0148072,38.2908659
23/16,улица Дружбы,301665,54.0271132,38.2696243
29/31,улица Садовского,301650,54.0166890,38.2951795
13,улица Генерала Белова,301666,54.0315820,38.3149876
12А,улица Чапаева,301662,54.0093323,38.2739920
7А,проспект Победы,301666,54.0304795,38.3104939
8,Коммунистическая улица,301650,54.0082941,38.2988816
12А,Донской проезд,301663,54.0315432,38.2766762
6,улица Мичурина,301657,54.0073904,38.2666955
25,улица Маяковского,301650,54.0048814,38.2986133
5,улица Бережного,301650,54.0148492,38.2814652
32,улица Калинина,301650,54.0182219,38.3048496
47,улица Свердлова,301650,54.0191647,38.2994185
17,улица Дружбы,301665,54.0249125,38.2696423
10,Рудничная улица,301661,54.0422152,38.2489736
6,Профсоюзная улица,301659,54.0071882,38.3164961
7,улица Космонавтов,301657,54.0115771,38.2658810
38/15,Комсомольская улица,301650,54.0103556,38.2945817
9,Рязанское шоссе,301666,54.0271120,38.3162898
6/33,улица Орджоникидзе,301668,54.0320165,38.2664973
18/29,улица Дзержинского,301650,54.0126027,38.2909066
40,улица Трудовые Резервы,301650,54.0138199,38.2878999
10,Октябрьская улица,301650,54.0090638,38.2924065
11,улица Кирова,301650,54.0128721,38.3058553
7,Московская улица,301664,54.0063124,38.2954304
36,улица Мира,301665,54.0241041,38.2613263
5/10,улица Генерала Белова,301666,54.0297680,38.3159028
15А,улица Мира,301654,54.0309318,38.2569086
3А,Олимпийская улица,301661,54.0452151,38.2486160
36/14,Комсомольская улица,301650,54.0103328,38.2925034
4,Профсоюзная улица,301659,54.0066681,38.3172993
14,улица Мира,301662,54.0163086,38.2688094
48/1,улица Мира,301668,54.0341197,38.2625422
32/32,Комсомольская улица,301650,54.0106291,38.2883746
2,Северодонецкая улица,301666,54.0329740,38.3055349
3,Северодонецкая улица,301666,54.0330753,38.3073105
1/24,Северодонецкая улица,301666,54.0323517,38.3046043
22,Парковая улица,301666,54.0319317,38.3051545
20,Парковая улица,301666,54.0315206,38.3056998
20А,Парковая улица,301666,54.0316983,38.3073134
18,Парковая улица,301666,54.0310177,38.3055312
16,Парковая улица,301666,54.0306689,38.3060727
14,Парковая улица,301666,54.0302205,38.3066695
12,Парковая улица,301666,54.0297522,38.3072608
14А,Парковая улица,301666,54.0305989,38.3081172
5А,проспект Победы,301666,54.0303244,38.3090626
5,проспект Победы,301666,54.0296768,38.3091052
10/1,Парковая улица,301666,54.0290563,38.3079863
3,проспект Победы,301666,54.0289697,38.3088408
3А,проспект Победы,301666,54.0291888,38.3092745
7,проспект Победы,301666,54.0298454,38.3103530
