House number,Street name,Postal code,Latitude,Longitude
7,улица Ленина,403870,50.1066423,45.4159267
8/1,улица Ленина,403870,50.1069302,45.4084398
7,Молодёжная улица,403879,50.1151733,45.4183044
4,улица Братьев Сорокиных,403876,50.0864953,45.3786633
7А,улица Терешковой,403874,50.1037807,45.4175171
109,улица Базарова,403876,50.0897989,45.3736134
21,улица Воинов-Интернационалистов,403876,50.0925572,45.3747500
160,улица Базарова,403876,50.0913983,45.3745497
19,улица Воинов-Интернационалистов,403876,50.0922826,45.3757912
19А,улица Воинов-Интернационалистов,403892,50.0919052,45.3758344
15А,улица Воинов-Интернационалистов,403876,50.0922362,45.3780704
13А,улица Воинов-Интернационалистов,403876,50.0915504,45.3778016
17А,улица Воинов-Интернационалистов,403876,50.0917120,45.3771362
107,улица Базарова,403876,50.0894546,45.3755077
3В,улица Братьев Сорокиных,403876,50.0878491,45.3780438
101,улица Базарова,403876,50.0875937,45.3793780
3Г,улица Братьев Сорокиных,403876,50.0882277,45.3774090
3А,улица Братьев Сорокиных,403876,50.0871414,45.3777199
152,улица Базарова,403876,50.0899317,45.3765370
148,улица Базарова,403876,50.0889670,45.3786602
36,Партизанская улица,403876,50.0895739,45.3785575
144,улица Базарова,403876,50.0879831,45.3808802
4,Спортивная улица,403876,50.0890912,45.3846445
12,Спортивная улица,403892,50.0908933,45.3833526
11,улица Металлургов,403876,50.0894565,45.3859138
14,Спортивная улица,403892,50.0917351,45.3826854
17,улица Металлургов,403876,50.0916786,45.3846780
21,улица Металлургов,403892,50.0922610,45.3831149
13,улица Металлургов,403876,50.0902626,45.3855250
23,улица Металлургов,403892,50.0927742,45.3824781
16,Спортивная улица,403892,50.0921385,45.3822671
8,Спортивная улица,403876,50.0898117,45.3841958
6,Спортивная улица,403876,50.0895365,45.3833640
10,Спортивная улица,403876,50.0902020,45.3834996
2,улица Воинов-Интернационалистов,403876,50.0932368,45.3812104
13,улица Воинов-Интернационалистов,403876,50.0927650,45.3784768
17,улица Воинов-Интернационалистов,403876,50.0926048,45.3766538
15,улица Воинов-Интернационалистов,403876,50.0927091,45.3775813
19,улица Металлургов,403876,50.0920873,45.3841872
128,улица Базарова,403876,50.0863878,45.3850539
6,улица Металлургов,403876,50.0874563,45.3864756
9,улица Металлургов,403892,50.0884219,45.3851854
10А,улица Металлургов,403876,50.0888915,45.3875699
10,улица Металлургов,403876,50.0888649,45.3870522
8Б,улица Металлургов,403876,50.0884675,45.3883486
8А,улица Металлургов,403876,50.0882337,45.3877251
12А,улица Металлургов,403876,50.0893849,45.3874641
8,улица Металлургов,403876,50.0881889,45.3871905
12,улица Металлургов,403876,50.0893394,45.3869500
3Б,улица Братьев Сорокиных,403876,50.0873959,45.3782365
105,улица Базарова,403876,50.0888565,45.3764583
142,улица Базарова,403876,50.0876275,45.3818702
156А,улица Базарова,403876,50.0908113,45.3766720
158,улица Базарова,403876,50.0912437,45.3770460
15,улица Металлургов,403876,50.0910518,45.3854489
10Б,улица Металлургов,403876,50.0887747,45.3881487
7,Текстильная улица,403870,50.1052962,45.4093194
21,улица Мира,403850,50.1046567,45.4154366
7,улица Титова,403879,50.1126243,45.4177263
5,улица Титова,403879,50.1127605,45.4168561
2,Юбилейная улица,403874,50.1086088,45.4164263
21,улица Титова,403879,50.1119174,45.4236348
17,улица Титова,403879,50.1120028,45.4225464
15,улица Титова,403879,50.1120604,45.4220474
19,улица Титова,403879,50.1119577,45.4230827
13,улица Титова,403879,50.1121239,45.4213631
9,улица Титова,403879,50.1125014,45.4188591
23,улица Титова,403879,50.1119149,45.4241698
21,улица Некрасова,403870,50.0987345,45.4236846
35,проезд Феоктистова,403870,50.0989816,45.4230008
23,улица Некрасова,403870,50.0993017,45.4245801
12,проезд Феоктистова,403870,50.1002117,45.4219207
29,проезд Феоктистова,403870,50.1005732,45.4242175
27,проезд Феоктистова,403870,50.1008610,45.4236689
23,проезд Феоктистова,403870,50.1012345,45.4223168
25,проезд Феоктистова,403870,50.1011430,45.4231556
21,проезд Феоктистова,403870,50.1018130,45.4219827
33,улица Некрасова,403870,50.1029016,45.4286632
18,проезд Феоктистова,403870,50.0989333,45.4218089
45,проезд Феоктистова,403870,50.0984260,45.4199658
51,проезд Феоктистова,403870,50.0991562,45.4198624
47,проезд Феоктистова,403870,50.0981963,45.4192137
6,проезд Феоктистова,403870,50.0998217,45.4185301
43,проезд Феоктистова,403870,50.0981776,45.4204552
35,улица Некрасова,403870,50.1035071,45.4290951
37,проезд Феоктистова,403870,50.0986399,45.4225627
20,проезд Феоктистова,403870,50.0989448,45.4208670
49,проезд Феоктистова,403870,50.0987902,45.4190792
12,улица Краностроителей,403870,50.0977050,45.4196814
53,проезд Феоктистова,403870,50.0995026,45.4206015
41,проезд Феоктистова,403870,50.0979174,45.4208904
10,улица Краностроителей,403870,50.0974400,45.4201048
39,проезд Феоктистова,403870,50.0983295,45.4218877
10,проезд Феоктистова,403870,50.1011096,45.4211691
12А,проезд Феоктистова,403870,50.0999552,45.4229261
1Б,Кубанская улица,403888,50.1140431,45.4497794
8,Текстильная улица,403874,50.1009925,45.4066581
2,Текстильная улица,403874,50.1014519,45.4072105
19А,улица Некрасова,403870,50.0975295,45.4219293
19Д,улица Некрасова,403870,50.0982027,45.4229026
1,улица Пушкина,403893,50.0859362,45.4142854
137,улица Гагарина,403895,50.0722861,45.3882196
139,улица Гагарина,403895,50.0722625,45.3875905
141,улица Гагарина,403895,50.0722303,45.3869637
143,улица Гагарина,403895,50.0721986,45.3863317
149,улица Гагарина,403895,50.0712905,45.3862615
151,улица Гагарина,403895,50.0709579,45.3858589
155,улица Гагарина,403895,50.0702893,45.3850559
157,улица Гагарина,403895,50.0699504,45.3846856
4,улица Ленина,403874,50.1072464,45.4033551
8,Кузнечная улица,403882,50.0881980,45.3993174
4,улица Будённого,403873,50.0763994,45.4047712
16,улица Будённого,403870,50.0743272,45.4021603
11,Набережная улица,403895,50.0730104,45.4099858
67,улица Серафимовича,403889,50.0798207,45.3846206
115А,Пролетарская улица,403895,50.0723296,45.3966968
145А,улица Гагарина,403895,50.0716062,45.3871172
10,Волгоградская улица,403895,50.0742968,45.3912749
155/1,улица Гагарина,403895,50.0699835,45.3857563
153/1,улица Гагарина,403895,50.0703262,45.3861616
151/1,улица Гагарина,403895,50.0707933,45.3866986
8/1,улица Ленина,403870,50.1068962,45.4084749
19Б,улица Некрасова,403870,50.0978038,45.4217376
19Ж,улица Некрасова,403870,50.0979342,45.4220392
19Г,улица Некрасова,403870,50.0980498,45.4223351
19К,улица Некрасова,403870,50.0972382,45.4207457
55,проезд Феоктистова,403870,50.0995884,45.4223421
20,Вологодская улица,403870,50.1245180,45.4415223
18,Вологодская улица,403870,50.1244274,45.4419491
16,Вологодская улица,403870,50.1243503,45.4422819
14,Вологодская улица,403870,50.1242773,45.4426070
12А,Вологодская улица,403870,50.1244024,45.4431438
12,Вологодская улица,403870,50.1241939,45.4430217
10,Вологодская улица,403870,50.1240688,45.4435259
4,Вологодская улица,403870,50.1238811,45.4444203
6,Вологодская улица,403870,50.1239541,45.4441112
8,Вологодская улица,403870,50.1240063,45.4438428
41,Вологодская улица,403870,50.1242752,45.4412072
37,Вологодская улица,403870,50.1241481,45.4418019
31,Вологодская улица,403870,50.1239032,45.4428636
33,Вологодская улица,403870,50.1239939,45.4424530
35,Вологодская улица,403870,50.1240847,45.4420850
48,Астраханская улица,403870,50.1236853,45.4427503
50,Астраханская улица,403870,50.1237125,45.4424106
56,Астраханская улица,403870,50.1238850,45.4415046
58,Астраханская улица,403870,50.1239576,45.4411082
54,Астраханская улица,403870,50.1238214,45.4418302
52,Астраханская улица,403870,50.1237488,45.4420567
69,Астраханская улица,403870,50.1236126,45.4410091
65,Астраханская улица,403870,50.1235401,45.4415046
63,Астраханская улица,403870,50.1234312,45.4419434
61,Астраханская улица,403870,50.1233767,45.4422266
59,Астраханская улица,403870,50.1232768,45.4426088
67,Астраханская улица,403870,50.1235673,45.4412356
60,Ташкентская улица,403870,50.1230318,45.4424389
66,Ташкентская улица,403870,50.1232405,45.4413914
64,Ташкентская улица,403870,50.1231680,45.4417594
62,Ташкентская улица,403870,50.1231044,45.4420425
68,Ташкентская улица,403870,50.1233132,45.4410657
70,Ташкентская улица,403870,50.1233767,45.4407968
47,Ташкентская улица,403870,50.1231861,45.4403862
45,Ташкентская улица,403870,50.1230590,45.4409099
46,Ташкентская улица,403870,50.1228321,45.4408392
44,Ташкентская улица,403870,50.1226959,45.4414479
48,Ташкентская улица,403870,50.1229410,45.4402587
43,Ташкентская улица,403870,50.1229138,45.4415470
41,Ташкентская улица,403870,50.1227051,45.4421558
47,Ашхабадская улица,403870,50.1226597,45.4401030
45,Ашхабадская улица,403870,50.1225326,45.4406977
43,Ашхабадская улица,403870,50.1224237,45.4412781
41,Ашхабадская улица,403870,50.1223329,45.4418727
46,Балкарская улица,403870,50.1222875,45.4405703
44,Балкарская улица,403870,50.1221423,45.4411365
48,Балкарская улица,403870,50.1223601,45.4399898
42,Балкарская улица,403870,50.1220515,45.4415612
46,Осетинская улица,403870,50.1216884,45.4401455
41,Балкарская улица,403870,50.1216522,45.4415470
42,Осетинская улица,403870,50.1214525,45.4414054
43,Балканская улица,403870,50.1217792,45.4409242
45,Балкарская улица,403870,50.1218791,45.4403862
47,Балкарская улица,403870,50.1220062,45.4397775
