House number,Street name,Postal code,Latitude,Longitude
58 с3,улица Гоголя,162603,59.1297120,37.9608103
33,улица Гоголя,162612,59.1241433,37.9577641
9А,Архангельская улица,162601,59.1182433,37.9757446
9А,Архангельская улица,162601,59.1184073,37.9759339
93/1,улица Гоголя,162600,59.1271104,37.9616615
162,проспект Победы,162601,59.1216808,37.9890595
162,проспект Победы,162601,59.1217346,37.9893509
162,проспект Победы,162601,59.1216669,37.9897244
86,Ленина,162606,59.1220517,37.9006014
78Б,Кирилловское шоссе,162604,59.1574323,37.9361671
168,проспект Победы,162601,59.1211978,37.9916008
42,Октябрьский проспект,162626,59.0953452,37.9146597
37,Ленинградская улица,162626,59.0982346,37.9324796
43,Ленинградская улица,162626,59.0969907,37.9356846
37,улица Годовикова,162626,59.0939715,37.9229939
37,улица Годовикова,162626,59.0939811,37.9242969
1,Ленинградская улица,162626,59.0994957,37.9136143
10,улица Наседкина,162609,59.0939297,37.9089831
25,Шекснинский проспект,162626,59.0932872,37.9293267
62,Архангельская улица,162601,59.1195953,37.9805487
62,Архангельская улица,162601,59.1198173,37.9807246
85,проспект Победы,162600,59.1281669,37.9514251
14,проспект Победы,162606,59.1327292,37.9022502
47,Советский проспект,162602,59.1251662,37.9296046
148Б,проспект Победы,162601,59.1218009,37.9877417
78,Советский проспект,162600,59.1275575,37.9322993
12,улица Наседкина,162609,59.0935145,37.9076717
2А соор1,Северное шоссе,162622,59.1485984,37.9641118
5,Красная улица,162612,59.1175242,37.9627571
16,Шекснинский проспект,162626,59.0913963,37.9293890
30А,Советский проспект,162602,59.1238251,37.9307046
78,проспект Победы,162600,59.1284977,37.9376941
16,Шекснинский проспект,162600,59.0918340,37.9286460
35А,Советский проспект,162602,59.1239328,37.9298560
43А,улица Гоголя,162603,59.1282730,37.9591026
54/64,Красная улица,162600,59.1129510,37.9756153
16,Шекснинский проспект,162626,59.0913538,37.9293732
127,проспект Победы,162605,59.1256703,37.9776628
170/34,проспект Победы,162618,59.1209286,37.9941999
3,улица Краснодонцев,162603,59.1301194,37.9714668
1,улица Краснодонцев,162603,59.1301182,37.9648679
16А,улица П.Окинина,162604,59.1490472,37.9406139
13,улица Металлургов,162606,59.1303018,37.9024244
20,улица Строителей,162611,59.1306932,37.8715459
32,Торговая улица,162611,59.1286939,37.8633250
32,Торговая улица,162611,59.1287731,37.8634078
93Б,проспект Победы,162600,59.1267714,37.9620641
2,улица Годовикова,162626,59.1020883,37.9254521
2,улица Годовикова,162626,59.1020277,37.9254307
70Б,Архангельская улица,162602,59.1249804,37.9819465
49,Советский проспект,162600,59.1252129,37.9303517
17Б,Архангельская улица,162601,59.1223456,37.9753961
36,улица Командарма Белова,162601,59.1163664,37.9877607
37,Олимпийская улица,162648,59.1230749,38.0098186
37,Олимпийская улица,162618,59.1230775,38.0098064
130,проспект Победы,162601,59.1232970,37.9760510
130,проспект Победы,162601,59.1232853,37.9760871
46,Боршодская улица,162603,59.1361493,38.0007314
93/1,улица Гоголя,162600,59.1272508,37.9617093
25,Шекснинский проспект,162626,59.0929288,37.9308949
41,улица Гоголя,162603,59.1278676,37.9583711
58 с1,улица Гоголя,162603,59.1299983,37.9608325
58 с1,улица Гоголя,162603,59.1300748,37.9608267
58,улица Гоголя,162603,59.1298500,37.9608200
22,улица Краснодонцев,162600,59.1287535,37.9650353
22,улица Краснодонцев,162600,59.1287497,37.9649410
62,Архангельская улица,162601,59.1202145,37.9808219
62,Архангельская улица,162601,59.1198931,37.9807812
127,проспект Победы,162605,59.1257396,37.9770818
127,проспект Победы,162605,59.1257333,37.9771378
127,проспект Победы,162605,59.1257333,37.9771937
127,проспект Победы,162605,59.1250178,37.9766569
127,проспект Победы,162605,59.1250680,37.9766737
17,Архангельская улица,162601,59.1226722,37.9778771
125,проспект Победы,162605,59.1249708,37.9741214
22,улица Сталеваров,162602,59.1190747,37.9049733
34,улица М.Горького,162602,59.1337920,37.9240861
126,проспект Победы,162601,59.1220147,37.9748108
43,Архангельская улица,162603,59.1319020,37.9784954
3,Первомайская улица,162612,59.1178617,37.9652555
3,Первомайская улица,162612,59.1178465,37.9653759
136,проспект Победы,162601,59.1225266,37.9837268
136,проспект Победы,162601,59.1226167,37.9831790
136,проспект Победы,162601,59.1226099,37.9832343
136,проспект Победы,162601,59.1225959,37.9829620
136,проспект Победы,162601,59.1225710,37.9828781
136;68,проспект Победы;Архангельская улица,162601,59.1224412,37.9825442
68,Архангельская улица,162601,59.1211070,37.9819038
62,Архангельская улица,162601,59.1208073,37.9817576
62,Архангельская улица,162601,59.1208169,37.9817240
68,Архангельская улица,162601,59.1212328,37.9819202
68,Архангельская улица,162601,59.1215430,37.9821176
15,Архангельская улица,162601,59.1216072,37.9780390
15,Архангельская улица,162601,59.1218519,37.9781115
15А,Архангельская улица,162601,59.1223515,37.9783394
68,Архангельская улица,162601,59.1221784,37.9824487
68,Архангельская улица,162601,59.1223705,37.9825434
144,проспект Победы,162601,59.1220024,37.9856703
144,проспект Победы,162601,59.1220995,37.9859965
144,проспект Победы,162601,59.1221110,37.9864681
148Б,проспект Победы,162601,59.1218166,37.9875748
162А,проспект Победы,162601,59.1218440,37.9907060
168,проспект Победы,162601,59.1211653,37.9916067
168,проспект Победы,162601,59.1211600,37.9917399
174,проспект Победы,162624,59.1205587,37.9974916
78Г,Кирилловское шоссе,162604,59.1573634,37.9374988
78Г,Кирилловское шоссе,162604,59.1572917,37.9373197
78В,Кирилловское шоссе,162604,59.1573442,37.9371160
78В,Кирилловское шоссе,162604,59.1571644,37.9370545
31,улица Карла Либкнехта,162602,59.1217725,37.9220532
21,Шекснинский проспект,162626,59.0942784,37.9217314
88,улица Ленина,162602,59.1270848,37.9104977
9А,Архангельская улица,162601,59.1183228,37.9759820
9А,Архангельская улица,162601,59.1182167,37.9757262
41,улица Гоголя,162603,59.1280390,37.9587943
41,улица Гоголя,162603,59.1279776,37.9590927
58 с6,улица Гоголя,162603,59.1300812,37.9643440
1,улица Краснодонцев,162603,59.1300834,37.9648050
1,улица Краснодонцев,162603,59.1301270,37.9647827
1,улица Краснодонцев,162603,59.1300726,37.9648826
1,улица Краснодонцев,162603,59.1299072,37.9650011
11,улица Краснодонцев,162603,59.1297822,37.9651175
43,улица Гоголя,162603,59.1286070,37.9562798
43,улица Гоголя,162603,59.1285971,37.9563704
125,проспект Победы,162605,59.1248767,37.9745164
43,улица Гоголя,162603,59.1284182,37.9578831
43,улица Гоголя,162603,59.1284411,37.9576567
43,улица Гоголя,162603,59.1284285,37.9577815
43А,улица Гоголя,162603,59.1282419,37.9594868
43,улица Гоголя,162603,59.1284732,37.9581960
41,улица Гоголя,162603,59.1277097,37.9591568
41,улица Гоголя,162603,59.1278867,37.9592471
17,Архангельская улица,162601,59.1228679,37.9780060
70Б,Архангельская улица,162601,59.1243693,37.9815641
6Ж,Северное шоссе,162604,59.1506211,37.9514845
1/3 строение 4,улица Белинского,162608,59.1185107,37.9497649
125,проспект Победы,162605,59.1251218,37.9727852
78,Советский проспект,162600,59.1275058,37.9322769
2,улица Ветка Чола,162608,59.1137997,37.9705622
2,улица Ветка Чола,162608,59.1138178,37.9710186
54 с1,Боршодская улица,162603,59.1378173,38.0144488
98,Советский проспект,162600,59.1305070,37.9337401
135,проспект Победы,162616,59.1234945,37.9845181
10А,Устюженская улица,162611,59.1249124,37.8779621
78,Кирилловское шоссе,162604,59.1577762,37.9335500
3Д,улица Краснодонцев,162603,59.1316688,37.9702081
3Д,улица Краснодонцев,162603,59.1316449,37.9702304
3,улица Краснодонцев,162603,59.1303416,37.9713723
3,улица Краснодонцев,162603,59.1301614,37.9718799
3,улица Краснодонцев,162603,59.1301458,37.9716433
3,улица Краснодонцев,162603,59.1304302,37.9716881
3,улица Краснодонцев,162603,59.1304862,37.9709377
3,улица Краснодонцев,162603,59.1304885,37.9710214
3,улица Краснодонцев,162603,59.1305423,37.9709197
3,улица Краснодонцев,162603,59.1305448,37.9709736
3Г,улица Краснодонцев,162603,59.1323097,37.9713559
1/3 стр4,улица Белинского,162608,59.1185986,37.9495910
8Б,улица Химиков,162612,59.1203322,37.9491595
8Б,улица Химиков,162612,59.1204257,37.9490881
14А,Северное шоссе,162604,59.1517791,37.9352066
4,Боршодская улица,162603,59.1341211,37.9654607
4,Боршодская улица,162603,59.1341937,37.9654856
4,Боршодская улица,162603,59.1341597,37.9657450
82,Октябрьский проспект,162609,59.0854883,37.9209860
1/3,улица Белинского,162608,59.1187015,37.9471586
1/6,улица Белинского,162608,59.1188308,37.9472425
1/3,улица Белинского,162608,59.1185138,37.9491410
1/3,улица Белинского,162608,59.1184513,37.9491647
1/3,улица Белинского,162608,59.1186432,37.9490992
21,улица Наседкина,162609,59.0912565,37.9051066
49А,улица Гоголя,162603,59.1309330,37.9572825
