House number,Street name,Postal code,Latitude,Longitude
87,улица Горького,160014,59.2260100,39.9070363
70,проспект Победы,160004,59.2270537,39.8626250
6,улица Авксентьевского,160031,59.2188110,39.8733629
23,Новгородская улица,160022,59.1961941,39.8619536
17,Северная улица,160024,59.2181350,39.9384719
6,Северная улица,160029,59.2158350,39.9224240
38,улица Мира,160001,59.2177131,39.8823857
37,улица Дзержинского,160033,59.1869285,39.9195968
33,Окружное шоссе,160034,59.1928267,39.8361605
4,Советский проспект,160000,59.2186731,39.8923428
5,улица Клубова,160004,59.2345224,39.8287818
11,улица Батюшкова,160001,59.2197662,39.8838050
11,Кубинская улица,160010,59.2451739,39.8401334
20Б,улица Михаила Поповича,160010,59.2472436,39.8410349
64,улица Гагарина,160034,59.1984277,39.8236676
42,Судоремонтная улица,160029,59.2163645,39.9260875
45,улица Герцена,160011,59.2112770,39.8959339
18,Планерная улица,160023,59.2022113,39.8741331
32,улица Челюскинцев,160000,59.2141102,39.8769456
8,улица Ильюшина,160000,59.2103855,39.8162362
2,Псковская улица,160000,59.2011553,39.8296778
89,улица Карла Маркса,160000,59.2212109,39.9253927
48Б,Технический переулок,160032,59.1888770,39.9094497
50,Технический переулок,160032,59.1885418,39.9107371
3,Петрозаводская улица,160000,59.1919645,39.9332880
17,Окружное шоссе,160034,59.1979960,39.8244656
5,улица Беляева,160025,59.1956980,39.9170497
28,Окружное шоссе,160000,59.1939563,39.8288972
26,Окружное шоссе,160028,59.1949989,39.8263533
48А,Кирпичная улица,160002,59.2113125,39.8427400
22,Путейская улица,160009,59.2096668,39.8757119
3,Московское шоссе,160025,59.1897800,39.9386286
1225,улица Маршала Конева,160013,59.1937008,39.9014482
3,улица Щетинина,160002,59.2071310,39.8351670
72,Советский проспект,160012,59.2103663,39.9052237
33,Дальняя улица,160024,59.2213943,39.9446551
19,улица Лермонтова,160004,59.2201649,39.8937384
164,Советский проспект,160012,59.1976973,39.9240339
4,улица Мира,160000,59.2223329,39.8906158
48Б,Технический переулок,160032,59.1887703,39.9096718
131Б к8,Советский проспект,160014,59.1992885,39.9336430
9Д,Окружное шоссе,160000,59.2028629,39.8174597
60А,улица Саммера,160014,59.2322609,39.9356130
4,улица Ильюшина,160028,59.2106552,39.8200544
4,Благовещенская улица,160001,59.2200515,39.8846785
11,Вологодская Слобода,160000,59.2199006,39.9083703
52,улица Герцена,160004,59.2102810,39.8962101
38,улица Мира,160001,59.2172145,39.8823563
12,Окружное шоссе,160028,59.2029129,39.8135799
66,Зосимовская улица,160000,59.2090388,39.8878864
17,улица Маршала Конева,160032,59.1935194,39.9074688
10 к1,ГПЗ-23,156012,59.2147268,39.8220318
9,проспект Победы,160035,59.2211169,39.8869577
3 к1,ГПЗ-23,156012,59.2148633,39.8128248
31,Пошехонское шоссе,160022,59.1899755,39.8590887
11,улица Батюшкова,160001,59.2195529,39.8837702
7,ГПЗ-23,156012,59.2139476,39.8181104
120,улица Горького,160014,59.2226763,39.9130010
17,Торговая площадь,160035,59.2237003,39.8863067
97А,Ленинградская улица,160034,59.1992283,39.8234389
106Б,Козленская улица,160012,59.2060985,39.9071610
1Б,Псковская улица,160034,59.2015817,39.8319628
20/1,Псковская улица,160022,59.1946788,39.8473149
12,Советский проспект,160000,59.2175924,39.8939216
22,улица Саммера,160014,59.2272010,39.9158803
7,улица М.Ульяновой,160035,59.2186124,39.8886950
10,Промышленная улица,160012,59.2062155,39.9889189
1Б,Рабочая улица,160012,59.2032591,39.9166594
77,улица Энгельса,160019,59.2351552,39.8969938
8,улица Ильюшина,160028,59.2104492,39.8162923
11,Кубинская улица,160010,59.2453555,39.8393841
27,ГПЗ-23,160028,59.2111218,39.8189955
120Б,улица Горького,160014,59.2221782,39.9124845
