House number,Street name,Postal code,Latitude,Longitude
지하 1415,낙동남로,49311,35.1062348,128.9667606
지하 405,낙동대로,49411,35.1034754,128.9738261
지하 221,낙동대로,49381,35.0999307,128.9928620
지하 141,낙동대로,49348,35.1031541,128.9999412
지하 1,대영로,49228,35.1108608,129.0120406
지하 290,구덕로,49218,35.1103454,129.0177611
지하 170,구덕로,49241,35.1007615,129.0197777
지하 80,구덕로,48981,35.0973457,129.0267678
지하 12,구덕로,48954,35.0979243,129.0349473
지하 83,중앙대로,48929,35.1038491,129.0364087
85,재반로,48055,35.1863045,129.1253349
21,중앙대로702번길,47292,35.1555602,129.0603760
21,반송로,47520,35.1875943,129.0832466
21,반송로,47520,35.1876357,129.0832927
153,재반로,48051,35.1917582,129.1279732
92,재반로118번길,48053,35.1910422,129.1307118
139,월드컵대로,47540,35.1857710,129.0807890
83,충무대로,49265,35.0798910,129.0210069
68-1,자갈치로,48984,35.0973737,129.0317015
23,중구로29번길,48978,35.1003684,129.0265433
61,보수대로140번길,48959,35.1062208,129.0246707
14-1,대청로99번길,48933,35.1042410,129.0310848
10,중앙대로41번길,48956,35.1012583,129.0353484
5,본산남길,49126,35.0678344,129.0806545
65,영선대로,49056,35.0870087,129.0413426
317,하나길,49078,35.0833863,129.0451553
36,수영성로,48229,35.1704783,129.1160282
16,구덕로148번길,49246,35.0980202,129.0216152
32,초장로27번길,49248,35.0959687,129.0202651
4,중앙대로2097번길,46219,35.2716019,129.0922518
1,남항로9번길,49045,35.0899640,129.0376328
17,광일로14번길,48248,35.1629019,129.1124126
12,수영로,48456,35.1359792,129.0687828
44-1,중리로,49115,35.0748982,129.0683762
394,태종로,49016,35.0919002,129.0657393
39,상리로,49089,35.0846470,129.0686725
5,대교로6번길,49005,35.0935736,129.0443386
9,가야대로454번길,47323,35.1527129,129.0219370
103,망미번영로38번길,48242,35.1679180,129.1135995
107,기찰로,46266,35.2405111,129.0938280
29,동부곡로6번길,46305,35.2244427,129.0921239
16,아랫반송로,48018,35.2251841,129.1479112
50,삼어로133번길,48044,35.2092694,129.1171571
13,범전로5번길,47253,35.1635313,129.0630203
92,대영로73번길,49212,35.1144083,129.0172628
49,동광길,48927,35.1050017,129.0345275
9,자갈치해안로 29,48982,35.0965062,129.0283425
13,두구죽전1길,46208,35.2982508,129.1133468
23,시랑로118번길,46644,35.1949539,129.0087721
지하200,중앙대로,48760,35.1157262,129.0399028
84,화지로,47533,35.1824471,129.0656496
43,재송2로175번길,48053,35.1896724,129.1321040
256,재송2로,48052,35.1912007,129.1317326
31,재송2로74번길,48052,35.1908122,129.1326834
317,해운대해변로,48095,35.1615714,129.1645470
145,금곡대로616번길,46505,35.2671400,129.0175784
59,부전로,47281,35.1553348,129.0547788
1000,중앙대로 (Jungang-daero),1001,35.1800394,129.0750447
708,중앙대로,47291,35.1559564,129.0594888
75,낙동대로1762번길,46583,35.2064794,129.0011165
23,낙동북로681번길,46634,35.2016126,128.9993814
35,만덕대로,46548,35.2111705,129.0087903
118,덕천로,46589,35.2099500,129.0174695
10,만덕2로44번길,46566,35.2101651,129.0372419
1,복천로,47748,35.2057857,129.0861725
48,온천천로339번길,47886,35.1960519,129.0910529
127,금강로,47703,35.2200147,129.0801852
28,충렬대로107번길,47732,35.2079616,129.0730524
21,아시아드대로231번길,47850,35.2049192,129.0663531
25,청룡로,46218,35.2752389,129.0898665
274,금곡대로,46533,35.2327532,129.0137950
58,양달로,46516,35.2434970,129.0198674
85,화명신도시로,46527,35.2318777,129.0100534
554,절영로,49109,35.0756830,129.0726468
61,거제천로230번길,47519,35.1892443,129.0828030
2102,중앙대로,462214,35.2719718,129.0929157
47,신산북로,49418,35.0912334,128.9695318
51,신산북로,49418,35.0911862,128.9700824
258,장평로,49443,35.0892119,128.9732454
30-5,낙동대로171번길,49351,35.1003384,128.9980610
2101,중앙대로,46219,35.2718769,129.0923575
2096,중앙대로,46214,35.2713692,129.0929272
26-10,남항로,49055,35.0888881,129.0392355
10,용호로216번길,48568,35.1132267,129.1103868
277,다대로 (Dadaero),49511,35.0766009,128.9788371
26-62,두송로,49509,35.0766462,128.9803504
271-25,다대로 (Dadaero),49509,35.0777569,128.9788489
84,대동로 (Daedongno),84,35.1368122,128.9777630
84,대동로 (Daedongno),84,35.1365034,128.9779956
84,대동로 (Daedongno),84,35.1372118,128.9782011
84,대동로,84,35.1375689,128.9771054
72,충무대로 (Chungmu-daero),49269,35.0786289,129.0203903
2,재반로125번길,48054,35.1897113,129.1265327
21,재반로165번길,48051,35.1928241,129.1274294
12,금사로85번길,46264,35.2202807,129.1111145
346-1 지층,구덕로,49211,35.1146206,129.0155089
6,삼성2길,46044,35.2651608,129.2339057
65,금샘로 485,46234,35.2673235,129.0778159
65,금샘로 485,46234,35.2663858,129.0805313
65,금샘로 485,46234,35.2664195,129.0805477
132,쌍미천로 (Ssangmicheonno),47579,35.1843466,129.0874189
99,모라로110번길,46934,35.1846388,128.9960740
38,동평로406번길,47207,35.1721245,129.0686844
150,재반로,48053,35.1915184,129.1281881
71,재반로118번길,48053,35.1914503,129.1292174
6-1,낙민로,47879,35.1998048,129.0904929
857-7,금샘로 485,46234,35.2684150,129.0791293
12,남포길,48953,35.0988751,129.0302722
114,미음산단3로,46744,35.1549431,128.8595286
201호,유통단지1로 57번길,46721,35.1667288,128.9550933
29-70,재반로256번길,48025,35.2010819,129.1334830
1942,중앙대로,46249,35.2577258,129.0916169
31,금강공원로26번길,47709,35.2204763,129.0808948
170,하신중앙로,49419,35.0936542,128.9635932
96,절영로,49047,35.0861474,129.0397741
102,중앙대로,48938,35.1069283,129.0364437
26,전포대로209번길,47293,35.1562646,129.0627272
69,서전로10번길,47295,35.1548479,129.0600315
287,해운대해변로,334,35.1604069,129.1616883
13,수영로334번길,48509,35.1378284,129.1026704
1637,중앙대로,46279,35.2312370,129.0908260
1927-1,중앙대로,46230,35.2570300,129.0913933
2019-1,중앙대로,46224,35.2654258,129.0925658
311,충렬대로,47755,35.1998246,129.0931398
12,덕천로14번길,46595,35.2071147,129.0071168
454-18,신선로,48518,35.1253213,129.1013789
2,망양로795번길,48706,35.1338546,129.0424287
120,수영강변대로,48058,35.1712188,129.1266587
지하 230,다대로,49464,35.0818645,128.9773830
지하 168,신산로,49443,35.0897702,128.9732678
620,해운대로,48904,35.1629764,129.1584423
지하 692,다대로,49506,35.0481953,128.9660188
140,하신번영로,49429,35.0952151,128.9606813
20,비프광장로,48981,35.0986596,129.0276141
20-2,중구로30번길,48947,35.1005937,129.0300829
427,장산로,48066,35.1817359,129.1768241
1147,해운대로,48068,35.1877248,129.2020644
13,남포길,48953,35.0989676,129.0301310
지하 310,다대로,49511,35.0745502,128.9768092
지하 422,다대로,49518,35.0652983,128.9797330
지하 548,다대로,49524,35.0577578,128.9713277
166,금곡대로,46539,35.2222607,129.0105144
102,중앙대로,48938,35.1068184,129.0364440
