House number,Street name,Postal code,Latitude,Longitude
107,장안벚꽃로,2638,37.5657200,127.0709000
63,망원로2길,04015,37.5543430,126.9026560
141,구천면로,05246,37.5425685,127.1208241
55,지양로,08038,37.5205342,126.8344194
197,대림로,07412,37.4984130,126.8980401
15,동호로5길,04596,37.5521380,127.0122740
64,토성로,05537,37.5287140,127.1167720
115,삼각산로,01041,37.6409074,127.0170752
29,삼성로 (Samseongno),06324,37.4871750,127.0656130
18,오금로49길,05742,37.4971396,127.1386359
240,월드컵로,03932,37.5690697,126.8981957
4,방배로20길,06664,37.4855286,126.9952827
272,국회대로,07993,37.5295331,126.8653855
53,구일로10길,08323,37.4960021,126.8744130
5층,강서로52길 89,07646,37.5575150,126.8430930
764,금하로,08645,37.4494858,126.9148116
9,상도로53길 9,06971,37.4980652,126.9530400
302,난곡로,08772,37.4810030,126.9147870
385-1,사가정로,02228,37.5809400,127.0876450
313,가좌로,03441,37.5955436,126.9101078
381,사가정로,02228,37.5810230,127.0870212
174-1,이문로,02412,37.6021060,127.0621750
26,대림로,07070,37.4872880,126.9102520
753,삼성로,06067,37.5221599,127.0481431
4,삼성로147길,06063,37.5227108,127.0476695
198,시흥대로,08629,37.4510630,126.9014313
155,시흥대로,08638,37.4481465,126.9025676
98,관악로,08791,37.4739482,126.9534020
1643,남부순환로,08755,37.4850342,126.9331862
9,성산로20길,03727,37.5609067,126.9319741
310,동소문로,02733,37.6072380,127.0292462
133,이문로,02403,37.5985269,127.0612271
190,서오릉로,03335,37.6136607,126.9125367
97,통일로,03739,37.5635230,126.9674430
2,금호로11길,04723,37.5548231,127.0196947
38,대학5길,08814,37.4691755,126.9399582
12,증가로,03698,37.5695484,126.9316171
1,혜화로,03075,37.5858865,127.0007223
1309,양재대로,05408,37.5234197,127.1341970
18,퇴계로6길,04635,37.5574536,126.9784157
31,성북로2길,02833,37.5896475,127.0073882
127,통일로,03735,37.5659171,126.9660388
85,대림로,07444,37.4896990,126.9045881
306,연서로,03347,37.6226838,126.9275484
9,상일로,05283,37.5479293,127.1731448
352,고산자로,04748,37.5708913,127.0381931
34,거마로20길,05757,37.4964862,127.1498237
572,선릉로,06153,37.5095484,127.0444223
378,천호대로,04808,37.5616893,127.0608793
419,통일로,03646,37.5867139,126.9461142
640,뚝섬로,05100,37.5315073,127.0805619
258,세검정로,03018,37.6014000,126.9612795
458,강남대로,06123,37.5034023,127.0254123
128-8,다산로,04590,37.5549014,127.0112942
203,화랑로,02773,37.6087696,127.0524397
356,광나루로,05008,37.5479106,127.0694072
7,사가정로,02597,37.5705971,127.0490214
1218,양재대로,05649,37.5150373,127.1322169
424-9,구천면로,05292,37.5499148,127.1459899
49,율곡로,03060,37.5764717,126.9847985
161,여의대방로,07391,37.5015798,126.9205556
88,지봉로,03108,37.5780143,127.0155715
8,종로17길,03140,37.5707276,126.9889123
65,신길로,07425,37.4984369,126.9080030
240,사가정로,02526,37.5785843,127.0715932
143,모래내로,03712,37.5695070,126.9171510
239,역삼로,06225,37.4976682,127.0425534
207-1,종로,03129,37.5711747,127.0008836
67,성내로,05396,37.5279858,127.1276675
131,테헤란로,06133,37.5000770,127.0327990
"5, 1층",백제고분로42길,05666,37.5058895,127.1098693
212,학동로,06061,37.5140510,127.0324150
107 한국외국어대학교 인문과학관,이문로,02450,37.5978679,127.0574077
161,신촌로,03766,37.5569282,126.9438836
275,난곡로,08771,37.4785760,126.9149448
154-2,을지로,04549,37.5662151,126.9951726
266,신촌로,04116,37.5570998,126.9551538
187,오금로,05642,37.5089968,127.1151497
42,칠패로,04512,37.5594680,126.9735552
7,국회대로68길,07237,37.5294449,126.9194976
1841,남부순환로,08738,37.4808411,126.9547187
51-33,잠실로,05503,37.5131357,127.0943097
50,63로,07345,37.5197701,126.9397527
36,송파대로30길,05717,37.4957370,127.1210400
13,여의공원로,07235,37.5254260,126.9163510
508,언주로,06152,37.5037404,127.0428501
270,퇴계로,04618,37.5627356,127.0016472
34,거북골로,03674,37.5803622,126.9235338
26,경희대로,02447,37.5949432,127.0518155
30 명진관 지하1층,필동로1길,04620,37.5574893,127.0003480
1,관악로,08826,37.4597588,126.9509801
120,능동로,05029,37.5419683,127.0782159
50,연세로,03722,37.5635392,126.9383488
77 종합복지관 2층,정릉로,02707,37.6102921,126.9959431
