House number,Street name,Postal code,Latitude,Longitude
6,Avenida Virgen de la Montaña,10001,39.4709996,-6.3763374
6,Calle Amberes,10005,39.4693453,-6.3864503
3,Calle Argentina,10001,39.4671400,-6.3810343
12,Calle Londres,10005,39.4681110,-6.3875123
18,Calle Londres,10005,39.4683708,-6.3882428
20,Avenida Ruta de la Plata,10001,39.4717469,-6.3890281
8,Calle Dionisio Acedo,10005,39.4671495,-6.3857099
1,Calle Rafael Lucenqui Martínez,10004,39.4844734,-6.3669506
6,Calle Ribera de Cáceres,10004,39.4881431,-6.3686996
1,Calle Villuercas,10004,39.4778465,-6.3774619
2-bis,Avenida de España,10001,39.4721428,-6.3775669
5,Avenida Clara Campoamor,10001,39.4719999,-6.3781355
Parcela 213,Calle Toneleros,10005,39.4875467,-6.4177139
12,Avenida Ruta de la Plata,10001,39.4709011,-6.3867466
4,Calle Arroyo de la Madre,10004,39.4884561,-6.3686731
1,Calle Plus Ultra,10001,39.4682332,-6.3815827
1,Plaza de Islandia,10005,39.4611681,-6.3814843
12,Avenida Virgen de Guadalupe,10001,39.4720553,-6.3800488
48,Avenida Ruta de la Plata,10001,39.4729622,-6.3924942
9,Calle Marrakech,10005,39.4589455,-6.3804892
31,Calle Pintores,10003,39.4738332,-6.3734068
3,Calle San Pedro de Alcántara,10001,39.4707752,-6.3793318
22,Calle Argentina,10001,39.4684029,-6.3833752
19,Calle Jesús Asunción,10002,39.4689439,-6.3709767
4,Calle Oaxaca,10005,39.4585020,-6.3798891
8,Avenida de Alemania,10001,39.4674357,-6.3800615
7B,Calle Monfragüe,10005,39.4717306,-6.3930284
2,Calle Profesor Rodríguez Moñino,10001,39.4692993,-6.3780108
6,Calle Colombia,10005,39.4593764,-6.3727339
4,Plaza de América,10001,39.4682375,-6.3796806
13,Avenida Clara Campoamor,10001,39.4723924,-6.3789874
41,Calle Ceclavín,10004,39.4795144,-6.3698603
48,Calle Los Riberos,10004,39.4888481,-6.3686400
30,Plaza Mayor,10003,39.4752565,-6.3717916
1,Plaza de San Mateo,10003,39.4729935,-6.3713982
2,Calle Lima,10005,39.4650267,-6.3830892
25,Calle Sanguino Michel,10005,39.4657970,-6.3831679
1,Calle Cerro del Royo,10004,39.4850896,-6.3680092
11,Calle Padre Bayle,10003,39.4790644,-6.3756377
9,Avenida de los Pilares,10002,39.4637180,-6.3733321
18,Avenida de San Blas,10004,39.4781980,-6.3693552
19,Calle Arsenio Gallego Hernández,10004,39.4863984,-6.3651301
2A,Calle Las Águilas,10004,39.4882691,-6.3728940
1,Calle Pintores,10003,39.4745792,-6.3724309
7,Calle Pintores,10003,39.4743856,-6.3727300
2B,Calle Las Águilas,10004,39.4884040,-6.3731767
2C,Calle Las Águilas,10004,39.4886678,-6.3730833
2D,Calle Las Águilas,10004,39.4887979,-6.3733680
2E,Calle Las Águilas,10004,39.4890563,-6.3732678
2F,Calle Las Águilas,10004,39.4891952,-6.3735608
2G,Calle Las Águilas,10004,39.4894525,-6.3734559
2H,Calle Las Águilas,10004,39.4895878,-6.3737514
2I,Calle Las Águilas,10004,39.4898428,-6.3736413
90,Calle Las Grullas,10004,39.4873505,-6.3789807
92,Calle Las Grullas,10004,39.4873709,-6.3792795
48,Ronda de San Francisco,10002,39.4602010,-6.3673923
50,Ronda de San Francisco,10002,39.4600696,-6.3674096
94,Calle Las Grullas,10004,39.4873795,-6.3795250
1,Calle Lope de Vega,10004,39.4804329,-6.3688317
