House number,Street name,Postal code,Latitude,Longitude
5,Landsvägsallén,852 38,62.3869923,17.3195289
1,Fridhemsgatan,852 38,62.3847597,17.3141799
14,Landsvägsallén,85229,62.3853358,17.3256021
28,Norra vägen,856 50,62.4227404,17.3461161
27,Hagavägen,856 43,62.4013993,17.3277204
9,Södra Förmansvägen,86341,62.4448800,17.3202700
3,Kolvägen,852 29,62.3873900,17.3224100
26,Bultgatan,85350,62.3928586,17.2668212
7,Gesällvägen,85350,62.4425166,17.3323028
1,Bultgatan,85350,62.3899200,17.2769700
19,Vikingavägen,85741,62.4015491,17.2652978
2,Vikingavägen,857 41,62.3987904,17.2633482
19,Bultgatan,85350,62.3921674,17.2675822
11,Östra Långgatan,85236,62.3861856,17.3081744
2,Kolvägen,852 38,62.3873307,17.3189494
1,Gillebergsgatan,85630,62.3979066,17.3394327
1,Norrmalmsgatan,852 34,62.3937753,17.3040809
10 A,Norra vägen,856 50,62.4157397,17.3421279
30,Medborgargatan,856 30,62.4006374,17.3409117
11,Gesällvägen,863 41,62.4401872,17.3340977
3,Gesällvägen,857 53,62.4458119,17.3355433
23,Klökanvägen,86341,62.4416116,17.3307745
21,Antennvägen,863 37,62.4425070,17.3498267
4,Esplanaden,852 32,62.3914270,17.3082197
16,Strandgatan,852 31,62.3886080,17.3131617
31-33,Trädgårdsgatan,85232,62.3895292,17.3047037
35,Trädgårdsgatan,85232,62.3896012,17.3042445
43,Trädgårdsgatan,852 32,62.3899035,17.3019198
25,Storgatan,852 30,62.3914350,17.3038807
34,Köpmangatan,852 31,62.3892189,17.3044710
6,Torggatan,852 32,62.3910795,17.3061465
8,Torggatan,852 32,62.3909361,17.3060713
6,Torggatan,852 32,62.3910256,17.3061196
2,Esplanaden,852 32,62.3917382,17.3084547
33,Storgatan,852 30,62.3916307,17.3020870
1,Sjögatan,852 34,62.3908038,17.3144877
2,Strandgatan,852 31,62.3906618,17.3144523
1,Ågatan,852 30,62.3918561,17.3047263
5,Ågatan,852 30,62.3918944,17.3033792
8,Torggatan,852 32,62.3907795,17.3058967
7,Esplanaden,852 31,62.3912034,17.3091552
11,Nybrogatan,852 31,62.3901199,17.3113746
13,Esplanaden,852 31,62.3894573,17.3082862
21,Kyrkogatan,852 32,62.3905217,17.3054041
3,Thulegatan,852 32,62.3916616,17.3051092
9,Thulegatan,852 32,62.3905030,17.3044758
1,Nytorget,852 32,62.3887890,17.3048353
27,Nybrogatan,852 36,62.3871760,17.3099661
17,Bankgatan,852 30,62.3893609,17.3095921
3,Tullgatan,852 31,62.3906879,17.3129595
13,Skolhusallén,852 32,62.3899331,17.3009838
8,Centralgatan,852 32,62.3901738,17.3070127
10,Nybrogatan,852 31,62.3904408,17.3112833
1,Skolhusallén,852 32,62.3915125,17.3017613
17,Thulegatan,852 32,62.3895525,17.3039798
9,Torggatan,852 32,62.3892208,17.3054172
20,Nybrogatan,852 31,62.3889289,17.3105362
9,Bankgatan,852 30,62.3905476,17.3101773
8,Varvsgränd,852 32,62.3906149,17.3022472
7,Fredsgatan,852 36,62.3870355,17.3050678
18,Bankgatan,852 30,62.3888605,17.3090281
5,Nybrogatan,852 31,62.3910858,17.3118240
10,Tullgatan,852 31,62.3896391,17.3122010
25,Skolhusallén,852 36,62.3872740,17.2996367
10A,Thulegatan,852 32,62.3896597,17.3037398
12,Torggatan,852 32,62.3902685,17.3056152
9,Esplanaden,852 31,62.3900067,17.3085576
18,Nybrogatan,852 31,62.3892574,17.3106538
17,Kyrkogatan,852 32,62.3902677,17.3075787
5,Thulegatan,852 32,62.3911615,17.3048578
2,Fredsgatan,852 32,62.3885085,17.3053230
16,Bankgatan,852 30,62.3890492,17.3091096
28,Nybrogatan,852 36,62.3873885,17.3096374
27,Esplanaden,852 36,62.3866867,17.3069561
13,Tullgatan,852 31,62.3891465,17.3123925
23,Skolhusallén,852 36,62.3875412,17.2997741
23,Thulegatan,852 32,62.3886118,17.3036870
5,Centralgatan,852 32,62.3915854,17.3082170
13,Nybrogatan,852 31,62.3895486,17.3111294
8,Esplanaden,852 32,62.3897208,17.3074233
31,Kyrkogatan,852 32,62.3909441,17.3018116
6,Thulegatan,852 32,62.3909628,17.3044255
3,Nytorget,852 32,62.3884651,17.3062103
24,Nybrogatan,852 31,62.3882338,17.3099900
8,Bankgatan,852 30,62.3910690,17.3101139
7,Tullgatan,852 31,62.3900276,17.3127205
10,Kyrkogatan,852 31,62.3899408,17.3120059
6,Varvsgränd,852 32,62.3908781,17.3024156
4,Centralgatan,852 32,62.3916181,17.3079141
2,Tullgatan,852 31,62.3909320,17.3127862
14,Esplanaden,852 32,62.3890768,17.3071012
30,Kyrkogatan,852 32,62.3910559,17.3023612
8,Thulegatan,852 32,62.3901359,17.3040490
10,Torggatan,852 32,62.3904021,17.3056822
22,Nybrogatan,852 31,62.3887305,17.3104336
2,Esplanaden,852 32,62.3916383,17.3084111
