House number,Street name,Postal code,Latitude,Longitude
14,Незалежності проспект,84301,48.7358513,37.5919053
13,Богдана Хмельницького вулиця,84301,48.7371937,37.5858474
18,Катеринича вулиця,84313,48.7398666,37.5892205
99,Велика Садова вулиця,84303,48.7338825,37.5333252
6,Миру проспект,84300,48.7396441,37.5812133
16,Марата вулиця,84301,48.7402777,37.5928903
15,Паркова вулиця,84300,48.7333395,37.5808205
15,Паркова вулиця,84313,48.7331955,37.5806811
52,Академічна вулиця,84313,48.7371044,37.5825642
18,Богдана Хмельницького вулиця,84300,48.7370387,37.5814977
1,Богдана Хмельницького вулиця,84300,48.7378791,37.5804091
3,Богдана Хмельницького вулиця,84300,48.7379973,37.5807567
3,Богдана Хмельницького вулиця,84300,48.7379444,37.5809138
3,Богдана Хмельницького вулиця,83000-87999,48.7378957,37.5810802
3,Богдана Хмельницького вулиця,84300,48.7377473,37.5814715
3,Богдана Хмельницького вулиця,84300,48.7376539,37.5817118
7,Піщаного вулиця,84300,48.7428514,37.5854216
7,Піщаного вулиця,84300,48.7429504,37.5855772
18,Катеринича вулиця,84313,48.7399069,37.5891108
18,Катеринича вулиця,84313,48.7396623,37.5892659
18,Катеринича вулиця,84313,48.7397890,37.5893111
10,Незалежності проспект,84301,48.7364757,37.5901899
18,Катеринича вулиця,84313,48.7399412,37.5890009
1а,Олекси Тихого вулиця,84307,48.7576568,37.5846591
45 оф419,Василя Стуса вулиця,84301,48.7359462,37.5869846
45 оф220,Василя Стуса вулиця,84301,48.7359136,37.5869447
59,Ярослава Мудрого вулиця,84300,48.7307938,37.5916034
22,Дружби вулиця,84313,48.7428927,37.5925952
7,Катеринича вулиця,84300,48.7422686,37.5855020
24,Ярослава Мудрого вулиця,84331,48.7400845,37.5982263
17,Паркова вулиця,84313,48.7331299,37.5813919
30,Рум’янцева вулиця,84333,48.7489387,37.5995051
87,Паркова вулиця,84300,48.7264466,37.6029681
62,Василя Стуса вулиця,84300,48.7349453,37.5853541
46,Ювілейна вулиця,84300,48.7312479,37.5952498
69,Паркова вулиця,84301,48.7299728,37.5938506
19,Маяковського вулиця,84333,48.7493511,37.5925041
24,Паркова вулиця,84323,48.7261767,37.5987569
21,Наді Курченко вулиця,34331,48.7240578,37.5996415
32а,Паркова вулиця,84323,48.7249232,37.6001047
53,Машинобудівників бульвар,84313,48.7313276,37.5744337
103,Паркова вулиця,84331,48.7235592,37.6100810
107,Паркова вулиця,84331,48.7228420,37.6112281
105,Паркова вулиця,84331,48.7233080,37.6108584
101,Паркова вулиця,84331,48.7229648,37.6098470
99,Паркова вулиця,84331,48.7238141,37.6085456
55,Машинобудівників бульвар,84313,48.7311716,37.5750101
63,Машинобудівників бульвар,84313,48.7304694,37.5751802
88,Академічна вулиця,84313,48.7296429,37.5762806
5,Південна вулиця,84313,48.7297300,37.5727176
15,Південна вулиця,84313,48.7293900,37.5752364
57,Машинобудівників бульвар,84313,48.7305491,37.5739943
7,Південна вулиця,84313,48.7299553,37.5737224
92,Академічна вулиця,84313,48.7297980,37.5757322
48,Василя Стуса вулиця,84313,48.7388783,37.5883315
1,Бахмутська вулиця,84306,48.7613974,37.5874724
9,Незалежності проспект,84301,48.7366072,37.5919059
19,Леоніда Бикова вулиця,84320,48.7486016,37.6191701
21,Героїв України вулиця,84326,48.7405105,37.5953308
18,Катеринича вулиця,84313,48.7397939,37.5891015
14,Катеринича вулиця,84313,48.7401562,37.5882898
50,Василя Стуса вулиця,84313,48.7392377,37.5874869
16,Катеринича вулиця,84313,48.7397234,37.5877942
17,Героїв України вулиця,84314,48.7425436,37.5962546
13,Рум’янцева вулиця,84333,48.7523524,37.5928680
10,Академічна вулиця,84333,48.7524704,37.5944264
20,Остапа Вишні вулиця,84307,48.7260672,37.5719584
24,Новгородська вулиця,84307,48.7256943,37.5711673
25,Новгородська вулиця,84307,48.7260759,37.5709157
32,Новгородська вулиця,84307,48.7261539,37.5714999
26,Новгородська вулиця,84307,48.7258631,37.5712822
14,Остапа Вишні вулиця,84307,48.7264736,37.5706306
27,Новгородська вулиця,84307,48.7262224,37.5709428
2,Остапа Вишні вулиця,84307,48.7268019,37.5686015
17-П,Олекси Тихого вулиця,84307,48.7215341,37.5660607
19,Український провулок,84307,48.7265618,37.5688075
1,Український провулок,84307,48.7255911,37.5688064
9,Український провулок,84307,48.7258688,37.5679593
4,Український провулок,84307,48.7259586,37.5686458
2,Український провулок,84307,48.7258000,37.5689409
17,Український провулок,84307,48.7264481,37.5687078
13,Український провулок,84307,48.7261253,37.5684585
15,Український провулок,84307,48.7263050,37.5686086
3,Український провулок,84307,48.7256909,37.5685689
5,Український провулок,84307,48.7257469,37.5683920
7,Український провулок,84307,48.7258285,37.5682059
11,Український провулок,84307,48.7260337,37.5683056
17,Дніпровська вулиця,84306,48.7629170,37.5952360
1,Ольги Кобилянської вулиця,84306,48.7653453,37.5905501
99,Велика Садова вулиця,84303,48.7340103,37.5331988
13,Радужна вулиця,84303,48.7342297,37.5304351
3,1 мая улица,84302,48.7263288,37.5368211
75,Велика Садова вулиця,84302,48.7269089,37.5344993
16,Шкільна вулиця,84302,48.7259958,37.5335618
23,Краматорський бульвар,84331,48.7246526,37.6090066
39/3,Ярослава Мудрого вулиця,84301,48.7374907,37.5971079
10і,Олекси Тихого вулиця,84313,48.7420432,37.5690606
19,Маяковського вулиця,84333,48.7494261,37.5922393
1,Ольги Кобилянської вулиця,84306,48.7650468,37.5907246
103а,Паркова вулиця,84331,48.7231143,37.6100179
10,Кагатна вулиця,84302,48.7138029,37.5352068
9,Південна вулиця,84313,48.7294888,37.5731376
13,Південна вулиця,84313,48.7291634,37.5740744
32а,Паркова вулиця,84323,48.7249364,37.6001261
4,Сахалінська вулиця,84306,48.7671401,37.5898246
1а,Конрада Гампера вулиця,84314,48.7213144,37.5527534
6,Олекси Тихого вулиця,84306,48.7684936,37.5872244
43а,Ярослава Мудрого вулиця,84301,48.7368719,37.5966947
92,Академічна вулиця,84313,48.7271989,37.5740554
6г,Олекси Тихого вулиця,84306,48.7712530,37.5879707
15б,Краматорський бульвар,84301,48.7282125,37.6087249
6,Український провулок,84307,48.7261292,37.5687773
28,Новгородська вулиця,84307,48.7259961,37.5713650
41,Лікарська вулиця,84307,48.7258814,37.5690652
6,Остапа Вишні вулиця,84307,48.7270106,37.5691818
19,Єлісєєва вулиця,84308,48.7034105,37.4989623
17,Краматорський бульвар,84331,48.7265029,37.6094721
53,Незалежності проспект,84331,48.7320221,37.6067539
