House number,Street name,Postal code,Latitude,Longitude
106,Москалівська вулиця,61000,49.9671356,36.2204560
40,вулиця Бригади Хартія,61099,49.9557761,36.3456227
59,проспект Перемоги,61201,50.0595127,36.1999139
21,Сумська вулиця,61057,49.9975714,36.2333520
38,проспект Науки,61166,50.0222753,36.2248308
2,Академіка Богомольця вулиця,61157,49.9668880,36.2198290
1,Вернадського вулиця,61010,49.9825392,36.2410243
85,Олександрівський проспект,61000,49.9459849,36.3586340
165,Аерокосмічний проспект,61000,49.9520883,36.2606459
30,Римарська вулиця,61057,49.9980824,36.2323704
3В,Академіка Проскури вулиця,61085,50.0463640,36.2862577
49/8,Ювілейний проспект,61120,49.9981941,36.3296130
130,проспект Тракторобудівників,61121,50.0117025,36.3527475
5,вулиця Амосова,61171,49.9844738,36.3480243
40,вулиця Алчевських,61002,50.0054672,36.2440360
25,проспект Науки,61145,50.0219737,36.2237192
8,Харківське шосе,61000,50.0413153,36.2732507
5,Озерянська вулиця,61093,49.9875927,36.1928737
2Б,Льва Ландау проспект,61100,49.9391812,36.2957495
2,вулиця Маршала Батицького,61038,49.9870643,36.2963755
4,Красина улица,61002,49.9988716,36.2427349
15/46,вулиця Гвардійців-Широнінців,61120,49.9968859,36.3280613
54,вулиця Григорія Сковороди,61002,50.0004538,36.2437251
1,вулиця Мистецтв,61002,50.0006174,36.2439932
37,Петровського вулиця,61002,50.0041839,36.2462685
3,Манізера вулиця,61002,49.9991740,36.2442016
295,Клочківська вулиця,61045,50.0319889,36.1974436
244,Клочківська вулиця,61045,50.0316344,36.2023020
28/10,Івана Камишева вулиця,61038,49.9924867,36.3047413
28/10,Івана Камишева вулиця,61038,49.9924867,36.3047950
47/2,Салтівське шосе,61038,49.9897005,36.2977476
47/2,Салтівське шосе,61038,49.9897084,36.2976867
77/79,Сумська вулиця,61023,50.0134035,36.2437082
52,Льва Ландау проспект,61000,49.9644513,36.3098905
9,Плеханівська вулиця,61001,49.9832166,36.2474025
17,Чкалова вулиця,61070,50.0450344,36.2836216
7587757,вулиця Отакара Яроша,61072,50.0276527,36.2238846
2/2,Конституції майдан,61003,49.9895492,36.2331834
45,Любові Малої проспект,61039,49.9715934,36.1915790
26а,вулиця Амосова,61176,49.9824247,36.3490560
60,Людвіга Свободи проспект,61000,50.0625830,36.1989779
39а,Двадцять Третього Серпня вулиця,61072,50.0358772,36.2220715
191А,Клочківська вулиця,61000,50.0145624,36.2153708
42,вулиця Вартових Неба,61072,50.0311855,36.2233197
38,вулиця Дмитра Коцюбайла,61001,49.9741538,36.2607759
20,вулиця Миру,61007,49.9490703,36.3741944
63а,проспект Тракторобудівників,61120,49.9982903,36.3360569
28,Римарська вулиця,61057,49.9979237,36.2318734
64,Ювілейний проспект,61118,49.9964085,36.3420102
59,Ювілейний проспект,61118,49.9973699,36.3425745
7/9,Мистецтв вулиця,61002,49.9996227,36.2463068
47,вулиця Нескорених,61129,50.0170286,36.3665662
50/52,вулиця Григорія Сковороди,61002,49.9994707,36.2422722
1,Новоросійський провулок,61068,49.9783432,36.2721192
83/26,вулиця Гвардійців-Широнінців,61144,50.0275825,36.3525539
160,проспект Тракторобудівників,61129,50.0222866,36.3652745
13,Чернишевська вулиця,61100,49.9974193,36.2365604
13а,вулиця Ярослава Мудрого,61047,50.0067467,36.2407354
40,вулиця Бригади Хартія,61099,49.9558080,36.3452644
61ж,проспект Перемоги,61000,50.0610256,36.2021545
36,проспект Науки,61166,50.0218456,36.2248282
20,вулиця Миру,61007,49.9496238,36.3746206
40,Людвіга Свободи проспект,61204,50.0527404,36.2075966
29,Мала Гончарівська вулиця,61052,49.9850031,36.2086292
5,Искусств улица,61002,50.0002950,36.2446596
49а,Одесская улица,61000,49.9465115,36.2571165
10,Сумська вулиця,61166,49.9945098,36.2329987
113,Олександрівський проспект,61089,49.9389456,36.3816682
210,Велика Панасівська вулиця,61017,50.0183447,36.1942673
7/8,Захисників України майдан,61001,49.9871559,36.2589912
33,Військова вулиця,61001,49.9875862,36.2590061
10,Сумська вулиця,61000,49.9946188,36.2328388
5,Архітектора Альошина проспект,61007,49.9488447,36.3750200
8,Бориса Чичибабина вулиця,61022,50.0094100,36.2268492
18,Дизайнерський провулок,61023,50.0114549,36.2507641
6,Академіка Барабашова вулиця,61054,50.0067796,36.3057886
107,Тракторостроителей,61129,50.0237756,36.3649043
12,Здоров’я вулиця,61001,49.9918219,36.2722265
7/8,Захисників України майдан,61001,49.9857216,36.2590981
30,бульвар Богдана Хмельницького,61099,49.9527702,36.3467376
35в,Астрономічна вулиця,61085,50.0546620,36.2902988
48,Сергія Грицевця вулиця,61172,49.9150086,36.4055243
10,Каштанова вулиця,61035,49.9578655,36.2720356
108,проспект Тракторобудівників,61118,49.9981928,36.3411164
35Б,вулиця Ярослава Мудрого,61024,50.0049994,36.2457841
46А,Молочна вулиця,61100,49.9776469,36.2496483
64д,Валентиновская,61111,50.0007627,36.3581930
42,вулиця Вартових Неба,61072,50.0310975,36.2236154
2,Гоголя вулиця,61057,49.9949638,36.2352237
119,Аерокосмічний проспект,61140,49.9670677,36.2597237
110б/1,проспект Тракторобудівників,61000,50.0007810,36.3413498
41/2,Аерокосмічний проспект,61001,49.9762823,36.2543405
30,вулиця Гвардійців-Широнінців,61170,50.0053907,36.3330713
6,Трінклера вулиця,61058,50.0076159,36.2351737
50в,Людвига Свободи проспект,61204,50.0584679,36.2103348
8,Культури вулиця,61058,50.0114240,36.2385750
79-5,вулиця Григорія Сковороди,61024,50.0065122,36.2482489
179,Аерокосмічний проспект,61124,49.9468150,36.2613260
177,Аерокосмічний проспект,61124,49.9467480,36.2617990
20,вулиця Миру,61007,49.9500085,36.3749102
11,Молочна вулиця,61000,49.9799156,36.2534414
11,Академіка Проскури вулиця,61085,50.0483135,36.2910538
057 372 1978,Пластичний провулок,61000,49.9751665,36.1604002
185б,Аерокосмічний проспект,61009,49.9348813,36.2633415
4,Різниківський провулок,61052,49.9969215,36.2134400
5,Жасміновий бульвар,61100,49.9498807,36.3190896
8,Свободи майдан,61058,50.0049553,36.2348595
3в,Академіка Проскури вулиця,61085,50.0463313,36.2860722
7/10,Героїв Небесної Сотні майдан,61000,49.9873807,36.2453371
68,Загородня вулиця,61000,49.9987359,36.3157008
83/26,вулиця Гвардійців-Широнінців,61000,50.0279082,36.3530226
20,вулиця Миру,61007,49.9495250,36.3745297
10,Бекетова вулиця,61007,49.9440634,36.3745023
8,Шаповалiвський,61157,49.9614581,36.2179674
14,вулиця Харківських Дивізій,61091,49.9585339,36.3304543
14,Бакулина улица,61000,50.0158209,36.2290002
4а,вулиця Євгенія Єніна,61145,50.0153196,36.2235089
25,вулиця Культури,61145,50.0114865,36.2236929
28/10,Івана Камишева вулиця,61038,49.9924688,36.3047330
73,Плеханівська вулиця,61001,49.9787135,36.2653083
115,Полтавський Шлях вулиця,61000,49.9849817,36.1924052
65г к2,проспект Перемоги,61174,50.0631080,36.2046927
4 (п. 4),Ромена Роллана вулиця,61022,50.0085099,36.2259358
109,Клочківська вулиця,61000,50.0065506,36.2181263
27,Буковий провулок,6100,50.0357885,36.1872866
9д,проспект Науки,61166,50.0142828,36.2250369
2/4,Коцарська вулиця,61000,49.9908435,36.2206486
9/11,Малом’ясницька вулиця,61010,49.9821811,36.2428934
14,Пушкіна вулиця,89600,49.9894028,36.2252617
25,Римарська вулиця,61000,49.9977503,36.2287866
127А,Аерокосмічний проспект,61000,49.9615719,36.2597930
3а,Європейська вулиця,61145,50.0214244,36.2180507
20,вулиця Миру,61007,49.9499269,36.3714837
102,вулиця Миру,61047,49.9363411,36.4140516
152/1,Полтавський Шлях вулиця,61064,49.9837003,36.1827504
140а,Полтавський Шлях вулиця,61000,49.9847438,36.1855269
11/1,Морозова вулиця,61036,49.9567871,36.2898979
174а,Клочківська вулиця,61000,50.0147470,36.2171358
190-1,Полтавський Шлях вулиця,61000,49.9785459,36.1678469
17,Алчевських вулиця,61002,50.0039765,36.2410766
143,Салтівське шосе,61112,49.9903630,36.3497900
134в,проспект Байрона,61105,49.9435420,36.3001210
1,Конституції майдан,61003,49.9867630,36.2337685
41,Людвіга Свободи проспект,61202,50.0565170,36.2030130
148/3,Полтавський Шлях вулиця,61098,49.9824310,36.1797020
8/10,Євгена Котляра вулиця,61107,49.9898680,36.2075590
77,Ново-Баварський проспект,61020,49.9494870,36.1645570
44Б,вулиця Академіка Павлова,61068,49.9903564,36.2897408
21,Бекетова вулиця,61007,49.9427694,36.3743104
17,Раєвської вулиця,61161,50.0027586,36.2946251
6,вулиця Козакевича,61168,50.0088870,36.3026690
1,Амурський провулок,61161,50.0019480,36.3050530
134,Полтавський Шлях вулиця,61093,49.9849280,36.1879570
14,вулиця Нескорених,61168,50.0249810,36.3305690
9,проспект Науки,61058,50.0155870,36.2256870
74а,вулиця Григорія Сковороди,61024,50.0032020,36.2473350
1а,Чоботарська вулиця,61105,49.9919190,36.2160280
77,Ново-Баварський проспект,61020,49.9494910,36.1645570
14,вулиця Нескорених,61144,50.0249740,36.3305530
8/10,Євгена Котляра вулиця,61107,49.9898630,36.2075530
179,Аерокосмічний проспект,61124,49.9474160,36.2609340
33а,Сергія Грицевця вулиця,61172,49.9149710,36.4075960
148/2,Полтавський Шлях вулиця,61098,49.9819710,36.1788050
5/1,Жасміновий бульвар,61100,49.9498659,36.3176382
5/1,Жасміновий бульвар,61100,49.9498563,36.3176414
21,Космічна вулиця,61000,50.0145038,36.2197855
11,Бекетова вулиця,61007,49.9452817,36.3761359
4,Серпова вулиця,61166,50.0137678,36.2294477
15л,Москаленка вулиця,61108,50.0988791,36.2605598
15к,Москаленка вулиця,61108,50.0988860,36.2604774
15і,Москаленка вулиця,61108,50.0988929,36.2603942
15и,Москаленка вулиця,61108,50.0988998,36.2603125
15ж,Москаленка вулиця,61108,50.0989066,36.2602312
15д,Москаленка вулиця,61108,50.0989135,36.2601498
15г,Москаленка вулиця,61108,50.0989203,36.2600681
15в,Москаленка вулиця,61108,50.0989271,36.2599868
15б,Москаленка вулиця,61108,50.0989339,36.2599058
15а,Москаленка вулиця,61108,50.0989407,36.2598254
17л,Москаленка вулиця,61108,50.0990358,36.2606132
17к,Москаленка вулиця,61108,50.0990426,36.2605327
17і,Москаленка вулиця,61108,50.0990494,36.2604518
17и,Москаленка вулиця,61108,50.0990562,36.2603705
17ж,Москаленка вулиця,61108,50.0990630,36.2602888
17д,Москаленка вулиця,61108,50.0990699,36.2602074
17г,Москаленка вулиця,61108,50.0990767,36.2601261
17в,Москаленка вулиця,61108,50.0990835,36.2600443
17б,Москаленка вулиця,61108,50.0990905,36.2599612
17а,Москаленка вулиця,61108,50.0990974,36.2598788
19а,Москаленка вулиця,61108,50.0994804,36.2606872
19к,Москаленка вулиця,61108,50.0995438,36.2599826
5,Слави проспект,61177,49.9839902,36.1562793
176,Аерокосмічний проспект,61124,49.9489059,36.2590866
