House number,Street name,Postal code,Latitude,Longitude
18-А,вулиця Степана Бандери,07400,50.5143973,30.8137269
316/2,Київська вулиця,07400,50.5266893,30.7964553
302,Київська вулиця,07400,50.5180815,30.7873984
5,вулиця Героїв Небесної Сотні,07400,50.5106392,30.7874988
3,бульвар Незалежності,07400,50.5133831,30.7935676
4-Б,вулиця Марії Лагунової,07400,50.5130869,30.7900503
3,бульвар Незалежності,07400,50.5131843,30.7933735
3,бульвар Незалежності,07400,50.5129663,30.7931695
3,бульвар Незалежності,07400,50.5130407,30.7932827
14,вулиця Героїв України,07400,50.5123818,30.7878116
7,бульвар Незалежності,07400,50.5142133,30.7950436
6,бульвар Незалежності,07400,50.5141138,30.7966134
6,бульвар Незалежності,07400,50.5142160,30.7967682
12,бульвар Незалежності,07400,50.5171318,30.8011658
2,бульвар Незалежності,07400,50.5110744,30.7919703
7,бульвар Незалежності,07400,50.5144399,30.7953904
17,бульвар Незалежності,07406,50.5187675,30.8019989
2,бульвар Незалежності,07400,50.5111523,30.7920835
7,бульвар Незалежності,07400,50.5142783,30.7951431
7,бульвар Незалежності,07400,50.5141517,30.7949493
6,бульвар Незалежності,07400,50.5135007,30.7956846
7,бульвар Незалежності,07400,50.5148862,30.7959598
3,вулиця Олександра Білана,07404,50.5010492,30.7459258
13,бульвар Незалежності,07400,50.5167653,30.7990375
7,вулиця Грушевського,07400,50.5040712,30.7866956
2,вулиця Ярослава Мудрого,07401,50.4987628,30.7712614
166,Київська вулиця,07401,50.4987171,30.7708485
5,вулиця Героїв Небесної Сотні,07400,50.5105086,30.7874832
20-А,вулиця Симона Петлюри,07406,50.5218951,30.8026943
9-А,бульвар Незалежності,07400,50.5157861,30.7958746
10,вулиця Володимира Великого,07403,50.5112116,30.8327572
23,вулиця Металургів,07400,50.5215713,30.8088001
7,вулиця Героїв України,07400,50.5139914,30.7867930
6,бульвар Незалежності,07400,50.5138073,30.7961490
90,вулиця Ярослава Мудрого,07400,50.5020093,30.7889827
60-В,вулиця Чорних Запорожців,07406,50.5207791,30.7964955
18,вулиця Степана Бандери,07400,50.5145516,30.8125003
7,бульвар Незалежності,07400,50.5147964,30.7958562
1,вулиця Ярослава Мудрого,07401,50.4994765,30.7739156
20-А,вулиця Симона Петлюри,07406,50.5218975,30.8028457
24,вулиця Симона Петлюри,07406,50.5221873,30.8022842
219,Київська вулиця,07400,50.5063779,30.7767612
10-В,вулиця Шевченка,07402,50.5092742,30.7686560
20/2,вулиця Олега Онікієнка,07403,50.5094206,30.8202045
3,вулиця Героїв УПА,07400,50.5104658,30.7967834
21,вулиця Сергія Москаленка,07403,50.5072226,30.8260536
150,Київська вулиця,07401,50.4979377,30.7664158
7,бульвар Незалежності,07400,50.5139570,30.7946513
139а,Київська вулиця,07401,50.4985451,30.7665008
