House number,Street name,Postal code,Latitude,Longitude
2А,Геологічна вулиця,91006,48.5388089,39.2709459
88а,Улица Андрея Линева,91000,48.5587158,39.2595406
170,26-ти Бакинських Комісарів вулиця,91047,48.5383859,39.3400247
170,26 Бакинских Комиссаров,91047,48.5385919,39.3403785
26,квартал Комарова,91057,48.5621963,39.3982227
16,Челюскінців вулиця,91000,48.5569553,39.3169507
2,Красная площадь,91055,48.5738501,39.3023840
3,Московська вулиця,91055,48.5741184,39.3123570
8,Курчатова вулиця,91031,48.5563058,39.3255155
2г,Чорноморська вулиця,91006,48.5395724,39.2577626
16-18,Лутугінська вулиця,91007,48.5419060,39.2947918
16,квартал Мирный,91000,48.5226826,39.2680525
23,5-й Печерський провулок,91000,48.5260820,39.3143165
3,квартал Комарова,91050,48.5601895,39.3930962
71а,Свердлова вулиця,91000,48.5669899,39.2884026
2,1-й микрорайон,91055,48.5700371,39.2898296
13е,Кв. Мирный,91015,48.5254936,39.2601624
26,Демьохіна вулиця,91000,48.5686984,39.3057328
19а,Коцюбинського вулиця,91055,48.5729994,39.3039626
27,Коцюбинського вулиця,91055,48.5729613,39.2973922
4а,Оборонна вулиця,91011,48.5613801,39.3183773
24,Демьохіна вулиця,91016,48.5694980,39.3056605
22,Демьохіна вулиця,91016,48.5699423,39.3058802
26,Демьохіна вулиця,91016,48.5688073,39.3057563
5,Шевченка квартал,91033,48.5502881,39.3305744
4,Шевченка квартал,91033,48.5495882,39.3305833
3,Шевченка квартал,91033,48.5488510,39.3306479
20,Шевченка квартал,91033,48.5501539,39.3319915
21,Шевченка квартал,91033,48.5500849,39.3311715
48,16-а Лінія вулиця,91000,48.5670568,39.3165084
78,Радянська вулиця,291011,48.5682626,39.3171385
1а,Тимірязєва вулиця,91021,48.5564759,39.2565072
106,Андрія Ліньова вулиця,91021,48.5590654,39.2519374
17,Коцюбинського вулиця,91055,48.5725276,39.3040824
19,Коцюбинського вулиця,91055,48.5724721,39.3032905
15,Коцюбинського вулиця,91055,48.5725939,39.3049060
4а,50 років Жовтня квартал,91042,48.5763960,39.3890157
9а,Коцюбинського вулиця,91055,48.5729365,39.3079046
13,Коцюбинського вулиця,91055,48.5723359,39.3060877
9,Коцюбинського вулиця,91055,48.5724754,39.3070432
14,Коцюбинського вулиця,91055,48.5708532,39.2977257
14,Коцюбинського вулиця,91055,48.5705899,39.2983690
5,Віктора Пятьоркіна вулиця,91000,48.5759715,39.2907750
6,Польського вулиця,91055,48.5724766,39.3020267
21,Коцюбинського вулиця,91055,48.5721180,39.3024223
4,Польського вулиця,91055,48.5729844,39.3019176
1,1-й микрорайон,91055,48.5704185,39.2892989
2,Кірова вулиця,91023,48.5781066,39.2888602
3,1-й микрорайон,91055,48.5681941,39.2908915
2,1-й микрорайон,91055,48.5700794,39.2904449
4,1-й микрорайон,91055,48.5691095,39.2901528
102,Тараса Шевченка вулиця,91055,48.5710194,39.2930846
7,Красная площадь,91055,48.5740087,39.2993343
22,Цупова вулиця,91002,48.5812550,39.3001778
77,Андрія Ліньова вулиця,91021,48.5597604,39.2523085
2и,Победоносная,91015,48.5296923,39.2727965
2,5-й Короткий тупик,91021,48.5577004,39.2521547
8,Героев Сталинграда квартал,91006,48.5389358,39.2616312
14,Героев Сталинграда квартал,91006,48.5406129,39.2647693
7г,Ленинского комсомола квартал,91006,48.5424646,39.2613432
3А,Героев Сталинграда квартал,91006,48.5385311,39.2648967
5,Ленінського комсомолу квартал,91006,48.5426549,39.2595575
1,Героев Сталинграда квартал,91006,48.5368960,39.2618479
11,Героев Сталинграда квартал,91006,48.5410011,39.2626309
3,Героев Сталинграда квартал,91006,48.5381138,39.2620328
5,Героев Сталинграда квартал,91006,48.5384228,39.2590742
16,Героев Сталинграда квартал,91006,48.5406832,39.2661444
15,Героев Сталинграда квартал,91006,48.5418277,39.2640041
14,Героев Сталинграда квартал,91006,48.5400710,39.2647284
4,Героев Сталинграда квартал,91006,48.5376757,39.2624790
1,Героев Сталинграда квартал,91006,48.5373237,39.2617880
1В,Ленинского комсомола квартал,91006,48.5396672,39.2564579
15,Героев Сталинграда квартал,91006,48.5413227,39.2644624
13,Героев Сталинграда квартал,91006,48.5410610,39.2637895
1Б,Ленинского комсомола квартал,91006,48.5399654,39.2558618
7,Героев Сталинграда квартал,91006,48.5390653,39.2600354
7,Ленинского комсомола квартал,91006,48.5427939,39.2604669
6,Героев Сталинграда квартал,91006,48.5390593,39.2589649
2а,Ленинского комсомола квартал,91006,48.5406519,39.2578790
3,Героев Сталинграда квартал,91006,48.5382905,39.2629994
4а,Ленинского комсомола квартал,91006,48.5420132,39.2595812
11,Героев Сталинграда квартал,91006,48.5412664,39.2627186
4а,Ленинского комсомола квартал,91006,48.5414737,39.2595088
5,Героев Сталинграда квартал,91006,48.5380020,39.2593723
2Б,Ленинского комсомола квартал,91006,48.5401075,39.2577835
7а,Ленинского комсомола квартал,91006,48.5433844,39.2613830
8,Героев Сталинграда квартал,91006,48.5396916,39.2608404
11,Героев Сталинграда квартал,91006,48.5415424,39.2628119
13,Героев Сталинграда квартал,91006,48.5406397,39.2638422
8,Героев Сталинграда квартал,91006,48.5391558,39.2608269
3,Героев Сталинграда квартал,91006,48.5384439,39.2623509
1,Ленинского комсомола квартал,91006,48.5393832,39.2569120
8,Героев Сталинграда квартал,91006,48.5399513,39.2609529
7,Героев Сталинграда квартал,91006,48.5386469,39.2600243
16,Героев Сталинграда квартал,91006,48.5399947,39.2668768
12,Героев Сталинграда квартал,91006,48.5421582,39.2629189
11,Героев Сталинграда квартал,91006,48.5405906,39.2629526
8,Героев Сталинграда квартал,91006,48.5394174,39.2608008
3,Героев Сталинграда квартал,91006,48.5377734,39.2632356
7Б,Ленинского комсомола квартал,91006,48.5428761,39.2613305
5,Героев Сталинграда квартал,91006,48.5381163,39.2604161
2,Героев Сталинграда квартал,91006,48.5377457,39.2610238
2,Ленинского комсомола квартал,91006,48.5405112,39.2571288
4,Ленинского комсомола квартал,91006,48.5418660,39.2588618
2,Героев Сталинграда квартал,91006,48.5370554,39.2609286
7,Ленинского комсомола квартал,91006,48.5432589,39.2606402
12,Алєксєєва квартал,91011,48.5636462,39.3107724
37,50 років Жовтня квартал,91042,48.5763643,39.3972110
37А,50 років Жовтня квартал,91042,48.5765368,39.3963885
36А,50 років Жовтня квартал,91042,48.5771217,39.3972504
36,50 років Жовтня квартал,91042,48.5772774,39.3982219
35,50 років Жовтня квартал,91042,48.5765226,39.3986489
21,50 років Жовтня квартал,91042,48.5712570,39.3937688
1а,Заречный квартал,91015,48.5281648,39.2694912
1Б,Заречный квартал,91015,48.5276817,39.2700062
1,Заречный квартал,91015,48.5268317,39.2704925
8,Заречный квартал,91015,48.5300399,39.2695290
9,Південний квартал,91006,48.5277743,39.2549925
1,Південний квартал,91006,48.5311805,39.2511413
1а,Південний квартал,91006,48.5311468,39.2502519
17,Заречный квартал,91015,48.5276858,39.2674678
16,Зарічний квартал,91015,48.5279720,39.2684383
16,Заречный квартал,91015,48.5282721,39.2676038
15,Заречный квартал,91015,48.5287672,39.2664495
15,Зарічний квартал,91015,48.5292099,39.2667174
14,Заречный квартал,91015,48.5292692,39.2673576
13,Заоечный квартал,91015,48.5297403,39.2678484
13,Заречный квартал,91015,48.5293045,39.2682633
7,Заречный квартал,91015,48.5301385,39.2690188
9,Зарічний квартал,91015,48.5292061,39.2701207
9,Заречный квартал,91015,48.5293897,39.2707547
10,Заречный квартал,91015,48.5290976,39.2715412
11,Заречный квартал,91015,48.5287584,39.2705921
4,Заречный квартал,91015,48.5287510,39.2722733
4,Зарічний квартал,91015,48.5283038,39.2720699
3Б,квартал Заречный,91015,48.5290784,39.2733503
5,Зарічний квартал,91015,48.5293071,39.2725195
5,Заречный квартал,91015,48.5299551,39.2718039
6,Зарічний квартал,91015,48.5308153,39.2693655
2,Заречный квартал,91015,48.5276088,39.2720963
3,Південний квартал,91006,48.5303821,39.2489182
3а,Південний квартал,91006,48.5297788,39.2488984
4,Південний квартал,91006,48.5300673,39.2497396
4а,Південний квартал,91006,48.5296439,39.2501905
4Б,Південний квартал,91006,48.5289111,39.2501830
4Б,Південний квартал,91006,48.5284682,39.2506319
5,Південний квартал,91006,48.5291788,39.2510707
5б,Південний квартал,91006,48.5279405,39.2518014
6,Південний квартал,91006,48.5285365,39.2522821
6а,Південний квартал,91006,48.5278656,39.2526948
7,Південний квартал,91006,48.5270143,39.2529843
8а,Південний квартал,91006,48.5271725,39.2538018
8,Південний квартал,91006,48.5276942,39.2536414
10а,Південний квартал,91006,48.5281535,39.2557065
10,Південний квартал,91006,48.5286952,39.2555332
19,Степной квартал,91015,48.5211649,39.2776704
9А,Героев Сталинграда квартал,91006,48.5413297,39.2617466
9А,Героев Сталинграда квартал,91006,48.5415053,39.2618363
9А,Героїв Сталінграду квартал,91006,48.5416105,39.2621245
4,Ленинского комсомола квартал,91006,48.5413951,39.2586814
8,Ленинского комсомола квартал,91006,48.5454680,39.2622925
11,Ленінського Комсомолу квартал,91006,48.5447542,39.2633036
1,Ленинского комсомола квартал,91006,48.5395588,39.2571246
10,Ленинского комсомола квартал,91006,48.5451945,39.2611749
10,Ленинского комсомола квартал,91006,48.5453530,39.2608922
