House number,Street name,Postal code,Latitude,Longitude
2,проспект Тараса Шевченка,79016,49.8385263,24.0308459
57,Стрийська вулиця,79031,49.7981568,24.0184729
16,Листопадна вулиця,79034,49.8132584,24.0451529
113,проспект Червоної Калини,79049,49.7840984,24.0604187
4/1,вулиця Євгена Патона,79040,49.8257690,23.9505687
22,вулиця Івана Величковського,79002,49.8758990,23.9371100
28,вулиця Івана Величковського,79002,49.8765370,23.9352716
16,Листопадна вулиця,79034,49.8131763,24.0447697
5,Катедральна площа,79008,49.8405956,24.0309833
1,проїзд Крива Липа,79000,49.8405751,24.0268787
48А,вулиця Михайла Драгоманова,79011,49.8325434,24.0277219
7,Дунайська вулиця,79035,49.8164359,24.0508235
5б,вулиця Олександра Мишуги,79034,49.8181694,24.0327218
37,Староєврейська вулиця,79008,49.8412234,24.0344840
2,вулиця Леся Мартовича,79005,49.8354782,24.0306151
2,Соборна площа,79000,49.8394754,24.0334558
5,Низинна вулиця,79052,49.8436869,23.9711757
10,Галицька вулиця,79008,49.8402312,24.0313862
9,Тернопільська вулиця,79034,49.8164267,24.0407340
27,Городоцька вулиця,79007,49.8429059,24.0225085
116 к2,вулиця Тараса Шевченка,79039,49.8485104,23.9993682
97,вулиця Євгена Коновальця,79057,49.8265241,23.9971058
13,вулиця Сяйво,79052,49.8393588,23.9770571
43,Пасічна вулиця,79038,49.8301785,24.0698459
59,вулиця Володимира Антоновича,79044,49.8311257,24.0004281
2,проспект Вʼячеслава Чорновола,79000,49.8474752,24.0260694
8,вулиця Олекси Новаківського,79000,49.8371108,24.0158898
6,вулиця Володимира Винниченка,79008,49.8394020,24.0358718
1,вулиця Богдана Хмельницького,79000,49.8453553,24.0290726
51,Зелена вулиця,79017,49.8320067,24.0419823
1,Двірцева площа,79023,49.8392400,23.9939973
78,Стрийська вулиця,79026,49.8198512,24.0194331
35,Стрийська вулиця,79003,49.8162132,24.0217490
28,Вірменська вулиця,79000,49.8431666,24.0324400
26,Вірменська вулиця,79008,49.8431635,24.0323615
9,вулиця Степана Бандери,79013,49.8345937,24.0172174
50,Староєврейська вулиця,79008,49.8410800,24.0345466
6,Любінська вулиця,79015,49.8333208,23.9900417
167,Пасічна вулиця,79066,49.8046074,24.0757689
78,Стрийська вулиця,79026,49.8194011,24.0197417
77,Зелена вулиця,79017,49.8298977,24.0447053
7а,Наукова вулиця,79000,49.8030096,23.9993919
9,Козельницька вулиця,79000,49.8136624,24.0262377
3,вулиця Степана Бандери,79013,49.8346246,24.0183959
9,вулиця Степана Бандери,79013,49.8346018,24.0174108
3,вулиця Володимира Шухевича,79000,49.8370156,24.0340491
115,Зелена вулиця,79035,49.8215820,24.0556722
2,вулиця Шота Руставелі,79000,49.8340860,24.0352307
115,Зелена вулиця,79035,49.8218980,24.0552476
3,вулиця Генерала Тараса Чупринки,79000,49.8339185,24.0156597
55,Зелена вулиця,79017,49.8318880,24.0421272
51,Зелена вулиця,79017,49.8321046,24.0418468
43,Зелена вулиця,79017,49.8325379,24.0411953
1,Шевська вулиця,79006,49.8420861,24.0300925
2,вулиця Джохара Дудаєва,79005,49.8366727,24.0312191
23,вулиця Миколая Коперника,79000,49.8356281,24.0221356
23,вулиця Миколая Коперника,79000,49.8355639,24.0220495
1,вулиця Степана Смаль-Стоцького,79015,49.8347290,23.9949327
3,вулиця Степана Бандери,79013,49.8346268,24.0185152
7,вулиця Степана Бандери,79013,49.8346044,24.0175697
11,вулиця Миколая Коперника,79000,49.8383975,24.0271953
17,вулиця Богдана Хмельницького,79000,49.8464301,24.0289034
2а,Мулярська вулиця,79019,49.8467798,24.0275245
54,Замарстинівська вулиця,79058,49.8542364,24.0283242
102,Любінська вулиця,79022,49.8223152,23.9725399
39,площа Ринок,79008,49.8426526,24.0312114
31,Замкова вулиця,79000,49.8518325,24.0419206
10,вулиця Братів Рогатинців,79008,49.8400873,24.0321600
2,вулиця Джохара Дудаєва,79005,49.8367594,24.0313231
15,Сербська вулиця,79008,49.8402848,24.0336573
22,вулиця Якова Степового,79000,49.8713159,24.0454366
8,Замкова вулиця,79019,49.8475908,24.0328485
45,площа Ринок,79006,49.8427376,24.0321067
7,Шпитальна вулиця,79007,49.8445217,24.0236176
26,вулиця Костя Левицького,79005,49.8349788,24.0386247
10,Крупʼярська вулиця,79014,49.8386847,24.0561756
16,Личаківська вулиця,79010,49.8398004,24.0400047
25,площа Ринок,79006,49.8414437,24.0307389
188,вулиця Богдана Хмельницького,70024,49.8627892,24.0518671
27,Валова вулиця,79008,49.8406192,24.0349321
3,вулиця Соломії Крушельницької,79000,49.8382325,24.0223827
7,Щирецька вулиця,79071,49.8091015,23.9777586
