House number,Street name,Postal code,Latitude,Longitude
3,Ворошилова улица,98330,45.3354118,36.4520029
1А,Ворошилова улица,298329,45.3338626,36.4528510
9,Маршала Ерёменко улица,98300,45.3603505,36.4655150
1,улица Кирова,298300,45.3531672,36.4743784
86,Свердлова улица,298320,45.3424191,36.4591199
5,Орджоникидзе улица,298313,45.2841922,36.4091264
45,Орджоникидзе улица,298310,45.2916566,36.4176558
27А,Ворошилова улица,298330,45.3401191,36.4382433
37А,улица Ульяновых,298309,45.3013520,36.4304670
1Д,улица Ульяновых,298324,45.3052348,36.4469455
43,улица Кирова,298312,45.3639481,36.4846199
23,улица Горького,298318,45.3682949,36.4960704
23/35,Войкова улица,298306,45.3601085,36.5232149
7Б,улица Маршала Ерёменко,298302,45.3602219,36.4596291
33,Вокзальное шоссе,298302,45.3581097,36.4551848
5У,Галины Петровой улица,298313,45.2178104,36.4018507
1Г,Сморжевского улица,298300,45.3613529,36.5130611
8,Самойленко улица,298300,45.3576567,36.4676983
103,улица Кирова,298319,45.3627538,36.5064033
5,улица Кирова,298300,45.3545146,36.4743465
2,улица Кирова,298300,45.3530485,36.4752521
12,улица Фурманова,298312,45.3655735,36.4836530
101,улица 23 Мая 1919 года,298300,45.3548585,36.4687790
9/2,Курортная улица,298309,45.2986737,36.4307962
2А,улица Кирова,298300,45.3533624,36.4749734
38,улица Карла Маркса,298300,45.3569381,36.4743553
68,Колхозная,298324,45.3039200,36.4578850
21/12,Советская улица,298300,45.3553745,36.4727015
13,улица Кирова,298300,45.3565729,36.4751054
3,1-й Степной переулок,98307,45.3514466,36.5739981
2,улица Горбульского,298302,45.3568635,36.4600890
31В,улица Галины Петровой,298313,45.2265951,36.4079385
162,Чкалова,98300,45.3457037,36.4241282
38,Шлагбаумская улица,298300,45.3565839,36.4600953
11,улица Кирова,298300,45.3556941,36.4743995
23А,улица Свердлова,98300-98399,45.3449669,36.4662170
1Б,улица Ульяновых,98324,45.3050022,36.4434495
14,улица Петрухина,298310,45.2934487,36.4231566
23,улица Суворова,298306,45.3626584,36.5288070
7,улица Марата,298320,45.3401806,36.4564095
3,Ворошилова улица,98330,45.3352429,36.4524643
37 к2,Ворошилова улица,98330,45.3379697,36.4406943
37 к1,Ворошилова улица,98330,45.3376768,36.4414396
17,улица Индустриальное шоссе,298330,45.3420488,36.4317694
32,Будённого улица,298330,45.3375221,36.4361075
19,Будённого улица,299000,45.3360922,36.4401971
19,улица Ворошилова,298300,45.3361177,36.4448897
1А,Ворошилова улица,298329,45.3338828,36.4528081
7,улица Маршала Ерёменко,298300,45.3589738,36.4622860
48,улица Орджоникидзе,298310,45.2926269,36.4203909
3,Юннатов переулок,98315,45.2999281,36.4312121
12,улица Орджоникидзе,98313,45.2841939,36.4103701
3,Пионеров бульвар,98310,45.2858535,36.4143133
18,улица Мира,298310,45.2904608,36.4135853
16,переулок Юннатов,329109,45.2986065,36.4339168
