House number,Street name,Postal code,Latitude,Longitude
68,Залесская улица,295044,44.9134576,34.0862735
7А,улица Самокиша,295000,44.9478000,34.0943000
66,Киевская улица,295034,44.9604865,34.1076280
14,Севастопольская улица,95001,44.9466863,34.0999366
20,Севастопольская улица,295011,44.9455478,34.0993902
65,Красноармейская улица,95001,44.9399239,34.1099161
6А,улица Хромченко,95000,44.9673915,34.0823734
22,бульвар Ленина,295006,44.9616087,34.0837152
29,улица Гаспринского,295000,44.9529583,34.1080549
54,улица Лексина,95051,44.9476758,34.0831710
4,Караимская улица,295011,44.9455921,34.1035791
11,улица Козлова,295015,44.9422402,34.0949705
18,проспект Кирова,295034,44.9468101,34.0969349
11,Училищная улица,295001,44.9409988,34.1001234
34,улица Гавена,295044,44.9174019,34.0898386
63,Глинки улица,295022,44.9759224,34.1539829
5,улица Маяковского,295011,44.9467874,34.0912538
30А,улица Козлова,295011,44.9395184,34.0981558
85,улица Беспалова,295023,44.9196765,34.1380561
23,Промышленная улица,295023,44.9193300,34.1419151
20,Лесной проезд,295023,44.9197136,34.1435459
1А,Народная улица,295023,44.9210811,34.1452681
137,улица Крылова,295001,44.9244183,34.1163387
12,Речная улица,295006,44.9581912,34.0921475
37Г,Севастопольская улица,295013,44.9307991,34.0863451
3А,улица Гайдара,295026,44.9670667,34.0973913
41,проспект Кирова,295017,44.9544402,34.1043800
4,улица Дмитрия Ульянова,295013,44.9254801,34.0850120
16А,улица Генерала Телегина,295051,44.9537734,34.0781786
7А,улица Беспалова,295007,44.9420796,34.1250797
57,улица Бородина,295033,44.9679424,34.1395205
21А,Караимская улица,295011,44.9431419,34.1005058
38,улица Желябова,295051,44.9490261,34.0898233
76,Залесская улица,295044,44.9122300,34.0878524
2,Линейная улица,295018,44.9668077,34.0862375
8,Евпаторийское шоссе,295014,44.9707793,34.0764705
77,Киевская улица,295034,44.9591582,34.1100208
77,Киевская улица,295034,44.9591130,34.1101113
34,проспект Кирова,295000,44.9495329,34.0998909
162,улица Крылова,295000,44.9301439,34.1163776
35,Артезианская улица,295022,44.9718028,34.1255113
6,улица Пушкина,295000,44.9506635,34.0985169
16А,улица Генерала Телегина,295051,44.9535967,34.0776863
36,проспект Кирова,295000,44.9497903,34.1006735
14/2,Севастопольская улица,295024,44.9472271,34.1002831
3,Пахотная улица,295049,44.9867631,34.1707846
4,Ремесленная улица,95000,44.9488402,34.1043242
27А,Севастопольская улица,295015,44.9378783,34.0917094
22/2,Севастопольская улица,95001,44.9452868,34.0992219
133,Киевская улица,295050,44.9731891,34.0986033
1/7,бульвар Ленина,295006,44.9589740,34.0888061
22/2,Севастопольская улица,295001,44.9454351,34.0992626
20/2,Севастопольская улица,295001,44.9453529,34.0992214
105Б,улица 51-й Армии,295053,44.9536529,34.1346101
105Б,улица 51-й Армии,295053,44.9535702,34.1344187
105Б,улица 51-й Армии,295053,44.9535157,34.1345681
105А,улица 51-й Армии,295053,44.9534092,34.1344132
105А,улица 51-й Армии,295053,44.9536917,34.1345167
105А,улица 51-й Армии,295053,44.9534802,34.1341852
5-6,Плотинная улица,295007,44.9356007,34.1365502
4,Киевская улица,295053,44.9474457,34.1261277
133,Киевская улица,295050,44.9734061,34.0989013
180,Гражданская улица,295021,44.9209001,34.0916735
10,Смежный переулок,295017,44.9514404,34.1186321
7/12,улица Пушкина,295000,44.9510206,34.0985464
37А,проспект Кирова,295000,44.9532735,34.1031577
6/8,улица Пушкина,295000,44.9507968,34.0987921
30/6,улица Богдана Хмельницкого,295034,44.9588347,34.1075969
3,улица Курчатова,95000,44.9489962,34.1058019
39,Севастопольская улица,295013,44.9303787,34.0852813
16,улица Пушкина,295011,44.9488679,34.0963959
7,переулок Молодых Подпольщиков,295050,44.9713877,34.1007431
3,Петропавловская улица,295000,44.9509428,34.1030339
61А,Киевская улица,295017,44.9545329,34.1175227
8А,улица Крымской Правды,295000,44.9333713,34.0775569
77/4,Киевская улица,295034,44.9593444,34.1097540
62А,Севастопольская улица,295015,44.9367294,34.0920639
9,улица 60 лет Октября,295044,44.9156764,34.0874390
9,улица 60 лет Октября,295044,44.9154978,34.0872018
13,улица 60 лет Октября,295044,44.9141843,34.0855992
77/4,Киевская улица,295034,44.9590864,34.1101476
13,Пролетарская,295000,44.9487379,34.1046913
4,Екатерининская улица,295000,44.9500011,34.0999189
3,Привокзальная,295051,44.9628727,34.0834957
15/1,бульвар Ленина,295051,44.9617860,34.0852180
18/3,проспект Кирова,295011,44.9466499,34.0969468
21,улица Ладыгина,295053,44.9535835,34.1299377
9/2,улица Москалёва,295014,44.9594277,34.0752960
9A,улица Москалёва,295014,44.9598996,34.0743819
14Л,улица Маяковского,295051,44.9492895,34.0882961
189,Киевская улица,295050,44.9850703,34.0862841
