House number,Street name,Postal code,Latitude,Longitude
5,вулиця Праведників Світу,21036,49.2357846,28.4260919
5,вулиця Юрія Клена,21034,49.2371105,28.5148799
24,проспект Космонавтів,21021,49.2284676,28.4197029
18,вулиця Левка Лукʼяненка,21000,49.2443151,28.5350099
32,вулиця Максима Шимка,21034,49.2362955,28.5179720
63,вулиця Лялі Ратушної,21036,49.2269991,28.4338397
65,вулиця Лялі Ратушної,21036,49.2265579,28.4339617
88,вулиця Лялі Ратушної,21036,49.2257587,28.4337722
82,Хмельницьке шосе,21036,49.2350773,28.4295621
37,вулиця Івана Бойка,21036,49.2268498,28.4354028
43,вулиця Івана Бойка,21036,49.2266335,28.4341014
52,вулиця Івана Бойка,21036,49.2269150,28.4339229
34,Наскрізний провулок,21036,49.2278075,28.4358906
36,Наскрізний провулок,21036,49.2277918,28.4352895
43,Наскрізний провулок,21036,49.2276667,28.4359151
45,Наскрізний провулок,21036,49.2276215,28.4352919
46,Наскрізний провулок,21036,49.2276940,28.4338894
48,Трамвайна вулиця,21036,49.2278564,28.4353836
50,Трамвайна вулиця,21036,49.2275695,28.4353909
55,вулиця Лялі Ратушної,21036,49.2277319,28.4337711
55,Наскрізний провулок,21036,49.2275443,28.4338846
57,вулиця Лялі Ратушної,21036,49.2275033,28.4338097
107б,Хмельницьке шосе,21000,49.2377968,28.3998947
3,Сонячна вулиця,21000,49.2093249,28.4056690
92,Соборна вулиця,21050,49.2344862,28.4608359
3а,Сонячна вулиця,21000,49.2092144,28.4067730
1,Келецька вулиця,21000,49.2259570,28.4465052
1,Барське шосе 1-й кілометр вулиця,21000,49.2309992,28.3899925
12,вулиця Лесі Українки,21020,49.2405507,28.4511432
29,Пирогова вулиця,21018,49.2290042,28.4531317
3,Трамвайна вулиця,21036,49.2308584,28.4374692
13,Немирівське шосе,21034,49.2318730,28.5159944
1,вулиця Юрія Клена,21034,49.2378712,28.5129646
9б,Батозька вулиця,21007,49.2418877,28.5094308
41,провулок Ґрохольських,21020,49.2449316,28.4435347
38,Привокзальна вулиця,21100,49.2280144,28.4994548
1,вулиця Гоголя,21018,49.2325289,28.4580186
2,вулиця Гладкова,21024,49.2253944,28.5146695
3а,Енергетична вулиця,21022,49.2653660,28.4944368
201а,Немирівське шосе,21034,49.2244899,28.5553248
72,Келецька вулиця,21021,49.2253812,28.4165895
8,Цегельний провулок,21011,49.2385687,28.4629310
72,Келецька вулиця,21021,49.2253813,28.4164751
3,Брацлавська вулиця,21012,49.2317302,28.5020870
29/7,вулиця Чорновола,21032,49.2444119,28.4779262
8,бульвар Свободи,21018,49.2206565,28.4490128
54в,Келецька вулиця,21021,49.2281865,28.4291572
151м,Пирогова вулиця,21008,49.2110799,28.4240413
135,Пирогова вулиця,21037,49.2123922,28.4291002
17,вулиця 600-річчя,21000,49.2280254,28.4277705
36,вулиця Василя Порика,21029,49.2328033,28.4030266
59,вулиця Данила Нечая,21012,49.2202333,28.4904835
55,вулиця Острозького,21009,49.2404125,28.4899349
23Б,Пирогова вулиця,21000,49.2298716,28.4542361
3а,Сонячна вулиця,21000,49.2100319,28.4054050
2а,проспект Коцюбинського,21000,49.2399294,28.5091036
2,площа Гагаріна,21000,49.2332291,28.4561609
13,вулиця Архітектора Артинова,21050,49.2349175,28.4667775
53,вулиця Миколи Оводова,21050,49.2333709,28.4692556
33,вулиця Максимовича,21036,49.2403838,28.4281898
22,проспект Юності,21030,49.2231698,28.4103200
37 пр.77,Замостянська вулиця,21001,49.2364086,28.4939731
58,вулиця Князів Коріатовичів,21018,49.2295347,28.4711160
3,вулиця Кропивницького,21050,49.2325082,28.4735831
41,Соборна вулиця,21050,49.2327309,28.4728776
92,Соборна вулиця,21050,49.2344810,28.4608313
92,Соборна вулиця,21050,49.2344865,28.4608166
92,Соборна вулиця,21050,49.2344863,28.4608260
92,Соборна вулиця,21050,49.2344812,28.4608209
43,Соборна вулиця,21050,49.2326104,28.4721493
15,вулиця Павла Тичини,21034,49.2387960,28.5166849
15,вулиця Павла Тичини,21034,49.2388574,28.5167262
28,вулиця Юрія Клена,21034,49.2363548,28.5161620
13,вулиця Олега Антонова,21034,49.2363488,28.5244788
13Г,вулиця Олега Антонова,21034,49.2364109,28.5244861
21,Брацлавський провулок,21001,49.2304287,28.4968112
8,1-й проїзд Гетьмана Мазепи,21034,49.2289103,28.5206498
7,вулиця Максима Шимка,21034,49.2365263,28.5165209
28а,вулиця Юрія Клена,21034,49.2363852,28.5172080
7,вулиця Максима Шимка,21034,49.2365418,28.5164506
28а,вулиця Юрія Клена,21034,49.2363819,28.5171592
28а,вулиця Юрія Клена,21034,49.2363701,28.5172893
32,вулиця Максима Шимка,21034,49.2352985,28.5177707
37,проспект Коцюбинського,21001,49.2381987,28.4924410
