House number,Street name,Postal code,Latitude,Longitude
29,شارع الدَّبَّاس,20039,24.4695109,54.3466578
"Three Sails Tower, 1204 Suite, Building No.27w10",Corniche Road West,549,24.4716830,54.3402854
3,Khalifa Street,4399,24.4922059,54.3608668
533,Intersection Hazza Bin Zayed (11th) Street and Mubarak Bin Mohammed (26th) Street,108699,24.4612605,54.3621513
39,شارع عَرَادة,22227,24.4759402,54.3810440
46,شارع الدَّوْك,22217,24.4869763,54.3690989
50,شارع شرينة,22217,24.4863143,54.3701562
46,شارع شرينة,22217,24.4861458,54.3699078
47,شارع شرينة,22217,24.4866160,54.3697301
7,شارع شرينة,22217,24.4852726,54.3677388
31,شارع الهَاَم,20045,24.4639618,54.3691080
33,شارع الهَاَم,20045,24.4640360,54.3690428
43,شارع الهَاَم,20045,24.4644811,54.3686514
39,شارع الهَاَم,20045,24.4642754,54.3688323
41,شارع الهَاَم,20045,24.4643800,54.3687403
87,شارع الهَاَم,20045,24.4663170,54.3672887
89,شارع الهَاَم,20045,24.4663970,54.3673812
57,شارع خديجة بنت خويلد,20045,24.4638714,54.3723220
2,شارع الهَاَم,20045,24.4627093,54.3708929
4,شارع الهَاَم,20045,24.4627943,54.3708091
20,شارع الصِّرَاي,22229,24.4681919,54.3746674
18,شارع الصِّرَاي,22229,24.4682552,54.3746043
26,شارع الذوق,22228,24.4657484,54.3781109
24,شارع الذوق,22228,24.4657009,54.3780341
38,شارع الفَنَر,22228,24.4647542,54.3777792
36,شارع الفَنَر,22228,24.4647887,54.3777463
34,شارع الفَنَر,22228,24.4648372,54.3777000
10,شارع البَرْنِي,22228,24.4661960,54.3760454
12,شارع البَرْنِي,22228,24.4662567,54.3761239
37,شارع المِيل,22227,24.4741672,54.3837175
39,شارع المِيل,22227,24.4740640,54.3838132
80,شارع الرْدوم,22227,24.4701735,54.3836710
78,شارع الرْدوم,22227,24.4702683,54.3835957
76,شارع الرْدوم,22227,24.4703593,54.3835234
56,شارع الرّملة,22227,24.4695240,54.3813232
20,شارع اللَّقِين,22227,24.4694339,54.3812260
3,شارع الرْدوم,22227,24.4748568,54.3801954
5,شارع الرْدوم,22227,24.4747754,54.3802826
7,شارع الرْدوم,22227,24.4747019,54.3803613
9,شارع الرْدوم,22227,24.4746292,54.3804393
30,شارع الرْدوم,22227,24.4727216,54.3812288
32,شارع الرْدوم,22227,24.4726312,54.3813199
9,شارع صَلالَة,22227,24.4716141,54.3809263
7,شارع صَلالَة,22227,24.4715545,54.3808544
5,شارع صَلالَة,22227,24.4714813,54.3807663
3,شارع صَلالَة,22227,24.4713357,54.3805910
1,شارع صَلالَة,22227,24.4712228,54.3804551
6,شارع الرْدوم,22227,24.4744483,54.3797576
8,شارع الرْدوم,22227,24.4742787,54.3798854
26,شارع المِيل,22227,24.4743430,54.3828326
28,شارع المِيل,22227,24.4743029,54.3828783
49,شارع وذِيل,22227,24.4779941,54.3846836
167,شارع حميم,22227,24.4769841,54.3869153
165,شارع حميم,22227,24.4768941,54.3869892
143,شارع حميم,22227,24.4753518,54.3880147
115,شارع حميم,22227,24.4731359,54.3887963
117,شارع حميم,22227,24.4732018,54.3889041
621,شارع محمد بن خليفة,20046,24.4552055,54.3783439
619,شارع محمد بن خليفة,20046,24.4551365,54.3782554
617,شارع محمد بن خليفة,20046,24.4550319,54.3781213
40,شارع الأشبال,20046,24.4556885,54.3788633
42,شارع الأشبال,20046,24.4557457,54.3789353
42,شارع الذَّانُون,20200,24.4430840,54.3723007
38,شارع الذَّانُون,20200,24.4429260,54.3721124
36,شارع الذَّانُون,20200,24.4428491,54.3720207
640,شارع البطين,20051,24.4433482,54.3614807
20,شارع أم الشِّيف,20200,24.4415187,54.3718057
24,شارع أم الشِّيف,20200,24.4416448,54.3719772
15,شارع الأَزْيَب,20057,24.4343310,54.3698919
13,شارع الأَزْيَب,20057,24.4344056,54.3698210
57,شارع العَيَّاي,20055,24.4395408,54.3687584
117,شارع حَتَّا,22217,24.4869767,54.3719781
113,شارع حَتَّا,22217,24.4871802,54.3718043
109,شارع حَتَّا,22217,24.4875037,54.3715278
101,شارع حَتَّا,22217,24.4878248,54.3712535
9,شارع الخِضَيرِي,22217,24.4884119,54.3694588
23,شارع بُوحَصَا,20019,24.4541515,54.3562451
25,شارع بُوحَصَا,20019,24.4540769,54.3563117
1,شارع غليل صُوعِين,20019,24.4503881,54.3577168
3,شارع غليل صُوعِين,20019,24.4502507,54.3578427
7,شارع غليل صُوعِين,20019,24.4498860,54.3581769
1,شارع بُوِيريَّات,20019,24.4512729,54.3589735
3,شارع بُوِيريَّات,20019,24.4513742,54.3590926
14,شارع الرُّكْبَات,20020,24.4516757,54.3527987
12,شارع الرُّكْبَات,20020,24.4517468,54.3527255
8,شارع الرُّكْبَات,20020,24.4518913,54.3525768
10,شارع الرُّكْبَات,20020,24.4518228,54.3526474
20,شارع النِّزُول,20021,24.4579952,54.3583360
22,شارع النِّزُول,20021,24.4580356,54.3583929
27,شارع المَنْهَج,20021,24.4550564,54.3586494
18,شارع بُوحَصَا,20019,24.4543509,54.3555900
30,شارع بُوحَصَا,20019,24.4536287,54.3562556
32,شارع بُوحَصَا,20019,24.4535420,54.3563426
8,شارع غَلِيلْ المَاء,20019,24.4497449,54.3578284
6,شارع غَلِيلْ المَاء,20019,24.4496682,54.3577437
34,شارع الرَّطِيب,22423,24.4517613,54.4005486
32,شارع الرَّطِيب,22423,24.4516934,54.4004641
30,شارع الرَّطِيب,22423,24.4516061,54.4003555
4,شارع الرَّطِيب,22423,24.4505190,54.3989873
26,شارع العِرَازِيل,20040,24.4645676,54.3471804
24,شارع العِرَازِيل,20040,24.4645270,54.3471279
21,شارع العِرَازِيل,20040,24.4646852,54.3468142
15,شارع العِرَازِيل,20040,24.4642454,54.3462796
33,شارع مِليكَة,20040,24.4643763,54.3450996
14,شارع الكَاسِر,20024,24.4723907,54.3188241
21,شارع الرَّطِيب,22423,24.4513204,54.3995709
11,شارع الرَّطِيب,22423,24.4510785,54.3992904
3,شارع الرَّطِيب,22423,24.4507559,54.3987738
51,شارع البَكرا,22423,24.4529822,54.4027884
17,شارع الرفجة,22419,24.4453059,54.4047850
33,شارع الرفجة,22416,24.4441317,54.4060790
35,شارع الرفجة,22416,24.4440825,54.4061543
37,شارع الرفجة,22416,24.4439677,54.4063298
39,شارع الرفجة,22416,24.4438493,54.4065110
45,شارع الرفجة,22416,24.4435585,54.4069556
47,شارع الرفجة,22416,24.4435032,54.4070400
51,شارع الرفجة,22416,24.4432185,54.4074754
8,شارع بَيَاض,22420,24.4475030,54.4014193
10,شارع بَيَاض,22420,24.4473036,54.4016143
12,شارع بَيَاض,22420,24.4471026,54.4018108
35,شارع الفِنْجَان,22420,24.4470433,54.4018688
33,شارع الفِنْجَان,22420,24.4472487,54.4016679
31,شارع الفِنْجَان,22420,24.4474054,54.4015148
40,شارع الغِزِير,22420,24.4472403,54.4024024
16,شارع المُتَمَعِّن,22419,24.4481014,54.4080566
34,شارع المُتَمَعِّن,22419,24.4478615,54.4078828
112,شارع الشُّمُوس,22419,24.4463477,54.4087124
351,شارع سلامة بنت بطي,22419,24.4460005,54.4086784
49,شارع المُنَاف,22416,24.4444048,54.4074525
63,شارع المُنَاف,22416,24.4441648,54.4077791
41,شارع المُنَاف,22416,24.4445643,54.4072017
39,شارع المُنَاف,22416,24.4446282,54.4071012
23,شارع المُنَاف,22416,24.4449676,54.4067451
30,شارع الرفجة,22416,24.4440757,54.4054612
32,شارع الرفجة,22416,24.4439286,54.4056798
38,شارع الرفجة,22416,24.4436193,54.4061395
40,شارع الرفجة,22416,24.4435659,54.4062190
42,شارع الرفجة,22416,24.4434801,54.4064087
44,شارع الرفجة,22416,24.4433254,54.4065764
46,شارع الرفجة,22416,24.4432711,54.4066571
56,شارع الرفجة,22416,24.4427937,54.4073667
63,شارع صَاغِي,22416,24.4426044,54.4064735
85,شارع صَاغِي,22416,24.4423252,54.4067799
71,شارع صَاغِي,22416,24.4429048,54.4066954
8,شارع السَّد,22419,24.4459471,54.4035210
5,شارع صْنَيْفِي,22414,24.4425571,54.4084271
7,شارع صْنَيْفِي,22414,24.4425347,54.4086166
41,شارع صْنَيْفِي,22414,24.4415801,54.4108783
57,شارع صْنَيْفِي,22414,24.4412196,54.4119496
5,شارع الكُوفَة,22415,24.4472210,54.4104528
31,شارع الكُوفَة,22415,24.4464332,54.4121554
75,شارع القَبُول,22415,24.4430734,54.4143604
39,شارع الضَافِي,22413,24.4392505,54.4155076
4,شارع صْنَيْفِي,22414,24.4422585,54.4080401
58,شارع صْنَيْفِي,22414,24.4408819,54.4117711
3,شارع الأَنْساب,22414,24.4403008,54.4117569
4,شارع الكُوفَة,22415,24.4465964,54.4101614
32,شارع الكُوفَة,22415,24.4459264,54.4119136
104,شارع القَبُول,22413,24.4414776,54.4165842
106,شارع القَبُول,22413,24.4414633,54.4168200
52,شارع المُنَاف,22416,24.4438361,54.4073436
68,شارع المُنَاف,22416,24.4437030,54.4077606
6,شارع المُنَاف,22416,24.4445893,54.4061902
22,شارع المُنَاف,22416,24.4444587,54.4066623
308,شارع الظَّفرة,22406,24.4389740,54.4172395
3,شارع القَطَّارَة,22406,24.4389372,54.4173339
5,شارع القَطَّارَة,22406,24.4388740,54.4174957
7,شارع القَطَّارَة,22406,24.4388345,54.4175970
21,شارع القَطَّارَة,22406,24.4385011,54.4184113
27,شارع القَطَّارَة,22406,24.4383056,54.4190164
25,شارع الجُنْد,22406,24.4395668,54.4196227
32,شارع قُرطُبَة,22406,24.4397723,54.4197823
30,شارع قُرطُبَة,22406,24.4398177,54.4196731
24,شارع قُرطُبَة,22406,24.4399801,54.4192833
22,شارع قُرطُبَة,22406,24.4400152,54.4191992
2,شارع قُرطُبَة,22406,24.4405135,54.4179943
4,شارع قُرطُبَة,22406,24.4404809,54.4180977
3,شارع خَلاَّب,22406,24.4435568,54.4195791
91,شارع خَلاَّب,22406,24.4431323,54.4257926
39,شارع المُرْهِج,22407,24.4380330,54.4291172
41,شارع المُرْهِج,22407,24.4380108,54.4292838
51,شارع المُرْهِج,22407,24.4379732,54.4295646
53,شارع المُرْهِج,22407,24.4379633,54.4296381
135,شارع خَلاَّب,22407,24.4435104,54.4293160
141,شارع خَلاَّب,22407,24.4436441,54.4300908
159,شارع خَلاَّب,22407,24.4438133,54.4311449
