House number,Street name,Postal code,Latitude,Longitude
4175,South Alamo Avenue,85707,32.1732517,-110.8595440
1224,East Lowell Street,85721,32.2283081,-110.9523990
943,East University Boulevard,85719,32.2322402,-110.9568807
412,North 4th Avenue,85705-8443,32.2269764,-110.9654434
749,North Park Avenue,85719,32.2313908,-110.9568741
534,North 4th Avenue,85705,32.2286035,-110.9654398
151,North Stone Avenue,85701,32.2241361,-110.9718073
17,West Congress Street,85701,32.2219772,-110.9716125
1,West Congress Street,85701,32.2220019,-110.9714089
46,West Congress Street,85701,32.2219575,-110.9718004
54,West Congress Street,85701,32.2219137,-110.9722112
311,North Court Avenue,85701,32.2257186,-110.9745755
905,East University Boulevard,85719,32.2318616,-110.9575778
1031,Olive Road,85721,32.2355764,-110.9558110
845,North Park Avenue,85719,32.2324987,-110.9569330
527,North 4th Avenue,85705,32.2285117,-110.9657997
4390,North 1st Avenue,85719,32.2863345,-110.9605810
1303,East University Boulevard,85719,32.2324755,-110.9514535
1303,East University Boulevard,85721-0017,32.2327687,-110.9515775
1303,East University Boulevard,85719,32.2324898,-110.9517593
3800,West Starr Pass Boulevard,85745,32.2107270,-111.0400340
98,West River Road,85745,32.2972467,-110.9733980
405,East Wetmore Road,85705,32.2870526,-110.9656724
439,North 6th Avenue,85705,32.2273903,-110.9688017
403,North 6th Avenue,85705,32.2265220,-110.9687850
825,East University Boulevard,85719,32.2319032,-110.9590872
403,North 6th Avenue,85705,32.2266589,-110.9687950
8201,South Rita Road,85747,32.1024658,-110.8006410
758,South Stone Avenue,85701,32.2122293,-110.9689793
"#120, 2230",East Speedway Boulevard,85719,32.2355817,-110.9391772
225,East Valencia Road,85706,32.1344539,-110.9662602
210 E,Broadway Boulevard,85701,32.2209934,-110.9664075
3800,West Starr Pass Boulevard,85745,32.2159490,-111.0499290
2,East Congress Street,85701,32.2214765,-110.9710265
2550,North Los Altos Avenue,85705,32.2531359,-110.9627461
8201,South Rita Road,85747,32.1023898,-110.8005916
698,East Wetmore Road,85705,32.2862112,-110.9615791
1745,East River Road,85718,32.2888752,-110.9459501
1610,West Valencia Road,85711,32.1336045,-111.0002114
4500,North Oracle Road,85705,32.2894546,-110.9756800
1434,West Ajo Way,85714,32.1774703,-110.9721030
1790,East River Road,85718,32.2866294,-110.9451977
2814,East Edison Street,85716,32.2482791,-110.9305401
2551,North Dragoon Street,85745,32.2534244,-111.0010401
732,North Colette Place,85748,32.2313279,-110.7785678
4390,North 1st Avenue,85719,32.2862662,-110.9606390
505,West Miracle Mile,85705,32.2607804,-110.9805474
1003,North Stone Avenue,85709,32.2345455,-110.9720818
722,North Stone Avenue,85705,32.2310312,-110.9715299
