House number,Street name,Postal code,Latitude,Longitude
650,Oak Valley Parkway,92223,33.9481828,-116.9741111
480,East 5th Street,92223,33.9281907,-116.9759520
762,Beaumont Avenue,92223,33.9319246,-116.9768078
1529,Tattlesall,92223,33.9061430,-116.9560213
6350,West Ramsey Street,92220,33.9287950,-116.9465610
77,Beaumont Avenue,92223,33.9205943,-116.9776522
1668,East 2nd Street,92223,33.9241689,-116.9473189
1540,E. 2nd Street,92223,33.9227132,-116.9521810
101,California Avenue,92223,33.9222475,-116.9818362
1040,Calumet Avenue,92223,33.9366358,-116.9872800
1815,Oak Valley Village Cir,92223,33.9473006,-117.0003120
846,East 6th Street,92223,33.9297715,-116.9707949
846,East 6th Street,92223,33.9297765,-116.9706295
846,East 6th Street,92223,33.9297782,-116.9704600
35628,Alexis Court,92223,33.9527498,-117.0382799
2000,Western Knolls Avenue,92223,33.9373921,-117.0166808
245,Euclid Avenue,92223,33.9236993,-116.9792351
37020,High Ridge Drive,92223,33.9468254,-117.0166779
37062,High Ridge Drive,92223,33.9468015,-117.0164530
37086,High Ridge Drive,92223,33.9467430,-117.0162675
37134,High Ridge Drive,92223,33.9467059,-117.0160649
37150,High Ridge Drive,92223,33.9467016,-117.0158740
37192,High Ridge Drive,92223,33.9466939,-117.0156643
37218,High Ridge Drive,92223,33.9466800,-117.0154879
37246,High Ridge Drive,92223,33.9466852,-117.0152930
37284,High Ridge Drive,92223,33.9466777,-117.0151092
37338,High Ridge Drive,92223,33.9466687,-117.0149290
37390,High Ridge Drive,92223,33.9466745,-117.0147456
37436,High Ridge Drive,92223,33.9466676,-117.0145651
37474,High Ridge Drive,92223,33.9466664,-117.0143671
37542,High Ridge Drive,92223,33.9466674,-117.0141087
37580,High Ridge Drive,92223,33.9466651,-117.0139113
37654,High Ridge Drive,92223,33.9466638,-117.0137265
37696,High Ridge Drive,92223,33.9466520,-117.0135441
37738,High Ridge Drive,92223,33.9466648,-117.0133734
37782,High Ridge Drive,92223,33.9466650,-117.0131882
37840,High Ridge Drive,92223,33.9466581,-117.0130037
37892,High Ridge Drive,92223,33.9466658,-117.0128246
37954,High Ridge Drive,92223,33.9466681,-117.0126390
37986,High Ridge Drive,92223,33.9466793,-117.0124708
38010,High Ridge Drive,92223,33.9466541,-117.0122773
38038,High Ridge Drive,92223,33.9466850,-117.0121156
38062,High Ridge Drive,92223,33.9466673,-117.0119102
38084,High Ridge Drive,92223,33.9466694,-117.0117520
38108,High Ridge Drive,92223,33.9466623,-117.0115443
38146,High Ridge Drive,92223,33.9466659,-117.0113654
38174,High Ridge Drive,92223,33.9466513,-117.0111822
38220,High Ridge Drive,92223,33.9466698,-117.0109919
38284,High Ridge Drive,92223,33.9466508,-117.0106384
38378,High Ridge Drive,92223,33.9466722,-117.0102847
38436,High Ridge Drive,92223,33.9466563,-117.0100901
38480,High Ridge Drive,92223,33.9466667,-117.0098660
38552,High Ridge Drive,92223,33.9466672,-117.0096770
38594,High Ridge Drive,92223,33.9466601,-117.0094797
38648,High Ridge Drive,92223,33.9466696,-117.0093170
38764,High Ridge Drive,92223,33.9466512,-117.0091463
38850,High Ridge Drive,92223,33.9466743,-117.0089405
38924,High Ridge Drive,92223,33.9466682,-117.0087009
38968,High Ridge Drive,92223,33.9465671,-117.0085519
38256,High Ridge Drive,92223,33.9466482,-117.0108154
38342,High Ridge Drive,92223,33.9466605,-117.0104620
39139,Cherry Valley Boulevard,92223,33.9650421,-116.9816429
249,Veile Avenue,92223,33.9245267,-116.9893251
550,East 1st Street,92223,33.9221856,-116.9748550
450,East 1st Street,92223,33.9221103,-116.9762862
450,East 1st Street,92223,33.9220974,-116.9766277
502,Beaumont Avenue,92223,33.9281199,-116.9767687
502,Beaumont Avenue,92223,33.9281615,-116.9769157
1479,East Second Street,92223,33.9224148,-116.9569903
1310,Oak Valley Parkway,92223,33.9474902,-116.9635850
533,East 3rd Street,92223,33.9240433,-116.9755574
600,North Highland Springs Avenue,92220,33.9316305,-116.9446510
89,South Beaumont Avenue,92223,33.9209402,-116.9778133
501,Beaumont Avenue,92223,33.9280862,-116.9776816
35169,James Drive,92223,33.9611547,-117.0466555
35195,James Drive,92223,33.9611293,-117.0462942
525,Highland Springs Avenue,92223,33.9281102,-116.9472414
1695,East Sixth Street,92223-2509,33.9289333,-116.9472897
1540,East 2nd Street,92223,33.9250992,-116.9515539
660,Orange Avenue,92223,33.9306607,-116.9739129
695,Massachusetts Avenue,92223,33.9309497,-116.9678265
300,South Highland Springs Avenue,92220-6505,33.9241376,-116.9463640
1604,2nd Street,92223,33.9236790,-116.9485750
1610,East 2nd Street,92223,33.9236201,-116.9492551
1482,2nd Street,92223,33.9254075,-116.9540096
1480,2nd Street,92223,33.9253915,-116.9551716
1486,2nd Street,92223,33.9239351,-116.9562416
1492,East 2nd Marketplace,92223,33.9236760,-116.9546649
1634,East 2nd Street,92223-3166,33.9253788,-116.9497289
1638,East Second Street,92223-3166,33.9253912,-116.9493498
1646,East 2nd Street,92223,33.9253801,-116.9484133
1650,East 2nd Street,92223,33.9253695,-116.9478412
200,Cougar Way,92223,33.9551984,-116.9795743
1430,Beaumont Avenue,92223,33.9482550,-116.9757815
1420,Beaumont Avenue,92223,33.9477281,-116.9759283
1661,East 6th Street,92223,33.9285053,-116.9498943
800,East 6th Street,92223,33.9295989,-116.9713073
1484,2nd Street,92223,33.9237406,-116.9560789
851,East 6th Street,92223,33.9287076,-116.9706992
35153,James Drive,92223,33.9611463,-117.0468383
35145,James Drive,92223,33.9611537,-117.0470170
35127,James Drive,92223,33.9611590,-117.0471998
35115,James Drive,92223,33.9611662,-117.0473808
35107,James Drive,92223,33.9611837,-117.0475627
11165,Michael Way,92223,33.9615783,-117.0480552
11159,Michael Way,92223,33.9617581,-117.0480468
11151,Michael Way,92223,33.9619456,-117.0480460
35075,Michael Way,92223,33.9620095,-117.0483444
35051,Nikki Ct,92223,33.9619791,-117.0485251
35043,Nikki Ct,92223,33.9619783,-117.0487148
35037,Nikki Ct,92223,33.9620963,-117.0489149
35025,Nikki Ct,92223,33.9622853,-117.0489980
35032,Nikki Ct,92223,33.9624823,-117.0488731
35040,Nikki Ct,92223,33.9625017,-117.0486449
35056,Nikki Ct,92223,33.9624610,-117.0484551
35072,Nikki Ct,92223,33.9624253,-117.0482807
35082,Nikki Ct,92223,33.9623646,-117.0481028
35088,Nikki Ct,92223,33.9623609,-117.0479229
35096,Nikki Ct,92223,33.9623409,-117.0477413
11122,Michael Way,92223,33.9622522,-117.0475500
11134,Michael Way,92223,33.9620771,-117.0475154
11146,Michael Way,92223,33.9619077,-117.0475608
11162,Michael Way,92223,33.9617267,-117.0475501
11170,Michael Way,92223,33.9615476,-117.0475759
35181,James Drive,92223,33.9611366,-117.0464749
11159,Chappell Way,92223,33.9615154,-117.0462816
11145,Chappell Way,92223,33.9616893,-117.0463338
11129,Chappell Way,92223,33.9619839,-117.0462113
11125,Chappell Way,92223,33.9620188,-117.0460145
11128,Chappell Way,92223,33.9620112,-117.0458332
11130,Chappell Way,92223,33.9619747,-117.0456540
11142,Chappell Way,92223,33.9617181,-117.0457330
11166,Chappell Way,92223,33.9615542,-117.0457650
11192,Chappell Way,92223,33.9613828,-117.0457661
11250,Chappell Way,92223,33.9612034,-117.0458063
11294,Chappell Way,92223,33.9610213,-117.0457800
35057,James Drive,92223,33.9612203,-117.0486374
35052,James Drive,92223,33.9615302,-117.0486969
35060,James Drive,92223,33.9615929,-117.0485164
35078,James Drive,92223,33.9616056,-117.0483412
11155,Chad Circle,92223,33.9615645,-117.0471663
11149,Chad Circle,92223,33.9617809,-117.0471473
11139,Chad Circle,92223,33.9619691,-117.0471182
11129,Chad Circle,92223,33.9621203,-117.0471332
11125,Chad Circle,92223,33.9622848,-117.0470979
11160,Chad Circle,92223,33.9615208,-117.0466780
11152,Chad Circle,92223,33.9617093,-117.0466589
11144,Chad Circle,92223,33.9618921,-117.0466044
11130,Chad Circle,92223,33.9620396,-117.0465401
11124,Chad Circle,92223,33.9621885,-117.0465006
11296,Harmon Heights,92223,33.9610925,-117.0490075
11289,Harmon Heights,92223,33.9611540,-117.0495345
11284,Harmon Heights,92223,33.9612625,-117.0490115
11271,Harmon Heights,92223,33.9613675,-117.0495470
11270,Harmon Heights,92223,33.9614460,-117.0490405
11249,Harmon Heights,92223,33.9615610,-117.0496295
11252,Harmon Heights,92223,33.9616300,-117.0491165
11227,Harmon Heights,92223,33.9617340,-117.0497535
11236,Harmon Heights,92223,33.9618041,-117.0492269
11164,Harmon Heights,92223,33.9619828,-117.0493287
11163,Harmon Heights,92223,33.9619120,-117.0498180
11135,Harmon Heights,92223,33.9621040,-117.0498703
11128,Harmon Heights,92223,33.9621820,-117.0493795
35001,Trevino Trail,92223,33.9623838,-117.0493733
35006,Trevino Trail,92223,33.9626707,-117.0497869
35018,Trevino Trail,92223,33.9628556,-117.0496410
35022,Trevino Trail,92223,33.9629933,-117.0495041
35030,Trevino Trail,92223,33.9631155,-117.0493449
35023,Trevino Trail,92223,33.9627152,-117.0491087
35015,Trevino Trail,92223,33.9625662,-117.0492786
11123,Harmon Heights,92223,33.9623079,-117.0498878
34992,Hagen Heights,92223,33.9626953,-117.0502156
34984,Hagen Heights,92223,33.9626755,-117.0504507
34970,Hagen Heights,92223,33.9627235,-117.0506778
34964,Hagen Heights,92223,33.9627820,-117.0509172
34956,Hagen Heights,92223,33.9628837,-117.0511078
34950,Hagen Heights,92223,33.9629448,-117.0513186
34946,Hagen Heights,92223,33.9629988,-117.0516060
34947,Hagen Heights,92223,33.9625794,-117.0515744
34953,Hagen Heights,92223,33.9625465,-117.0513231
34965,Hagen Heights,92223,33.9624265,-117.0511353
34967,Hagen Heights,92223,33.9623610,-117.0509326
34979,Hagen Heights,92223,33.9623196,-117.0507042
34983,Hagen Heights,92223,33.9622605,-117.0504828
34989,Hagen Heights,92223,33.9622873,-117.0502546
34943,Hagen Heights,92223,33.9625513,-117.0518287
34931,Hagen Heights,92223,33.9624131,-117.0521196
34915,Hagen Heights,92223,33.9621878,-117.0523211
34910,Hagen Heights,92223,33.9622333,-117.0528731
34916,Hagen Heights,92223,33.9624436,-117.0527568
34928,Hagen Heights,92223,33.9626131,-117.0525938
34936,Hagen Heights,92223,33.9627876,-117.0524209
34942,Hagen Heights,92223,33.9629094,-117.0521726
35037,Trevino Trail,92223,33.9628335,-117.0489355
