House number,Street name,Postal code,Latitude,Longitude
1056,Eugenia Place,93013,34.3985310,-119.5170020
956,Maple Avenue,93013,34.3974235,-119.5178118
1018,Casitas Pass Road,93013,34.3949057,-119.5119971
1180,Eugenia Place,93013,34.3997528,-119.5155035
507,Linden Avenue,93013,34.3963225,-119.5218110
5436,Carpinteria Avenue,93013,34.3949620,-119.5131220
5404,Carpinteria Avenue,93013,34.3955651,-119.5138487
5285,Ogan Road,93013,34.4004815,-119.5120804
4290,Via Real,93013,34.4048139,-119.5307296
4545,Carpinteria Avenue,93013,34.4003900,-119.5263870
4610,Fourth Street,93013,34.3989010,-119.5258220
4648,Fourth Street,93013,34.3987580,-119.5256350
4652,Fourth Street,93013,34.3986640,-119.5255140
4680,Fourth Street,93013,34.3984430,-119.5252420
4708,Fourth Street,93013,34.3981890,-119.5249400
4724,Fourth Street,93013,34.3980890,-119.5248260
4740,Fourth Street,93013,34.3979890,-119.5247130
4756,Fourth Street,93013,34.3978870,-119.5246010
4772,Fourth Street,93013,34.3977660,-119.5245629
4790,Fourth Street,93013,34.3976658,-119.5244498
4664,Fourth Street,93013,34.3985990,-119.5252750
4664,Fourth Street,93013,34.3985070,-119.5253940
4582,Fourth Street,93013,34.3991580,-119.5262730
4578,Fourth Street,93013,34.3992590,-119.5264450
349,Ash Avenue,93013,34.3987800,-119.5269950
349,Ash Avenue,93013,34.3979080,-119.5264300
349,Ash Avenue,93013,34.3983160,-119.5259360
4588,Fourth Street,93013,34.3990400,-119.5260050
4588,Fourth Street,93013,34.3991300,-119.5260870
4588,Fourth Street,93013,34.3990550,-119.5262160
4815,Sandyland Road,93013,34.3948160,-119.5269140
4815,Sandyland Road,93013,34.3947930,-119.5268540
4815,Sandyland Road,93013,34.3949310,-119.5267180
4825,Sandyland Road,93013,34.3947390,-119.5267180
4825,Sandyland Road,93013,34.3946940,-119.5267700
4825,Sandyland Road,93013,34.3947390,-119.5267180
4825,Sandyland Road,93013,34.3946940,-119.5267700
5184,Cambridge Lane,93013,34.4057580,-119.5127420
3950,Via Real,93013,34.4063660,-119.5424700
6180,Via Real,93013,34.3880990,-119.4938910
6180,Via Real,93013,34.3885130,-119.4935560
6180,Via Real,93013,34.3885770,-119.4937310
6180,Via Real,93013,34.3886120,-119.4938950
6180,Via Real,93013,34.3888780,-119.4938750
6180,Via Real,93013,34.3888380,-119.4937200
6180,Via Real,93013,34.3887730,-119.4935370
6180,Via Real,93013,34.3887110,-119.4933530
6180,Via Real,93013,34.3886680,-119.4931760
6180,Via Real,93013,34.3886580,-119.4930150
6180,Via Real,93013,34.3885770,-119.4928490
6180,Via Real,93013,34.3885960,-119.4926490
6180,Via Real,93013,34.3888500,-119.4926390
6180,Via Real,93013,34.3889110,-119.4928330
6180,Via Real,93013,34.3889360,-119.4930100
6180,Via Real,93013,34.3889560,-119.4931740
6180,Via Real,93013,34.3890070,-119.4933490
