House number,Street name,Postal code,Latitude,Longitude
6298,Riverside Dr,91710,34.0193208,-117.6678080
6300,Riverside Dr,91710,34.0193441,-117.6673219
6299,Riverside Dr,91710,34.0190504,-117.6678088
6301,Riverside Dr,91710,34.0190660,-117.6673366
6300,Schaefer Ave,91710,34.0048411,-117.6671847
6299,Schaefer Ave,91710,34.0045685,-117.6675813
6301,Schaefer Ave,91710,34.0045707,-117.6671832
6298,Schaefer Ave,91710,34.0048389,-117.6675828
13900,Villanova Ave,91710,34.0011356,-117.6668499
13901,Villanova Ave,91710,34.0009937,-117.6666925
6300,Pepperdine Ct,91710,34.0012182,-117.6667190
6301,Pepperdine Ct,91710,34.0010720,-117.6665851
6300,Dalton St,91710,33.9997936,-117.6665820
6301,Dalton St,91710,33.9996782,-117.6665790
6398,Dalton St,91710,33.9997868,-117.6653906
6399,Dalton St,91710,33.9996668,-117.6653844
6398,Syracuse St,91710,34.0025792,-117.6653683
6399,Syracuse St,91710,34.0024592,-117.6653621
6300,Syracuse St,91710,34.0026063,-117.6667835
6301,Syracuse St,91710,34.0024743,-117.6665880
13801,Villanova Ave,91710,34.0023852,-117.6666987
13800,Villanova Ave,91710,34.0025271,-117.6668561
13998,Villanova Ave,91710,33.9990940,-117.6668544
13999,Villanova Ave,91710,33.9992256,-117.6666789
13898,Villanova Ave,91710,34.0018013,-117.6668604
13899,Villanova Ave,91710,34.0019990,-117.6666940
13801,Harvard Ave,91710,34.0025490,-117.6638396
13800,Harvard Ave,91710,34.0025520,-117.6639895
13898,Harvard Ave,91710,34.0016254,-117.6639423
13899,Harvard Ave,91710,34.0016224,-117.6637923
13700,Harvard Ave,91710,34.0040292,-117.6639856
13701,Harvard Avenue,91710,34.0040263,-117.6638356
6499,Dalton St,91710,34.0033980,-117.6640862
6498,Dalton St,91710,34.0035180,-117.6640924
6401,Dalton Street,91710,34.0033662,-117.6650140
6400,Dalton St,91710,34.0034816,-117.6650170
13899,Dartmouth Court,91710,34.0016048,-117.6646603
13898,Dartmouth Ct,91710,34.0016078,-117.6648103
6499,Schaefer Ave,91710,34.0046106,-117.6632331
6498,Schaefer Ave,91710,34.0048378,-117.6632370
6500,Schaefer Ave,91710,34.0048450,-117.6628445
6501,Schaefer Ave,91710,34.0046179,-117.6628405
13300,San Antonio Ave,91710,34.0118138,-117.6588546
13301,San Antonio Ave,91710,34.0118255,-117.6586470
13299,San Antonio Ave,91710,34.0121947,-117.6586485
13298,San Antonio Ave,91710,34.0121976,-117.6588741
13700,San Antonio Ave,91710,34.0045294,-117.6587284
13698,San Antonio Ave,91710,34.0049736,-117.6587417
13699,San Antonio Ave,91710,34.0049759,-117.6585839
13701,San Antonio Ave,91710,34.0045301,-117.6585793
6700,Schaefer Ave,91710,34.0048791,-117.6584597
6701,Schaefer Ave,91710,34.0046520,-117.6584558
6699,Schaefer Ave,91710,34.0046448,-117.6588484
6698,Schaefer Ave,91710,34.0048719,-117.6588523
14100,Fern Ave,91710,33.9973217,-117.6543634
14099,Fern Ave,91710,33.9977643,-117.6541093
14101,Fern Ave,91710,33.9973201,-117.6541662
14098,Fern Ave,91710,33.9977659,-117.6543766
14898,Ramona Ave,91710,33.9828983,-117.7065807
14899,Ramona Ave,91710,33.9829071,-117.7062336
14901,Telephone Ave,91710,33.9824808,-117.6931984
14900,Telephone Ave,91710,33.9825013,-117.6934272
14901,La Palma Dr,91710,33.9825341,-117.6915099
14900,La Palma Dr,91710,33.9825307,-117.6917500
14901,Central Ave,91710,33.9825477,-117.6887613
14900,Central Ave,91710,33.9825496,-117.6891009
14898,Central Ave,91710,33.9830889,-117.6891627
14899,Central Ave,91710,33.9830892,-117.6887797
5698,Gates St,91710,33.9697106,-117.6819237
5699,Gates St,91710,33.9695679,-117.6818349
5699,Kimball Ct,91710,33.9679250,-117.6804329
5698,Kimball Ct,91710,33.9680677,-117.6805217
5701,Kimball Ave,91710,33.9681374,-117.6799192
5700,Kimball Ave,91710,33.9683785,-117.6800333
6571,Vanderbilt St,91710,33.9883760,-117.6610073
6792,Morehouse St,91710,33.9879445,-117.6567270
6798,Morehouse St,91710,33.9879503,-117.6564592
6799,Morehouse St,91710,33.9878021,-117.6564613
6800,Morehouse St,91710,33.9879553,-117.6561761
6801,Morehouse St,91710,33.9878072,-117.6561781
6700,Morehouse St,91710,33.9879516,-117.6578412
6701,Morehouse St,91710,33.9877851,-117.6578940
6882,Morehouse St,91710,33.9879601,-117.6552550
6899,Morehouse St,91710,33.9878186,-117.6550458
6898,Morehouse St,91710,33.9879667,-117.6550438
6898,Vanderbilt St,91710,33.9885675,-117.6550535
6899,Vanderbilt St,91710,33.9884194,-117.6550555
6798,Vanderbilt St,91710,33.9885574,-117.6564855
6799,Vanderbilt St,91710,33.9884092,-117.6564875
6800,Vanderbilt St,91710,33.9885625,-117.6562023
6801,Vanderbilt St,91710,33.9884143,-117.6562043
6700,Vanderbilt St,91710,33.9885660,-117.6578499
6701,Vanderbilt St,91710,33.9884178,-117.6578439
6700,Edinboro St,91710,33.9891059,-117.6578540
6701,Edinboro St,91710,33.9889557,-117.6578540
6799,Edinboro St,91710,33.9889897,-117.6565017
6801,Edinboro St,91710,33.9889948,-117.6562185
6798,Edinboro St,91710,33.9891379,-117.6564997
6800,Edinboro St,91710,33.9891430,-117.6562165
6898,Edinboro St,91710,33.9891506,-117.6550489
6899,Edinboro St,91710,33.9890024,-117.6550509
6900,Edinboro St,91710,33.9891490,-117.6547905
6901,Edinboro St,91710,33.9890008,-117.6547925
14527,Baylor Ave,91710,33.9892635,-117.6548502
14500,Baylor Ave,91710,33.9895823,-117.6549974
14501,Baylor Ave,91710,33.9895843,-117.6548228
6898,Piedmont St,91710,33.9897758,-117.6550140
6883,Piedmont St,91710,33.9896209,-117.6550549
6700,Piedmont St,91710,33.9897122,-117.6578631
6701,Piedmont St,91710,33.9895620,-117.6578631
6721,Persimmon Ct,91710,33.9924118,-117.6582166
6710,Persimmon Ct,91710,33.9925907,-117.6582409
14331,San Antonio Ave,91710,33.9931161,-117.6584736
6537,Manzano St,91710,33.9943177,-117.6619041
