House number,Street name,Postal code,Latitude,Longitude
20034,Santa Ana Avenue,92626,33.6659023,-117.8821960
3001,South Bristol Street,92626-3035,33.6803294,-117.8861930
675,Paularino Avenue,92626,33.6819885,-117.8842168
1170,West Baker Street,92626,33.6807618,-117.9063270
3030,Harbor Boulevard,92626,33.6816436,-117.9189770
901,South Coast Drive,92626,33.6884323,-117.8961397
545,"Anton Boulevard, South",92626,33.6898201,-117.8776140
1696,Newport Boulevard,92627,33.6370283,-117.9214056
1815,Newport Boulevard,92627,33.6405068,-117.9202979
1721,Whittier Ave,92627,33.6369647,-117.9406828
2300,Harbor Boulevard,92626,33.6564851,-117.9186808
3313,Hyland Avenue,92626,33.6946470,-117.9257120
555,Anton Boulevard,92626,33.6885407,-117.8778581
160,Terraza Court,92627,33.6576490,-117.8987550
1875,Newport Boulevard,92627,33.6426902,-117.9177921
3001,Bristol Street,92626,33.6804485,-117.8862147
563,Victoria Street,92667,33.6524098,-117.9217678
3033,Bristol Street,92626,33.6812448,-117.8865089
2981,Bristol Street,92626,33.6794565,-117.8861612
891,Baker Street,92626,33.6798565,-117.8935540
333,East 17th Street,92627,33.6316445,-117.9141588
2300,Harbor Boulevard,92626,33.6568006,-117.9186826
1800,Newport Boulevard,92627,33.6404199,-117.9189297
743,Baker Street,92626,33.6798218,-117.8873104
891,Baker Street,92626,33.6794785,-117.8937564
3033,Bristol Street,92626,33.6812540,-117.8863434
Unit 4,Newport Boulevard,92627,33.6574566,-117.9016507
1021,West 18th Street,92627,33.6394836,-117.9414619
2200,Harbor blvd,92627,33.6552180,-117.9170568
270,East 17th Street,92627,33.6341899,-117.9159750
2400,Newport Boulevard,92627,33.6571815,-117.9019535
1781,Newport Boulevard,92627,33.6390499,-117.9214596
2930,Bristol Street,92626,33.6774401,-117.8857226
3333,"Bristol Street, South",92626,33.6917177,-117.8875999
3333,Bristol Street,92626,33.6899605,-117.8874910
2332,Newport Boulevard,92627,33.6569529,-117.9043924
1913,Pomona Avenue,92627,33.6440838,-117.9280788
3333,Bear Street,92626,33.6920413,-117.8928060
3333,Bear Street,92626,33.6925893,-117.8929887
1599,Superior Ave,92627,33.6321899,-117.9280579
1420,Baker Street,92626,33.6804012,-117.9170620
1525,Mesa Verde Drive East,92626,33.6699751,-117.9213219
333,East 17th Street,92627,33.6316797,-117.9141960
2200,Harbor Boulevard,92627,33.6547081,-117.9181857
650,Town Center Drive,92626,33.6931860,-117.8827535
1763,Orange Avenue,92627,33.6373484,-117.9169977
3100,Airway Avenue,92626,33.6741686,-117.8737879
1033,West 18th Street,92627,33.6394302,-117.9419895
1026,West 18th Street,92627,33.6398837,-117.9416725
1010,West 18th Street,92627,33.6398413,-117.9412213
1801,Whittier Avenue,92627,33.6399037,-117.9408603
1018,West 18th Street,92627,33.6398415,-117.9414885
1001,West 18th Street,92627,33.6380387,-117.9409111
1027,West 18th Street,92627,33.6394565,-117.9417970
1000,Brioso Drive,92627,33.6386145,-117.9408852
1535,Newport Boulevard,92627,33.6320946,-117.9248051
116,Industrial Way,92627,33.6323140,-117.9264327
1789,Orange Avenue,92627,33.6382085,-117.9164885
212,East 17th Street,92627,33.6349777,-117.9173543
369,East 17th Street,92627,33.6311432,-117.9135108
1865,Parkvista Circle,92627,33.6422775,-117.9422168
1947,Sundance Lane,92627,33.6454200,-117.9412875
1890,Parkcrest Drive,92627,33.6430313,-117.9413290
1950,Sundance Lane,92627,33.6451941,-117.9411855
1871,Parkcrest Drive,92627,33.6424172,-117.9414038
1951,Sundance Lane,92627,33.6454250,-117.9410675
1012,West 19th Street,92627,33.6435385,-117.9411105
1897,Parkview Circle,92627,33.6429595,-117.9435565
1888,Parkview Circle,92627,33.6426387,-117.9432225
1862,Parkglen Circle,92627,33.6422693,-117.9427420
1895,Parkcrest Drive,92627,33.6429233,-117.9421993
1873,Parkview Circle,92627,33.6421780,-117.9439397
1852,Parkvista Circle,92627,33.6419903,-117.9417570
1877,Parkview Circle,92627,33.6423178,-117.9438783
1872,Parkview Circle,92627,33.6421333,-117.9434937
1864,Parkvista Circle,92627,33.6422968,-117.9418408
1851,Parkglen Circle,92627,33.6419667,-117.9431470
1884,Parkview Circle,92627,33.6425117,-117.9433047
1943,Sundance Lane,92627,33.6454520,-117.9416400
1875,Parkcrest Drive,92627,33.6425503,-117.9414020
1898,Parkcrest Drive,92627,33.6430495,-117.9417340
1014,West 19th Street,92627,33.6435330,-117.9413125
1016,West 19th Street,92627,33.6435395,-117.9414860
1889,Parkview Circle,92627,33.6427243,-117.9437575
1859,Parkvista Circle,92627,33.6421450,-117.9423310
1896,Parkview Circle,92627,33.6429533,-117.9433305
1861,Parkview Circle,92627,33.6418002,-117.9441048
1937,Sundance Lane,92627,33.6452090,-117.9416360
1867,Parkcrest Drive,92627,33.6422810,-117.9414375
1893,Parkview Circle,92627,33.6428682,-117.9437165
1020,West 19th Street,92627,33.6435495,-117.9416870
1004,Arbor Street,92627,33.6443239,-117.9410920
1858,Parkvista Circle,92627,33.6421475,-117.9417605
1881,Parkview Circle,92627,33.6424522,-117.9438252
1933,Sundance Lane,92627,33.6449040,-117.9416385
1899,Parkcrest Drive,92627,33.6430750,-117.9421843
1935,Sundance Lane,92627,33.6451185,-117.9416375
1949,Sundance Lane,92627,33.6454220,-117.9411790
1868,Parkview Circle,92627,33.6419937,-117.9435285
1013,Arbor Street,92627,33.6438624,-117.9413330
1894,Parkcrest Drive,92627,33.6430257,-117.9415397
1879,Parkcrest Drive,92627,33.6426927,-117.9414128
1863,Parkglen Circle,92627,33.6422873,-117.9429662
1945,Sundance Lane,92627,33.6454235,-117.9413975
1931,Sundance Lane,92627,33.6448115,-117.9416350
1869,Parkview Circle,92627,33.6420515,-117.9439965
1853,Parkview Circle,92627,33.6415405,-117.9442165
1009,Arbor Street,92627,33.6438490,-117.9411030
1857,Parkview Circle,92627,33.6416722,-117.9441643
1865,Parkview Circle,92627,33.6419228,-117.9440453
1932,Sundance Lane,92627,33.6448615,-117.9413385
1014,Arbor Street,92627,33.6442798,-117.9415782
1853,Parkvista Circle,92627,33.6419793,-117.9423187
1859,Parkcrest Drive,92627,33.6420000,-117.9414338
1892,Parkview Circle,92627,33.6428300,-117.9432172
1010,Arbor Street,92627,33.6443914,-117.9413464
1886,Parkcrest Drive,92627,33.6430177,-117.9410927
1876,Parkview Circle,92627,33.6422557,-117.9434337
1857,Parkglen Circle,92627,33.6421345,-117.9431677
1939,Sundance Lane,92627,33.6452995,-117.9416345
1946,Sundance Lane,92627,33.6451850,-117.9413535
1930,Sundance Lane,92627,33.6447690,-117.9413385
1856,Parkglen Circle,92627,33.6421385,-117.9425885
1019,Arbor Street,92627,33.6439985,-117.9415791
1885,Parkview Circle,92627,33.6425842,-117.9438372
1850,Parkglen Circle,92627,33.6419820,-117.9425840
1880,Parkview Circle,92627,33.6423760,-117.9433418
1863,Parkcrest Drive,92627,33.6421473,-117.9414063
1984,Newport Boulevard,92627,33.6456607,-117.9137943
146,Melody Lane,92627,33.6457490,-117.9122342
126,Magnolia Street,92627,33.6407031,-117.9173676
168,East 19th Street,92627,33.6418862,-117.9138900
1259,Westreef,92627,33.6509847,-117.9481940
2175,Pacific Avenue,92627,33.6535563,-117.9468972
1289,Westreef,92627,33.6508387,-117.9484862
2267,Pacific Avenue,92627,33.6569267,-117.9436610
785,Victoria Street,92627,33.6519461,-117.9313473
2156,Myran Drive,92627,33.6529140,-117.9208975
2200,Harbor Boulevard,92627,33.6548231,-117.9174409
2217,Harbor Boulevard,92627,33.6551722,-117.9201547
1871,Wren Circle,92626,33.6697007,-117.9357273
1525,Mesa Verde Drive East,92626,33.6698861,-117.9210673
286,Virginia Place,92627,33.6483142,-117.9013120
2525,Newport Boulevard,92627,33.6628925,-117.8999210
2648,Newport Boulevard,92627,33.6637771,-117.8955783
1992,Kornat Drive,92626,33.6774510,-117.9402180
2950,Airway Avenue,92626,33.6677925,-117.8761460
2701,Harbor Boulevard,92626,33.6710191,-117.9210487
1548,Adams Avenue,92626,33.6737357,-117.9198990
2870,Clubhouse Road,92626,33.6754498,-117.9334507
2852,Clubhouse Road,92626,33.6748360,-117.9324010
1100,Bristol Street,92626,33.6708157,-117.8858117
3080,Country Club Drive,92626,33.6833470,-117.9320150
3530,Cadillac Avenue,92626,33.6972270,-117.9301278
3520,Cadillac Avenue,92626,33.6968835,-117.9301628
3505,Cadillac Avenue,92626,33.6953076,-117.9322644
1685,Toronto Way,92626,33.6962783,-117.9299885
3321,Hyland Avenue,92626,33.6941171,-117.9258449
3545,Harbor Gateway South,92626,33.6974246,-117.9229273
1675,Scenic Avenue,92626,33.6986130,-117.9282465
120,Industrial Way,92627,33.6321698,-117.9261544
1535,Newport Boulevard,92627,33.6325026,-117.9251724
2930,Bristol Street,92626,33.6776601,-117.8862300
2930,College Avenue,92626,33.6790166,-117.9161330
891,Baker Street,92626,33.6795507,-117.8938622
261,Briggs Avenue,92626,33.6771779,-117.8790044
949,South Coast Drive,92626,33.6891286,-117.8963190
1927,Harbor Boulevard,92627,33.6446986,-117.9196695
3151,Airway Avenue,92626,33.6777985,-117.8742432
695,Town Center Drive,92626,33.6921127,-117.8844096
3333,Bristol Street,92626,33.6887758,-117.8882495
3159-A,Red Hill Avenue,92626,33.6795696,-117.8755768
1980,Placentia Avenue,92627,33.6463486,-117.9318968
1291,Westreef,92627,33.6509140,-117.9484657
1287,Westreef,92627,33.6507731,-117.9484820
1285,Westreef,92627,33.6507002,-117.9489858
1281,Westreef,92627,33.6505583,-117.9489846
1283,Westreef,92627,33.6506205,-117.9489846
1279,Westreef,92627,33.6506001,-117.9486338
1275,Westreef,92627,33.6505977,-117.9484639
1277,Westreef,92627,33.6506006,-117.9485492
1271,Westreef,92627,33.6506015,-117.9482947
1273,Westreef,92627,33.6506045,-117.9483799
1269,Westreef,92627,33.6506059,-117.9482135
1267,Westreef,92627,33.6506030,-117.9481283
1265,Westreef,92627,33.6507838,-117.9481867
1263,Westreef,92627,33.6508460,-117.9481867
1261,Westreef,92627,33.6509257,-117.9481878
1948,Sundance Lane,92627,33.6451897,-117.9412499
1941,Sundance Lane,92627,33.6453896,-117.9416402
"1781,1783,1785,1787,1789,1791,1793",Whittier Ave,92627,33.6391693,-117.9410085
1007,Brioso Drive,92627,33.6379939,-117.9420036
1004,Brioso Drive,92627,33.6386504,-117.9413760
363,Seville Lane,92627,33.6526594,-117.8923863
611,Anton Boulevard,92626,33.6895039,-117.8819670
2915,Red Hill Avenue,92626,33.6694195,-117.8807812
2964,Airway Avenue,92626,33.6691821,-117.8765769
2960,Airway Avenue,92626,33.6692112,-117.8761232
2960,Airway Avenue,92626,33.6693699,-117.8765192
2950,Airway Avenue,92626,33.6682551,-117.8758788
2950,Airway Avenue,92626,33.6683542,-117.8764228
2950,Airway Avenue,92626,33.6682473,-117.8770346
575,Anton Boulevard,92626,33.6888590,-117.8786810
1741,Newport Boulevard,92627,33.6378422,-117.9222480
3020,Pullman Street,92626,33.6743582,-117.8827943
2360,Newport Boulevad,92627,33.6561208,-117.9031350
1145,Baker Street,92626,33.6798070,-117.9045828
241,East 17th Street,92627,33.6339060,-117.9176506
225,East 17th Street,92627,33.6344767,-117.9184402
250,East 17th Street,92627,33.6343682,-117.9165368
2180,Newport Boulevard,92627,33.6506885,-117.9087398
1550,Superior Avenue,92627,33.6327115,-117.9261653
3030,Harbor Boulevard,92626,33.6818292,-117.9177079
3033,"Bristol St, #119",92626,33.6815948,-117.8867265
1503,South Coast Drive,92626,33.6907698,-117.9204404
1663,Superior Avenue,92627,33.6349755,-117.9251063
1560,Superior Avenue,92627,33.6332853,-117.9259578
2930,Bristol Street,92626,33.6774684,-117.8858928
289,East 17th Street,92627-3831,33.6324020,-117.9169250
151,Kalmus Dr Ste K3,92626,33.6702193,-117.8822326
1835,Newport Boulevard,92627,33.6423710,-117.9201817
2969,Fairview Road,92626,33.6790959,-117.9082664
1215,Baker Street,92626,33.6797772,-117.9088541
1215,Baker Street,92626,33.6797773,-117.9089338
1125,Victoria Street,92627,33.6513691,-117.9466337
2985,Fairview Road,92626,33.6794424,-117.9082668
1125,Victoria Street,92627,33.6513679,-117.9468983
1125,Victoria Street,92627,33.6515697,-117.9471273
234,East 17th Street,92627,33.6350283,-117.9171357
2701,Harbor Blvd,92626,33.6719374,-117.9216183
3555,Harbor Gateway South,92626,33.6983844,-117.9229024
2701,Fairview Road,92626,33.6715720,-117.9121220
1750,Whittier Ave,92627,33.6378602,-117.9394712
1660,Whittier Ave,92627,33.6344665,-117.9394257
1696,Newport Boulevard,92627,33.6369012,-117.9214242
592,Superior Ave,92663,33.6309627,-117.9270241
1800,Whittier Avenue,92627,33.6406345,-117.9395051
1741,Whittier Avenue,92627,33.6374908,-117.9418647
1001,17th St,92627,33.6353912,-117.9411909
2320,Harbor Boulevard,92626,33.6583002,-117.9187032
2300,Harbor Boulevard,92626,33.6582925,-117.9181371
2366,Harbor Boulevard,92626,33.6596089,-117.9184208
2404,Harbor Boulevard,92626,33.6602995,-117.9184439
2288,Harbor Boulevard,92626,33.6574099,-117.9186766
2252,Harbor Boulevard,92626,33.6566080,-117.9187432
2232,Harbor Boulevard,92627,33.6557514,-117.9185945
2248,Harbor Boulevard,92627,33.6558787,-117.9187448
2263,Harbor Boulevard,92626,33.6569466,-117.9168703
2300,Harbor Boulevard,92626,33.6588000,-117.9165950
2273,Harbor Boulevard,92626,33.6567578,-117.9196199
2259,Harbor Boulevard,92627,33.6565012,-117.9197691
2299,Harbor Boulevard,92626,33.6578753,-117.9194634
2200,Harbor Boulevard,92627,33.6553089,-117.9168523
2191,Harbor Boulevard,92627,33.6538135,-117.9186121
2150,Harbor Boulevard,92627,33.6529445,-117.9186708
2191,Harbor Boulevard,92627,33.6545429,-117.9173881
2126,Harbor Boulevard,92627,33.6522426,-117.9186572
452,Victoria Street,92627,33.6528823,-117.9182568
2406,Harbor Boulevard,92626,33.6608706,-117.9185093
2060,Harbor Boulevard,92627,33.6495922,-117.9180317
2215,Harbor Boulevard,92627,33.6548299,-117.9196494
2221,Harbor Boulevard,92627,33.6550895,-117.9194563
2196,Harbor Boulevard,92627,33.6541540,-117.9187321
594,West 19th Street,92627,33.6436988,-117.9229720
1951,Harbor Boulevard,92627,33.6453790,-117.9192410
615,West 19th Street,92627,33.6424653,-117.9205792
654,West 18th Street,92627,33.6403881,-117.9201415
1870,Harbor Boulevard,92627,33.6429748,-117.9193432
512,West 19th Street,92627,33.6439160,-117.9201575
1907,Harbor Boulevard,92627,33.6438197,-117.9193427
1918,Harbor Boulevard,92627,33.6444662,-117.9185869
1914,Harbor Blvd,92627,33.6439824,-117.9185544
450,Bernard Street,92627,33.6456473,-117.9180672
2249,Harbor Boulevard,92627,33.6558466,-117.9194790
2229,Harbor Boulevard,92627,33.6554146,-117.9194964
1990,Harbor Boulevard,92627,33.6467834,-117.9185543
1998,Harbor Boulevard,92627,33.6469922,-117.9185027
454,Bernard Street,92627,33.6464836,-117.9178630
2000,Harbor Boulevard,92627,33.6468347,-117.9182472
2007,Harbor Boulevard,92627,33.6476084,-117.9183975
2026,Harbor Boulevard,92627,33.6479372,-117.9182653
2036,Harbor Boulevard,92627,33.6482984,-117.9186107
2050,Harbor Boulevard,92627,33.6487316,-117.9187757
2054,Harbor Boulevard,92627,33.6499367,-117.9180809
1993,Charle Street,92627,33.6470295,-117.9197453
442,West 19th Street,92627,33.6441619,-117.9177785
2159,Harbor Boulevard,92627,33.6528769,-117.9193798
2165,Harbor Boulevard,92627,33.6530587,-117.9195557
2141,Harbor Boulevard,92627,33.6520988,-117.9193409
2139,Harbor Boulevard,92627,33.6521867,-117.9196790
650,West 19th Street,92627,33.6441680,-117.9255425
620,West 19th Street,92627,33.6436739,-117.9245082
600,West 19th Street,92627,33.6438652,-117.9236839
562,West 19th Street,92627,33.6438112,-117.9223980
678,West 19th Street,92627,33.6439420,-117.9265990
686,West 19th Street,92627,33.6441156,-117.9260593
694,West 19th Street,92627,33.6435984,-117.9273850
1908,Pomona Avenue,92627,33.6438829,-117.9273511
1912,Pomona Avenue,92627,33.6441559,-117.9273541
710,West 19th Street,92627,33.6436555,-117.9283683
774,West 19th Street,92627,33.6437259,-117.9311982
788,West 19th Street,92627,33.6436371,-117.9316520
