House number,Street name,Postal code,Latitude,Longitude
8225,Old Redwood Highway,94931,38.3255560,-122.7056752
8099,La Plaza,94931,38.3271129,-122.7074985
8282,Old Redwood Highway,94931,38.3244663,-122.7042184
8235,Old Redwood Highway,94931,38.3254635,-122.7055839
8295,Old Redwood Highway,94931,38.3248594,-122.7050636
8227,Old Redwood Highway,94931,38.3255073,-122.7056178
8238,Old Redwood Highway,94931,38.3256632,-122.7052981
8272,Old Redwood Highway,94931,38.3246998,-122.7044310
8492,Gravenstein Hwy,94931,38.3313952,-122.7163960
8492,Gravenstein Hwy,94931,38.3314541,-122.7163478
"8492, Suite A",Gravenstein Hwy,94931,38.3310259,-122.7156638
8510,Gravenstein Highway,94931-4150,38.3310403,-122.7147275
121,East Cotati Avenue,94931,38.3270348,-122.7054392
955,East Cotati Avenue,94931,38.3321305,-122.6922009
8500,Gravenstein Highway,94931,38.3314118,-122.7155606
8581,Gravenstein Highway,94931,38.3316511,-122.7116381
8581,Gravenstein Highway,94931,38.3317118,-122.7114833
150,Saint Joseph Way,94931,38.3278539,-122.7118989
640,East Cotati Avenue,94931,38.3290158,-122.6976310
8297,Old Redwood Highway,94931,38.3247421,-122.7050095
8278,Old Redwood Highway,94931,38.3245569,-122.7043010
8280,Old Redwood Highway,94931,38.3245096,-122.7042553
8274,Old Redwood Highway,94931,38.3246458,-122.7043852
8259,Old Redwood Highway,94931,38.3253162,-122.7055216
8204,Old Redwood Highway,94931,38.3260516,-122.7056450
8220,Old Redwood Highway,94931,38.3258845,-122.7054809
8172,La Plaza,94931,38.3263947,-122.7055826
640,East Cotati Avenue,94931,38.3290966,-122.6976718
8150,La Plaza,94931,38.3271296,-122.7055740
101,East Cotati Avenue,94931,38.3270475,-122.7052280
8099,La Plaza,94931,38.3270941,-122.7076297
8492,Hwy 116,94931,38.3311357,-122.7161478
25,Myrtle Avenue,94928,38.3225261,-122.6999623
640,East Cotati Avenue,94931,38.3289946,-122.6974735
150,Saint Joseph Way,94931,38.3274535,-122.7119408
475,East Cotati Avenue,94931,38.3288701,-122.6996580
216,East School Street,94931,38.3233795,-122.7102996
218,East School Street,94931,38.3234146,-122.7092069
8734,Gravenstein Way,94928,38.3318769,-122.7063976
8734,Gravenstein Way,94928,38.3329136,-122.7074454
7921,Redwood Drive,94931,38.3342918,-122.7156226
27,Ryan Lane,94931,38.3323866,-122.6930562
306,Eagle Drive,94931,38.3228251,-122.6951481
302,Eagle Drive,94931,38.3228281,-122.6954354
298,Eagle Drive,94931,38.3228276,-122.6956788
106,Flamingo Road,94931,38.3226102,-122.6956439
110,Flamingo Road,94931,38.3224532,-122.6956158
126,Flamingo Road,94931,38.3222261,-122.6956790
130,Flamingo Road,94931,38.3222251,-122.6954358
134,Flamingo Road,94931,38.3222268,-122.6951489
116,Falcon Drive,94931,38.3224507,-122.6952072
120,Falcon Drive,94931,38.3226063,-122.6951818
2,Ryan Lane,94931,38.3325186,-122.6934169
6,Ryan Lane,94931,38.3326409,-122.6931264
8,Ryan Lane,94931,38.3327018,-122.6929815
10,Ryan Lane,94931,38.3327649,-122.6928359
4,Ryan Lane,94931,38.3325812,-122.6932719
14,Ryan Lane,94931,38.3325190,-122.6921688
16,Ryan Lane,94931,38.3324606,-122.6923155
18,Ryan Lane,94931,38.3324002,-122.6924613
20,Ryan Lane,94931,38.3323391,-122.6926065
24,Ryan Lane,94931,38.3322151,-122.6928967
26,Ryan Lane,94931,38.3321562,-122.6930433
141,Hahn Way,94931,38.3230998,-122.6943380
150,Saint Joseph Way,94931,38.3271152,-122.7110380
150,Saint Joseph Way,94931,38.3271367,-122.7114202
