House number,Street name,Postal code,Latitude,Longitude
970,East Badillo,91724,34.0859078,-117.8705751
545,North Rimsdale Avenue,91722,34.0897118,-117.9117420
420,N Azusa Ave,91722,34.0887787,-117.9074880
1057,North Grand Avenue,91724,34.0987727,-117.8729550
138,East Badillo Street,91723,34.0860432,-117.8889841
1680,West San Bernardino Road,91722,34.0894405,-117.9252160
1275,West San Bernardino Road,91722,34.0888169,-117.9163895
848,South Barranca Avenue,91723,34.0740436,-117.8789306
980,East Badillo Street,91724,34.0857392,-117.8706106
770,South Citrus Avenue,91723,34.0757305,-117.8897894
177,East College Street,91723,34.0875577,-117.8881749
900,East Badillo Street,91724,34.0854166,-117.8711542
1275,North Azusa Avenue,91722,34.1026220,-117.9096010
425,South Citrus Avenue,91723,34.0820028,-117.8913755
453,South Citrus Avenue,91723,34.0814226,-117.8913190
468,San Bernardino Road,91723,34.0904524,-117.8819320
301,North Citrus,91723,34.0886364,-117.8903588
956,N Citrus Ave,91722,34.0973509,-117.8897420
944,N Citrus Ave,91722,34.0971978,-117.8895505
946,N Citrus Ave,91722,34.0972461,-117.8895236
248,West San Bernardino Road,91723,34.0898492,-117.8963571
127,North Azusa Avenue,91722,34.0870465,-117.9081928
1348,North Azusa Avenue,91722,34.1041138,-117.9042795
543,North Azusa Avenue,91722,34.0897306,-117.9087420
171,E College St,91723,34.0875774,-117.8883250
509,2nd Avenue,91723,34.0805683,-117.8882370
1161,East Covina Boulevard,91724-1523,34.1000019,-117.8664316
402,East Badillo Street,91723,34.0859411,-117.8833720
1045,North Grand Avenue,91724-2048,34.0987850,-117.8743008
543,North Azusa Avenue,91722,34.0897646,-117.9089722
527,North Azusa Avenue,91722,34.0897315,-117.9088878
826,North Glendora Avenue,91724,34.0949898,-117.8633760
525,South Citrus Avenue,91723,34.0801330,-117.8905170
768,Arrow Highway,91722,34.1064838,-117.9051550
535,South Citrus Avenue,91723,34.0797150,-117.8904970
912,North Azusa Avenue,91722,34.0961280,-117.9072790
1393,North Citrus Avenue,91722,34.1054452,-117.8917038
500,W San Bernardino Rd,91722,34.0893698,-117.8992809
204,"W College St,",91723,34.0872211,-117.8924935
440,North Barranca Avenue,91723,34.0901459,-117.8812078
848,S Barranca Ave,91723,34.0739553,-117.8810039
932,East Badillo Street,91724,34.0851538,-117.8714574
1375,North Citrus Avenue,91722,34.1048298,-117.8909873
1371,Grand Avenue,91724,34.1048969,-117.8730579
121,North Grand Avenue,91723,34.0865475,-117.8729420
401,North Azusa Avenue,91722,34.0884565,-117.9084543
963,West Badillo Street,91722,34.0881647,-117.9102305
1060,West San Bernardino Road,91722,34.0878749,-117.9117562
1016,West Cypress Street,91722,34.0939194,-117.9100210
559,N Citrus Ave,91723,34.0917745,-117.8916952
463,South Hollenbeck Avenue,91723,34.0809224,-117.9011485
621,East Covina Boulevard,91722,34.1003893,-117.8782124
1430,East Covina Boulevard,91724,34.0976096,-117.8599534
1681,West San Bernardino Road,91722-3409,34.0899726,-117.9251296
545,North Citrus Avenue,91723,34.0911409,-117.8906742
1023,North Grand Avenue,91724,34.0979135,-117.8734628
4544,North Grand Avenue,91724,34.0950568,-117.8721618
928,North Azusa Avenue,91722,34.0964549,-117.9073258
408,North Azusa Avenue,91722,34.0883911,-117.9060412
114,North Azusa Avenue,91722,34.0868159,-117.9060744
206,North Azusa Avenue,91722,34.0873229,-117.9060880
540,North Azusa Avenue,91722,34.0898162,-117.9072504
402,N Azusa Ave,91722,34.0884346,-117.9074334
151,West Redwood Court,91723,34.0831699,-117.8911805
1288,Bonnie Cove Avenue,91724,34.1027663,-117.8547916
1272,North Glendora Avenue,91724,34.1027401,-117.8635771
1022,North Glendora Avenue,91724,34.0980401,-117.8635036
523,San Bernardino Road,91723,34.0910735,-117.8807135
851,San Bernardino Road,91723,34.0916518,-117.8734611
713,San Bernardino Road,91723,34.0915423,-117.8766767
1476,Azusa Avenue,91722-1251,34.1063687,-117.9073169
1400,North Azusa Avenue,91722-1251,34.1046368,-117.9072195
321,East Front Street,91723,34.0918903,-117.8847481
170,East School Street,91723,34.0890960,-117.8882848
159,East College Street,91723,34.0876526,-117.8886160
1067,East Badillo Street,91724,34.0866850,-117.8686650
573,North Azusa Avenue,91722,34.0909553,-117.9081692
621,North Azusa Avenue,91722,34.0912705,-117.9084390
501,North Azusa Avenue,91722,34.0893193,-117.9083466
1115,East Puente Street,91724,34.0832675,-117.8677287
1110,East Badillo Street,91724,34.0849466,-117.8686913
210,West San Bernardino Road,91723,34.0887542,-117.8934243
150,West Puente Street,91723,34.0810424,-117.8917727
220,West Puente Street,91723,34.0819016,-117.8931594
1126,North Citrus Avenue,91722,34.1002989,-117.8888308
