House number,Street name,Postal code,Latitude,Longitude
319,3rd Street,95531,41.7510223,-124.2004937
577,H Street,95531,41.7541949,-124.1995562
1085,U S Highway 101 N,95531,41.7657262,-124.1933366
762,9th Street,95531,41.7562373,-124.2022806
1045,E Condor,95531,41.7553864,-124.2091134
1080,Mason Mall,95531,41.7528645,-124.1952526
5905,Lake Earl Drive,95531,41.8555086,-124.1552730
783 Suite C,3rd Street,95531,41.7519126,-124.1982460
5905,Lake Earl Drive,95531,41.8531275,-124.1511368
577,H Street,95531,41.7440911,-124.2031067
475,M Street,95531,41.7562504,-124.1930397
5905,Lake Earl Drive,95531,41.8548406,-124.1513280
1031,A Street,95531,41.7540476,-124.2084024
421,US 101,95531,41.7602457,-124.1947706
424,Howe Drive,95531,41.7478179,-124.1987425
1111,S,95531,41.7531169,-124.1944564
119,L Street,95531,41.7532880,-124.1930794
650,5th Street,95531,41.7530937,-124.2008108
520,I Street,95531,41.7540967,-124.1987184
255,West Washington Boulevard,95531,41.7724298,-124.2054275
550,East Cooper Avenue,95531,41.7617293,-124.1987474
686,G Street,95531,41.7541772,-124.2014080
751,2nd Street,95531,41.7511178,-124.1973945
520,Redwood Highway,95531,41.7631530,-124.1991740
880,Northcrest Drive,95531,41.7645000,-124.1996795
450,Highway 101 North,95531,41.7617138,-124.1980519
900,Sunset Circle,95531,41.7511646,-124.1914944
400,Front Street,95531,41.7495367,-124.2000047
310,US Highway 101 South,95531,41.7521439,-124.1868942
701,US Highway,95531,41.7490088,-124.1797214
685,US Highway 101 South,95531,41.7495898,-124.1806296
960,3rd Street,95531,41.7531335,-124.1966640
675,US Highway 101 South,95531-4416,41.7505113,-124.1819435
309,US Highway 101 South,95531,41.7528049,-124.1871142
307,US Highway 101 S,95531,41.7530348,-124.1877504
308,US Highway 101 South,95531,41.7521842,-124.1877502
304,US-101 South,95531,41.7520020,-124.1883237
1270,Front Street,95531,41.7535907,-124.1928501
575,US Highway 101 South,95531,41.7510807,-124.1827295
560,L Street,95531,41.7558253,-124.1962121
655,US Highway 101 South,75531,41.7510628,-124.1817002
1233,6th Street,95531,41.7561348,-124.1958217
319,E Street,95531,41.7511394,-124.2003735
319,E Street,95531,41.7512046,-124.2006306
440,3rd Street,95531,41.7506516,-124.2012301
377,J Street,95531,41.7537705,-124.1964217
577,H Street,95531,41.7542325,-124.1993401
5905,Lake Earl Drive,95531,41.8556172,-124.1550924
660,L Street,95531,41.7563653,-124.1970126
1250,9th Street,95531-2845,41.7586017,-124.1977208
370,M Street,95531,41.7549062,-124.1940083
