House number,Street name,Postal code,Latitude,Longitude
9201,Grindlay Street,90630,33.8294598,-118.0422856
5930,Cerritos Avenue,90630,33.8094259,-118.0293320
5970,Corporate Avenue,90630,33.8073648,-118.0287740
10569,Valley View Avenue,90630,33.8090828,-118.0286230
9111,Valley View Street,90630,33.8301815,-118.0286560
9111,Valley View Street,90630,33.8301804,-118.0288067
10509,Valley View Avenue,90630,33.8094602,-118.0289539
10527,Valley View Avenue,90630,33.8094554,-118.0288110
10539,Valley View Avenue,90630,33.8094523,-118.0287498
5373,Katella Avenue,90630,33.8034059,-118.0402720
5353,Katella Avenue,90630,33.8035067,-118.0403810
10515,Valley View Avenue,90630,33.8094563,-118.0288902
9448,Allison Lane,90630,33.8254171,-118.0373140
6816,Katella Avenue,90630,33.8018845,-118.0142267
6900,Katella Avenue,90630,33.8018873,-118.0120436
6851,Katella Avenue,90630,33.8036719,-118.0125399
6859,Katella Avenue,90630,33.8036495,-118.0124567
6879,Katella Avenue,90630,33.8039736,-118.0123028
9111,Valley View Street,90630,33.8301854,-118.0290751
9935,Walker Street,90630,33.8178804,-118.0372982
4991,Orange Avenue,90630,33.8127268,-118.0459969
10031,Valley View Avenue,90630,33.8164866,-118.0294070
9571,Valley View Street,90630,33.8226914,-118.0286934
10151,Valley View Avenue,90630,33.8147455,-118.0295352
4991,Orange Avenue,90630,33.8246367,-118.0460448
4911,Lincoln Avenue,90630,33.8325539,-118.0471714
5011,Lincoln Avenue,90630,33.8320833,-118.0454983
10953,Meridian Drive,90630,33.8032091,-118.0148900
4140,Lincoln Avenue,90630,33.8313531,-118.0618222
4142,Lincoln Avenue,90630,33.8313197,-118.0617015
4136,Lincoln Avenue,90630,33.8313742,-118.0615553
10051,Valley View Street,90630,33.8160800,-118.0292402
5245,Katella Avenue,90720,33.8041865,-118.0409794
9937,Walker Street,90630,33.8180747,-118.0380947
10731,Walker Street,90630,33.8073074,-118.0377301
9200,Valley View Street,90630,33.8277752,-118.0239794
6200,Phyllis Drive,90630,33.8002963,-118.0253580
5172,Orange Avenue,90630,33.8223762,-118.0425691
11266,Lowell Court,90630,33.7988464,-118.0160925
5331,Orange Avenue,90630,33.8248245,-118.0394116
4961,Katella Avenue,90720,33.8076599,-118.0468558
5151,Orange Avenue,90630,33.8250430,-118.0429473
5275,Orange Avenue,90630,33.8252881,-118.0398165
10115,Valley View Road,90630-4602,33.8150422,-118.0287316
6471,Ball Road,90630,33.8174321,-118.0197468
9470,Moody Street,90630,33.8249736,-118.0445243
4931,Katella Avenue,90720,33.8038621,-118.0470489
4991,Cerritos Avenue,92630,33.8106286,-118.0463917
5800,Lincoln Avenue,90630,33.8304812,-118.0310754
5762,Lincoln Avenue,90630,33.8311478,-118.0323951
9041,Valley View Street,90630,33.8308984,-118.0286979
5894,Lincoln Avenue,90630,33.8314024,-118.0292304
5904,Lincoln Avenue,90630,33.8309758,-118.0293127
9111,Valley View Street,90630,33.8303633,-118.0289810
5401,Katella Avenue,90630,33.8045147,-118.0395891
6835,Katella Avenue,90630-5107,33.8041882,-118.0131302
6947,Katella Avenue,90630,33.8033692,-118.0113998
5865,Katella Avenue,90630,33.8037311,-118.0305637
6827,West Katella Avenue,90630,33.8032652,-118.0141090
10985,Meridian Drive,90630,33.8032667,-118.0145657
4351,Orange Avenue,90630,33.8251153,-118.0567951
6112,Lincoln Avenue,90630,33.8312552,-118.0264370
5712,Camp Street,90630,33.8297249,-118.0332320
4901,Lincoln Avenue,90630,33.8321228,-118.0471551
6163,Orange Avenue,90630,33.8253379,-118.0255178
5556,Corporate Avenue,90630,33.8068641,-118.0354386
5990,Corporate Avenue,90630,33.8070867,-118.0292261
5780,Cerritos Avenue,90630,33.8095292,-118.0326918
11355,Matinicus Court,90630,33.7979529,-118.0154393
11355,Matinicus Court,90630,33.7980650,-118.0155556
11252,Lowell Court,90630,33.7990647,-118.0161495
11254,Gardiners Court,90630,33.7990623,-118.0154441
11258,Roanoke Court,90630,33.7990588,-118.0147395
6649,Brewster Court,90630,33.7982964,-118.0164195
11253,Gardiners Court,90630,33.7990634,-118.0157610
11257,Lowell Court,90630,33.7989571,-118.0165270
11255,Roanoke Court,90630,33.7990623,-118.0150550
11260,Roanoke Court,90630,33.7989478,-118.0146825
11266,Roanoke Court,90630,33.7988396,-118.0146770
11272,Gardiners Court,90630,33.7987319,-118.0153888
11262,Lowell Court,90630,33.7989546,-118.0160935
11276,Gardiners Court,90630,33.7986211,-118.0153905
11273,Gardiners Court,90630,33.7986284,-118.0158182
11263,Lowell Court,90630,33.7988512,-118.0165294
11270,Lowell Court,90630,33.7987333,-118.0160918
11267,Lowell Court,90630,33.7987357,-118.0165290
11269,Gardiners Court,90630,33.7987337,-118.0158223
11267,Roanoke Court,90630,33.7988405,-118.0151140
6801,Ossabaw Court,90630,33.7983996,-118.0144859
6761,Ossabaw Court,90630,33.7982967,-118.0151743
6769,Ossabaw Court,90630,33.7982964,-118.0148904
6773,Ossabaw Court,90630,33.7982966,-118.0147609
11349,Orrs Court,90630,33.7978198,-118.0138506
11343,Orrs Court,90630,33.7979008,-118.0139354
11342,Orrs Court,90630,33.7981392,-118.0135830
11360,Orrs Court,90630,33.7978813,-118.0133409
11361,Orrs Court,90630,33.7976463,-118.0136839
11337,Orrs Court,90630,33.7980030,-118.0140274
11368,Harkers Court,90630,33.7978562,-118.0142498
11376,Harkers Court,90630,33.7975915,-118.0139891
11380,Harkers Court,90630,33.7973850,-118.0138726
11369,Harkers Court,90630,33.7974405,-118.0144169
11367,Harkers Court,90630,33.7975226,-118.0145051
11365,Orrs Court,90630,33.7975917,-118.0135581
11366,Orrs Court,90630,33.7977634,-118.0133036
11348,Orrs Court,90630,33.7980520,-118.0135074
6805,Ossabaw Court,90630,33.7984668,-118.0143647
6809,Ossabaw Court,90630,33.7985421,-118.0142656
6817,Ossabaw Court,90630,33.7986368,-118.0140199
6820,Ossabaw Court,90630,33.7984218,-118.0138168
6772,Ossabaw Court,90630,33.7979299,-118.0148995
11363,Matinicus Court,90630,33.7975227,-118.0157707
