House number,Street name,Postal code,Latitude,Longitude
7150,Monterey Street,95020,37.0044863,-121.5667505
150,Howson Street,95020,37.0171961,-121.5752940
390,Leavesley Road,95020-3607,37.0210099,-121.5694170
6965,Camino Arroyo,95020,37.0031011,-121.5513460
6965,Camino Arroyo,95020,37.0030326,-121.5513370
6965,Camino Arroyo,95020,37.0028886,-121.5513030
6965,Camino Arroyo,95020,37.0027584,-121.5512690
340,East 10th Street,95020,37.0012466,-121.5614840
340,East 10th Street,95020,37.0011408,-121.5614411
340,East 10th Street,95020,37.0010789,-121.5614160
360,East 10th Street,95020,37.0003530,-121.5608480
260,East 10th Street,95020,37.0001619,-121.5618702
6900,Automall Parkway,95020,37.0004901,-121.5597490
7150,Camino Arroyo,95020,37.0082012,-121.5514239
7210,Camino Arroyo,95020,37.0088930,-121.5538020
7150,Monterey Street,95020,37.0044448,-121.5668795
9305,Monterey Road,95020,37.0318866,-121.5816186
795,First Street,95020,37.0143508,-121.5859480
727,1st Street,95020,37.0144001,-121.5830607
711,1st Street,95020,37.0137763,-121.5826915
700,1st Street,95020,37.0131743,-121.5821590
777,1st Street,95020,37.0144000,-121.5850776
777,1st Street,95020,37.0144206,-121.5847858
785,1st Street,95020,37.0143471,-121.5856918
791,1st Street,95020,37.0143461,-121.5858090
815,1st Street,95020,37.0143590,-121.5873093
8049,Wren Avenue,95020,37.0146878,-121.5873000
835,1st Street,95020,37.0144226,-121.5880736
827,1st Street,95020,37.0144411,-121.5875920
6910,Automall Parkway,95020,37.0004276,-121.5576516
340,East 10th Street,95020,37.0010163,-121.5616814
353,East 10th Street,95020,37.0027469,-121.5621750
343,East 10th Street,95020,37.0023836,-121.5622614
7400,Monterey Street,95020,37.0070318,-121.5684330
7820,Monterey Road,95020,37.0132243,-121.5713450
8400,Church Street,95020,37.0197636,-121.5768220
8400,Church Street,95020,37.0196745,-121.5767620
197,Welburn Avenue,95020,37.0198047,-121.5765651
193,Welburn Avenue,95020,37.0198678,-121.5763949
8050,Santa Teresa Boulevard,95020,37.0147962,-121.5989490
8050,Santa Teresa Boulevard,95020,37.0146797,-121.5989570
600,West 8th Street,95020,37.0001963,-121.5746200
7151,Hanna Street,95020,37.0008891,-121.5722970
6900,Chestnut Street,95020,37.0004496,-121.5591970
681,Leavesley Road,95020,37.0250164,-121.5652610
1211,1st Street,95020,37.0139244,-121.5942800
7936,Westwood Drive,95020,37.0122376,-121.5938907
6915,Camino Arroyo,95020,37.0025973,-121.5542400
7051,Monterey Street,95020,37.0013875,-121.5664990
7671,Monterey Street,95020,37.0109873,-121.5709380
7638,Monterey Street,95020,37.0103962,-121.5700320
8886,Muraoka Drive,95020,37.0263636,-121.5766183
211,1st Street,95020,37.0142606,-121.5750730
6981,Cameron Boulevard,95020,37.0033458,-121.5455223
7395,Monterey Street,95020,37.0064931,-121.5687170
7526,Monterey Street,95020,37.0086365,-121.5690887
64,5th Street,95020,37.0080261,-121.5701490
92,5th Street,95020,37.0079404,-121.5704170
7432,Monterey Street,95020,37.0073176,-121.5687104
7822,Monterey Street,95020,37.0132864,-121.5713900
7930,Monterey Street,95020,37.0152039,-121.5722210
7777,Monterey Road,95020,37.0123998,-121.5717980
47,5th Street,95020,37.0083452,-121.5699775
8640,San Ysidro Avenue,95020,37.0274980,-121.5657980
8647,San Ysidro Avenue,95020,37.0260538,-121.5677130
8555,San Ysidro Avenue,95020,37.0245963,-121.5666720
8555,San Ysidro Avenue,95020,37.0242253,-121.5664500
8555,San Ysidro Avenue,95020,37.0241168,-121.5663880
8555,San Ysidro Avenue,95020,37.0255893,-121.5674310
8555,San Ysidro Avenue,95020,37.0250001,-121.5669150
8555,San Ysidro Avenue,95020,37.0243222,-121.5664930
7225,Monterey Road,95020,37.0034761,-121.5674370
6906,Automall Parkway,95020,37.0004773,-121.5581710
250,East 10th Street,95020,37.0000075,-121.5621620
8021,Wayland Lane,95020,37.0144889,-121.5825372
8027,Wayland Lane,95020,37.0145214,-121.5825440
