House number,Street name,Postal code,Latitude,Longitude
80,Cabrillo Highway North,94019,37.4700543,-122.4350407
80,Cabrillo Highway North,94019,37.4700883,-122.4349377
44,Cabrillo Highway North,94019,37.4692095,-122.4343200
50,Cabrillo Highway North,94019,37.4692655,-122.4341912
500,Purisima Street,94019,37.4635359,-122.4303636
142,San Mateo Road,94019,37.4689762,-122.4326428
505,Johnston Street,94019,37.4632272,-122.4282342
211,San Mateo Road,94019,37.4674133,-122.4306130
99,San Mateo Road,94019,37.4675032,-122.4301440
2450,Cabrillo Highway South,94019,37.4328481,-122.4272369
118,San Mateo Road,94019,37.4684440,-122.4328310
225,Cabrillo Highway,94019,37.4652740,-122.4332903
1,Miramontes Point Road,94019,37.4337319,-122.4411326
2,Miramontes Point Road,94019,37.4347049,-122.4403668
80 B,North Cabrillo Highway,94019,37.4696945,-122.4360918
519,Main Street,94019,37.4632260,-122.4291723
539,Main Street,94019,37.4628779,-122.4292245
521,Main Street,94019,37.4631834,-122.4291772
523,Main Street,94019,37.4631470,-122.4291847
527,Main Street,94019,37.4630729,-122.4291972
535,Main Street,94019,37.4629392,-122.4292158
543,Main Street,94019,37.4628142,-122.4292280
524,Main Street,94019,37.4631928,-122.4294954
522,Main Street,94019,37.4632329,-122.4294914
516,Main Street,94019,37.4633149,-122.4294725
514,Main Street,94019,37.4633624,-122.4294639
527b,Main Street,94019,37.4630282,-122.4292035
545,Main Street,94019,37.4627730,-122.4292344
547,Main Street,94019,37.4627273,-122.4292387
526,Main Street,94019,37.4631613,-122.4294998
186,San Mateo Road,94019,37.4680745,-122.4313527
210,San Mateo Road,94019,37.4685879,-122.4301118
111,Main Street,94019,37.4693495,-122.4307902
604,Main Street,94019,37.4624151,-122.4296025
640,Mill Street,94019,37.4645716,-122.4303270
106,Red Hawk Ct,94019,37.4775860,-122.4299768
102,Red Hawk Ct,94019,37.4777265,-122.4302691
110,Red Hawk Ct,94019,37.4774157,-122.4297488
114,Red Hawk Ct,94019,37.4771773,-122.4295208
118,Red Hawk Ct,94019,37.4770432,-122.4291694
115,Red Hawk Ct,94019,37.4772794,-122.4288717
111,Red Hawk Ct,94019,37.4775720,-122.4291148
107,Red Hawk Ct,94019,37.4777712,-122.4293899
103,Red Hawk Ct,94019,37.4779556,-122.4296677
701,Upper Terrace Ave,94019,37.4781316,-122.4300042
101,"Main St, #D",94019,37.4696809,-122.4313454
70,North Cabrillo Highway,94019,37.4692313,-122.4361300
225,South Cabrillo Highway,94019,37.4648981,-122.4331875
4210,North Cabrillo Highway,94019,37.5025065,-122.4758313
196,San Mateo Road,94019-1706,37.4681327,-122.4308915
150,San Mateo Road,94019,37.4690575,-122.4321283
100,North Cabrillo Highway,94019-1609,37.4703324,-122.4344693
30,North Cabrillo Highway,94019-1664,37.4682589,-122.4340718
198,San Mateo Road,94019,37.4680780,-122.4305112
3068,Cabrillo Highway North,94019,37.4937566,-122.4539341
1191,Main Street,94019,37.4509218,-122.4288977
100,Seymour Street,94019,37.4535493,-122.4305308
4000,Cabrillo Highway North,94019,37.5014640,-122.4726697
501,Main Street,94019,37.4634457,-122.4290654
448,Main Street,94019,37.4638907,-122.4295076
3020,North Cabrillo Highway,94019,37.4927172,-122.4533024
3048,North Cabrillo Highway,94019,37.4932896,-122.4536546
2930,North Cabrillo Highway,94019,37.4921204,-122.4529840
756,Main Street,94019,37.4604659,-122.4300207
1167,Main Street,94019,37.4521633,-122.4290685
600,Church Street,94019,37.4623312,-122.4316296
620,Correas Street,94019,37.4614826,-122.4309540
250,North Cabrillo Highway,94019,37.4648220,-122.4344722
349,Seymour Street,94019,37.4532586,-122.4365494
2819,Cabrillo Highway North,94019,37.4905287,-122.4516936
900,Cabrillo Highway North,94019,37.4744134,-122.4383929
1,Miramontes Point Road,94019,37.4337831,-122.4415598
530,Main Street,94019,37.4630901,-122.4296180
523,Church Street,94019,37.4629266,-122.4310101
538,Main Street,94019,37.4629592,-122.4296199
604,Main Street,94019,37.4624148,-122.4297897
542,Main Street,94019,37.4627979,-122.4296300
400,Church Street,94019,37.4645599,-122.4314533
615,Mill Street,94019,37.4649922,-122.4305207
675,Mill Street,94019,37.4648286,-122.4296572
525,Kelly Street,94019,37.4642077,-122.4327845
508,Main Street,94019,37.4634291,-122.4295341
1820,Cabrillo Highway North,94019,37.4811335,-122.4474058
344,Belleville Boulevard,94019,37.4696316,-122.4373562
340,Belleville Boulevard,94019,37.4694677,-122.4375292
345,Belleville Boulevard,94019,37.4693347,-122.4369364
429,Poplar Street,94019,37.4565302,-122.4361149
425,Poplar Street,94019,37.4564933,-122.4363395
467,Poplar Street,94019,37.4566938,-122.4353372
475,Poplar Street,94019,37.4566740,-122.4351929
483,Poplar Street,94019,37.4567457,-122.4351102
121,Carnoustie Drive,94019,37.4393829,-122.4361072
460,Wavecrest Road,94019,37.4467859,-122.4309406
2,Miramontes Point Rd,94019,37.4357908,-122.4357204
