House number,Street name,Postal code,Latitude,Longitude
101,McCray Street,95023,36.8553768,-121.3979576
1730,Airline Highway,95023,36.8369631,-121.3899190
601,McCray Street,95023,36.8501943,-121.3970170
500,Tres Pinos Road,95023,36.8400638,-121.3934925
1280,San Juan Road,95023,36.8534941,-121.4203647
110,East Park Street,95023-4940,36.8438370,-121.3964262
1709,Airline Highway,95023,36.8372889,-121.3884036
1709,Airline Highway,95023,36.8374612,-121.3885195
1709,Airline Highway,95023,36.8373269,-121.3884292
1715,Airline Highway,95023,36.8371178,-121.3882886
341,Tres Pinos Road,95023,36.8393095,-121.3961407
341,Tres Pinos Road,95023,36.8392019,-121.3961389
351,Tres Pinos Road,95023,36.8382939,-121.3961974
50,Santa Ana Rd,95023-4017,36.8570750,-121.4006240
35,N Monterey St,95023-3707,36.8558096,-121.4036255
63,Santa Ana Rd,95023-4039,36.8564825,-121.4005423
318,3rd St,95023-3721,36.8537154,-121.4024054
37,N Monterey St,95023-3707,36.8560113,-121.4036381
51,N Monterey St,95023-3707,36.8566800,-121.4036192
731,San Felipe Rd,95023-2818,36.8669740,-121.4007280
140,San Benito St,95023-3936,36.8549859,-121.4022910
216,1st St,95023-4002,36.8558280,-121.4011280
70,Santa Ana Rd,95023-4017,36.8566884,-121.4003910
773,San Felipe Rd,95023-2804,36.8677210,-121.3991540
943,San Felipe Rd,95023-2807,36.8722960,-121.3997750
430,Gateway Dr,95023,36.8628780,-121.4049820
231,Gateway Dr,95023,36.8620083,-121.4053139
1021,San Felipe Rd,95023-2813,36.8710440,-121.3997130
120,Santa Ana Rd,95023-4019,36.8567890,-121.3994950
322,3rd St,95023-3721,36.8537173,-121.4024966
710,Kirkpatrick Dr,95023,36.8665650,-121.4007700
39,N Monterey St,95023-3707,36.8562581,-121.4035998
211,3rd St,95023-3919,36.8531897,-121.4010808
65,Santa Ana Rd,95023-4039,36.8564765,-121.4005073
201,San Benito St,95023-3937,36.8543584,-121.4016122
41,N Monterey Street,95023-3707,36.8564788,-121.4036448
241,Elmore Alley,95023-4007,36.8558778,-121.4011176
67,Santa Ana Rd,95023-4039,36.8564781,-121.4004754
145,San Benito St,95023-3935,36.8547900,-121.4016450
341,1st Street,95023-3712,36.8553470,-121.4031610
