House number,Street name,Postal code,Latitude,Longitude
2961,Michelson Drive,92612,33.6716654,-117.8455678
4225,Campus Drive,92612,33.6503583,-117.8375537
203,Student Center,92697,33.6483909,-117.8420138
4533,Campus Drive,92612,33.6498198,-117.8320399
14775,Jeffrey Road,92618,33.6885854,-117.7714855
6364,Irvine Boulevard,92620,33.6973176,-117.7407840
3997,Irvine Boulevard,92602,33.7218946,-117.7709484
3991,Irvine Boulevard,92602,33.7220194,-117.7711221
3993,Irvine Boulevard,92602,33.7219646,-117.7710458
3911,Irvine Boulevard,92602,33.7234006,-117.7714930
3909,Irvine Boulevard,92602,33.7235054,-117.7731505
6368,Irvine Boulevard,92620,33.6974175,-117.7409142
6372,Irvine Boulevard,92620,33.6975096,-117.7410070
6424,Irvine Boulevard,92620,33.6984469,-117.7409023
6380,Irvine Boulevard,92620,33.6976480,-117.7408728
6332,Irvine Boulevard,92620,33.6962232,-117.7408379
5365,Alton Parkway,92604,33.6715148,-117.7893160
731,Spectrum Center Drive,92618,33.6508841,-117.7429244
3966,Barranca Parkway,92606,33.6854525,-117.8111542
3966,Barranca Parkway,92606,33.6855462,-117.8113366
15215,Barranca Parkway,92618,33.6567847,-117.7335840
2081,Business Center Drive,92612,33.6798455,-117.8564104
4187,Campus Drive,92612,33.6506572,-117.8388623
2050,Main Street,92614,33.6827648,-117.8518970
15615,Alton Parkway,92618,33.6561412,-117.7536440
17801,Main Street,92614,33.6871010,-117.8585860
7700,Irvine Center Drive,92618,33.6581561,-117.7513324
4537,Campus Drive,92612,33.6499451,-117.8319150
4517,Campus Drive,92612,33.6494384,-117.8324111
A233,Student Center Food Court,92697,33.6492963,-117.8425360
2803,Main Street,92614,33.6805117,-117.8380761
2819,Main Street,92614,33.6806927,-117.8379123
1083,California Avenue,92617,33.6359831,-117.8360240
34,Pathway,92618,33.6946820,-117.7173579
36,Pathway,92618,33.6946345,-117.7172852
38,Pathway,92618,33.6945870,-117.7172125
40,Pathway,92618,33.6945394,-117.7171398
42,Pathway,92618,33.6944919,-117.7170671
59,Scarlet Bloom,92618,33.6943860,-117.7171024
61,Scarlet Bloom,92618,33.6944424,-117.7170476
20,Canoe,92618,33.7056543,-117.7252074
21,Wild Trails,92618,33.7067866,-117.7244428
22,Canoe,92618,33.7056904,-117.7252918
23,Wild Trails,92618,33.7067331,-117.7243737
24,Canoe,92618,33.7055019,-117.7253102
25,Wild Trails,92618,33.7069102,-117.7243196
26,Canoe,92618,33.7055405,-117.7253845
27,Wild Trails,92618,33.7068634,-117.7242505
28,Canoe,92618,33.7054145,-117.7251200
29,Canoe,92618,33.7060271,-117.7247193
29,Wild Trails,92618,33.7070361,-117.7241901
30,Canoe,92618,33.7053726,-117.7250252
31,Canoe,92618,33.7059878,-117.7246351
31,Wild Trails,92618,33.7069885,-117.7241234
32,Canoe,92618,33.7055547,-117.7250166
33,Canoe,92618,33.7058840,-117.7248135
34,Canoe,92618,33.7055258,-117.7249379
34,Wild Trails,92618,33.7062470,-117.7245727
35,Canoe,92618,33.7058439,-117.7247242
35,Wild Trails,92618,33.7068117,-117.7240107
36,Canoe,92618,33.7054480,-117.7247703
36,Wild Trails,92618,33.7061902,-117.7244855
37,Canoe,92618,33.7057801,-117.7245776
37,Wild Trails,92618,33.7067549,-117.7239446
38,Canoe,92618,33.7054170,-117.7246931
38,Wild Trails,92618,33.7063639,-117.7244427
39,Canoe,92618,33.7057409,-117.7244803
39,Distant Star,92618,33.7051967,-117.7245896
39,Wild Trails,92618,33.7066846,-117.7241471
40,Canoe,92618,33.7053015,-117.7248693
40,Wild Trails,92618,33.7063363,-117.7243746
41,Canoe,92618,33.7059273,-117.7244914
41,Distant Star,92618,33.7051578,-117.7244923
41,Wild Trails,92618,33.7066269,-117.7240659
42,Canoe,92618,33.7052629,-117.7247777
42,Wild Trails,92618,33.7062532,-117.7242084
43,Canoe,92618,33.7058898,-117.7244042
43,Distant Star,92618,33.7053383,-117.7244928
43,Wild Trails,92618,33.7065592,-117.7239114
44,Wild Trails,92618,33.7062256,-117.7241403
45,Distant Star,92618,33.7052995,-117.7244083
45,Wild Trails,92618,33.7065008,-117.7238322
46,Wild Trails,92618,33.7061311,-117.7243257
47,Distant Star,92618,33.7056548,-117.7243001
47,Wild Trails,92618,33.7066810,-117.7237768
48,Wild Trails,92618,33.7060700,-117.7242476
49,Distant Star,92618,33.7056223,-117.7242199
49,Wild Trails,92618,33.7066367,-117.7237148
51,Distant Star,92618,33.7057990,-117.7242070
53,Distant Star,92618,33.7057589,-117.7241118
55,Distant Star,92618,33.7059990,-117.7240518
57,Distant Star,92618,33.7059422,-117.7239686
59,Distant Star,92618,33.7061281,-117.7239416
61,Distant Star,92618,33.7060671,-117.7238353
63,Distant Star,92618,33.7063971,-117.7235227
65,Distant Star,92618,33.7064547,-117.7236079
67,Distant Star,92618,33.7065296,-117.7234024
71,Distant Star,92618,33.7065865,-117.7234785
4255,Campus Drive,92612,33.6495695,-117.8393363
215C,Student Center,92697,33.6489394,-117.8423125
100,Peony,92618,33.6864640,-117.7470557
102,Peony,92618,33.6864074,-117.7470998
104,Peony,92618,33.6863618,-117.7471452
106,Peony,92618,33.6861145,-117.7467872
108,Peony,92618,33.6861562,-117.7467383
110,Peony,92618,33.6862009,-117.7466846
112,Peony,92618,33.6862724,-117.7466190
114,Peony,92618,33.6863211,-117.7465784
116,Peony,92618,33.6863707,-117.7465295
118,Peony,92618,33.6862913,-117.7463720
120,Peony,92618,33.6862426,-117.7464209
122,Peony,92618,33.6862029,-117.7464603
124,Peony,92618,33.6861433,-117.7465438
126,Peony,92618,33.6860937,-117.7465880
128,Peony,92618,33.6860510,-117.7466261
20,Peony,92618,33.6880676,-117.7470938
21,Jonquil,92618,33.6876225,-117.7464660
21,Peony,92618,33.6877225,-117.7466137
22,Peony,92618,33.6880240,-117.7471326
23,Jonquil,92618,33.6875789,-117.7465048
23,Peony,92618,33.6876790,-117.7466525
24,Peony,92618,33.6879805,-117.7471748
25,Jonquil,92618,33.6875354,-117.7465470
25,Peony,92618,33.6876355,-117.7466947
26,Peony,92618,33.6879159,-117.7472608
27,Jonquil,92618,33.6874722,-117.7466162
27,Peony,92618,33.6875607,-117.7467664
28,Peony,92618,33.6878724,-117.7472997
29,Jonquil,92618,33.6874287,-117.7466550
29,Peony,92618,33.6875172,-117.7468052
30,Peony,92618,33.6878289,-117.7473418
31,Jonquil,92618,33.6873852,-117.7466972
31,Peony,92618,33.6874736,-117.7468474
32,Peony,92618,33.6877474,-117.7474262
33,Jonquil,92618,33.6873150,-117.7467799
33,Peony,92618,33.6874119,-117.7469200
34,Peony,92618,33.6877039,-117.7474650
35,Jonquil,92618,33.6872700,-117.7468204
35,Peony,92618,33.6873683,-117.7469588
36,Peony,92618,33.6876604,-117.7475072
37,Jonquil,92618,33.6872279,-117.7468575
37,Peony,92618,33.6873248,-117.7470010
38,Peony,92618,33.6875944,-117.7475865
39,Jonquil,92618,33.6871619,-117.7469419
39,Peony,92618,33.6872686,-117.7470769
40,Peony,92618,33.6875509,-117.7476253
41,Jonquil,92618,33.6871184,-117.7469807
41,Peony,92618,33.6872251,-117.7471157
42,Peony,92618,33.6875073,-117.7476675
43,Jonquil,92618,33.6870749,-117.7470229
43,Peony,92618,33.6871816,-117.7471579
44,Peony,92618,33.6872732,-117.7479077
46,Peony,92618,33.6872305,-117.7479470
48,Peony,92618,33.6871898,-117.7479900
52,Peony,92618,33.6871104,-117.7480640
54,Peony,92618,33.6870667,-117.7481081
56,Peony,92618,33.6870230,-117.7481463
58,Peony,92618,33.6867976,-117.7477537
60,Peony,92618,33.6868473,-117.7477120
62,Peony,92618,33.6868890,-117.7476726
64,Peony,92618,33.6869505,-117.7476010
66,Peony,92618,33.6870002,-117.7475581
68,Peony,92618,33.6870498,-117.7475139
70,Peony,92618,33.6869644,-117.7473826
72,Peony,92618,33.6869128,-117.7474292
74,Peony,92618,33.6868691,-117.7474733
76,Peony,92618,33.6867986,-117.7475461
78,Peony,92618,33.6867540,-117.7475867
80,Peony,92618,33.6867162,-117.7476237
82,Peony,92618,33.6864432,-117.7472729
84,Peony,92618,33.6865008,-117.7472204
86,Peony,92618,33.6865474,-117.7471762
88,Peony,92618,33.6866140,-117.7471130
90,Peony,92618,33.6866606,-117.7470700
92,Peony,92618,33.6867083,-117.7470211
94,Peony,92618,33.6866169,-117.7469065
96,Peony,92618,33.6865703,-117.7469459
98,Peony,92618,33.6865256,-117.7469841
100,Townsend,92620,33.7016018,-117.7482545
40,Townsend,92620,33.7030754,-117.7503750
42,Townsend,92620,33.7030356,-117.7503174
46,Townsend,92620,33.7029958,-117.7502598
48,Townsend,92620,33.7029302,-117.7501623
50,Townsend,92620,33.7028904,-117.7501047
52,Townsend,92620,33.7028505,-117.7500471
54,Townsend,92620,33.7027481,-117.7499000
56,Townsend,92620,33.7027083,-117.7498424
58,Townsend,92620,33.7026685,-117.7497848
60,Townsend,92620,33.7025992,-117.7496891
62,Townsend,92620,33.7025594,-117.7496315
64,Townsend,92620,33.7025196,-117.7495739
66,Townsend,92620,33.7024547,-117.7494800
68,Townsend,92620,33.7024149,-117.7494224
70,Townsend,92620,33.7023751,-117.7493648
72,Townsend,92620,33.7022999,-117.7492656
74,Townsend,92620,33.7022601,-117.7492080
76,Townsend,92620,33.7022203,-117.7491504
78,Townsend,92620,33.7021613,-117.7490609
80,Townsend,92620,33.7021215,-117.7490033
82,Townsend,92620,33.7020817,-117.7489457
84,Townsend,92620,33.7020161,-117.7488464
86,Townsend,92620,33.7019762,-117.7487888
88,Townsend,92620,33.7019364,-117.7487313
90,Townsend,92620,33.7018730,-117.7486338
92,Townsend,92620,33.7018332,-117.7485762
94,Townsend,92620,33.7017934,-117.7485186
96,Townsend,92620,33.7016814,-117.7483697
98,Townsend,92620,33.7016416,-117.7483121
41,Chantilly,92620,33.7029596,-117.7505345
43,Chantilly,92620,33.7029198,-117.7504769
45,Chantilly,92620,33.7028800,-117.7504193
47,Chantilly,92620,33.7028225,-117.7503298
49,Chantilly,92620,33.7027827,-117.7502722
51,Chantilly,92620,33.7027429,-117.7502146
53,Chantilly,92620,33.7025940,-117.7500072
55,Chantilly,92620,33.7025542,-117.7499496
57,Chantilly,92620,33.7025144,-117.7498920
59,Chantilly,92620,33.7024200,-117.7497698
61,Chantilly,92620,33.7023802,-117.7497122
63,Chantilly,92620,33.7023404,-117.7496546
65,Chantilly,92620,33.7022549,-117.7495252
67,Chantilly,92620,33.7022151,-117.7494676
