House number,Street name,Postal code,Latitude,Longitude
28961,Golden Lantern,92677,33.5423946,-117.6922690
28201,Crown Valley Parkway,92677,33.5537311,-117.6857600
30222,Crown Valley Parkway,92677,33.5235698,-117.7137453
30162,Crown Valley Parkway,92677,33.5244892,-117.7127173
28933,Crown Valley Parkway,92677-1514,33.5424736,-117.6918590
30242,Crown Valley Parkway,92677,33.5229391,-117.7138080
30202,Crown Valley Parkway,92677,33.5242864,-117.7133629
30061,Alicia Parkway,92677,33.5271824,-117.7170640
29941,Alicia Parkway,92677,33.5282882,-117.7176620
30065,Alicia Parkway,92677,33.5267700,-117.7169440
32341,Golden Lantern Street,92677,33.4939408,-117.6968252
27020,Alicia Parkway,92677,33.5704976,-117.7141579
23811,Aliso Creek Road,92677,33.5561786,-117.7141928
30071,Alicia Parkway,92677,33.5262535,-117.7173336
30012,Crown Valley Parkway,92677,33.5264665,-117.7102618
30001,Town Center Drive,92677,33.5271352,-117.7135390
2991,Niguel Road,92607,33.5281094,-117.7150530
30001,Crown Valley Parkway,92677,33.5272842,-117.7108188
30100,Town Center Drive,92677,33.5261086,-117.7129208
30012,Crown Valley Parkway,92677,33.5263819,-117.7102739
30001,Crown Valley Parkway,92677,33.5271543,-117.7110058
30001,Crown Valley Parkway,92677,33.5272202,-117.7109123
30092,Ivy Glenn Drive,92677,33.5259004,-117.7161654
30190,Town Center Drive,92677,33.5248074,-117.7149180
30190,Town Center Drive,92677,33.5248582,-117.7148500
30190,Town Center Drive,92677,33.5249597,-117.7148470
30242,Crown Valley Parkway,92677,33.5229899,-117.7138729
30242,Crown Valley Parkway,92677,33.5230482,-117.7139330
30242,Crown Valley Parkway,92677,33.5230977,-117.7140059
30001,Town Center Drive,92677,33.5272193,-117.7135004
30001,Town Center Drive,92677,33.5269894,-117.7135973
30001,Town Center Drive,92677,33.5270747,-117.7135690
30100,Town Center Drive,92677,33.5260410,-117.7130020
30100,Town Center Drive,92677,33.5259949,-117.7130909
30001,Crown Valley Parkway,92677,33.5275520,-117.7104736
30001,Crown Valley Parkway,92677,33.5273581,-117.7107973
30001,Crown Valley Parkway,92677,33.5273561,-117.7107158
30001,Crown Valley Parkway,92677,33.5274101,-117.7106430
30001,Crown Valley Parkway,92677,33.5274640,-117.7105767
30001,Crown Valley Parkway,92677,33.5275080,-117.7105192
30100,Town Center Drive,92677,33.5259538,-117.7131627
30100,Town Center Drive,92677,33.5259266,-117.7132023
30100,Town Center Drive,92677,33.5259022,-117.7132383
30100,Town Center Drive,92677,33.5258707,-117.7132813
30100,Town Center Drive,92677,33.5257790,-117.7133604
30100,Town Center Drive,92677,33.5257116,-117.7133999
30100,Town Center Drive,92677,33.5256514,-117.7134687
30100,Town Center Drive,92677,33.5256013,-117.7135520
30100,Town Center Drive,92677,33.5254336,-117.7137557
30100,Town Center Drive,92677,33.5252864,-117.7138682
30100,Town Center Drive,92677,33.5253334,-117.7138226
30100,Town Center Drive,92677,33.5252596,-117.7139031
30100,Town Center Drive,92677,33.5252059,-117.7139701
30212,Crown Valley Parkway,92677,33.5238542,-117.7136300
30012,Ivy Glenn Drive,92677,33.5268857,-117.7151956
29982,Ivy Glenn Drive,92677,33.5273340,-117.7144789
30065,Alicia Parkway,92677,33.5267297,-117.7170884
30065,Alicia Parkway,92677,33.5266456,-117.7171460
30051,Alicia Parkway,92677,33.5268117,-117.7178014
29821,Ana Maria Lane,92677,33.5299820,-117.7140730
23901,Voyager Lane,92677,33.5335072,-117.7111448
23902,Voyager Lane,92677,33.5330980,-117.7111538
30262,Via Reata,92677,33.5232171,-117.7194653
30256,Via Reata,92677,33.5232476,-117.7195403
27150,Alicia Parkway,92677,33.5686953,-117.7130734
27150,Alicia Parkway,92677,33.5685790,-117.7131273
27150,Alicia Parkway,92677,33.5684278,-117.7131731
27941,La Paz Road,92677,33.5559722,-117.7104349
27941,La Paz Road,92677,33.5559862,-117.7105482
27931,La Paz Road,92677,33.5561261,-117.7103490
27931,La Paz Road,92677,33.5561622,-117.7103510
