House number,Street name,Postal code,Latitude,Longitude
24338,El Toro Road,92637,33.6086184,-117.7316380
24336,El Toro Road,92637,33.6081853,-117.7317358
24100,El Toro Road,92637,33.6124154,-117.7133186
107,Via Estrada,92637,33.6050232,-117.7085261
24102,El Toro Road,92630,33.6119662,-117.7141449
24191,Paseo de Valencia,92630,33.6111424,-117.7141414
898,Ronda Sevilla,92637,33.5958510,-117.7089905
865,Ronda Mendoza,92637,33.5957880,-117.7061278
865,Ronda Mendoza,92637,33.5956257,-117.7065275
897,Ronda Sevilla,92637,33.5951615,-117.7089845
857,Ronda Mendoza,92637,33.5947155,-117.7061668
4015,Calle Sonora Oeste,92637,33.6037730,-117.7333798
3247,San Amadeo,92637,33.6055112,-117.7432955
3245,San Amadeo,92637,33.6050749,-117.7432236
4005,Calle Sonora Oeste,92637,33.6051772,-117.7349073
3104,Via Serena South,92637,33.6148002,-117.7316133
23742,Moulton Parkway,92637,33.6169675,-117.7307018
24270,El Toro Road,92637-3435,33.6095520,-117.7234237
23582,Moulton Parkway,92637,33.6201445,-117.7309740
24191,Paseo de Valencia,92630,33.6108185,-117.7141108
24191,Paseo de Valencia,92630,33.6109451,-117.7141213
24191,Paseo de Valencia,92630,33.6110006,-117.7141273
24191,Paseo de Valencia,92630,33.6108730,-117.7141178
24191,Paseo de Valencia,92630,33.6110574,-117.7141483
24102,El Toro Road,92630,33.6121493,-117.7142597
24102,El Toro Road,92630,33.6121891,-117.7141187
24102,El Toro Road,92630,33.6121415,-117.7144341
24102,El Toro Road,92630,33.6120715,-117.7141235
24102,El Toro Road,92630,33.6121518,-117.7143485
24102,El Toro Road,92630,33.6118948,-117.7141387
24281,Moulton Parkway,92637,33.6096257,-117.7253987
24270,El Toro Road,92653,33.6095872,-117.7231800
24112,Moulton Parkway,92637,33.6157383,-117.7257560
24264,El Toro Road,92637,33.6105200,-117.7234599
24001,Paseo de Valencia,92637,33.6140894,-117.7129409
24001,Paseo de Valencia,92637,33.6140611,-117.7127945
24256,El Toro Road,92637,33.6110308,-117.7226047
24085,El Toro Road,92653,33.6130741,-117.7133343
24100,El Toro Road,92637,33.6123348,-117.7133913
24102,El Toro Road,92630,33.6120313,-117.7142904
24191,Paseo de Valencia,92630,33.6109935,-117.7142045
24165,Paseo de Valencia,92637,33.6115326,-117.7142793
24211,Paseo de Valencia,92637,33.6107333,-117.7134438
24301,Paseo de Valencia,92637,33.6094645,-117.7131189
24055,Paseo del Lago West,92637,33.6134201,-117.7442315
24055,Paseo del Lago West,92637,33.6131132,-117.7452253
116,Via Estrada,92637,33.6049307,-117.7084962
23562,Moulton Parkway,92637,33.6206366,-117.7310833
23572,Moulton Parkway,92637,33.6205586,-117.7302229
23582,Moulton Parkway,92637,33.6201162,-117.7308590
4026,Calle Sonora Este,92637,33.6001237,-117.7342225
24181,Moulton Parkway,92637,33.6102021,-117.7260362
24312,El Toro Road,92637,33.6086855,-117.7262195
933,Avenida Majorca,92637,33.5958512,-117.7105862
934,Avenida Majorca,92637,33.5958377,-117.7109861
935,Avenida Majorca,92637,33.5959883,-117.7112668
936,Avenida Majorca,92637,33.5960883,-117.7115426
937,Avenida Majorca,92637,33.5960994,-117.7118833
938,Avenida Majorca,92637,33.5962281,-117.7121850
940,Avenida Majorca,92637,33.5963336,-117.7117547
736,Avenida Majorca,92637,33.5963037,-117.7125596
932,Avenida Majorca,92637,33.5961698,-117.7108787
931,Avenida Majorca,92637,33.5962275,-117.7104945
907,Ronda Sevilla,92637,33.5960990,-117.7097111
906,Ronda Sevilla,92637,33.5957441,-117.7097295
905,Ronda Sevilla,92637,33.5953576,-117.7097421
902,Ronda Sevilla,92637,33.5952572,-117.7093247
901,Ronda Sevilla,92637,33.5949524,-117.7090808
896,Ronda Sevilla,92637,33.5948341,-117.7086121
897,Ronda Sevilla,92637,33.5952639,-117.7087618
895,Ronda Sevilla,92637,33.5946330,-117.7081779
893,Ronda Sevilla,92637,33.5952348,-117.7083327
894,Ronda Sevilla,92637,33.5952529,-117.7080459
840,Ronda Sevilla,92637,33.5942912,-117.7077933
842,Ronda Sevilla,92637,33.5944867,-117.7074741
841,Ronda Sevilla,92637,33.5947500,-117.7076111
900,Ronda Sevilla,92637,33.5958269,-117.7082231
899,Ronda Sevilla,92637,33.5961087,-117.7083650
898,Ronda Sevilla,92637,33.5958375,-117.7087730
904,Ronda Sevilla,92637,33.5961492,-117.7090412
903,Ronda Sevilla,92637,33.5958497,-117.7093036
882,Via Mendoza,92637,33.5961726,-117.7076958
886,Ronda Sevilla,92637,33.5964299,-117.7085937
887,Ronda Sevilla,92637,33.5964468,-117.7092844
908,Ronda Sevilla,92637,33.5964604,-117.7096949
838,Ronda Sevilla,92637,33.5938195,-117.7075588
846,Ronda Mendoza,92637,33.5951246,-117.7071768
849,Ronda Mendoza,92637,33.5961681,-117.7070425
847,Ronda Mendoza,92637,33.5954688,-117.7073633
848,Ronda Mendoza,92637,33.5958633,-117.7073300
844,Ronda Mendoza,92637,33.5944560,-117.7068009
845,Ronda Mendoza,92637,33.5947733,-117.7070238
839,Ronda Sevilla,92637,33.5940261,-117.7074255
843,Ronda Sevilla,92637,33.5942700,-117.7072199
833,Ronda Mendoza,92637,33.5940481,-117.7058759
834,Ronda Mendoza,92637,33.5941257,-117.7063122
832,Ronda Mendoza,92637,33.5942330,-117.7054653
831,Ronda Mendoza,92637,33.5944676,-117.7050757
856,Ronda Mendoza,92637,33.5944743,-117.7060432
858,Ronda Mendoza,92637,33.5952774,-117.7067919
863,Ronda Mendoza,92637,33.5947641,-117.7053385
857,Ronda Mendoza,92637,33.5947901,-117.7064935
852,Ronda Mendoza,92637,33.5963641,-117.7057107
859,Ronda Mendoza,92637,33.5957860,-117.7067668
860,Ronda Mendoza,92637,33.5960391,-117.7061632
861,Ronda Mendoza,92637,33.5957600,-117.7056688
851,Ronda Mendoza,92637,33.5963995,-117.7061906
854,Ronda Mendoza,92637,33.5957555,-117.7051822
862,Ronda Mendoza,92637,33.5952530,-117.7053595
853,Ronda Mendoza,92637,33.5960708,-117.7054090
855,Ronda Mendoza,92637,33.5953971,-117.7050285
850,Ronda Mendoza,92637,33.5963536,-117.7066411
866,Ronda Mendoza,92637,33.5953768,-117.7058619
864,Ronda Mendoza,92637,33.5951890,-117.7063060
865,Ronda Mendoza,92637,33.5955416,-117.7062407
822,Via Alhambra,92637,33.5961851,-117.7047371
830,Ronda Mendoza,92637,33.5947400,-117.7047732
860,Ronda Mendoza,92637,33.5960139,-117.7058034
856,Ronda Mendoza,92637,33.5946564,-117.7059407
859,Ronda Mendoza,92637,33.5955574,-117.7069611
865,Ronda Mendoza,92637,33.5953895,-117.7064727
805,Ronda Mendoza,92637,33.5960118,-117.7029940
806,Ronda Mendoza,92637,33.5956668,-117.7028798
804,Ronda Mendoza,92637,33.5961870,-117.7033701
801,Ronda Mendoza,92637,33.5956911,-117.7045040
