House number,Street name,Postal code,Latitude,Longitude
330,Airway Boulevard,94551,37.6957250,-121.8124454
298,Junction Avenue,94551,37.6873855,-121.7665950
220,South Livermore Avenue,94550,37.6814180,-121.7670649
486,South J Street,94510,37.6789826,-121.7673165
951,Rincon Avenue,94551,37.6886898,-121.7837670
1550,North Vasco Road,94551,37.7183271,-121.7246402
2115,First Street,94550,37.6811682,-121.7697842
4550,East Avenue,94550,37.6802128,-121.7393973
2620,First Street,94550,37.6845449,-121.7647357
4040,East Avenue,95660,37.6807370,-121.7475873
945,Bluebell Drive,94550,37.7056288,-121.7395597
2369,First Street,94550,37.6828661,-121.7671460
800,E. Airway Boulevard,94551,37.6983729,-121.7874976
2490,First Street,94550,37.6835894,-121.7672066
1424,First Street,94550,37.6792476,-121.7794890
1122,A East Stanley Boulevard,94550,37.6800597,-121.7817694
1880,Fourth Street,94550-4454,37.6785674,-121.7718860
883,Airway Boulevard,94551,37.6991725,-121.8175409
891,Airway Boulevard,94551,37.6995142,-121.8172339
4429,1st Street,94551,37.6963850,-121.7425780
5883,Southfront Road,94551,37.7073149,-121.7256409
1051,Airway Boulevard,94551,37.7037431,-121.8180190
2086,First Street,94550,37.6814113,-121.7701560
2206,First Street,94550,37.6817303,-121.7690318
2020,First Street,94550,37.6817869,-121.7688400
2181,First Street,94550,37.6813443,-121.7690984
2175,First Street,94550,37.6813342,-121.7691410
2223,First Street,94550,37.6815811,-121.7684020
186,South K Street,94550,37.6807312,-121.7695910
1870,First Street,94550,37.6806934,-121.7732270
7697,Hawthorne Avenue,94550,37.7053051,-121.7010960
930,Springtown Boulevard,94551,37.7049010,-121.7412626
2405,Research Drive,94550,37.6752257,-121.7201915
1472,1st Street,94550,37.6791326,-121.7780531
1843,First Street,94550,37.6801342,-121.7731353
2451,Portola Avenue,94551,37.6900872,-121.7706330
2792,Livermore Outlets Drive,94551,37.6983961,-121.8464193
175,Vineyard Avenue,94550,37.6507437,-121.8033920
101,Vineyard Avenue,94550,37.6507871,-121.8045358
1009,Murrieta Boulevard,94550,37.6758102,-121.7826062
1001,Murrieta Boulevard,94550,37.6757781,-121.7842909
4516,Las Positas Road,94551,37.6995455,-121.7433873
4520,Las Positas Road,94551,37.6994551,-121.7435100
4524,Las Positas Road,94551,37.6993682,-121.7435699
969,East Stanley Boulevard,94550,37.6777580,-121.7850073
2155,Third Street,94550,37.6796622,-121.7685790
1617,College Avenue,94550,37.6742427,-121.7737482
2470,First Street,94550,37.6832954,-121.7673156
2300,First Street,94550,37.6827717,-121.7680840
290,Rickenbacker Cir,94551,37.6917122,-121.8051885
4484,Las Positas Road,94551,37.7009280,-121.7437094
4408,Las Positas Road,94551,37.7013004,-121.7442969
2498,Las Positas Road,94551,37.6999031,-121.7719696
2266,Kitty Hawk Road,94551,37.6996307,-121.8075709
2050,Portola Avenue,94550,37.6914573,-121.7737110
2050,Portola Avenue,94551,37.6914455,-121.7736372
223,South Vasco Road,94551,37.7030498,-121.7219600
2021,Las Positas Court,94551,37.6963513,-121.7772202
1513,Heather Lane,94551,37.7148699,-121.7336569
2617,Old 1st Street,94550,37.6847402,-121.7650812
767,Central Avenue,94551,37.7091293,-121.7268548
6025,Northfront Road,94551,37.7114587,-121.7229287
3086,West Jack London Boulevard,94551,37.6960186,-121.8470501
3070,West Jack London Boulevard,94551,37.6960078,-121.8463348
3056,West Jack London Boulevard,94551,37.6960568,-121.8452005
3010,West Jack London Boulevard,94588,37.6969954,-121.8465668
3090,West Jack London Boulevard,94551,37.6963517,-121.8475688
4323,First Street,94550,37.6969657,-121.7433386
4325,First Street,94550,37.6969987,-121.7432797
4327,First Street,94551,37.6970510,-121.7431252
4333,First Street,94551,37.6971812,-121.7431648
4435,First Street,94551,37.6962092,-121.7423540
4405,First Street,94551,37.6967417,-121.7426370
4371,First Street,94551,37.6969847,-121.7424488
2245,Las Positas Road,94551,37.6974494,-121.7727051
2232,Kitty Hawk Road,94551,37.6995407,-121.8068356
4225,First Street,94551,37.6946019,-121.7462949
4225,First Street,94551,37.6946108,-121.7461899
4227,First Street,94551,37.6946289,-121.7461335
4229,First Street,94551,37.6946565,-121.7460625
2868,Las Positas Road,94551,37.6994929,-121.7651320
2844,Las Positas Road,94551,37.6994060,-121.7654527
2832,Las Positas Road,94551,37.6993728,-121.7657610
4500,Las Positas Road,94551,37.7007339,-121.7431490
4502,Las Positas Road,94551,37.7004106,-121.7428604
1554,First Street,94550,37.6802814,-121.7775475
1593,First Street,94550,37.6792084,-121.7763374
4521,Livermore Outlets Drive,94550,37.6977392,-121.8398095
2780,Constitution Drive,94551,37.7021954,-121.8163602
2476,Las Positas Road,94551,37.6998538,-121.7721197
235,South Vasco Road,94551,37.7028260,-121.7217500
922,Larkspur Drive,94551,37.7057551,-121.7406110
988,Murrieta Boulevard,94550,37.6762451,-121.7847485
862,Hillcrest Avenue,94550,37.6808362,-121.7481211
850,Hillcrest Avenue,94550,37.6809052,-121.7481171
4010,East Avenue,94550,37.6807396,-121.7480983
4014,East Avenue,94550,37.6807396,-121.7479950
4022,East Avenue,94550,37.6807353,-121.7477737
4046,East Avenue,94550,37.6809052,-121.7474532
4068,East Avenue,94550,37.6809179,-121.7473111
4072,East Avenue,94550,37.6809243,-121.7472279
4070,East Avenue,94550,37.6809211,-121.7471595
4076,East Avenue,94550,37.6808956,-121.7469248
4074,East Avenue,94550,37.6809030,-121.7470428
4086,East Avenue,94550,37.6805135,-121.7469905
4088,East Avenue,94550,37.6805146,-121.7468739
4084,East Avenue,94550,37.6805931,-121.7469704
4082,East Avenue,94550,37.6806685,-121.7469785
4080,East Avenue,94550,37.6807566,-121.7469745
4098,East Avenue,94550,37.6802789,-121.7469476
4094,East Avenue,94550,37.6802704,-121.7472065
3998,East Avenue,94550,37.6805503,-121.7490039
981,Alden Lane,94550,37.6551287,-121.7843060
