House number,Street name,Postal code,Latitude,Longitude
690,Fremont Avenue,94024,37.3607935,-122.0968991
765,Fremont Avenue,94022,37.3576023,-122.0933419
625,Magdalena Avenue,94024,37.3598763,-122.1004523
655,Magdalena Avenue,94024,37.3602778,-122.0983330
201,Covington Road,94024,37.3710520,-122.1069072
10,Almond Avenue,94022,37.3853128,-122.1123187
4546,West El Camino Real,94022,37.4012860,-122.1145650
105,Main Street,94022,37.3803655,-122.1145725
4926,West El Camino Real,94022,37.3972883,-122.1078244
101,Plaza North,94022,37.3804206,-122.1157420
279,South Gordon Way,94022,37.3779157,-122.1071860
183,Hillview Avenue,94022,37.3798323,-122.1101170
397,Main Street,94022,37.3777615,-122.1175560
367,State Street,94022,37.3787610,-122.1179450
987,North San Antonio Road,94022,37.3999514,-122.1140708
4546,El Camino Real,94022,37.4003897,-122.1154530
987,North San Antonio Road,94022,37.3999365,-122.1140227
2310,Homestead Road,94024,37.3364597,-122.0674365
2310,Homestead Road,94024,37.3371572,-122.0675117
907,North San Antonio Road,94022,37.3991693,-122.1140278
682,Fremont Avenue,94024,37.3608787,-122.0973000
981,North San Antonio Road,94022,37.3998685,-122.1140670
971,North San Antonio Road,94022,37.3997633,-122.1139783
385,State Street,94022,37.3786610,-122.1181401
925,North San Antonio Road,94022,37.3996545,-122.1139834
668,Fremont Avenue,94024,37.3611020,-122.0974390
231,Main Street,94022,37.3785372,-122.1160050
177,Main Street,94022,37.3789561,-122.1151740
145,Main Street,94022,37.3795767,-122.1147300
654,Fremont Avenue,94024,37.3613873,-122.0979880
379,State Street,94022,37.3786930,-122.1180733
157,Main Street,94022,37.3793464,-122.1148527
171,Main Street,94022,37.3790453,-122.1150730
650,Fremont Avenue,94024,37.3616165,-122.0980698
233,State Street,94022,37.3793855,-122.1166706
227,1st Street,94022,37.3784899,-122.1181290
328,Main Street,94022,37.3782664,-122.1171410
378,Main Street,94022,37.3780921,-122.1174930
241,South San Antonio Road,94022,37.3779284,-122.1136630
398,State Street,94022,37.3787996,-122.1183610
316,State Street,94022,37.3791451,-122.1177030
496,1st Street,94022,37.3738127,-122.1144250
220,State Street,94022,37.3796578,-122.1166620
371,State Street,94022,37.3787290,-122.1180086
209,State Street,94022,37.3794648,-122.1165140
271,State Street,94022,37.3791762,-122.1171090
359,State Street,94022,37.3788515,-122.1177542
363,State Street,94022,37.3788113,-122.1178483
280,Main Street,94022,37.3785778,-122.1165246
4,Main Street,94022,37.3812191,-122.1148800
4546,West El Camino Real,94022,37.4007696,-122.1144465
145,1st Street,94022,37.3795863,-122.1188980
209,1st Street,94022,37.3785426,-122.1181626
188,2nd Street,94022,37.3787812,-122.1171993
184,2nd Street,94022,37.3788122,-122.1172340
240,2nd Street,94022,37.3780031,-122.1165850
301,2nd Street,94022,37.3775099,-122.1155176
350,2nd Street,94022,37.3762406,-122.1152520
173,Main Street,94022,37.3789971,-122.1151190
169,Main Street,94022,37.3790873,-122.1150230
141,Main Street,94022,37.3796745,-122.1146810
131,Main Street,94022,37.3798617,-122.1146304
295,Main Street,94022,37.3782998,-122.1165089
215,Main Street,94022,37.3785904,-122.1158300
363,Main Street,94022,37.3778643,-122.1173283
189,Main Street,94022,37.3788543,-122.1153120
353,Main Street,94022,37.3779255,-122.1172360
1554,Miramonte Avenue,94024,37.3534685,-122.0871157
236,Plaza Central,94022,37.3791357,-122.1166642
335,Plaza Central,94022,37.3783961,-122.1173340
365,Plaza Central,94022,37.3782845,-122.1175581
129,2nd Street,94022,37.3801815,-122.1176860
133,2nd Street,94022,37.3800963,-122.1176060
179,Main Street,94022,37.3788167,-122.1151770
4546,West El Camino Real,94022,37.4012405,-122.1144420
292,Plaza Central,94022,37.3789868,-122.1169635
222,Main Street,94022,37.3787742,-122.1161310
185,Main Street,94022,37.3788979,-122.1152301
4440,El Camino Real,94022,37.4024956,-122.1165052
242,State Street,94022,37.3795846,-122.1168226
330,South San Antonio Road,94022,37.3769230,-122.1145645
330,South San Antonio Road,94022,37.3769861,-122.1145946
2300,Homestead Road,94024,37.3375517,-122.0679235
2300,Homestead Road,94024,37.3376508,-122.0680267
303,2nd Street,94022,37.3773481,-122.1155931
303,2nd Street,94022,37.3773179,-122.1153978
13,South San Antonio Road,94022,37.3809743,-122.1130546
467,1st Street,94022,37.3744580,-122.1145810
960,North San Antonio Road,94022,37.3990023,-122.1146333
1178,Los Altos Avenue,94022,37.4042311,-122.1191750
2310,Homestead Road,94024,37.3364564,-122.0676363
2225,Grant Road,94024,37.3411708,-122.0714176
2249,Grant Road,94024,37.3407385,-122.0707526
5000,El Camino Real,94022-1500,37.3968636,-122.1054148
2225,Grant Road,94024,37.3411414,-122.0713740
2225,Grant Road,94024,37.3411224,-122.0713513
2225,Grant Road,94024,37.3411952,-122.0714490
660,Fremont Avenue,94024,37.3613495,-122.0977392
123,Fremont Avenue,94022,37.3717893,-122.1116097
1,1st Street,94022,37.3811105,-122.1199120
129,Fremont Avenue,94022,37.3716742,-122.1114649
1,1st Street,94022,37.3810764,-122.1197890
20,1st Street,94022,37.3811705,-122.1206025
885,North San Antonio Road,94022,37.3982854,-122.1138318
900,North San Antonio Road,94022,37.3986429,-122.1147754
350,State Street,94022,37.3790743,-122.1180381
99,3rd Street,94022,37.3804960,-122.1167023
86,3rd Street,94022,37.3803659,-122.1171610
107,Main Street,94022,37.3805070,-122.1145932
1,1st Street,94022,37.3810425,-122.1197140
851,Fremont Avenue,94024,37.3559389,-122.0905522
851,Fremont Avenue,94024,37.3558413,-122.0903593
881,Fremont Avenue,94024,37.3551825,-122.0900400
851,Fremont Avenue,94024,37.3557688,-122.0903486
881,Fremont Avenue,94024,37.3552662,-122.0899057
851,Fremont Avenue,94024,37.3558712,-122.0905417
851,Fremont Avenue,94024,37.3559650,-122.0904827
851,Fremont Avenue,94024,37.3560588,-122.0906168
851,Fremont Avenue,94024,37.3560972,-122.0904183
881,Fremont Avenue,94024,37.3551639,-122.0901525
851,Fremont Avenue,94024,37.3559565,-122.0903593
851,Fremont Avenue,94024,37.3559778,-122.0906222
919,Fremont Avenue,94024,37.3546490,-122.0894189
851,Fremont Avenue,94024,37.3558339,-122.0905417
644,Fremont Avenue,94024,37.3616930,-122.0980154
658,Fremont Avenue,94024,37.3615033,-122.0977069
644,Fremont Avenue,94024,37.3616867,-122.0979778
2251,Grant Road,94024,37.3404113,-122.0706072
2310,Homestead Road,94024,37.3367021,-122.0675292
100,State Street,94022,37.3801427,-122.1156920
981,Fremont Avenue,94024,37.3531264,-122.0875762
945,Fremont Avenue,94024,37.3536607,-122.0883057
903,North San Antonio Road,94022,37.3991164,-122.1140274
235,1st Street,94022,37.3784425,-122.1180870
4916,El Camino Real,94022,37.3977264,-122.1077546
2053,Grant Road,94024,37.3423214,-122.0729379
2310,Homestead Road,94024,37.3363953,-122.0665980
380,Main Street,94022,37.3780760,-122.1175824
343,Main Street,94022,37.3779822,-122.1170996
167,South San Antonio Road,94022,37.3798548,-122.1138231
2245,Grant Road,94024,37.3408984,-122.0710323
650B,Fremont Avenue,94024,37.3616343,-122.0979952
2310,Homestead Road,94024,37.3367562,-122.0675690
4744,West El Camino Real,94022,37.3999842,-122.1117540
334,Main Street,94022,37.3782545,-122.1172120
184,Plaza South,94022,37.3787702,-122.1150796
186,Plaza South,94022,37.3787004,-122.1151680
168,Main Street,94022,37.3791849,-122.1154111
