House number,Street name,Postal code,Latitude,Longitude
790,North Shoreline Boulevard,94043,37.4060647,-122.0784260
201,Castro Street,94041,37.3936438,-122.0788638
2410,East Charleston Road,94043,37.4218076,-122.0964180
1030,North Rengstorff Avenue,94043-1716,37.4194476,-122.0960880
1350,Grant Road,94040,37.3776640,-122.0765770
143,East El Camino Real,94040,37.3786706,-122.0714464
1041,North El Monte Avenue,94040,37.3900939,-122.0947033
1037,El Monte Avenue,94040,37.3908308,-122.0947122
2210,Woodberry Lane,94043,37.4135251,-122.0954798
1380,Pear Avenue,94043,37.4157646,-122.0776812
1380,Pear Avenue,94043,37.4159790,-122.0771488
750,"Castro St, Park Place South",94041,37.3874972,-122.0830990
122,North Rengstorff Avenue,94043,37.4043631,-122.0975553
2400,East Charleston Road,94043,37.4218129,-122.0965490
205,East Middlefield Road,94043,37.3969471,-122.0616569
2534,Old Middlefield Way,94043,37.4156034,-122.1011086
108,North Rengstorff Avenue,94043,37.4040957,-122.0980999
2430,East Charleston Road,94043,37.4220491,-122.0964020
1943,West El Camino Real,94040,37.3934044,-122.0980720
1933,West El Camino Real,94040,37.3931967,-122.0974990
1919,El Camino Real,94040,37.3930805,-122.0973420
2033,West El Camino Real,94040,37.3945958,-122.1003790
857,Villa Street,94041,37.3939275,-122.0797200
377,San Antonio Road,94040,37.4051109,-122.1108591
1951,Old Middlefield Way,94043-2543,37.4140197,-122.0896190
2105,Old Middlefield Way,94043,37.4141396,-122.0934540
2675,Del Medio Avenue,94040,37.4042547,-122.1144597
2532,Old Middlefield Way,94043,37.4155817,-122.1009831
2501,West Middlefield Road,94043,37.4130099,-122.0993605
548,Victory Avenue,94043,37.4128636,-122.0994810
1250,Grant Road,94040,37.3783433,-122.0763504
1297,West El Camino Real,94040-2401,37.3880689,-122.0890930
750,West Evelyn Avenue,94041,37.3949747,-122.0778440
1288,West El Camino Real,94043,37.3884709,-122.0885060
310,North Whisman Road,94043,37.3975505,-122.0597444
67,East Evelyn Avenue,94041,37.3905011,-122.0673694
2312,Central Expressway,94043,37.4038826,-122.0981330
590,Showers Drive,94040,37.4021760,-122.1105250
580,North Rengstorff Avenue,94043,37.4114625,-122.0943406
2424,East Charleston Road,94043,37.4219774,-122.0964095
1712 Suite A,Miramonte Avenue,94040,37.3727968,-122.0876771
650,Castro Street,94041,37.3880607,-122.0827510
650,Castro Street,94041,37.3878033,-122.0829330
650,Castro Street,94041,37.3877352,-122.0829930
650,Castro Street,94041,37.3879864,-122.0827900
160,North Rengstorff Avenue,94043,37.4053344,-122.0964118
1039,North El Monte Avenue,94040,37.3906739,-122.0943882
912,Rich Avenue,94040,37.3896766,-122.0939698
1711,West El Camino Real,94040,37.3903733,-122.0940320
1935,West El Camino Real,94040,37.3931683,-122.0976750
1949A,West El Camino Real,94040,37.3933814,-122.0981049
1407,West El Camino Real,94040,37.3889488,-122.0908415
1405,West El Camino Real,94040,37.3888892,-122.0907548
2409,Leghorn Street,94043,37.4189344,-122.0973393
407,Bella Corte,94043,37.4100419,-122.0948194
408,Bella Corte,94043,37.4098597,-122.0949600
411,Bella Corte,94043,37.4100810,-122.0949095
412,Bella Corte,94043,37.4099031,-122.0950597
416,Bella Corte,94043,37.4099725,-122.0952591
