House number,Street name,Postal code,Latitude,Longitude
2000,Trower Avenue,94558,38.3304518,-122.3182790
247,Soscol Avenue,94559,38.2832055,-122.2750211
2007,Redwood Road,94558,38.3203220,-122.3106495
3682,Bel Aire Plaza,94558,38.3232512,-122.3063419
3654,Bel Aire Plaza,94558,38.3227883,-122.3059235
611,Trancas St,94558,38.3241936,-122.2859373
1312,Trancas St,94558,38.3234529,-122.3017830
2101,Russell Street,94559,38.2825142,-122.2617153
1827,Clay Street,94559,38.2981652,-122.2939958
663,Trancas Street,94558,38.3238497,-122.2871996
623,Trancas Street,94558,38.3241654,-122.2865210
2125,1st Street,94559,38.2975539,-122.2964617
1715,Trancas Street,94558,38.3212422,-122.3060291
1725,Trancas Street,94558,38.3207125,-122.3067341
1725,Trancas Street,94558,38.3205387,-122.3064942
1340,Trancas Street,94558,38.3234124,-122.3024003
3325,Jefferson Street,94558,38.3214908,-122.3007498
710,Lincoln Avenue,94559,38.3107973,-122.2857362
2375,California Boulevard,94559,38.3067066,-122.3028902
308,Soscol Avenue,94559,38.2859184,-122.2735123
300,Soscol Avenue,94559,38.2866758,-122.2736009
304,Soscol Avenue,94559,38.2858603,-122.2743070
259,Soscol Avenue,94559,38.2831582,-122.2754250
255,Soscol Avenue,94559,38.2834084,-122.2750456
2906,First Street,94558-5529,38.3012926,-122.3107291
3214,Jefferson Street,94558,38.3193304,-122.2982843
1629,West Imola Avenue,94559,38.2810385,-122.2924381
1745,West Imola Avenue,94559,38.2815580,-122.2926430
902,Main Street,94559,38.2987179,-122.2848610
1006,1st Street,94559,38.2992179,-122.2857848
860,Napa Valley Corporate Way,94558,38.2512374,-122.2735760
530,3rd Street,94559,38.2994968,-122.2783922
629,Factory Stores Drive,94558,38.2960716,-122.3030827
1758,Industrial Way,94558,38.3192456,-122.3040177
1600,Soscol Avenue,94559,38.3050542,-122.2831207
600,Main Street,94559,38.2966731,-122.2831520
3253,Browns Valley Road,94558,38.3041333,-122.3288680
1805,Pueblo Avenue,94558,38.3139097,-122.3061321
1725,Jefferson Street,94559,38.3034193,-122.2945647
1000,Main Street,94559,38.2994495,-122.2852957
4000,Bel Aire Plaza,94558,38.3225432,-122.3076914
304,Soscol Avenue,94559,38.2857871,-122.2743470
304,Soscol Avenue,94559,38.2854007,-122.2743238
205,Soscol Avenue,94559,38.2826293,-122.2772306
796,Soscol Avenue;3rd Street,94559,38.2987750,-122.2818410
1122,Main Street,94559,38.3002195,-122.2861010
603,Lincoln Avenue,94558,38.3098215,-122.2824686
942,Hartle Court,94558,38.2835207,-122.2814849
3375,Jefferson Street,94558,38.3213636,-122.3019259
3375,Jefferson Street,94558,38.3213762,-122.3018589
3375,Jefferson Street,94558,38.3213005,-122.3016229
3375,Jefferson Street,94558,38.3213089,-122.3021030
610,Main Street,94559,38.2968529,-122.2834290
1312,Trancas St,94558,38.3234507,-122.3019592
217,Soscol Avenue,94559,38.2833094,-122.2774295
3090,Jefferson Street,94558,38.3166755,-122.2976330
950,Pearl Street,94559,38.3010115,-122.2861300
603,Lincoln Avenue,94558,38.3099630,-122.2824423
850,Bordeaux Way,94558,38.2470976,-122.2731791
500,1st Street,94559,38.3029688,-122.2801264
644,1st Street,94559,38.3013580,-122.2819610
1021,McKinstry St,94559,38.3011609,-122.2823060
3373,Solano Avenue,94558,38.3193139,-122.3108009
