House number,Street name,Postal code,Latitude,Longitude
98,6th Street,92860,33.9375952,-117.5213620
2085,River Road,92860,33.9094109,-117.5828662
2085,River Road,92860,33.9092894,-117.5830581
2085,River Road,92860,33.9095257,-117.5827000
2850,Hamner Avenue,92860,33.9237809,-117.5599802
2001,3rd Street,92860,33.9169487,-117.5688064
2001,3rd Street,92860,33.9167971,-117.5682620
2001,3rd Street,92860,33.9168308,-117.5687630
2001,3rd Street,92860,33.9168609,-117.5692530
2001,3rd Street,92860,33.9168839,-117.5689020
2001,3rd Street,92860,33.9167819,-117.5687600
2001,3rd Street,92860,33.9167443,-117.5699527
2001,3rd Street,92860,33.9167258,-117.5692421
2395,Hamner Avenue,92860,33.9162633,-117.5592562
0,Town and Country Drive,92860,33.9263852,-117.5597120
0,Town and Country Drive,92860,33.9263924,-117.5601429
0,Town and Country Drive,92860,33.9267900,-117.5598091
100,6th Street,92860,33.9380035,-117.5241317
100,Oldenburg Lane,92860,33.9028662,-117.5164688
1000,Native Dancer Way,92860,33.9275362,-117.5434646
1000,Stayner Way,92860,33.9204583,-117.5450680
1001,Parkridge Avenue,92860,33.8987622,-117.5677281
1002,3rd Street,92860,33.9163767,-117.5447278
1004,6th Street,92860,33.9380649,-117.5437357
1004,Parkridge Avenue,92860,33.8982511,-117.5686930
1004,Thoroughbred Place,92860,33.8978036,-117.5424302
1005,Big Pine Lane,92860,33.8986307,-117.5404753
1007,3rd Street,92860,33.9168580,-117.5446742
1007,6th Street,92860,33.9389337,-117.5434679
1009,4th Street,92860,33.9252828,-117.5433859
1010,1st Street,92860,33.9034549,-117.5465097
1010,3rd Street,92860,33.9164546,-117.5461913
1010,4th Street,92860,33.9240732,-117.5435371
1010,Native Dancer Way,92860,33.9275360,-117.5437294
1010,River Drive,92860,33.9486044,-117.5435206
1010,Stayner Way,92860,33.9202924,-117.5452320
1011,1st Street,92860,33.9039762,-117.5465254
1011,Stayner Way,92860,33.9206475,-117.5451103
1012,5th Street,92860,33.9308532,-117.5435024
1014,7th Street,92860,33.9454455,-117.5435268
1014,Thoroughbred Lane,92860,33.8987134,-117.5469154
1015,2nd Street,92860,33.9097368,-117.5464573
1015,7th Street,92860,33.9462333,-117.5435677
1016,3rd Street,92860,33.9164378,-117.5464441
1017,3rd Street,92860,33.9168850,-117.5449196
1019,4th Street,92860,33.9246113,-117.5438793
1019,5th Street,92860,33.9313473,-117.5437053
1019,Sage Bush Lane,92860,33.9364763,-117.5436130
102,East Street,92860,33.9340442,-117.5238974
1020,2nd Street,92860,33.9092953,-117.5462341
1020,4th Street,92860,33.9240749,-117.5437619
1020,Carriage Drive,92860,33.9408703,-117.5434998
1020,Curtis Drive,92860,33.9210760,-117.5449079
1020,Frontier Road,92860,33.9263688,-117.5438676
1020,Native Dancer Way,92860,33.9275359,-117.5439944
1020,River Drive,92860,33.9485099,-117.5437432
1020,Stayner Way,92860,33.9202609,-117.5454621
1021,7th Street,92860,33.9459177,-117.5439533
1021,Carob Lane,92860,33.9399358,-117.5435806
1021,Curtis Drive,92860,33.9216063,-117.5449019
1021,Stayner Way,92860,33.9207755,-117.5452973
1022,2nd Street,92860,33.9088905,-117.5463424
1022,3rd Street,92860,33.9164395,-117.5468151
1022,5th Street,92860,33.9309664,-117.5437029
1023,3rd Street,92860,33.9168120,-117.5458185
1023,Sage Bush Lane,92860,33.9361391,-117.5439049
1024,2nd Street,92860,33.9089189,-117.5467029
1025,6th Street,92860,33.9387581,-117.5437574
1025,Big Pine Lane,92860,33.8985754,-117.5408450
1025,Frontier Road,92860,33.9267387,-117.5438416
1025,Raquel Road,92860,33.9073135,-117.5466788
1026,2nd Street,92860,33.9092997,-117.5468215
1030,1st Street,92860,33.9034768,-117.5469022
1030,Carriage Drive,92860,33.9408727,-117.5437400
1030,Curtis Drive,92860,33.9211124,-117.5451172
1030,Hamner Avenue,92860,33.8985177,-117.5633597
