House number,Street name,Postal code,Latitude,Longitude
1335,Oak Street,93446,35.6282454,-120.6930350
189,Niblick Road,93446,35.6166336,-120.6811344
189,Niblick Road,93446,35.6166780,-120.6808300
170,Niblick Road,93446,35.6125160,-120.6827500
96,Niblick Road,93446,35.6147289,-120.6832610
100,Niblick Road,93446,35.6141456,-120.6848279
180,Niblick Road,93446,35.6124485,-120.6816742
806,9th Street,93446,35.6234827,-120.6896612
900,Park Street,93446,35.6243712,-120.6895875
1305,Vine Street,93446,35.6277243,-120.6943552
1337,Vine Street,93446,35.6281614,-120.6943230
612,12th Street,93446,35.6264544,-120.6923240
3021,Propeller Drive,93446,35.6759037,-120.6401490
1145,Spring Street,93446,35.6263874,-120.6917992
722,Pine Street,93446,35.6221896,-120.6877861
526,Spring Street,93446,35.6197696,-120.6903695
3500,Dry Creek Rd,93446,35.6621499,-120.6314840
825,Riverside Avenue,93446,35.6234131,-120.6869570
1921,Spring Street,93446,35.6344036,-120.6923197
2301,Theatre Drive,93446,35.5842957,-120.6969370
832,11th St,93446,35.6256113,-120.6892450
725,13th Street,93446,35.6278756,-120.6906383
1900,Ramada Drive,93446,35.5896610,-120.6938620
1310,24th Street,93446,35.6417749,-120.6854305
4735,Airport Road,93446,35.6694779,-120.6428477
143,Niblick Road,93446,35.6158437,-120.6829139
1032,Pine Street,93446,35.6253607,-120.6885465
3700,Mill Road,93446,35.6448752,-120.6306061
2138,Spring Street,93446,35.6369745,-120.6917990
2135,Theatre Drive,93446,35.5854532,-120.6987145
1400,Railroad Street,93446,35.6287343,-120.6887000
2121,Spring Street,93446,35.6365178,-120.6931520
840,11th Street,93446,35.6256290,-120.6889684
843,12th Street,93446,35.6269774,-120.6890287
308,12th Street,93446,35.6264902,-120.6924204
1316,Pine Street,93446,35.6284650,-120.6888050
915,13th Street,93446,35.6280663,-120.6886168
1131,Creston Road,93446,35.6241579,-120.6621913
1921,Experimental Station Road,93446,35.6451864,-120.6642560
1925,Experimental Station Road,93446,35.6456202,-120.6646266
1929,Experimental Station Road,93446,35.6459756,-120.6646822
1934,Experimental Station Road,93446,35.6461834,-120.6639075
1928,Experimental Station Road,93446,35.6459515,-120.6635184
1924,Experimental Station Road,93446,35.6455328,-120.6637000
1918,Experimental Station Road,93446,35.6451051,-120.6637370
1333,Riverside,93446,35.6285712,-120.6871648
2301,Theatre Drive,93446,35.5842631,-120.6971385
2305,Theatre Drive,93446,35.5838881,-120.6990328
2255,Theatre Drive,93446,35.5844984,-120.6986489
2205,Theatre Drive,93446,35.5847695,-120.6987914
1100,Pine Street,93446,35.6256690,-120.6885330
700,Nicklaus Street,93446,35.6109410,-120.6730065
2501,Beechwood Drive,93446,35.6008252,-120.6546706
2500,Golden Hill Road,93446,35.6461846,-120.6576962
2800,Buena Vista Drive,93446,35.6504991,-120.6707462
940,Creston Road,93446,35.6242026,-120.6672204
900,Creston Road,93446,35.6247276,-120.6692942
2405,Spring Street,93446,35.6398045,-120.6926565
525,36th Street,93446,35.6514130,-120.6956166
401,17th Street,93446,35.6326384,-120.6945996
1626,Vine Street,93446,35.6316512,-120.6932581
700,Schoolhouse Circle,93447,35.6504515,-120.6761673
900,Tucker Avenue,93446,35.6254612,-120.6726263
1900,Golden Hill Road,93446,35.6390914,-120.6577606
1350,Creston Road,93446,35.6188929,-120.6594839
1305,Park Street,93446,35.6280464,-120.6904135
801,Niblick Road,93446,35.6159033,-120.6698876
700,Clubhouse Drive,93446,35.6506210,-120.6782880
2218,Spring Street,93446,35.6374828,-120.6921469
2405,Riverside Avenue,93446,35.6400662,-120.6885591
2405,Riverside Avenue,93446,35.6399345,-120.6885212
209,Oak Hill Road,93446,35.6145487,-120.6782770
1122,Pine Street,93446,35.6262322,-120.6884865
617,8th Street,93446,35.6225791,-120.6918634
611,8th Street,93446,35.6225698,-120.6920276
613,8th Street,93446,35.6225742,-120.6919408
900,Park Street,93446,35.6238003,-120.6894332
821,Pine Street,93446,35.6230084,-120.6889470
821,Pine Street,93446,35.6231168,-120.6889451
844,9th Street,93446,35.6234057,-120.6889719
806,9th Street,93446,35.6233370,-120.6895646
841,Park Street,93446,35.6234123,-120.6896150
841,Park Street,93446,35.6232073,-120.6901453
705,7th Street,93446,35.6217708,-120.6889313
621,8th Street,93446,35.6225810,-120.6917944
705,Pine Street,93446,35.6217509,-120.6885977
843,7th Street,93446,35.6217389,-120.6886701
843,7th Street,93446,35.6217378,-120.6887452
705,7th Street,93446,35.6217291,-120.6888230
821,Pine Street,93446,35.6229468,-120.6886983
829,10th Street,93446,35.6248567,-120.6888351
821,10th Street,93446,35.6248196,-120.6893997
1000,Park Street,93446,35.6248327,-120.6896934
901,Park Street,93446,35.6243116,-120.6902178
714,Pine Street,93446,35.6217999,-120.6877796
710,Pine Street,93446,35.6216898,-120.6877930
736,Pine Street,93446,35.6220943,-120.6877810
718,10th Street,93446,35.6244010,-120.6908280
1204,Spring Street,93446,35.6243051,-120.6909728
1020,Park Street,93446,35.6251183,-120.6897360
834,11th Street,93446,35.6255936,-120.6891476
810,11th Street,93446,35.6255870,-120.6895606
800,11th Street,93446,35.6255827,-120.6898160
1102,Railroad Street,93446,35.6259729,-120.6879459
1030,Railroad Street,93446,35.6254028,-120.6879003
1106,Pine Street,93446,35.6260253,-120.6886190
1104,Pine Street,93446,35.6259402,-120.6886044
1102,Pine Street,93446,35.6258530,-120.6885803
1026,Pine Street,93446,35.6252415,-120.6885213
1031,Pine Street,93446,35.6253189,-120.6889021
840,11th Street,93446,35.6256317,-120.6888995
1222,Vine Street,93446,35.6270358,-120.6937569
1200,Vine Street,93446,35.6266826,-120.6937234
441,12th Street,93446,35.6266553,-120.6942190
1115,Vine Street,93446,35.6260721,-120.6941150
1134,Vine Street,93446,35.6261735,-120.6936420
500,12th Street,93446,35.6263501,-120.6936698
530,12th Street,93446,35.6263000,-120.6931078
538,12th Street,93446,35.6264373,-120.6931105
1234,Park Street,93446,35.6274503,-120.6899958
513,13th Street,93446,35.6277956,-120.6936523
519,13th Street,93446,35.6278065,-120.6934512
522,13th Street,93446,35.6273835,-120.6932250
4735,Airport Road,93446,35.6697441,-120.6422774
1722,Stillwater Court,93446,35.6085299,-120.6842432
