House number,Street name,Postal code,Latitude,Longitude
20,Petaluma Boulevard North,94952,38.2333643,-122.6400918
205,North McDowell Boulevard,94954,38.2503993,-122.6288084
365,East Washington Street,94952,38.2386173,-122.6377987
2432,I Street Extension,94952,38.2117235,-122.6292782
2432,I Street Extension,94952,38.2122396,-122.6301182
2432,I Street Extension,94952,38.2120289,-122.6301348
200,C Street,94952,38.2333435,-122.6381123
3100,Lakeville Highway,94954,38.2338065,-122.5995516
208,Petaluma Boulevard North,94952,38.2360290,-122.6411527
230,Lakeville Street,94952,38.2371773,-122.6349333
50,East Washington Street,94952,38.2348199,-122.6391907
389,South McDowell Boulevard,94954,38.2489174,-122.6219218
207,South McDowell Boulevard,94954,38.2496029,-122.6244754
561,Sky Ranch Dr,94954,38.2577947,-122.6097356
205,South McDowell Boulevard,94954,38.2491738,-122.6247662
301,South McDowell Boulevard,94954,38.2485173,-122.6238273
440,East Washington Street,94952,38.2386543,-122.6352111
401,Kenilworth Drive,94952,38.2419672,-122.6233241
313,B Street,94952-3044,38.2327887,-122.6393506
124,Petaluma Boulevard South,94952-3033,38.2323665,-122.6374294
363,South McDowell Boulevard,94954,38.2502401,-122.6237803
151,2nd Street,94952,38.2334903,-122.6370320
931,Petaluma Boulevard South,94952,38.2285034,-122.6258969
151,Petaluma Boulevard South,94952,38.2327694,-122.6371968
1363,North McDowell Boulevard,94954,38.2721831,-122.6662915
701,East Washington Street,94952,38.2413995,-122.6335880
701,East Washington Street,94952,38.2413148,-122.6334601
401,Kenilworth Drive,94952-3413,38.2453730,-122.6266780
1351-B,Redwood Way,94954,38.2765173,-122.6668138
1320,Industrial Avenue,94952,38.2673998,-122.6668455
359,East Washington Street,94952,38.2379440,-122.6374848
715,Southpoint Boulevard,94954,38.2574597,-122.6459608
1276,Petaluma Blvd N,94952,38.2487706,-122.6454300
921,Lakeville Street,94952,38.2361115,-122.6242796
105,North McDowell Boulevard,94954,38.2488065,-122.6269720
151,Petaluma Boulevard South,94952,38.2329851,-122.6374613
4986,Petaluma Boulevard North,94952,38.2689958,-122.6701886
979,Transport Way,94954,38.2561160,-122.6433851
2620,Lakeville Highway,94954,38.2334304,-122.6037490
373,South McDowell Boulevard,94954,38.2498541,-122.6231391
1351-B,Redwood Way,94954,38.2766297,-122.6669843
1129,Industrial Ave,94952,38.2645902,-122.6649870
701,Sonoma Mountain Parkway,94954,38.2697049,-122.6389113
7,Petaluma Boulevard North,94952,38.2332033,-122.6397054
1390,North McDowell Boulevard,94954,38.2763268,-122.6667755
901,East Washington Street,94952,38.2443131,-122.6308416
163,Kentucky Street,94952,38.2353046,-122.6421594
159,Petaluma Boulevard North,94952,38.2352736,-122.6412256
60,East Washington Street,94952,38.2358184,-122.6385209
361,East Washington Street,94952,38.2376829,-122.6370323
401,Kenilworth Drive,94952,38.2445017,-122.6255791
401,Kenilworth Drive,94952,38.2447015,-122.6259691
401,Kenilworth Drive,94952,38.2436377,-122.6264019
401,Kenilworth Drive,94952,38.2438082,-122.6262324
5,Petaluma Boulevard South,94952,38.2334086,-122.6386481
442,Petaluma Boulevard North,94952,38.2405526,-122.6433115
320,Corona Road,94954,38.2672401,-122.6553709
1010,Lakeville Highway,94952,38.2345829,-122.6208645
201,4th Street,94952,38.2319260,-122.6365395
201,Fair Street,94952,38.2272548,-122.6471804
140,Keller Street,94952,38.2348269,-122.6424873
80,East Washington Street,94952,38.2362593,-122.6379414
100,Fairground Drive,94952,38.2423377,-122.6316280
1294;1280,North McDowell Boulevard,94954,38.2725285,-122.6619232
108;120,4th Street,94952,38.2317176,-122.6377415
450,Lakeville Street,94952,38.2353286,-122.6294104
201,Washington St.,94952,38.2348608,-122.6430791
419,1st Street,94952,38.2329288,-122.6326808
125,Liberty Street,94952,38.2338683,-122.6437646
2432,I Street Extension,94952,38.2123766,-122.6292347
981,Lakeville Street,94952-3329,38.2356501,-122.6230259
132,Keller Street,94952,38.2346212,-122.6424003
837,East Washington Street,94952,38.2436407,-122.6314258
110,Ellis Street,94952,38.2442023,-122.6335240
875,Holly Lane,94952,38.2471040,-122.6370005
169,North McDowell Boulevard,94954,38.2488022,-122.6294005
309,Lakeville Street,94952,38.2370421,-122.6333983
2275,S McDowell Blvd Ext,94954,38.2322925,-122.5900487
745,Baywood Drive,94954,38.2309930,-122.6135161
412,C Street,94952,38.2321783,-122.6386990
969,Petaluma Boulevard North,94952,38.2462497,-122.6456708
3860,Cypress Drive,94954,38.2268490,-122.5882770
181,North McDowell Boulevard,94954,38.2498924,-122.6284517
1601,Corporate Circle,94954,38.2307537,-122.5995827
103,North McDowell Boulevard,94952-2304,38.2496506,-122.6273053
205,Kentucky Street,94952,38.2356067,-122.6424838
621,Western Avenue,94952,38.2311698,-122.6477865
300,English Street,94952,38.2307935,-122.6469767
409;450,Jefferson Street;Wilson Street,94952,38.2361444,-122.6308278
500,East Washington Street,94952,38.2391703,-122.6346733
1390,North McDowell Boulevard,94954,38.2753272,-122.6674049
1150,North McDowell Boulevard,94999,38.2686118,-122.6585542
203,Maria Drive,94954,38.2541289,-122.6267365
860,Western Avenue,94952,38.2304231,-122.6525458
900,Western Avenue,94952,38.2301510,-122.6528703
1280,North McDowell Boulevard,94954,38.2720542,-122.6624767
2025,Sultana Drive,94954,38.2568994,-122.6161809
2301,East Washington Boulevard,94954,38.2619356,-122.6102652
2249,Parkland Way,94954,38.2591563,-122.6155273
1401,North McDowell Boulevard,94954,38.2754153,-122.6697816
2253,Parkland Way,94954,38.2593227,-122.6156735
2257,Parkland Way,94954,38.2594775,-122.6158090
2245,Parkland Way,94954,38.2590744,-122.6153367
2241,Parkland Way,94954,38.2589801,-122.6151705
941,B Street,94952,38.2249699,-122.6440800
929,B Street,94952,38.2250209,-122.6435301
923,B Street,94952,38.2249249,-122.6431004
406,East Washington Street,94952,38.2381017,-122.6355416
840,Petaluma Boulevard North,94952,38.2443825,-122.6442140
426,8th Street,94952,38.2257866,-122.6366422
400,North McDowell Boulevard,94954,38.2545664,-122.6318574
621,East Washington Street,94952,38.2412630,-122.6346391
429,North McDowell Boulevard,94954,38.2526034,-122.6361905
5304,Old Redwood Highway,94954-1165,38.2755941,-122.6683791
5300,Old Redwood Highway,94954-1165,38.2757459,-122.6686019
1169,Brighton View Circle,94952,38.2280086,-122.6232497
300,Stony Point Road,94952,38.2739282,-122.6743627
800,Riesling Road,94954,38.2739422,-122.6410575
680,Sonoma Mountain Parkway,94954,38.2682254,-122.6347179
1900,Rainier Circle,94954,38.2676543,-122.6293527
269;405,East D Street;Lakeville Street,94952,38.2374308,-122.6344110
540,Lakeville Street,94952,38.2351837,-122.6277845
660,Lakeville Street,94952,38.2351452,-122.6272716
4999,Petaluma Boulevard North,94952,38.2697814,-122.6708796
1075,Lakeville Street,94952,38.2355607,-122.6206959
2225,Parkland Way,94954,38.2586105,-122.6145075
2261,Parkland Way,94954,38.2595884,-122.6159361
2217,Parkland Way,94954,38.2584071,-122.6141741
2233,Parkland Way,94954,38.2588040,-122.6148601
2229,Parkland Way,94954,38.2587142,-122.6146723
2220,Mari Lane,94954,38.2584584,-122.6151152
2221,Parkland Way,94954,38.2584894,-122.6143284
2265,Parkland Way,94954,38.2597301,-122.6161508
4990,Petaluma Boulevard North,94952,38.2693696,-122.6701027
2237,Parkland Way,94954,38.2589059,-122.6149998
447,North McDowell Boulevard,94954,38.2540599,-122.6363632
1205,Redwood Way,94954,38.2716807,-122.6680466
1901,Frates Road,94954,38.2471487,-122.5886866
