House number,Street name,Postal code,Latitude,Longitude
31752,Los Rios Street,92675,33.5015987,-117.6642460
33959,Doheny Park Road,92675,33.4685171,-117.6765573
31760,Camino Capistrano,92675,33.5017266,-117.6625780
32022,Camino Capistrano,92675,33.4977971,-117.6620380
32051,Camino Capistrano,92675,33.4969582,-117.6635750
31781,Camino Capistrano,92675,33.5011804,-117.6628610
31742,Rancho Viejo Road,92675,33.5019887,-117.6532939
31107,Rancho Viejo Road,92675,33.5076863,-117.6594240
31822,Del Obispo Avenue,92675-3204,33.5007283,-117.6594539
31105,Rancho Viejo Road,92675,33.5075942,-117.6594184
33161,Camino Capistrano,92675,33.4820520,-117.6707146
31791,Los Rios Street,92675,33.5005767,-117.6650119
27947,Via Entrada,92675,33.4957601,-117.6437044
30240,Rancho Viejo Road,92675,33.5235129,-117.6648594
31761,Camino Capistrano,92675,33.5016010,-117.6628648
31878,Del Obispo Street,92675,33.4973897,-117.6596769
31451,Rancho Viejo Road,92675,33.5058661,-117.6569204
33953,Doheny Park Road,92675,33.4699607,-117.6761178
33711,Camino Capistrano,92675,33.4731307,-117.6758103
33111,Tradewind Court,92675,33.4818600,-117.6822932
33095,Tradewind Court,92675,33.4823095,-117.6822209
33105,Tradewind Court,92675,33.4820714,-117.6822835
33116,Sandpiper Court,92675,33.4818926,-117.6826440
33091,Sandpiper Court,92675,33.4823343,-117.6829620
33096,Sandpiper Court,92675,33.4821307,-117.6826295
33011,Dolphin Court,92675,33.4834163,-117.6805414
33121,Sandpiper Court,92675,33.4818901,-117.6830841
33082,Sandpiper Court,92675,33.4823579,-117.6825738
33101,Sandpiper Court,92675,33.4821260,-117.6830213
26000,Avenida Aeropuerto,92675,33.4806735,-117.6772295
26000,Avenida Aeropuerto,92675,33.4806508,-117.6754726
32802,Valle Road,92675,33.4873671,-117.6626098
32802,Valle Road,92675,33.4874141,-117.6624043
27313,Paseo Placentia,92675,33.4875592,-117.6536370
32232,Cook Lane,92675,33.4956712,-117.6815215
32552,Alipaz Street,92675,33.4912075,-117.6706343
32552,Alipaz Street,92675,33.4916105,-117.6710790
32238,Paseo Carolina,92675,33.4955802,-117.6720070
32131,Paseo Carolina,92675,33.4967882,-117.6702265
32221,Alipaz Street,92675,33.4945430,-117.6710060
32221,Alipaz Street,92675,33.4944555,-117.6708410
32552,Alipaz Street,92675,33.4913955,-117.6708433
32221,Alipaz Street,92675,33.4946955,-117.6704085
32221,Alipaz Street,92675,33.4945265,-117.6704810
32121,Paseo Carolina,92675,33.4968315,-117.6699923
32154,Paseo Carolina,92675,33.4958977,-117.6701448
32258,Paseo Carolina,92675,33.4950670,-117.6726055
26101,Via de Toledo,92675,33.4964855,-117.6740055
32221,Alipaz Street,92675,33.4944610,-117.6703073
32251,Paseo Carolina,92675,33.4957905,-117.6718253
32221,Alipaz Street,92675,33.4946385,-117.6706233
32552,Alipaz Street,92675,33.4903225,-117.6709435
32141,Paseo Carolina,92675,33.4962362,-117.6704035
32221,Alipaz Street,92675,33.4939460,-117.6704845
26448,Paseo Pamela,92675,33.4959647,-117.6699798
32188,Paseo Carolina,92675,33.4954020,-117.6706620
26421,Paseo Pamela,92675,33.4963045,-117.6688368
32221,Alipaz Street,92675,33.4945035,-117.6694798
32192,Paseo Adelanto,92675,33.4952480,-117.6648005
31901,Camino Capistrano,92675,33.4995275,-117.6627590
31882,Camino Capistrano,92675,33.4991407,-117.6616780
32067,Paseo Carolina,92675,33.4973990,-117.6698208
32302,Alipaz Street,92675,33.4922057,-117.6697525
31952,Del Obispo Street,92675,33.4965902,-117.6681650
32112,Paseo Carolina,92675,33.4969415,-117.6689250
32122,Paseo Carolina,92675,33.4969200,-117.6687980
31878,Camino Capistrano,92675,33.4993607,-117.6610575
32083,Via Tonada,92675,33.4962022,-117.6669783
31872,Camino Capistrano,92675,33.4997190,-117.6616465
27252,Calle Arroyo,92675,33.4994155,-117.6537035
27399,Paseo Placentia,92675,33.4903327,-117.6521558
32163,Via Barrida,92675,33.4953960,-117.6523003
32353,San Juan Creek Road,92675,33.4932254,-117.6584431
27232,Via Callejon,92675,33.4936340,-117.6553110
27121,Calle Arroyo,92675,33.4991365,-117.6548125
32413,San Juan Creek Road,92675,33.4923285,-117.6599723
27605,Avenida Larga,92675,33.4981850,-117.6496405
32082,Via Buena,92675,33.4968940,-117.6488630
31641,Peppertree Bend,92677,33.5052045,-117.6786745
31815,Camino Capistrano,92675,33.5010608,-117.6630141
31831,Camino Capistrano,92675,33.5004549,-117.6628974
31681,Camino Capistrano,92675,33.5026633,-117.6637198
26850,Ortega Highway,92675,33.5019710,-117.6618633
27101,Ortega Highway,92675,33.5031595,-117.6575310
27136,Paseo Espada,92675,33.5003225,-117.6553510
27128,Paseo Espada,92675,33.5006192,-117.6569745
27134,Paseo Espada,92675,33.5006100,-117.6557915
27512,Calle Arroyo,92675,33.5025373,-117.6500607
31648,Rancho Viejo Road,92675,33.5041896,-117.6520574
27122,Paseo Espada,92675,33.5011290,-117.6560043
31654,Rancho Viejo Road,92675,33.5031811,-117.6530988
31105,Rancho Viejo Road,92675,33.5085752,-117.6596862
27271,Paseo Espada,92675,33.5021016,-117.6545606
27221,Paseo Espada,92675,33.5016890,-117.6563020
31740,Rancho Viejo Road,92675,33.5017407,-117.6530695
28202,Calle Arroyo,92675,33.5108087,-117.6361084
31497,Paseo Riobo,92675,33.5055732,-117.6336378
30753,La Pata Avenue,92675,33.5168655,-117.6238353
30552,Hilltop Way,92675,33.5192438,-117.6364814
30752,Fox Run Lane,92675,33.5158320,-117.6397033
30921,La Pata Avenue,92675,33.5130780,-117.6236980
29207,Ortega Highway,92694,33.5180077,-117.6238582
31892,Plaza Drive,92675,33.4965810,-117.6606432
31770,Camino Capistrano,92675,33.5015921,-117.6625603
31761,Camino Capistrano,92675,33.5014243,-117.6631210
26701,Verdugo Street,92675,33.5017833,-117.6639450
26762,Verdugo Street,92675,33.5011873,-117.6635900
31738,Rancho Viejo Road,92675,33.5023434,-117.6529087
30950,Rancho Viejo Road,92675,33.5140037,-117.6616644
31896,Plaza Dr,92675,33.4951095,-117.6606450
31971,Camino Capistrano,92675-3217,33.4984473,-117.6631022
31791,Los Rios Street,92675,33.5009921,-117.6643465
32151,Camino Capistrano,92675,33.4960297,-117.6634466
31601,Avenue Los Cerritos,92675,33.5039274,-117.6576912
27184,Ortega Hwy #109,92675,33.5025940,-117.6560424
32341,Camino Capistrano,92675,33.4934483,-117.6638917
32222,Del Obispo Street,92675,33.4942453,-117.6740420
32200,Del Obispo Street,92675,33.4948405,-117.6751320
31641,El Camino Real,92675,33.5035625,-117.6624002
31520,Camino Capistrano,92675,33.5037941,-117.6632881
33395,Camino Capistrano,92675,33.4770765,-117.6747323
32941,32941 Camino Capistrano,92675,33.4850371,-117.6690961
33831,Camino Capistrano,92675,33.4719472,-117.6767941
