House number,Street name,Postal code,Latitude,Longitude
1760,Mission Drive,93464,34.5943148,-120.1366263
1680,Mission Drive,93463,34.5958201,-120.1384814
320,Alisal Road,93464,34.5918015,-120.1396073
795,Alamo Pintado Road,93463,34.6067067,-120.1256647
1607,Mission Drive,93463,34.5961871,-120.1414914
1693,Mission Drive,93463,34.5961674,-120.1383833
1641,Mission Drive,93463,34.5961898,-120.1402550
442,Atterdag Road,93463,34.5947985,-120.1421101
1617,Copenhagen Drive,93463,34.5956853,-120.1410537
1624,Elverhoy Way,93463,34.5923017,-120.1430621
1760,Mission Drive,93464,34.5943382,-120.1361145
1511,Mission Drive,93463,34.5962857,-120.1448381
1511-B,Mission Drive,93463,34.5964186,-120.1448151
1674,Oak St,93463,34.5932351,-120.1402090
2050,Viborg Road,93463,34.6020776,-120.1259065
420,2nd Street,93463,34.5944487,-120.1410283
467,Atterdag Road,93463,34.5952070,-120.1422328
280,Alisal Road,93463,34.5910120,-120.1397344
1672,Mission Drive,93463,34.5958482,-120.1391043
1555,Mission Drive,93463,34.5962913,-120.1432542
1584,Mission Drive,93464,34.5958404,-120.1425086
1661,Mission Drive,93463,34.5962309,-120.1394337
1645,Copenhagen Drive,93463,34.5953570,-120.1402284
1482,Aalborg Way,93460,34.6030530,-120.1448477
1576,Mission Drive,93463,34.5957648,-120.1428693
1506,Mission Drive,93463,34.5956052,-120.1450310
293,Alisal Road,93463,34.5914442,-120.1405064
400,Alisal Road,93463,34.5929454,-120.1387689
271,Alisal Road,93463,34.5909211,-120.1405818
1711,Mission Drive,93463,34.5964182,-120.1374360
460,Alisal Road,93463,34.5947892,-120.1380580
476,1st Street,93464,34.5953800,-120.1393831
475,1st Street,93463,34.5955352,-120.1398037
1682,Copenhagen Drive,93463,34.5944960,-120.1392872
1518,Mission Drive,93463,34.5957406,-120.1441371
409,1st Street,93463,34.5938567,-120.1405626
1546,Mission Drive,93463,34.5959000,-120.1436899
496,1st Street,93463,34.5957553,-120.1391421
478,4th Place,93463,34.5955118,-120.1437095
1564,Copenhagen Drive,93463,34.5949954,-120.1432347
1635,Mission Drive,93463,34.5962306,-120.1404136
1571,Mission Drive,93463,34.5963389,-120.1428379
1665,Mission Drive,93463,34.5963661,-120.1391489
1631,Mission Drive,93463,34.5962479,-120.1405807
473,Alisal Rd,93463,34.5953080,-120.1386282
1617,Copenhagen Drive,93463,34.5956815,-120.1410672
150,Alisal Road,93463,34.5865425,-120.1321376
1440,Mission Drive,93463,34.5949951,-120.1469490
1450,Mission Drive,93463,34.5952429,-120.1461499
1455,Mission Drive,93463,34.5960707,-120.1460829
