House number,Street name,Postal code,Latitude,Longitude
10440,Beach Blvd.,90680,33.8115251,-117.9924100
11100,Cedar Street,90680,33.8015821,-117.9957426
7104,Katella Avenue,90680,33.8024728,-118.0091993
1235,South Beach Boulevard,92804,33.8155368,-117.9948149
12840,Beach Boulevard,90680,33.7749668,-117.9911038
11250,Beach Boulevard,90680,33.7994237,-117.9909540
10500,Knott Avenue,90680-1915,33.8097749,-118.0102171
11430,Beach Boulevard,90680,33.7964773,-117.9924601
12505,Beach Boulevard,90680,33.7808957,-117.9936842
12885,Beach Boulevard,90680,33.7753830,-117.9946209
12829,Beach Boulevard,90680,33.7755305,-117.9944689
12885,Beach Boulevard,90680,33.7753849,-117.9945020
12885,Beach Boulevard,90680,33.7753819,-117.9946951
12885,Beach Boulevard,90680,33.7753891,-117.9942351
12885,Beach Boulevard,90680,33.7751452,-117.9943299
12885,Beach Boulevard,90680,33.7752728,-117.9943380
12885,Beach Boulevard,90680,33.7752972,-117.9944269
12885,Beach Boulevard,90680,33.7752955,-117.9945223
12885,Beach Boulevard,90680,33.7753152,-117.9946308
12885,Beach Boulevard,90680,33.7751857,-117.9946604
12885,Beach Boulevard,90680,33.7750526,-117.9946776
12885,Beach Boulevard,90680,33.7750736,-117.9946007
12885,Beach Boulevard,90680,33.7750175,-117.9946026
12885,Beach Boulevard,90680,33.7749167,-117.9942937
12885,Beach Boulevard,90680,33.7749163,-117.9943399
12885,Beach Boulevard,90680,33.7749159,-117.9943968
12885,Beach Boulevard,90680,33.7749162,-117.9944537
12885,Beach Boulevard,90680,33.7750239,-117.9943868
12885,Beach Boulevard,90680,33.7749996,-117.9944558
12885,Beach Boulevard,90680,33.7750408,-117.9944576
12885,Beach Boulevard,90680,33.7750254,-117.9944903
12885,Beach Boulevard,90680,33.7752114,-117.9944063
12885,Beach Boulevard,90680,33.7751541,-117.9944072
12885,Beach Boulevard,90680,33.7751969,-117.9944848
12885,Beach Boulevard,90680,33.7753858,-117.9944450
12885,Beach Boulevard,90680,33.7753843,-117.9945431
