House number,Street name,Postal code,Latitude,Longitude
2510,North California Street,95204,37.9767296,-121.2909090
6535,Pacific Avenue,95207,38.0091681,-121.3226915
10858,Trinity Park Way,95219,38.0558527,-121.3756325
306,North Hunter Street,95202,37.9563727,-121.2891399
4343,Pacific Avenue,95207,37.9869467,-121.3118440
4343,Pacific Avenue,95207,37.9870345,-121.3115040
2233,Grand Canal Boulevard,95207,37.9848523,-121.3341210
2233,Grand Canal Boulevard,95207,37.9848934,-121.3339657
4663,Pacific Avenue,95207,37.9905752,-121.3127406
5400,Pacific Avenue,95207,37.9994125,-121.3143732
6211,Pacific Avenue,95207,38.0063979,-121.3193899
5410,Pacific Avenue,95207,38.0000786,-121.3145646
5406,Pacific Avenue,95207,37.9997695,-121.3144759
4729,North Pershing Avenue,95207,37.9894221,-121.3224301
110,Doctor M.L.K. Jr Boulevard,95206,37.9386508,-121.2854577
616,West Hammer Lane,95207,38.0206237,-121.3197065
20,North Sutter Street,95202,37.9537079,-121.2857970
1028,North Airport Way,95205,37.9658173,-121.2768126
1030,North Airport Way,95205,37.9659632,-121.2768485
1034,North Airport Way,95205,37.9660929,-121.2768782
1038,North Airport Way,95205,37.9663721,-121.2769348
1036,North Airport Way,95205,37.9662296,-121.2769243
1040,North Airport Way,95205,37.9664911,-121.2770036
1044,North Airport Way,95205,37.9666141,-121.2770342
1045,North Sierra Nevada Street,95205,37.9662359,-121.2759909
1047,North Sierra Nevada Street,95205,37.9663790,-121.2760057
1044,North Airport Way,95205,37.9667536,-121.2770686
1049,North Sierra Nevada Street,95205,37.9665091,-121.2760392
1055,North Sierra Nevada Street,95205,37.9666453,-121.2760796
1338,Roosevelt Street,95205,37.9668921,-121.2763161
1330,Roosevelt Street,95205,37.9668594,-121.2765097
1301,East Acacia Street,95205,37.9654099,-121.2766655
4426,North Ijams Road,95210,37.9955225,-121.2825396
4456,North Ijams Road,95210,37.9956300,-121.2825737
4640,North Ijams Road,95210,37.9977021,-121.2835059
1705,East Fremont Street,95205,37.9615478,-121.2698040
701,Airport Way,95205,37.9624446,-121.2764803
1504,Pacific Avenue,95204,37.9672934,-121.2978560
45,East Harding Way,95204,37.9676835,-121.2943030
1224,West Fremont Street,95203,37.9544940,-121.3087975
3777,A G Spanos Boulevard,95209,38.0510710,-121.3580102
5354,Pacific Avenue,95207,37.9992110,-121.3118649
5416,Pacific Avenue,95207,38.0003444,-121.3147249
702,North Wilson Way,95205-4225,37.9634257,-121.2731886
819,North Wilson Way,95205,37.9640990,-121.2740803
402,East Charter Way,95206,37.9395247,-121.2811100
678,North Wilson Way,95205,37.9634070,-121.2725766
3305,Isabella Lane,95215,37.9142953,-121.3086788
1423,North Center Street,95202-1022,37.9666700,-121.2979004
6045,North El Dorado Street,95207,38.0080914,-121.3100220
110,East Weber Avenue,95202,37.9532817,-121.2896527
46,North Sutter Street,95202,37.9541996,-121.2859779
619,West Charter Way,95206-1709,37.9374941,-121.2961311
733,West Charter Way,95206,37.9367577,-121.2993020
611,West Charter Way,95206-1709,37.9376053,-121.2955275
1617,West Fremont Street,95203,37.9545271,-121.3135780
1617,West Fremont Street,95203,37.9547083,-121.3139180
3250,West Hammer Lane,95209,38.0208220,-121.3571510
3264,West Hammer Lane,95209,38.0208946,-121.3575650
134,East Charter Way,95206,37.9388459,-121.2852163
134,East Charter Way,95206,37.9388797,-121.2850150
3519,East Hammer Lane,95212,38.0214858,-121.2709740
3519,East Hammer Lane,95212,38.0214931,-121.2708009
1049,East March Lane,95210-3544,38.0021134,-121.2922340
5620,North Pershing Avenue,95207,37.9992610,-121.3252778
1789,Charter Way,95206,37.9340032,-121.3116209
3526,Manthey Road,95206,37.9113124,-121.2923744
2444,South Monroe Street,95206,37.9250794,-121.2866457
1145,North California Street,95202,37.9652288,-121.2879852
4578,Feather River Drive,95219,37.9831848,-121.3469175
5637,North Pershing Avenue,95207,37.9987356,-121.3262406
1627,S Center St,95206,37.9355295,-121.2863710
3943,North West Lane,95204,37.9894879,-121.2866601
423,Lincoln Center,95207,38.0108340,-121.3233426
6623,Pacific Avenue,95207,38.0102013,-121.3227739
7647,Pacific Avenue,95207,38.0191104,-121.3242739
7432,Pacific Avenue,95207,38.0171673,-121.3225205
628,West Hammer Lane,95210,38.0198064,-121.3202601
744,West Hammer Lane,95210,38.0198085,-121.3225960
616,West Hammer Lane,95210,38.0203272,-121.3197194
1204,Enterprise Street,95204,37.9896480,-121.2870771
2525,Airport Way,95206,37.9269490,-121.2659565
1102,Aurora Street S,95206,37.9433136,-121.2759431
4205,South B Street,95206,37.9114560,-121.2474150
343,East Main Street,95202,37.9535597,-121.2861743
128,Lincoln Center,95207,38.0112084,-121.3223000
2705,Country Club Boulevard,95204,37.9644084,-121.3364077
906,Tommydon Street,95210,38.0184722,-121.3001529
123,S Commerce St,95202,37.9509678,-121.2925976
2866,West March Lane,95219,37.9838645,-121.3466111
2866,West March Lane,95219,37.9838645,-121.3467282
2233,Grand Canal Boulevard,95207,37.9847443,-121.3345344
2233,Grand Canal Boulevard,95207,37.9847760,-121.3344057
2233,Grand Canal Boulevard,95207,37.9848305,-121.3342050
2233,Grand Canal Boulevard,95207,37.9848717,-121.3340483
2233,Grand Canal Boulevard,95207,37.9850704,-121.3335820
2233,Grand Canal Boulevard,95207,37.9850852,-121.3335078
2233,Grand Canal Boulevard,95207,37.9851137,-121.3334019
2233,Grand Canal Boulevard,95207,37.9849379,-121.3333802
2233,Grand Canal Boulevard,95207,37.9849531,-121.3334986
2233,Grand Canal Boulevard,95207,37.9848598,-121.3337586
2233,Grand Canal Boulevard,95207,37.9847868,-121.3339050
2233,Grand Canal Boulevard,95207,37.9847503,-121.3340713
2233,Grand Canal Boulevard,95207,37.9847219,-121.3341846
2233,Grand Canal Boulevard,95207,37.9846792,-121.3343184
2233,Grand Canal Boulevard,95207,37.9846661,-121.3343890
2233,Grand Canal Boulevard,95207,37.9846549,-121.3344484
2324,Grand Canal Boulevard,95207,37.9839457,-121.3362164
2324,Grand Canal Boulevard,95207,37.9838606,-121.3361614
2324,Grand Canal Boulevard,95207,37.9838257,-121.3361239
2324,Grand Canal Boulevard,95207,37.9837956,-121.3360720
2324,Grand Canal Boulevard,95207,37.9837597,-121.3359560
2324,Grand Canal Boulevard,95207,37.9837512,-121.3358919
2324,Grand Canal Boulevard,95207,37.9837554,-121.3358335
2324,Grand Canal Boulevard,95207,37.9837655,-121.3357685
2324,Grand Canal Boulevard,95207,37.9837834,-121.3357128
2324,Grand Canal Boulevard,95207,37.9838115,-121.3356558
2234,Grand Canal Boulevard,95207,37.9838522,-121.3356062
2324,Grand Canal Boulevard,95207,37.9838889,-121.3354922
2222,Grand Canal Boulevard,95207,37.9843487,-121.3337407
2222,Grand Canal Boulevard,95207,37.9843622,-121.3336272
2222,Grand Canal Boulevard,95207,37.9843475,-121.3335606
2222,Grand Canal Boulevard,95207,37.9843495,-121.3334318
2222,Grand Canal Boulevard,95207,37.9843649,-121.3333610
2222,Grand Canal Boulevard,95207,37.9843952,-121.3332977
2222,Grand Canal Boulevard,95207,37.9844336,-121.3332478
2222,Grand Canal Boulevard,95207,37.9845164,-121.3331761
2222,Grand Canal Boulevard,95207,37.9845759,-121.3331466
2222,Grand Canal Boulevard,95207,37.9846203,-121.3331415
2222,Grand Canal Boulevard,95207,37.9846698,-121.3331428
2453,Grand Canal Boulevard,95207,37.9841417,-121.3377780
1120,Waterloo Road,95205,37.9688623,-121.2700897
1117,West March Lane,95207,37.9908400,-121.3197325
1101 Suite D,East March Lane,95210,38.0025917,-121.2938090
3461,Brookside Road,95219,37.9853153,-121.3554861
10512,Trinity Parkway,95209,38.0525564,-121.3748390
2725,Country Club Boulevard,95204,37.9643520,-121.3370177
2720,Country Club Boulevard,95204,37.9632669,-121.3367508
2705,Country Club Boulevard,95204,37.9645449,-121.3366371
2110,South Sinclair Avenue,95215,37.9420499,-121.2246963
5734,Tevlin Lane,95210,38.0096139,-121.2879419
6625,Pacific Avenue,95207,38.0102573,-121.3209290
878,West Benjamin Holt Drive,95207,38.0102010,-121.3224370
866,West Benjamin Holt Drive,95207,38.0103235,-121.3220660
856,West Benjamin Holt Drive,95207,38.0101746,-121.3217303
6530,Pacific Avenue,95207,38.0101621,-121.3196964
6248,Pacific Avenue,95207,38.0072777,-121.3186700
6252,Pacific Avenue,95207,38.0073462,-121.3186920
8014,North Lower Sacramento Road,95210,38.0224623,-121.3224390
10952,Trinity Parkway,95219,38.0574172,-121.3751673
10952,Trinity Parkway,95219,38.0574117,-121.3753699
10940,Trinity Parkway,95219,38.0571541,-121.3758500
10940,Trinity Parkway,95219,38.0570565,-121.3758450
10710,Trinity Parkway,95219,38.0539598,-121.3746808
10506,Trinity Parkway,95219,38.0521869,-121.3748342
10424,Trinity Parkway,95219,38.0521441,-121.3726712
10742,Trinity Parkway,95219,38.0539556,-121.3729252
10742,Trinity Parkway,95219,38.0539890,-121.3729315
6021,Pacific Avenue,95207,38.0048624,-121.3187116
6015,Pacific Avenue,95207,38.0046225,-121.3186285
7908,West Lane,95210,38.0215937,-121.2923049
7908,West Lane,95210,38.0216745,-121.2924253
8004,West Lane,95210,38.0227801,-121.2931850
1440,East Hammer Lane,95210,38.0205283,-121.2955627
5350,Pacific Avenue,95207,37.9991767,-121.3153847
2041,North Pacific Avenue,95204,37.9707904,-121.3000930
2300,Pacific Avenue,95204,37.9724867,-121.3008995
3706,East Hammer Lane,95212,38.0206808,-121.2693941
3702,East Hammer Lane,95212,38.0187832,-121.2690249
3702,East Hammer Lane,95212,38.0186165,-121.2697740
1916,East March Lane,95210,38.0027610,-121.2849183
1540,East March Lane,95210,38.0022032,-121.2886798
8626,North Lower Sacramento Road,95210,38.0288200,-121.3217710
2398,Pheasant Run Circle,95207,37.9943440,-121.3402870
7720,Lorraine Avenue,95210,38.0205976,-121.2827670
1304,East Hammer Lane,95210,38.0200425,-121.2962150
4895,State Route 99,95215,37.9054940,-121.2221435
4895,"South State Highway 99, East Frontage Road",95215,37.9054951,-121.2220207
7488,Shoreline Dr,95219,38.0184357,-121.3582700
6404,Pacific Avenue,95207,38.0089603,-121.3185838
7840,West Lane,95210,38.0197694,-121.2937141
2025,West March Lane,95207,37.9874863,-121.3310960
141,North El Dorado Street,95202,37.9537022,-121.2910052
1627,S Center St,95206,37.9351787,-121.2862530
501,Lincoln Center,95207,38.0117925,-121.3239217
3131,Auto Center Circle,95212,38.0196938,-121.2760947
110,North San Joaquin Street,95202,37.9542724,-121.2885330
4707,Quail Lakes Dr,95207,37.9868174,-121.3407780
3648,Mary Avenue,95206,37.9112424,-121.2791665
7475,Murray Drive,95210,38.0173867,-121.3024171
201,Lincoln Center,95207,38.0111384,-121.3226571
121,Lincoln Center,95207,38.0112263,-121.3221637
6283,Pacific Avenue,95207,38.0070433,-121.3199721
1021,North Sierra Nevada Street,95205,37.9657271,-121.2757815
2991,Auto Center Circle,95212,38.0178571,-121.2782911
1311,Acacia Street,95205,37.9654356,-121.2765142
1020,Airport Way,95205,37.9656951,-121.2767797
1321,Acacia Street,95205,37.9654608,-121.2763426
1325,Acacia Street,95205,37.9654998,-121.2761338
1335,Acacia Street,95205,37.9655291,-121.2759603
1337,Acacia Street,95205,37.9655473,-121.2757834
1023,North Sierra Nevada Street,95205,37.9658528,-121.2758329
1025,North Sierra Nevada Street,95205,37.9659644,-121.2759533
1035,North Sierra Nevada Street,95205,37.9661039,-121.2759603
1344,East Roosevelt Street,95205,37.9669186,-121.2761656
1069,North Wilson Way,95205,37.9668564,-121.2747664
925,North Wilson Way,95205,37.9652439,-121.2743100
1447,East Poplar Street,95205,37.9647743,-121.2742813
901,North Wilson Way,95205,37.9648047,-121.2741727
903,North Wilson Way,95205,37.9648489,-121.2741844
911,North Wilson Way,95205,37.9649179,-121.2742008
915,North Wilson Way,95205,37.9649556,-121.2742101
919,North Wilson Way,95205,37.9650219,-121.2742276
1437,East Poplar Street,95205,37.9647421,-121.2744658
1439,East Poplar Street,95205,37.9647632,-121.2744484
1441,East Poplar Street,95205,37.9647681,-121.2744166
1443,East Poplar Street,95205,37.9647542,-121.2743865
1431,East Poplar Street,95205,37.9647221,-121.2745988
1421,East Poplar Street,95205,37.9647243,-121.2747681
1415,East Poplar Street,95205,37.9647207,-121.2749407
900,North Sierra Nevada Street,95205,37.9646563,-121.2751409
920,North Sierra Nevada Street,95205,37.9648227,-121.2751779
924,North Sierra Nevada Street,95205,37.9649405,-121.2751856
1420,E Acacia Street,95205,37.9654324,-121.2749807
930,North Sierra Nevada Street,95205,37.9650947,-121.2752426
928,North Sierra Nevada Street,95205,37.9651117,-121.2749114
942,North Sierra Nevada Street,95205,37.9652380,-121.2753165
940,North Sierra Nevada Street,95205,37.9651846,-121.2753011
944,North Sierra Nevada Street,95205,37.9653231,-121.2753366
946,North Sierra Nevada Street,95205,37.9653656,-121.2753443
845,North Wilson Way,95205,37.9639275,-121.2741386
801,North Wilson Way,95205,37.9639299,-121.2740797
4612,North Ijams Road,95210,37.9973139,-121.2834115
4610,North Ijams Road,95210,37.9972579,-121.2833953
4424,North Ijams Road,95210,37.9951775,-121.2824995
322,South Center Street,95203,37.9493913,-121.2893142
3143,West Benjamin Holt Drive,95219,38.0054637,-121.3541267
2415,West Hammer Lane,95209,38.0215641,-121.3445586
572,Carolyn Weston Blvd,95206,37.9127901,-121.2906538
4807,South Airport Way,95206,37.8981871,-121.2548416
1928,Boeing Way,95206,37.9077499,-121.2459710
2001,Arch Airport Road,95206,37.9063446,-121.2431944
2610,Lycoming Street,95206,37.9080208,-121.2356369
2542,Boeing Way,95206,37.9097617,-121.2374237
2414,Boeing Way,95206,37.9096737,-121.2384237
2901,Arch Airport Road,95206,37.9058959,-121.2295680
4819,Fite Court,95215,37.9060635,-121.2100856
6301,West Eight Mile Road,95219,38.0649976,-121.3920964
5758,Lorraine Avenue,95210,38.0119857,-121.2825064
4520,West Eight Mile Road,95209,38.0540689,-121.3660320
4718,New Castle Road,95215,37.9090933,-121.1993370
4718,New Castle Road,95215,37.9116105,-121.1990934
303,North El Dorado Street,95202,37.9558898,-121.2910542
1,Fyffe Avenue,95203,37.9505659,-121.3400246
6445,Pacific Avenue,95207,38.0085185,-121.3211991
6445,Pacific Avenue,95207,38.0085085,-121.3200816
2808,Country Club Boulevard,95204,37.9623172,-121.3375412
2808,Country Club Boulevard,95204,37.9634388,-121.3376977
110,North El Dorado Street,95202,37.9541131,-121.2895003
235,North San Joaquin Street,95202,37.9557253,-121.2883054
237,Channel Street,95202,37.9552533,-121.2881787
240,East Miner Avenue,95202,37.9558564,-121.2883424
248,North Hunter Street,95202,37.9557310,-121.2889404
240,North Hunter Street,95202,37.9555578,-121.2888769
