House number,Street name,Postal code,Latitude,Longitude
65,North Lassen Street,96130,40.4193281,-120.6612060
66,North Lassen Street,96130,40.4193871,-120.6617236
2910,Riverside Drive,96130,40.4079723,-120.6385972
1067,Main Street,96130,40.4176018,-120.6568780
2535,Main Street,96130,40.4130752,-120.6388500
2455,Main Street,96130,40.4135957,-120.6398650
115,North Weatherlow Street,96130,40.4188636,-120.6572780
1001,Main Street,96130,40.4178081,-120.6576310
2545,Main Street,96130,40.4136036,-120.6378470
2565,Main Street,96130,40.4131838,-120.6375780
2581,Main Street,96130,40.4128222,-120.6374020
2410,Main Street,96130,40.4132259,-120.6404074
2425,Main Street,96130,40.4137852,-120.6400790
2385,Main Street,96130,40.4138393,-120.6408710
2300,Main Street,96130,40.4135795,-120.6417390
100,North Fairfield Avenue,96130,40.4145786,-120.6419840
2212,Main Street,96130,40.4137486,-120.6423660
2120,Main Street,96130,40.4139299,-120.6432440
2101,Main Street,96130,40.4145018,-120.6438180
2101,Main Street,96130,40.4144984,-120.6437110
2020,Main Street,96130,40.4142403,-120.6445010
2010,Main Street,96130,40.4142978,-120.6446270
2011,Main Street,96130,40.4146431,-120.6445830
2000,Main Street,96130,40.4143031,-120.6450410
2000,Main Street,96130,40.4141357,-120.6450820
1960,Main Street,96130,40.4144248,-120.6456607
1801,Main Street,96130,40.4152719,-120.6469570
1820,Main Street,96130,40.4146046,-120.6470220
1820,Main Street,96130,40.4145611,-120.6468230
1618,Main Street,96130,40.4147504,-120.6494110
1626,Main Street,96130,40.4152455,-120.6490910
1520,Main Street,96130,40.4155916,-120.6511090
1516,Main Street,96130,40.4158259,-120.6513990
1350,Main Street,96130,40.4162747,-120.6532870
1010,Main Street,96130,40.4172321,-120.6573370
2980,Main Street,96130,40.4056532,-120.6341570
2978,Main Street,96130,40.4057060,-120.6341739
2950,Main Street,96130-4730,40.4069955,-120.6350166
2900,Main Street,96130,40.4092494,-120.6371267
730,Main Street,96130,40.4181633,-120.6607720
720,Main Street,96130,40.4182924,-120.6611630
714,Main Street,96130,40.4183360,-120.6613630
711,Main Street,96130,40.4187432,-120.6613990
701,Main Street,96130,40.4187843,-120.6615865
618,Main Street,96130,40.4185903,-120.6623870
600,Main Street,96130,40.4187420,-120.6630200
2645,Main Street,96130,40.4122109,-120.6379850
2635,Main Street,96130,40.4123524,-120.6378140
2615,Main Street,96130,40.4124129,-120.6377400
2585,Main Street,96130,40.4125351,-120.6374750
722,Main Street,96130,40.4182794,-120.6610877
84,North Lassen Street,96130,40.4195459,-120.6616784
802,Main Street,96130,40.4180873,-120.6603358
950,Main Street,96130,40.4174009,-120.6583732
1717,Main Street,96130,40.4154878,-120.6480383
1719,Main Street,96130,40.4154339,-120.6477465
1850,Main Street,96130,40.4147459,-120.6466760
1913,Main Street,96130,40.4150080,-120.6453284
2425,Main Street,96130,40.4137854,-120.6402822
2920,Main Street,96130,40.4083688,-120.6347079
2930,Riverside Drive,96130,40.4073331,-120.6376673
