House number,Street name,Postal code,Latitude,Longitude
1447,Engracia Avenue,90501,33.8336273,-118.3220173
5020,West 190th Street,90503,33.8577036,-118.3643240
4848,West 190th Street,90503,33.8576789,-118.3626300
1770,West Carson Street,90501,33.8300147,-118.3109876
22217,Palos Verdes Boulevard,90505-2016,33.8263599,-118.3696800
5111,Torrance Boulevard,90503,33.8380970,-118.3681870
2925,California St,90503,33.8408329,-118.3358530
2368,Sonoma Street,90501,33.8327168,-118.3258648
21800,Hawthorne Boulevard,90503,33.8297668,-118.3504120
22015,Hawthorne Boulevard,90503,33.8278373,-118.3534160
21035,Hawthorne Boulevard,90505,33.8051796,-118.3508062
3690,Newton Street,90505,33.7991441,-118.3497236
4235,Pacific Coast Highway,90505,33.8087389,-118.3584879
4235,Pacific Coast Highway,90505,33.8090711,-118.3593008
4257,Pacific Coast Highway,90505,33.8086702,-118.3597273
2370,Crenshaw Boulevard,90501,33.8236864,-118.3282430
21821,Hawthorne Boulevard,90503,33.8297389,-118.3529580
21209,Hawthorne Boulevard,90503,33.8371430,-118.3553772
21600,Hawthorne Boulevard,90503,33.8333774,-118.3521824
21113,Hawthorne Boulevard,90503,33.8387000,-118.3551678
21143,Hawthorne Boulevard,90503,33.8383157,-118.3555460
22025,Hawthorne Boulevard,90503,33.8273380,-118.3530795
21300,Hawthorne Boulevard,90503,33.8349123,-118.3528341
24631,Crenshaw Boulevard,90505,33.8018466,-118.3286459
2972,Columbia Street,90503,33.8431457,-118.3395810
17405,Crenshaw Boulevard,90504,33.8726236,-118.3267700
23635,Crenshaw Boulevard,90505,33.8101410,-118.3283093
3855-59,Sepulveda Boulevard,90505,33.8267947,-118.3535760
16502,Crenshaw Boulevard,90504,33.8808831,-118.3262449
16502,Crenshaw Boulevard,90504,33.8808817,-118.3260609
23601,Hawthorne Boulevard,90503,33.8113647,-118.3520184
4247,Pacific Coast Highway,90505,33.8088516,-118.3587618
1332,Sartori Avenue,90501,33.8345567,-118.3147827
2520,Sepulveda Blvd,90505,33.8219066,-118.3295220
1226,Sartori Avenue,90501,33.8357100,-118.3160197
20522,Hawthorne Boulevard,90503,33.8442798,-118.3534830
24667,Crenshaw Boulevard,90505,33.8026583,-118.3298711
23635,Madison Street,90505,33.8108050,-118.3486883
2350,Sepulveda Blvd,90501,33.8206578,-118.3243504
3545,Lomita Blvd,90505,33.8156743,-118.3471380
2208,Artesia Boulevard,90504,33.8725913,-118.3181810
2210,West Redondo Beach Boulevard,90504,33.8853409,-118.3182060
2186,Redondo Beach Boulevard,90504,33.8855065,-118.3175840
20311,South Western Avenue,90501,33.8465751,-118.3101863
1901,Del Amo Boulevard Unit B,90501,33.8470820,-118.3136798
1840,West 208th Street,90501,33.8417185,-118.3115036
2201,Dominguez Street,90501,33.8414814,-118.3240401
2878,Columbia Street,90503,33.8431391,-118.3378601
2964,Columbia Street,90503,33.8431475,-118.3392880
19800,Hawthorne Boulevard,90503,33.8536903,-118.3525212
2808,West Sepulveda Boulevard,90505,33.8228583,-118.3348989
1942,Del Amo Boulevard,90501,33.8465356,-118.3151753
2901,Airport Drive,90505,33.7974382,-118.3371939
1652,Cabrillo Avenue,90501,33.8316109,-118.3141328
23240,Hawthorne Boulevard,90505,33.8152582,-118.3503380
4437,Sepulveda Bl,90505,33.8264530,-118.3595586
5050,West 190th Street,90503,33.8577565,-118.3651640
19340,Hawthorne Boulevard,90503,33.8552920,-118.3522730
5205,Pacific Coast Highway,90505,33.8139046,-118.3696240
21213,Hawthorne Boulevard,90503,33.8367494,-118.3553516
18541,Hawthorne Boulevard,90504,33.8620276,-118.3531370
1261,Cabrillo Avenue,90501,33.8359910,-118.3146166
18545,Hawthorne Boulevard,90504,33.8619591,-118.3531370
18533,Hawthorne Boulevard,90504,33.8621467,-118.3531382
18529,Hawthorne Boulevard,90504,33.8621961,-118.3531383
24427,Crenshaw Boulevard,90505,33.8043383,-118.3302750
17033,Elgar Avenue,90504,33.8755661,-118.3287651
2421,West 205th Street,90501,33.8458098,-118.3256733
18205,PRAIRIE,90504-4830,33.8651542,-118.3442750
19670,Hawthorne Boulevard,90503,33.8528366,-118.3531705
505,Paseo De Las Estrellas,90277,33.8096128,-118.3821092
510,Calle De Arboles,90277,33.8043741,-118.3826483
412,Calle Miramar,90277,33.8108652,-118.3865716
418,Calle Miramar,90277,33.8106834,-118.3866240
426,Calle Miramar,90277,33.8108486,-118.3862776
438,Calle Miramar,90277,33.8104852,-118.3866153
424,Calle Miramar,90277,33.8109035,-118.3861586
428,Calle Miramar,90277,33.8107873,-118.3862934
436,Calle Miramar,90277,33.8105157,-118.3862644
444,Calle Miramar,90277,33.8103357,-118.3862674
406,Calle Miramar,90277,33.8110641,-118.3864871
414,Calle Miramar,90277,33.8108046,-118.3865891
404,Calle Miramar,90277,33.8110684,-118.3863330
416,Calle Miramar,90277,33.8107440,-118.3866066
422,Calle Miramar,90277,33.8105621,-118.3866590
420,Calle Miramar,90277,33.8106228,-118.3866415
430,Calle Miramar,90277,33.8107261,-118.3863091
434,Calle Miramar,90277,33.8106035,-118.3863407
432,Calle Miramar,90277,33.8106648,-118.3863249
442,Calle Miramar,90277,33.8103952,-118.3864060
440,Calle Miramar,90277,33.8104548,-118.3865446
402,Calle Miramar,90277,33.8110726,-118.3861789
400,Calle Miramar,90277,33.8110769,-118.3860248
410,Calle Miramar,90277,33.8109259,-118.3865541
408,Calle Miramar,90277,33.8110168,-118.3865705
447,Camino De Las Colinas,90277,33.8098507,-118.3862440
445,Camino De Las Colinas,90277,33.8098948,-118.3862166
443,Camino De Las Colinas,90277,33.8099388,-118.3861893
441,Camino De Las Colinas,90277,33.8099828,-118.3861619
439,Camino De Las Colinas,90277,33.8100269,-118.3861345
437,Camino De Las Colinas,90277,33.8100709,-118.3861071
435,Camino De Las Colinas,90277,33.8101149,-118.3860798
433,Camino De Las Colinas,90277,33.8101590,-118.3860524
431,Camino De Las Colinas,90277,33.8102030,-118.3860250
429,Camino De Las Colinas,90277,33.8103427,-118.3859943
427,Camino De Las Colinas,90277,33.8103926,-118.3859888
425,Camino De Las Colinas,90277,33.8104424,-118.3859833
423,Camino De Las Colinas,90277,33.8104923,-118.3859778
421,Camino De Las Colinas,90277,33.8105422,-118.3859723
419,Camino De Las Colinas,90277,33.8105921,-118.3859668
417,Camino De Las Colinas,90277,33.8106420,-118.3859613
415,Camino De Las Colinas,90277,33.8106919,-118.3859559
413,Camino De Las Colinas,90277,33.8107418,-118.3859504
411,Camino De Las Colinas,90277,33.8108577,-118.3859008
409,Camino De Las Colinas,90277,33.8109063,-118.3858853
407,Camino De Las Colinas,90277,33.8109549,-118.3858698
405,Camino De Las Colinas,90277,33.8110035,-118.3858542
403,Camino De Las Colinas,90277,33.8110521,-118.3858387
401,Camino De Las Colinas,90277,33.8111007,-118.3858232
151,Calle Mayor,90277,33.8085617,-118.3870800
215,Calle Mayor,90277,33.8096281,-118.3866724
219,Calle Mayor,90277,33.8097916,-118.3867043
159,Calle Mayor,90277,33.8087470,-118.3869852
227,Calle Mayor,90277,33.8099911,-118.3864809
175,Calle Mayor,90277,33.8091636,-118.3869760
171,Calle Mayor,90277,33.8090973,-118.3871471
135,Calle Mayor,90277,33.8081722,-118.3874325
181,Calle Mayor,90277,33.8089674,-118.3868147
143,Calle Mayor,90277,33.8083294,-118.3872714
189,Calle Mayor,90277,33.8091703,-118.3866186
193,Calle Mayor,90277,33.8092555,-118.3865524
209,Calle Mayor,90277,33.8096023,-118.3863910
205,Calle Mayor,90277,33.8095032,-118.3864302
101,Calle Mayor,90277,33.8078834,-118.3880392
157,Calle Mayor,90277,33.8086994,-118.3870052
105,Calle Mayor,90277,33.8078959,-118.3879159
161,Calle Mayor,90277,33.8087947,-118.3869651
113,Calle Mayor,90277,33.8080001,-118.3876896
169,Calle Mayor,90277,33.8090443,-118.3871906
191,Calle Mayor,90277,33.8092129,-118.3865855
203,Calle Mayor,90277,33.8094536,-118.3864499
145,Calle Mayor,90277,33.8083687,-118.3872312
207,Calle Mayor,90277,33.8095527,-118.3864106
103,Calle Mayor,90277,33.8078897,-118.3879776
213,Calle Mayor,90277,33.8097015,-118.3863517
111,Calle Mayor,90277,33.8079740,-118.3877462
115,Calle Mayor,90277,33.8080261,-118.3876330
221,Calle Mayor,90277,33.8098484,-118.3866751
225,Calle Mayor,90277,33.8099618,-118.3866168
123,Calle Mayor,90277,33.8082276,-118.3878692
129,Calle Mayor,90277,33.8083549,-118.3876961
127,Calle Mayor,90277,33.8083125,-118.3877538
131,Calle Mayor,90277,33.8083708,-118.3875681
141,Calle Mayor,90277,33.8082901,-118.3873117
139,Calle Mayor,90277,33.8082508,-118.3873520
155,Calle Mayor,90277,33.8086517,-118.3870253
153,Calle Mayor,90277,33.8086040,-118.3870454
223,Calle Mayor,90277,33.8099051,-118.3866460
163,Calle Mayor,90277,33.8088401,-118.3872476
167,Calle Mayor,90277,33.8089913,-118.3872340
165,Calle Mayor,90277,33.8089383,-118.3872774
179,Calle Mayor,90277,33.8089254,-118.3868510
173,Calle Mayor,90277,33.8091503,-118.3871037
185,Calle Mayor,90277,33.8090515,-118.3867421
183,Calle Mayor,90277,33.8090094,-118.3867784
187,Calle Mayor,90277,33.8090935,-118.3867058
201,Calle Mayor,90277,33.8094040,-118.3864695
195,Calle Mayor,90277,33.8092982,-118.3865194
147,Calle Mayor,90277,33.8084771,-118.3871493
109,Calle Mayor,90277,33.8079480,-118.3878027
107,Calle Mayor,90277,33.8079220,-118.3878593
117,Calle Mayor,90277,33.8080752,-118.3880183
121,Calle Mayor,90277,33.8081768,-118.3879189
119,Calle Mayor,90277,33.8081260,-118.3879686
177,Calle Mayor,90277,33.8088834,-118.3868874
125,Calle Mayor,90277,33.8082700,-118.3878115
133,Calle Mayor,90277,33.8081329,-118.3874727
137,Calle Mayor,90277,33.8082115,-118.3873922
149,Calle Mayor,90277,33.8085194,-118.3871146
211,Calle Mayor,90277,33.8096519,-118.3863714
217,Calle Mayor,90277,33.8097349,-118.3867334
416,Palos Verdes Boulevard,90277,33.8099041,-118.3869410
498,Palos Verdes Boulevard,90277,33.8078799,-118.3881922
412,Palos Verdes Boulevard,90277,33.8100165,-118.3868835
426,Palos Verdes Boulevard,90277,33.8096079,-118.3869659
422,Palos Verdes Boulevard,90277,33.8097484,-118.3870569
