House number,Street name,Postal code,Latitude,Longitude
569,Clover Road,95376,37.7622445,-121.4333797
2459,North Naglee Road,95304,37.7560368,-121.4662215
2501,Naglee Road,95304,37.7561810,-121.4657220
2695,North Tracy Boulevard,95376-1716,37.7558276,-121.4358152
2550,Tracy Blvd,95377,37.7124846,-121.4325929
2550,Tracy Blvd,95377,37.7121782,-121.4324914
1988,West 11th Street,95376,37.7375219,-121.4526436
3400,North Macarthur Drive,95376,37.7618524,-121.4142030
2185,West Grant Line Road,95377,37.7557501,-121.4568560
470,West Larch Road,95304,37.7635762,-121.4329615
1555,North Chrisman Road,95304,37.7430048,-121.4047365
475,Darlene Lane,95377,37.7049627,-121.4188102
350,West Grant Line Road,95376,37.7536000,-121.4314678
15,Phillip Court,95376,37.7239471,-121.4269616
2512,Naglee Road,95304,37.7556257,-121.4650800
2512,Naglee Road,95304,37.7555176,-121.4649783
2682,Naglee Road,95304,37.7559415,-121.4636214
1986,West 11th Street,95376,37.7375216,-121.4525814
2483,Naglee Road,95304,37.7582087,-121.4683185
2481,Naglee Road,95304,37.7578641,-121.4683151
2477,Naglee Road,95304,37.7581977,-121.4664742
2475,Naglee Road,95304,37.7578641,-121.4664667
2473,Naglee Road,95304,37.7576586,-121.4664780
2471,Naglee Road,95304,37.7573875,-121.4665269
2940,West Grant Line Road,95304-7901,37.7523489,-121.4698726
2970,West Grant Line Road,95304,37.7535914,-121.4701442
2441,North Naglee Road,95304,37.7556566,-121.4666321
2610,S Tracy Blvd,95376,37.7114858,-121.4342408
2610,South Tracy Boulevard,95376,37.7109260,-121.4339275
2610,S Tracy Boulevard,95376,37.7109468,-121.4336909
344,West Grant Line Road,95376,37.7537393,-121.4313170
392,W Larch Rd,95304,37.7640598,-121.4309399
915,South Tracy Boulevard,95376,37.7235338,-121.4353072
965,South Tracy Boulevard,95376,37.7235354,-121.4358024
810,West Schulte Road,95376,37.7247249,-121.4367659
1857,West 11th Street,95376,37.7396682,-121.4513113
2114,West Grant Line Road,95377,37.7537203,-121.4547931
324,East 11th Street,95376,37.7394281,-121.4205950
68,East 11th Street,95376,37.7393896,-121.4243600
624,North Central Avenue,95376,37.7353412,-121.4256179
620,North Central Avenue,95376,37.7353028,-121.4256158
618,North Central Avenue,95376,37.7352584,-121.4256134
614,North Central Avenue,95376,37.7351506,-121.4256076
600,North Central Avenue,95376,37.7349672,-121.4255914
9,East 6th Street,95376,37.7349769,-121.4254655
11,East 6th Street,95376,37.7349841,-121.4253818
815,South Tracy Boulevard,95376,37.7243909,-121.4367592
793,South Tracy Boulevard,95376,37.7245207,-121.4367607
785,South Tracy Boulevard,95376,37.7245677,-121.4367612
797,South Tracy Boulevard,95376,37.7244363,-121.4367597
795,South Tracy Boulevard,95376,37.7244869,-121.4367603
840,West Schulte Road,95376,37.7247239,-121.4371364
830,West Schulte Road,95376,37.7247242,-121.4370076
875,South Tracy Boulevard,95376,37.7239900,-121.4367455
3400,Macarthur Drive,95376,37.7620907,-121.4140334
475,West Grant Line Road,95376,37.7546807,-121.4329109
370,Arbor Avenue,95376,37.7647266,-121.4196622
85,East 10th Street,95376,37.7386840,-121.4240479
1973,North Tracy Boulevard,95376,37.7505107,-121.4362475
1940,North Tracy Boulevard,95376,37.7503582,-121.4345253
1995,North Tracy Boulevard,95376,37.7506837,-121.4362530
2105,N Tracy Blvd,95376,37.7516721,-121.4364106
2135,North Tracy Boulevard,95376,37.7517149,-121.4364161
2151,North Tracy Boulevard,95376,37.7517709,-121.4358345
2181,North Tracy Boulevard,95376,37.7521309,-121.4354943
2185,North Tracy Boulevard,95376,37.7522454,-121.4355045
2185,North Tracy Boulevard,95376,37.7522186,-121.4356772
2189,North Tracy Boulevard,95376,37.7522577,-121.4357253
2207,North Tracy Boulevard,95376,37.7523828,-121.4360014
2213,North Tracy Boulevard,95376,37.7525725,-121.4359036
2211,North Tracy Boulevard,95376,37.7530088,-121.4352102
2203,North Tracy Boulevard,95376,37.7522648,-121.4360093
2217,North Tracy Boulevard,95376,37.7526225,-121.4359376
2209,North Tracy Boulevard,95376,37.7525015,-121.4359779
2215,North Tracy Boulevard,95376,37.7526178,-121.4360046
2219,North Tracy Boulevard,95376,37.7527507,-121.4359248
2221,North Tracy Boulevard,95376,37.7528636,-121.4359817
2311,North Tracy Boulevard,95376,37.7530415,-121.4356443
2311,North Tracy Boulevard,95376,37.7531583,-121.4358960
2311,North Tracy Boulevard,95376,37.7531921,-121.4356738
2321,North Tracy Boulevard,95376,37.7536563,-121.4360429
2321,North Tracy Boulevard,95376,37.7537778,-121.4360402
651,West Grant Line Road Suite B,95376,37.7545131,-121.4359185
2320,North Tracy Boulevard,95376,37.7535131,-121.4348253
574,West Grant Line Road,95376,37.7538776,-121.4344328
651,West Grant Line Road,95376,37.7544775,-121.4359335
2501,North Tracy Boulevard,95376,37.7549602,-121.4366293
2509,North Tracy Boulevard,95376,37.7552479,-121.4367409
2503,North Tracy Boulevard,95376,37.7550822,-121.4366157
2511,North Tracy Boulevard,95376,37.7552934,-121.4367488
2513,North Tracy Boulevard,95376,37.7553725,-121.4367192
2515,North Tracy Boulevard,95376,37.7554216,-121.4367328
2517,North Tracy Boulevard,95376,37.7554712,-121.4366283
2521,North Tracy Boulevard,95376,37.7555193,-121.4367516
2523,North Tracy Boulevard,95376,37.7556074,-121.4366257
2626,North Tracy Boulevard,95376,37.7553829,-121.4343045
2691,North Tracy Boulevard,95376,37.7560980,-121.4360775
2529,North Tracy Boulevard,95376,37.7557721,-121.4366593
2735,Gomes Court,95376,37.7566317,-121.4366391
543,West Grant Line Road,95376,37.7556227,-121.4338801
3007,North Tracy Boulevard,95376,37.7598582,-121.4356792
3001,North Tracy Boulevard,95376,37.7597782,-121.4355432
3019,North Tracy Boulevard,95376,37.7599002,-121.4355299
3021,North Tracy Boulevard,95376,37.7599776,-121.4357921
3081,North Tracy Boulevard,95376,37.7599461,-121.4363148
3085,North Tracy Boulevard,95376,37.7598490,-121.4364873
3099,North Tracy Boulevard,95376,37.7598858,-121.4365189
3101,North Tracy Boulevard,95376,37.7599946,-121.4366134
3117,North Tracy Boulevard,95376,37.7601138,-121.4366796
3145,North Tracy Boulevard,95376,37.7601837,-121.4365820
3161,North Tracy Boulevard,95376,37.7602248,-121.4365842
3225,North Tracy Boulevard,95376,37.7605612,-121.4369075
3225,North Tracy Boulevard,95376,37.7604003,-121.4364572
584,Pescadero Avenue,95376,37.7610802,-121.4165117
2810,S Tracy Blvd,95377,37.7099913,-121.4339210
2820,SOUTH TRACY BLVD.,95377,37.7095428,-121.4339257
1850,West Kavanagh Avenue,95376,37.7565454,-121.4497094
1750,West Kavanagh Avenue,95376,37.7566041,-121.4475546
1885,North Macarthur Drive,95376,37.7472793,-121.4128118
1700,North Chrisman Road,95304,37.7487873,-121.3970323
2900,North MacArthur Drive,95376,37.7597854,-121.4134088
1565,North MacArthur Drive,95376,37.7463545,-121.4110568
1350,North MacArthur Drive,95376,37.7434248,-121.4086399
955,Crossroads Drive,95377,37.7379394,-121.4668481
1803,Blandford Lane,95377,37.7493926,-121.4726298
2341,West Lowell Avenue,95377,37.7476282,-121.4594293
