House number,Street name,Postal code,Latitude,Longitude
1700,Freedom Boulevard,95019,36.9334492,-121.7708750
1610,Freedom Boulevard,95076,36.9325281,-121.7699980
1480,Freedom Boulevard,95076,36.9297252,-121.7672280
1400,West Beach Street,95076,36.8992046,-121.7761790
1080,West Beach Street,95076,36.9024853,-121.7716729
375,Hushbeck Avenue,95076,36.9196532,-121.7474448
1424,Freedom Boulevard,95076,36.9259580,-121.7638980
2010,Freedom Boulevard,95019,36.9386188,-121.7773854
"18, Suite C",Hangar Way,95076,36.9293757,-121.7914640
"18, Suite C",Hangar Way,95076,36.9293757,-121.7913680
100,Aviation Way,95076,36.9342661,-121.7878360
332,East Beach Street,95076,36.9144602,-121.7508060
322,East Beach Street,95076,36.9143963,-121.7504218
128,East Beach Street,95076,36.9117676,-121.7544978
406,Main Street,95076,36.9104820,-121.7568922
1912,Main Street,95076,36.9192993,-121.7805840
24,East Lake Avenue,95076,36.9120743,-121.7574327
2024,Freedom Boulevard,95019,36.9384331,-121.7771422
1986,Freedom Boulevard,95019,36.9383410,-121.7760539
1901,Freedom Boulevard,95019,36.9351404,-121.7740030
1430,Freedom Boulevard,95076,36.9278790,-121.7645954
1415,Main Street,95076,36.9155824,-121.7733553
1810,Freedom Boulevard,95019,36.9350529,-121.7715760
1415,Main Street,95076,36.9154070,-121.7744587
1415,Main Street,95076,36.9153628,-121.7742778
28,Mariposa Avenue,95076,36.9288795,-121.7675765
56,Penny Lane,95076,36.9310119,-121.7782609
1902,Freedom Boulevard,95019,36.9356591,-121.7735115
1902,Freedom Boulevard,95019,36.9354828,-121.7734410
1964,Freedom Boulevard,95019,36.9377938,-121.7762493
300,Main Street,95076,36.9093590,-121.7556893
1404,Freedom Boulevard,95076,36.9257484,-121.7627563
1050,South Green Valley Road,95076-4163,36.9181158,-121.7837076
1060,South Green Valley Road,95076,36.9170031,-121.7834741
1465,Main Street,95076,36.9153905,-121.7767471
20,Ohlone Parkway,95076,36.9160360,-121.7781606
1060,South Green Valley Road,95076,36.9174813,-121.7833024
1598,Freedom Boulevard,95076-3007,36.9321285,-121.7694035
1413,Freedom Boulevard,95076,36.9266040,-121.7659754
1417,Freedom Boulevard,95076,36.9266786,-121.7660971
1433,Freedom Boulevard,95076,36.9267649,-121.7662383
1437,Freedom Boulevard,95076,36.9270895,-121.7668113
1966,Main Street,95076,36.9194268,-121.7817210
1483,Main Street,95076,36.9156942,-121.7772590
1455,Main Street,95076,36.9152528,-121.7760668
1427,Main Street,95076,36.9153951,-121.7750389
1439,Main Street,95076,36.9166004,-121.7750473
101,Ranport Road,95076,36.9244754,-121.8003504
355,South Green Valley Road,95076,36.9326016,-121.7777338
580,Airport Boulevard,95076,36.9309877,-121.7920948
50,Aviation Way,95076,36.9341655,-121.7856660
1702,Freedom Boulevard,95019-3025,36.9341117,-121.7699037
2010,Freedom Boulevard,95019-2834,36.9400788,-121.7754054
1461,Main Street,95076,36.9165924,-121.7766243
1810,Freedom Boulevard,95019,36.9350475,-121.7718153
1620,West Beach Street,95076,36.8991533,-121.7781008
100,East Front Street,95076,36.9071383,-121.7502146
1865,Main Street,95076,36.9169117,-121.7811820
1855,Main Street,95076,36.9167276,-121.7807475
112,Airport Boulevard,95076,36.9371895,-121.7789819
14,Green Valley Road,95019,36.9354145,-121.7724749
1403,Freedom Boulevard,95076-2742,36.9267895,-121.7653324
275,Main Street,95076,36.9084059,-121.7559495
142,Main Street,95076-5002,36.9071309,-121.7528741
20,Ohlone Parkway,95076,36.9161081,-121.7780884
1480,Freedom Boulevard,95076,36.9297356,-121.7672109
740,Freedom Boulevard,95076-3811,36.9157409,-121.7605810
1028,Nuesta Vista Avenue,95076,36.9073339,-121.7735277
105,Lighthouse Drive,95076,36.9053686,-121.7762641
75,Neilson Street,95076,36.9264681,-121.7935449
311,Montecito Avenue,95076,36.9242485,-121.7571081
1415,Main Street,95076,36.9149765,-121.7741728
20,Ohlone Parkway,95076,36.9161845,-121.7781966
1459,Main Street,95076,36.9167969,-121.7757524
24,Monte Vista Avenue,95076,36.9211591,-121.7547940
24,Monte Vista Avenue,95076,36.9211467,-121.7546392
