House number,Street name,Postal code,Latitude,Longitude
18111,Bastanchury Rd,92886,33.8997720,-117.8181820
5525,Avenida del Tren,92887,33.8779410,-117.7273870
20459,Yorba Linda Boulevard,92886,33.8933107,-117.7749160
21580,Yorba Linda Blvd,92887,33.8779272,-117.7507446
4802,Main Street,92886,33.8910748,-117.8136993
4845,Main Street,92886,33.8909180,-117.8142820
4872,Olinda Street,92886,33.8901598,-117.8145298
4862,Olinda Street,92886,33.8906085,-117.8146898
4884,Main Street,92886,33.8901845,-117.8137760
4902,Main Street,92886,33.8897539,-117.8137656
18700,Yorba Linda Boulevard,92886,33.8882062,-117.8087216
18515,Yorba Linda Boulevard,92886,33.8889492,-117.8105585
18503,Yorba Linda Boulevard,92885,33.8888975,-117.8108633
18503,Yorba Linda Boulevard,92885,33.8888949,-117.8111140
4976,Lakeview Avenue,92886,33.8892881,-117.8109381
18527,Yorba Linda Boulevard,92886,33.8898517,-117.8098540
18507,Yorba Linda Boulevard,92886,33.8897584,-117.8110268
18525,Yorba Linda Boulevard,92886,33.8898325,-117.8105810
18601,Yorba Linda Boulevard,92886,33.8888909,-117.8090170
18653,Yorba Linda Boulevard,92886,33.8888666,-117.8083296
18659,Yorba Linda Boulevard,92886,33.8887355,-117.8083238
18639,Yorba Linda Boulevard,92886,33.8887015,-117.8085870
18532,Yorba Linda Boulevard,92886,33.8882117,-117.8105180
18528,Yorba Linda Boulevard,92886,33.8880190,-117.8104647
18518,Yorba Linda Boulevard,92886,33.8877696,-117.8105105
18450,Yorba Linda Boulevard,92886,33.8883848,-117.8120542
18432,Yorba Linda Boulevard,92886,33.8879941,-117.8125839
18340,Yorba Linda Boulevard,92886,33.8877881,-117.8133320
5325,Village Center Drive,92886-4581,33.8837135,-117.7786220
19002,Yorba Linda Boulevard,92886,33.8882811,-117.8026003
5134,Lakeview Avenue,92886,33.8867297,-117.8110356
5136,Lakeview Avenue,92886,33.8867002,-117.8110028
5138,Lakeview Avenue,92886,33.8866616,-117.8109640
5126,Lakeview Avenue,92886,33.8868889,-117.8112747
5130,Lakeview Avenue,92886,33.8868720,-117.8112339
5132,Lakeview Avenue,92886,33.8869762,-117.8111157
5128,Lakeview Avenue,92886,33.8869830,-117.8111722
5124,Lakeview Avenue,92886,33.8869889,-117.8112208
5118,Lakeview Avenue,92886,33.8870979,-117.8115780
