House number,Street name,Postal code,Latitude,Longitude
312,4th Street,96097,41.7301080,-122.6377466
735,North Main Street,96097,41.7401384,-122.6336532
1842,Fort Jones Road,96097,41.7004786,-122.6441413
1810,Fort Jones Road,96097,41.7017282,-122.6439510
1258,South Main Street,96097,41.7185644,-122.6394031
200,South Main Street,96097,41.7306059,-122.6353405
107,South Main Street,96097,41.7257287,-122.6390660
313,West Miner Street,96097,41.7319018,-122.6375620
231,West Miner Street,96097,41.7318375,-122.6372377
225,West Miner Street,96097,41.7317903,-122.6369817
227,West Miner Street,96097,41.7317945,-122.6370122
525,South Foothill Drive,96097,41.7271410,-122.6342140
1293,South Main Street,96097,41.7168389,-122.6403310
1455,South Main Street,96097,41.7128373,-122.6421161
1801,Fort Jones Road,96097,41.7036264,-122.6456788
113,East Miner Street,96097,41.7310241,-122.6350551
1834,Fort Jones Road,96097,41.7010380,-122.6441207
106,Ranch Lane,96097,41.7094712,-122.6433627
526,South Main Street,96097,41.7275164,-122.6371739
136,Montague Road,96097,41.7403560,-122.6312979
1899,Fort Jones Road,96097,41.7023161,-122.6461757
100,N Main St,96097,41.7316682,-122.6353100
305,Butte Street,96097,41.7296527,-122.6385037
105,East Miner Street,96097,41.7313263,-122.6354126
515,South Broadway Street,96097,41.7279006,-122.6378024
444,West Miner Street,96097,41.7327216,-122.6394351
1804,Fort Jones Road,96097,41.7032937,-122.6442158
1804,Fort Jones Road,96097,41.7029014,-122.6443443
1802,Fort Jones Road,96097,41.7031237,-122.6449583
1868,Fort Jones Road,96097,41.7020053,-122.6453821
1906,Fort Jones Road,96097,41.6986460,-122.6445743
1904,Fort Jones Road,96097,41.6996874,-122.6449153
1795,South Main Street,96097,41.7041602,-122.6454023
1785,South Main Street,96097,41.7047645,-122.6453936
148,Moonlit Oaks Avenue,96097,41.7045616,-122.6463840
444,Bruce Street,96097,41.7193577,-122.6459060
346,Payne Lane,96097,41.7165700,-122.6452757
122,East Miner Street,96097,41.7325316,-122.6344832
165,South Broadway Street,96097,41.7312037,-122.6366731
220,West Center Street,96097,41.7313336,-122.6373732
200,South Broadway Street,96097,41.7307821,-122.6361893
123,North Main Street,96097,41.7321057,-122.6357395
100,North Main Street,96097,41.7316721,-122.6352469
311,Lane Street,96097,41.7301894,-122.6384109
405,Jackson Street,96097,41.7276612,-122.6407603
416,Evergreen Lane,96097,41.7251840,-122.6439074
350,North Foothill Drive,96097,41.7324674,-122.6288853
444,Bruce Street,96097,41.7196021,-122.6458847
1210,South Main Street,96097,41.7205990,-122.6388362
1235,South Main Street,96097,41.7194387,-122.6403720
707,Montague Road,96097,41.7383549,-122.6267539
1711,South Main Street,96097,41.7066492,-122.6439549
777,Casino Way,96097,41.7118719,-122.6314124
1805,Fort Jones Highway,96097,41.7030152,-122.6459914
314,Pine Street,96097,41.7347566,-122.6384767
1107,Cedar Street,96097,41.7396659,-122.6496096
1111,South Main Street,96097,41.7215392,-122.6399274
515,South Broadway Street,96097,41.7279248,-122.6378993
400,Preece Way,96097,41.7404463,-122.6390040
