House number,Street name,Postal code,Latitude,Longitude
600,South Broadway,80305,39.9854766,-105.2492586
3600,Table Mesa Drive,80305,39.9834044,-105.2514650
345,Mapleton Avenue,80304,40.0208492,-105.2919414
6685,Gunpark Drive,80301,40.0743783,-105.2012700
905,Alpine Avenue,80305,40.0258622,-105.2854120
633,South Broadway,80305,39.9840994,-105.2497160
2877,Baseline Road,80303,40.0003526,-105.2564270
1600,38th Street,80301,40.0149794,-105.2454810
1650,28th Street,80301,40.0164159,-105.2577819
3000,28th Street,80301,40.0295547,-105.2579980
2905,Pearl Street,80301,40.0240242,-105.2559380
2999,Pearl Street,80301,40.0235768,-105.2542697
2580,Arapahoe Avenue,80302,40.0134852,-105.2604133
2400,Baseline Road,80305,39.9999497,-105.2630757
2400,Baseline Road,80305,39.9998194,-105.2629626
3200,Arapahoe Avenue,80303,40.0143591,-105.2515960
1789,28th Street,80301,40.0191816,-105.2595550
1900,Wardenburg Drive,80309,40.0053949,-105.2687585
629,South Broadway,80305,39.9839658,-105.2490140
645,South Broadway,80305,39.9837308,-105.2500030
619,South Broadway,80305,39.9844442,-105.2498875
2035,Broadway,80302,40.0184847,-105.2803755
2027,Broadway,80302,40.0184631,-105.2803702
1215,Pearl Street,80302,40.0181134,-105.2796080
1219,Pearl Street,80302,40.0181280,-105.2795207
1223,Pearl Street,80302,40.0181476,-105.2794010
1225,Pearl Street Mall,80302,40.0181581,-105.2793675
1211,Pearl Street,80302,40.0180957,-105.2796866
1001,Pearl Street,80302,40.0175271,-105.2824523
4670,Broadway,80304,40.0594870,-105.2819286
4501,Broadway,80304,40.0565108,-105.2824750
4580,Broadway,80304,40.0579758,-105.2819298
4479,Broadway,80304,40.0557895,-105.2826504
691,South Broadway,80305,39.9828518,-105.2491027
1480,Canyon Boulevard,80302,40.0162966,-105.2757619
685,30th Street,80303-2310,39.9992260,-105.2539755
2950,Baseline Road,80303,39.9992917,-105.2543249
2480,Baseline Road,80305,39.9985830,-105.2620399
2550,Baseline Road,80305,39.9989365,-105.2613765
2360,Arapahoe Avenue,80302,40.0144480,-105.2633600
839,Pearl Street,80302,40.0172130,-105.2840040
2790,Pearl Street,80302,40.0217940,-105.2588680
2359,Arapahoe Avenue,80303,40.0148445,-105.2634620
2700,Broadway,80304,40.0259314,-105.2817020
2510,Arapahoe Avenue,80302,40.0134825,-105.2615469
2450,Arapahoe Avenue,80302,40.0134809,-105.2622383
2520,Arapahoe Avenue,80302,40.0134829,-105.2614020
2416,Arapahoe Avenue,80302,40.0139941,-105.2626031
2422,Arapahoe Avenue,80302,40.0139200,-105.2626044
2550,Arapahoe Avenue,80302,40.0134844,-105.2607352
2430,Arapahoe Avenue,80302,40.0137167,-105.2626081
2480,Arapahoe Avenue,80302,40.0134818,-105.2618635
2470,Arapahoe Avenue,80302,40.0134823,-105.2616615
2440,Arapahoe Avenue,80302,40.0134802,-105.2625360
1625,28th Street,80301,40.0154446,-105.2590791
3183,Walnut Street,80301,40.0204127,-105.2518252
3163,Walnut Street,80301,40.0205639,-105.2518285
2800,Pearl Street,80301,40.0219958,-105.2589670
2333,30th Street,80301,40.0244805,-105.2547042
2315,30th Street,80301,40.0240020,-105.2552781
2327,30th Street,80301,40.0244358,-105.2549284
2323,30th Street,80301,40.0244236,-105.2549893
2790,Pearl Street,80302,40.0218849,-105.2587452
2609,Pearl Street,80302,40.0220353,-105.2605449
2321,30th Street,80301,40.0243983,-105.2551164
2775,Pearl Street,80302,40.0224265,-105.2593381
1811,Pearl Street,80302,40.0197341,-105.2717001
1701,Pearl Street,80302,40.0194098,-105.2733027
1545,Pearl Street,80302,40.0190514,-105.2750173
2775,Pearl Street,80302,40.0224921,-105.2589519
1221,Spruce Street,80302,40.0191577,-105.2797750
1601,Pearl Street,80302,40.0191275,-105.2746530
2795,Pearl Street,80302,40.0228268,-105.2589570
1575,Folsom Street,80302,40.0151629,-105.2634116
1015,Pearl Street,80302,40.0175786,-105.2821807
1047,Pearl Street,80302,40.0177112,-105.2815036
